context: It seems Romalia has already response:	dispatched a fleet to counter ours.
context: It seems Romalia has already\dispatched a fleet to counter ours. response:	The stage will soon be set.
context: It seems Romalia has already\dispatched a fleet to counter ours.\The stage will soon be set. response:	What do you mean by that?
context: It seems Romalia has already\dispatched a fleet to counter ours.\The stage will soon be set.\What do you mean by that? response:	You can't possibly be planning to declare war?
context: It seems Romalia has already\dispatched a fleet to counter ours.\The stage will soon be set.\What do you mean by that?\You can't possibly be planning to declare war? response:	War?
context: It seems Romalia has already\dispatched a fleet to counter ours.\The stage will soon be set.\What do you mean by that?\You can't possibly be planning to declare war?\War? response:	Wars are started by those who wish for gain.
context: It seems Romalia has already\dispatched a fleet to counter ours.\The stage will soon be set.\What do you mean by that?\You can't possibly be planning to declare war?\War?\Wars are started by those who wish for gain. response:	I wish for nothing. I just want to try it.
context: It seems Romalia has already\dispatched a fleet to counter ours.\The stage will soon be set.\What do you mean by that?\You can't possibly be planning to declare war?\War?\Wars are started by those who wish for gain.\I wish for nothing. I just want to try it. response:	Begin the preparations, Sheffield.
context: dispatched a fleet to counter ours.\The stage will soon be set.\What do you mean by that?\You can't possibly be planning to declare war?\War?\Wars are started by those who wish for gain.\I wish for nothing. I just want to try it.\Begin the preparations, Sheffield. response:	As you wish, my lord.
context: The stage will soon be set.\What do you mean by that?\You can't possibly be planning to declare war?\War?\Wars are started by those who wish for gain.\I wish for nothing. I just want to try it.\Begin the preparations, Sheffield.\As you wish, my lord. response:	Wh-What's that?
context: What do you mean by that?\You can't possibly be planning to declare war?\War?\Wars are started by those who wish for gain.\I wish for nothing. I just want to try it.\Begin the preparations, Sheffield.\As you wish, my lord.\Wh-What's that? response:	As you know, I'm a Familiar of the Void.
context: You can't possibly be planning to declare war?\War?\Wars are started by those who wish for gain.\I wish for nothing. I just want to try it.\Begin the preparations, Sheffield.\As you wish, my lord.\Wh-What's that?\As you know, I'm a Familiar of the Void. response:	Myozunitonirun, the Mind of God.
context: War?\Wars are started by those who wish for gain.\I wish for nothing. I just want to try it.\Begin the preparations, Sheffield.\As you wish, my lord.\Wh-What's that?\As you know, I'm a Familiar of the Void.\Myozunitonirun, the Mind of God. response:	I am the only one capable of releasing the power
context: Wars are started by those who wish for gain.\I wish for nothing. I just want to try it.\Begin the preparations, Sheffield.\As you wish, my lord.\Wh-What's that?\As you know, I'm a Familiar of the Void.\Myozunitonirun, the Mind of God.\I am the only one capable of releasing the power response:	locked within the Founder's Round Mirror.
context: I wish for nothing. I just want to try it.\Begin the preparations, Sheffield.\As you wish, my lord.\Wh-What's that?\As you know, I'm a Familiar of the Void.\Myozunitonirun, the Mind of God.\I am the only one capable of releasing the power\locked within the Founder's Round Mirror. response:	Those runes...
context: Begin the preparations, Sheffield.\As you wish, my lord.\Wh-What's that?\As you know, I'm a Familiar of the Void.\Myozunitonirun, the Mind of God.\I am the only one capable of releasing the power\locked within the Founder's Round Mirror.\Those runes... response:	When I use this mirror,
context: As you wish, my lord.\Wh-What's that?\As you know, I'm a Familiar of the Void.\Myozunitonirun, the Mind of God.\I am the only one capable of releasing the power\locked within the Founder's Round Mirror.\Those runes...\When I use this mirror, response:	I can transfer a Void Mage's power to another.
context: Wh-What's that?\As you know, I'm a Familiar of the Void.\Myozunitonirun, the Mind of God.\I am the only one capable of releasing the power\locked within the Founder's Round Mirror.\Those runes...\When I use this mirror,\I can transfer a Void Mage's power to another. response:	I needed your destruction spell, Explosion,
context: As you know, I'm a Familiar of the Void.\Myozunitonirun, the Mind of God.\I am the only one capable of releasing the power\locked within the Founder's Round Mirror.\Those runes...\When I use this mirror,\I can transfer a Void Mage's power to another.\I needed your destruction spell, Explosion, response:	so that I may use these
context: Myozunitonirun, the Mind of God.\I am the only one capable of releasing the power\locked within the Founder's Round Mirror.\Those runes...\When I use this mirror,\I can transfer a Void Mage's power to another.\I needed your destruction spell, Explosion,\so that I may use these response:	fire stones at will.
context: I am the only one capable of releasing the power\locked within the Founder's Round Mirror.\Those runes...\When I use this mirror,\I can transfer a Void Mage's power to another.\I needed your destruction spell, Explosion,\so that I may use these\fire stones at will. response:	The Incompetent King Gone Mad
context: locked within the Founder's Round Mirror.\Those runes...\When I use this mirror,\I can transfer a Void Mage's power to another.\I needed your destruction spell, Explosion,\so that I may use these\fire stones at will.\The Incompetent King Gone Mad response:	The Gallian fleet has stopped 1200 meters from our border.
