context: /** TS by scol **/ response:	PHONE TEXT HERE
context: /** TS by scol **/\PHONE TEXT HERE response:	/** Start OP **/
context: /** TS by scol **/\PHONE TEXT HERE\/** Start OP **/ response:	Arithmetic
context: /** TS by scol **/\PHONE TEXT HERE\/** Start OP **/\Arithmetic response:	Takagi Akito
context: /** TS by scol **/\PHONE TEXT HERE\/** Start OP **/\Arithmetic\Takagi Akito response:	Cooking
context: /** TS by scol **/\PHONE TEXT HERE\/** Start OP **/\Arithmetic\Takagi Akito\Cooking response:	Takagi Akito
context: /** TS by scol **/\PHONE TEXT HERE\/** Start OP **/\Arithmetic\Takagi Akito\Cooking\Takagi Akito response:	Motion: Them
context: /** TS by scol **/\PHONE TEXT HERE\/** Start OP **/\Arithmetic\Takagi Akito\Cooking\Takagi Akito\Motion: Them response:	Them: Start Fade
context: PHONE TEXT HERE\/** Start OP **/\Arithmetic\Takagi Akito\Cooking\Takagi Akito\Motion: Them\Them: Start Fade response:	Them frame motion
context: /** Start OP **/\Arithmetic\Takagi Akito\Cooking\Takagi Akito\Motion: Them\Them: Start Fade\Them frame motion response:	Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.
context: Arithmetic\Takagi Akito\Cooking\Takagi Akito\Motion: Them\Them: Start Fade\Them frame motion\Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump. response:	YUUEISHA
context: Takagi Akito\Cooking\Takagi Akito\Motion: Them\Them: Start Fade\Them frame motion\Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.\YUUEISHA response:	YUUEISHA
context: Cooking\Takagi Akito\Motion: Them\Them: Start Fade\Them frame motion\Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.\YUUEISHA\YUUEISHA response:	YUUEISHA
context: Takagi Akito\Motion: Them\Them: Start Fade\Them frame motion\Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.\YUUEISHA\YUUEISHA\YUUEISHA response:	Translator TLc
context: Motion: Them\Them: Start Fade\Them frame motion\Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.\YUUEISHA\YUUEISHA\YUUEISHA\Translator TLc response:	kewl0210 Chrno
context: Them: Start Fade\Them frame motion\Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.\YUUEISHA\YUUEISHA\YUUEISHA\Translator TLc\kewl0210 Chrno response:	Timing Edit
context: Them frame motion\Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.\YUUEISHA\YUUEISHA\YUUEISHA\Translator TLc\kewl0210 Chrno\Timing Edit response:	KmE bobo343
context: Yuueisha is a parody of Shuueisha, the company who publishes Shounen Jump.\YUUEISHA\YUUEISHA\YUUEISHA\Translator TLc\kewl0210 Chrno\Timing Edit\KmE bobo343 response:	Typesetting Karaoke
context: YUUEISHA\YUUEISHA\YUUEISHA\Translator TLc\kewl0210 Chrno\Timing Edit\KmE bobo343\Typesetting Karaoke response:	scol, KmE Jecht, KmE, pablo212
context: YUUEISHA\YUUEISHA\Translator TLc\kewl0210 Chrno\Timing Edit\KmE bobo343\Typesetting Karaoke\scol, KmE Jecht, KmE, pablo212 response:	QC
context: YUUEISHA\Translator TLc\kewl0210 Chrno\Timing Edit\KmE bobo343\Typesetting Karaoke\scol, KmE Jecht, KmE, pablo212\QC response:	Echo_Chidori Z4kku
context: Translator TLc\kewl0210 Chrno\Timing Edit\KmE bobo343\Typesetting Karaoke\scol, KmE Jecht, KmE, pablo212\QC\Echo_Chidori Z4kku response:	Encode
context: kewl0210 Chrno\Timing Edit\KmE bobo343\Typesetting Karaoke\scol, KmE Jecht, KmE, pablo212\QC\Echo_Chidori Z4kku\Encode response:	pablo212
context: Timing Edit\KmE bobo343\Typesetting Karaoke\scol, KmE Jecht, KmE, pablo212\QC\Echo_Chidori Z4kku\Encode\pablo212 response:	Carrot and Stick
context: KmE bobo343\Typesetting Karaoke\scol, KmE Jecht, KmE, pablo212\QC\Echo_Chidori Z4kku\Encode\pablo212\Carrot and Stick response:	YUUEISHA
context: Typesetting Karaoke\scol, KmE Jecht, KmE, pablo212\QC\Echo_Chidori Z4kku\Encode\pablo212\Carrot and Stick\YUUEISHA response:	YUUEISHA
context: scol, KmE Jecht, KmE, pablo212\QC\Echo_Chidori Z4kku\Encode\pablo212\Carrot and Stick\YUUEISHA\YUUEISHA response:	YUUEISHA
context: QC\Echo_Chidori Z4kku\Encode\pablo212\Carrot and Stick\YUUEISHA\YUUEISHA\YUUEISHA response:	MANAGEMENT
context: Echo_Chidori Z4kku\Encode\pablo212\Carrot and Stick\YUUEISHA\YUUEISHA\YUUEISHA\MANAGEMENT response:	MANAGEMENT
context: Encode\pablo212\Carrot and Stick\YUUEISHA\YUUEISHA\YUUEISHA\MANAGEMENT\MANAGEMENT response:	MANAGEMENT
context: pablo212\Carrot and Stick\YUUEISHA\YUUEISHA\YUUEISHA\MANAGEMENT\MANAGEMENT\MANAGEMENT response:	MANAGEMENT
context: Carrot and Stick\YUUEISHA\YUUEISHA\YUUEISHA\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT response:	MANAGEMENT
context: YUUEISHA\YUUEISHA\YUUEISHA\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT response:	MANAGEMENT
context: YUUEISHA\YUUEISHA\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT response:	MANAGEMENT
context: YUUEISHA\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT response:	The Earth we live on is not the real Earth.
context: MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\The Earth we live on is not the real Earth. response:	It is all nothing but a duplicate made for observation and experiments.
context: MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\The Earth we live on is not the real Earth.\It is all nothing but a duplicate made for observation and experiments. response:	Yes. By them.
context: MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\The Earth we live on is not the real Earth.\It is all nothing but a duplicate made for observation and experiments.\Yes. By them. response:	Yes. By them.
context: MANAGEMENT\MANAGEMENT\MANAGEMENT\MANAGEMENT\The Earth we live on is not the real Earth.\It is all nothing but a duplicate made for observation and experiments.\Yes. By them.\Yes. By them. response:	Yes. By them.
