context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	Hm?
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Hm? response:	The Valley of the Welling Tide
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Hm?\The Valley of the Welling Tide response:	Huh?
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Hm?\The Valley of the Welling Tide\Huh? response:	Mom! That guy came back to life!
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Hm?\The Valley of the Welling Tide\Huh?\Mom! That guy came back to life! response:	What are you saying?
context: Mushi-Shi\Just for you\Like I used to\Hm?\The Valley of the Welling Tide\Huh?\Mom! That guy came back to life!\What are you saying? response:	You know he wasn't dead.
context: Just for you\Like I used to\Hm?\The Valley of the Welling Tide\Huh?\Mom! That guy came back to life!\What are you saying?\You know he wasn't dead. response:	Are you feeling all right?
context: Like I used to\Hm?\The Valley of the Welling Tide\Huh?\Mom! That guy came back to life!\What are you saying?\You know he wasn't dead.\Are you feeling all right? response:	Where am I?
context: Hm?\The Valley of the Welling Tide\Huh?\Mom! That guy came back to life!\What are you saying?\You know he wasn't dead.\Are you feeling all right?\Where am I? response:	It seems your leg injury had weakened you and caused you to pass out.
context: The Valley of the Welling Tide\Huh?\Mom! That guy came back to life!\What are you saying?\You know he wasn't dead.\Are you feeling all right?\Where am I?\It seems your leg injury had weakened you and caused you to pass out. response:	My husband found you and carried you back to our home last night.
context: Huh?\Mom! That guy came back to life!\What are you saying?\You know he wasn't dead.\Are you feeling all right?\Where am I?\It seems your leg injury had weakened you and caused you to pass out.\My husband found you and carried you back to our home last night. response:	I see.
context: Mom! That guy came back to life!\What are you saying?\You know he wasn't dead.\Are you feeling all right?\Where am I?\It seems your leg injury had weakened you and caused you to pass out.\My husband found you and carried you back to our home last night.\I see. response:	Where is your husband?
context: What are you saying?\You know he wasn't dead.\Are you feeling all right?\Where am I?\It seems your leg injury had weakened you and caused you to pass out.\My husband found you and carried you back to our home last night.\I see.\Where is your husband? response:	I'd like to thank him for saving me.
context: You know he wasn't dead.\Are you feeling all right?\Where am I?\It seems your leg injury had weakened you and caused you to pass out.\My husband found you and carried you back to our home last night.\I see.\Where is your husband?\I'd like to thank him for saving me. response:	He went to till our land on the mountain slopes.
context: Are you feeling all right?\Where am I?\It seems your leg injury had weakened you and caused you to pass out.\My husband found you and carried you back to our home last night.\I see.\Where is your husband?\I'd like to thank him for saving me.\He went to till our land on the mountain slopes. response:	He won't be back until tomorrow.
context: Where am I?\It seems your leg injury had weakened you and caused you to pass out.\My husband found you and carried you back to our home last night.\I see.\Where is your husband?\I'd like to thank him for saving me.\He went to till our land on the mountain slopes.\He won't be back until tomorrow. response:	No need to rush me!
context: It seems your leg injury had weakened you and caused you to pass out.\My husband found you and carried you back to our home last night.\I see.\Where is your husband?\I'd like to thank him for saving me.\He went to till our land on the mountain slopes.\He won't be back until tomorrow.\No need to rush me! response:	I'll get you something to fill you up right away.
context: My husband found you and carried you back to our home last night.\I see.\Where is your husband?\I'd like to thank him for saving me.\He went to till our land on the mountain slopes.\He won't be back until tomorrow.\No need to rush me!\I'll get you something to fill you up right away. response:	Thank you!
context: I see.\Where is your husband?\I'd like to thank him for saving me.\He went to till our land on the mountain slopes.\He won't be back until tomorrow.\No need to rush me!\I'll get you something to fill you up right away.\Thank you! response:	It's like I've entered paradise.
context: Where is your husband?\I'd like to thank him for saving me.\He went to till our land on the mountain slopes.\He won't be back until tomorrow.\No need to rush me!\I'll get you something to fill you up right away.\Thank you!\It's like I've entered paradise. response:	Don't hold yourself back. Eat your fill.
context: I'd like to thank him for saving me.\He went to till our land on the mountain slopes.\He won't be back until tomorrow.\No need to rush me!\I'll get you something to fill you up right away.\Thank you!\It's like I've entered paradise.\Don't hold yourself back. Eat your fill. response:	Ow!
context: He went to till our land on the mountain slopes.\He won't be back until tomorrow.\No need to rush me!\I'll get you something to fill you up right away.\Thank you!\It's like I've entered paradise.\Don't hold yourself back. Eat your fill.\Ow! response:	Well, if you insist.
context: He won't be back until tomorrow.\No need to rush me!\I'll get you something to fill you up right away.\Thank you!\It's like I've entered paradise.\Don't hold yourself back. Eat your fill.\Ow!\Well, if you insist. response:	Was that a green field of rice I just saw?
context: No need to rush me!\I'll get you something to fill you up right away.\Thank you!\It's like I've entered paradise.\Don't hold yourself back. Eat your fill.\Ow!\Well, if you insist.\Was that a green field of rice I just saw? response:	Nah, couldn't have been.
context: I'll get you something to fill you up right away.\Thank you!\It's like I've entered paradise.\Don't hold yourself back. Eat your fill.\Ow!\Well, if you insist.\Was that a green field of rice I just saw?\Nah, couldn't have been. response:	It's the middle of winter, after all.
context: Thank you!\It's like I've entered paradise.\Don't hold yourself back. Eat your fill.\Ow!\Well, if you insist.\Was that a green field of rice I just saw?\Nah, couldn't have been.\It's the middle of winter, after all. response:	Is that the sound of a hoe?
context: It's like I've entered paradise.\Don't hold yourself back. Eat your fill.\Ow!\Well, if you insist.\Was that a green field of rice I just saw?\Nah, couldn't have been.\It's the middle of winter, after all.\Is that the sound of a hoe? response:	Is someone outside tilling at this hour?
context: Don't hold yourself back. Eat your fill.\Ow!\Well, if you insist.\Was that a green field of rice I just saw?\Nah, couldn't have been.\It's the middle of winter, after all.\Is that the sound of a hoe?\Is someone outside tilling at this hour? response:	Good morning.
context: Ow!\Well, if you insist.\Was that a green field of rice I just saw?\Nah, couldn't have been.\It's the middle of winter, after all.\Is that the sound of a hoe?\Is someone outside tilling at this hour?\Good morning. response:	Oh, hello, Ginko.
context: Well, if you insist.\Was that a green field of rice I just saw?\Nah, couldn't have been.\It's the middle of winter, after all.\Is that the sound of a hoe?\Is someone outside tilling at this hour?\Good morning.\Oh, hello, Ginko. response:	Is your leg better already?
context: Was that a green field of rice I just saw?\Nah, couldn't have been.\It's the middle of winter, after all.\Is that the sound of a hoe?\Is someone outside tilling at this hour?\Good morning.\Oh, hello, Ginko.\Is your leg better already? response:	Yes, thanks to you.
context: Nah, couldn't have been.\It's the middle of winter, after all.\Is that the sound of a hoe?\Is someone outside tilling at this hour?\Good morning.\Oh, hello, Ginko.\Is your leg better already?\Yes, thanks to you. response:	Your husband hasn't returned yet?
context: It's the middle of winter, after all.\Is that the sound of a hoe?\Is someone outside tilling at this hour?\Good morning.\Oh, hello, Ginko.\Is your leg better already?\Yes, thanks to you.\Your husband hasn't returned yet? response:	Well, he came back around dawn,
context: Is that the sound of a hoe?\Is someone outside tilling at this hour?\Good morning.\Oh, hello, Ginko.\Is your leg better already?\Yes, thanks to you.\Your husband hasn't returned yet?\Well, he came back around dawn, response:	but he left again right after breakfast.
context: Is someone outside tilling at this hour?\Good morning.\Oh, hello, Ginko.\Is your leg better already?\Yes, thanks to you.\Your husband hasn't returned yet?\Well, he came back around dawn,\but he left again right after breakfast. response:	He's in the fields out back at the moment.
context: Good morning.\Oh, hello, Ginko.\Is your leg better already?\Yes, thanks to you.\Your husband hasn't returned yet?\Well, he came back around dawn,\but he left again right after breakfast.\He's in the fields out back at the moment. response:	I didn't imagine it after all.
context: Oh, hello, Ginko.\Is your leg better already?\Yes, thanks to you.\Your husband hasn't returned yet?\Well, he came back around dawn,\but he left again right after breakfast.\He's in the fields out back at the moment.\I didn't imagine it after all. response:	What's going on?
context: Is your leg better already?\Yes, thanks to you.\Your husband hasn't returned yet?\Well, he came back around dawn,\but he left again right after breakfast.\He's in the fields out back at the moment.\I didn't imagine it after all.\What's going on? response:	Is it possible spring came without my realizing it?
context: Yes, thanks to you.\Your husband hasn't returned yet?\Well, he came back around dawn,\but he left again right after breakfast.\He's in the fields out back at the moment.\I didn't imagine it after all.\What's going on?\Is it possible spring came without my realizing it? response:	Can't be.
context: Your husband hasn't returned yet?\Well, he came back around dawn,\but he left again right after breakfast.\He's in the fields out back at the moment.\I didn't imagine it after all.\What's going on?\Is it possible spring came without my realizing it?\Can't be. response:	Man, don't tell me I'm actually still out there freezing to death and this is all just a dream.
context: Well, he came back around dawn,\but he left again right after breakfast.\He's in the fields out back at the moment.\I didn't imagine it after all.\What's going on?\Is it possible spring came without my realizing it?\Can't be.\Man, don't tell me I'm actually still out there freezing to death and this is all just a dream. response:	Oh, hey.
