context: You've put on quite the amusing farce, but enough. response:	For the false Spear Hero
context: You've put on quite the amusing farce, but enough.\For the false Spear Hero response:	and for the Devil of the Shield,
context: You've put on quite the amusing farce, but enough.\For the false Spear Hero\and for the Devil of the Shield, response:	clinging so desperately to life, like a cockroach,
context: You've put on quite the amusing farce, but enough.\For the false Spear Hero\and for the Devil of the Shield,\clinging so desperately to life, like a cockroach, response:	the purification of Holy Judgment.
context: You've put on quite the amusing farce, but enough.\For the false Spear Hero\and for the Devil of the Shield,\clinging so desperately to life, like a cockroach,\the purification of Holy Judgment. response:	And...
context: You've put on quite the amusing farce, but enough.\For the false Spear Hero\and for the Devil of the Shield,\clinging so desperately to life, like a cockroach,\the purification of Holy Judgment.\And... response:	For this country, righteous order!
context: You've put on quite the amusing farce, but enough.\For the false Spear Hero\and for the Devil of the Shield,\clinging so desperately to life, like a cockroach,\the purification of Holy Judgment.\And...\For this country, righteous order! response:	Watch out, Naofumi!
context: You've put on quite the amusing farce, but enough.\For the false Spear Hero\and for the Devil of the Shield,\clinging so desperately to life, like a cockroach,\the purification of Holy Judgment.\And...\For this country, righteous order!\Watch out, Naofumi! response:	That sword is...
context: For the false Spear Hero\and for the Devil of the Shield,\clinging so desperately to life, like a cockroach,\the purification of Holy Judgment.\And...\For this country, righteous order!\Watch out, Naofumi!\That sword is... response:	What power!
context: and for the Devil of the Shield,\clinging so desperately to life, like a cockroach,\the purification of Holy Judgment.\And...\For this country, righteous order!\Watch out, Naofumi!\That sword is...\What power! response:	The impact's making my arms go numb!
context: clinging so desperately to life, like a cockroach,\the purification of Holy Judgment.\And...\For this country, righteous order!\Watch out, Naofumi!\That sword is...\What power!\The impact's making my arms go numb! response:	For a devil, you are pretty tough.
context: the purification of Holy Judgment.\And...\For this country, righteous order!\Watch out, Naofumi!\That sword is...\What power!\The impact's making my arms go numb!\For a devil, you are pretty tough. response:	That'll be enough trial shots.
context: And...\For this country, righteous order!\Watch out, Naofumi!\That sword is...\What power!\The impact's making my arms go numb!\For a devil, you are pretty tough.\That'll be enough trial shots. response:	Now face the real thing.
context: For this country, righteous order!\Watch out, Naofumi!\That sword is...\What power!\The impact's making my arms go numb!\For a devil, you are pretty tough.\That'll be enough trial shots.\Now face the real thing. response:	Wh-What?
context: Watch out, Naofumi!\That sword is...\What power!\The impact's making my arms go numb!\For a devil, you are pretty tough.\That'll be enough trial shots.\Now face the real thing.\Wh-What? response:	I-Is that...
context: That sword is...\What power!\The impact's making my arms go numb!\For a devil, you are pretty tough.\That'll be enough trial shots.\Now face the real thing.\Wh-What?\I-Is that... response:	The Rising of the Shield Hero
