context: OP response:	OP Kanji
context: OP\OP Kanji response:	OP English
context: OP\OP Kanji\OP English response:	ED
context: OP\OP Kanji\OP English\ED response:	ED
context: OP\OP Kanji\OP English\ED\ED response:	ED
context: OP\OP Kanji\OP English\ED\ED\ED response:	Yo.
context: OP\OP Kanji\OP English\ED\ED\ED\Yo. response:	Ayako -Fansubs pre sen ts!
context: OP\OP Kanji\OP English\ED\ED\ED\Yo.\Ayako -Fansubs pre sen ts! response:	ima mune ni umareta
context: OP Kanji\OP English\ED\ED\ED\Yo.\Ayako -Fansubs pre sen ts!\ima mune ni umareta response:	yuruginai kono kimochi
context: OP English\ED\ED\ED\Yo.\Ayako -Fansubs pre sen ts!\ima mune ni umareta\yuruginai kono kimochi response:	dakishimete tobe haruka tooku
context: ED\ED\ED\Yo.\Ayako -Fansubs pre sen ts!\ima mune ni umareta\yuruginai kono kimochi\dakishimete tobe haruka tooku response:	game and set nante nai hibi
context: ED\ED\Yo.\Ayako -Fansubs pre sen ts!\ima mune ni umareta\yuruginai kono kimochi\dakishimete tobe haruka tooku\game and set nante nai hibi response:	imeeji shite kanaetai mirai
context: ED\Yo.\Ayako -Fansubs pre sen ts!\ima mune ni umareta\yuruginai kono kimochi\dakishimete tobe haruka tooku\game and set nante nai hibi\imeeji shite kanaetai mirai response:	kazoete uchiaketattara yakusoku akiramenai
context: Yo.\Ayako -Fansubs pre sen ts!\ima mune ni umareta\yuruginai kono kimochi\dakishimete tobe haruka tooku\game and set nante nai hibi\imeeji shite kanaetai mirai\kazoete uchiaketattara yakusoku akiramenai response:	yume wo katachi ni suru made
context: Ayako -Fansubs pre sen ts!\ima mune ni umareta\yuruginai kono kimochi\dakishimete tobe haruka tooku\game and set nante nai hibi\imeeji shite kanaetai mirai\kazoete uchiaketattara yakusoku akiramenai\yume wo katachi ni suru made response:	suki na koto zenryoku de oikakeyou yo
context: ima mune ni umareta\yuruginai kono kimochi\dakishimete tobe haruka tooku\game and set nante nai hibi\imeeji shite kanaetai mirai\kazoete uchiaketattara yakusoku akiramenai\yume wo katachi ni suru made\suki na koto zenryoku de oikakeyou yo response:	issho ni ne tanoshiku ne
context: yuruginai kono kimochi\dakishimete tobe haruka tooku\game and set nante nai hibi\imeeji shite kanaetai mirai\kazoete uchiaketattara yakusoku akiramenai\yume wo katachi ni suru made\suki na koto zenryoku de oikakeyou yo\issho ni ne tanoshiku ne response:	kibou no hane hirogete
context: dakishimete tobe haruka tooku\game and set nante nai hibi\imeeji shite kanaetai mirai\kazoete uchiaketattara yakusoku akiramenai\yume wo katachi ni suru made\suki na koto zenryoku de oikakeyou yo\issho ni ne tanoshiku ne\kibou no hane hirogete response:	ima mune ni umareta
context: game and set nante nai hibi\imeeji shite kanaetai mirai\kazoete uchiaketattara yakusoku akiramenai\yume wo katachi ni suru made\suki na koto zenryoku de oikakeyou yo\issho ni ne tanoshiku ne\kibou no hane hirogete\ima mune ni umareta response:	yuruginai kono kimochi
context: imeeji shite kanaetai mirai\kazoete uchiaketattara yakusoku akiramenai\yume wo katachi ni suru made\suki na koto zenryoku de oikakeyou yo\issho ni ne tanoshiku ne\kibou no hane hirogete\ima mune ni umareta\yuruginai kono kimochi response:	yuuki to yobu tame hajimeyou
context: kazoete uchiaketattara yakusoku akiramenai\yume wo katachi ni suru made\suki na koto zenryoku de oikakeyou yo\issho ni ne tanoshiku ne\kibou no hane hirogete\ima mune ni umareta\yuruginai kono kimochi\yuuki to yobu tame hajimeyou response:	Be starters
context: yume wo katachi ni suru made\suki na koto zenryoku de oikakeyou yo\issho ni ne tanoshiku ne\kibou no hane hirogete\ima mune ni umareta\yuruginai kono kimochi\yuuki to yobu tame hajimeyou\Be starters response:	michisuu no doa tate
context: suki na koto zenryoku de oikakeyou yo\issho ni ne tanoshiku ne\kibou no hane hirogete\ima mune ni umareta\yuruginai kono kimochi\yuuki to yobu tame hajimeyou\Be starters\michisuu no doa tate response:	kowagarazu akete ne
context: issho ni ne tanoshiku ne\kibou no hane hirogete\ima mune ni umareta\yuruginai kono kimochi\yuuki to yobu tame hajimeyou\Be starters\michisuu no doa tate\kowagarazu akete ne response:	fly far away
context: kibou no hane hirogete\ima mune ni umareta\yuruginai kono kimochi\yuuki to yobu tame hajimeyou\Be starters\michisuu no doa tate\kowagarazu akete ne\fly far away response:	maiagare kanata e to
context: ima mune ni umareta\yuruginai kono kimochi\yuuki to yobu tame hajimeyou\Be starters\michisuu no doa tate\kowagarazu akete ne\fly far away\maiagare kanata e to response:	Game Set H
context: yuruginai kono kimochi\yuuki to yobu tame hajimeyou\Be starters\michisuu no doa tate\kowagarazu akete ne\fly far away\maiagare kanata e to\Game Set H response:	Be Starters!
context: yuuki to yobu tame hajimeyou\Be starters\michisuu no doa tate\kowagarazu akete ne\fly far away\maiagare kanata e to\Game Set H\Be Starters! response:	Fly Far Away!
context: Be starters\michisuu no doa tate\kowagarazu akete ne\fly far away\maiagare kanata e to\Game Set H\Be Starters!\Fly Far Away! response:	Embrace this unchanging emotion
context: michisuu no doa tate\kowagarazu akete ne\fly far away\maiagare kanata e to\Game Set H\Be Starters!\Fly Far Away!\Embrace this unchanging emotion response:	Born right now in my heart
context: kowagarazu akete ne\fly far away\maiagare kanata e to\Game Set H\Be Starters!\Fly Far Away!\Embrace this unchanging emotion\Born right now in my heart response:	And fly far away.
context: fly far away\maiagare kanata e to\Game Set H\Be Starters!\Fly Far Away!\Embrace this unchanging emotion\Born right now in my heart\And fly far away. response:	In these days without an end,
context: maiagare kanata e to\Game Set H\Be Starters!\Fly Far Away!\Embrace this unchanging emotion\Born right now in my heart\And fly far away.\In these days without an end, response:	Imagine a future you dream of.
context: Game Set H\Be Starters!\Fly Far Away!\Embrace this unchanging emotion\Born right now in my heart\And fly far away.\In these days without an end,\Imagine a future you dream of. response:	Count down, then reveal it to each other. Promise not to give up,
context: Be Starters!\Fly Far Away!\Embrace this unchanging emotion\Born right now in my heart\And fly far away.\In these days without an end,\Imagine a future you dream of.\Count down, then reveal it to each other. Promise not to give up, response:	Until that dream materializes.
context: Fly Far Away!\Embrace this unchanging emotion\Born right now in my heart\And fly far away.\In these days without an end,\Imagine a future you dream of.\Count down, then reveal it to each other. Promise not to give up,\Until that dream materializes. response:	Chase after what you want with full throttle.
context: Embrace this unchanging emotion\Born right now in my heart\And fly far away.\In these days without an end,\Imagine a future you dream of.\Count down, then reveal it to each other. Promise not to give up,\Until that dream materializes.\Chase after what you want with full throttle. response:	Together, have fun,
context: Born right now in my heart\And fly far away.\In these days without an end,\Imagine a future you dream of.\Count down, then reveal it to each other. Promise not to give up,\Until that dream materializes.\Chase after what you want with full throttle.\Together, have fun, response:	And spread wings of hope.
context: And fly far away.\In these days without an end,\Imagine a future you dream of.\Count down, then reveal it to each other. Promise not to give up,\Until that dream materializes.\Chase after what you want with full throttle.\Together, have fun,\And spread wings of hope. response:	Let's begin,
context: In these days without an end,\Imagine a future you dream of.\Count down, then reveal it to each other. Promise not to give up,\Until that dream materializes.\Chase after what you want with full throttle.\Together, have fun,\And spread wings of hope.\Let's begin, response:	So that we can call this emotion
context: Imagine a future you dream of.\Count down, then reveal it to each other. Promise not to give up,\Until that dream materializes.\Chase after what you want with full throttle.\Together, have fun,\And spread wings of hope.\Let's begin,\So that we can call this emotion response:	The one born in my heart now, courage.
context: Count down, then reveal it to each other. Promise not to give up,\Until that dream materializes.\Chase after what you want with full throttle.\Together, have fun,\And spread wings of hope.\Let's begin,\So that we can call this emotion\The one born in my heart now, courage. response:	Be starters!
