context: That's because I was too silly. response:	I thought that I shouldn't be too concerned about his past.
context: That's because I was too silly.\I thought that I shouldn't be too concerned about his past. response:	But then when I saw him recognize that woman instead of me...
context: That's because I was too silly.\I thought that I shouldn't be too concerned about his past.\But then when I saw him recognize that woman instead of me... response:	I knew then that the one on his mind isn't me, it's her.
context: That's because I was too silly.\I thought that I shouldn't be too concerned about his past.\But then when I saw him recognize that woman instead of me...\I knew then that the one on his mind isn't me, it's her. response:	I know that he loved that woman more deeply than he loves me.
context: That's because I was too silly.\I thought that I shouldn't be too concerned about his past.\But then when I saw him recognize that woman instead of me...\I knew then that the one on his mind isn't me, it's her.\I know that he loved that woman more deeply than he loves me. response:	Perhaps it was because I had my eyes covered
context: That's because I was too silly.\I thought that I shouldn't be too concerned about his past.\But then when I saw him recognize that woman instead of me...\I knew then that the one on his mind isn't me, it's her.\I know that he loved that woman more deeply than he loves me.\Perhaps it was because I had my eyes covered response:	and resembled his deceased wife that he fell for me.
context: That's because I was too silly.\I thought that I shouldn't be too concerned about his past.\But then when I saw him recognize that woman instead of me...\I knew then that the one on his mind isn't me, it's her.\I know that he loved that woman more deeply than he loves me.\Perhaps it was because I had my eyes covered\and resembled his deceased wife that he fell for me. response:	Auntie, why don't you ask the Crown Prince when he returns?
context: That's because I was too silly.\I thought that I shouldn't be too concerned about his past.\But then when I saw him recognize that woman instead of me...\I knew then that the one on his mind isn't me, it's her.\I know that he loved that woman more deeply than he loves me.\Perhaps it was because I had my eyes covered\and resembled his deceased wife that he fell for me.\Auntie, why don't you ask the Crown Prince when he returns? response:	If he really took you for a substitute, we'll break off the engagement.
context: I thought that I shouldn't be too concerned about his past.\But then when I saw him recognize that woman instead of me...\I knew then that the one on his mind isn't me, it's her.\I know that he loved that woman more deeply than he loves me.\Perhaps it was because I had my eyes covered\and resembled his deceased wife that he fell for me.\Auntie, why don't you ask the Crown Prince when he returns?\If he really took you for a substitute, we'll break off the engagement. response:	I've never seen you so upset.
context: But then when I saw him recognize that woman instead of me...\I knew then that the one on his mind isn't me, it's her.\I know that he loved that woman more deeply than he loves me.\Perhaps it was because I had my eyes covered\and resembled his deceased wife that he fell for me.\Auntie, why don't you ask the Crown Prince when he returns?\If he really took you for a substitute, we'll break off the engagement.\I've never seen you so upset. response:	Fourth Uncle said that when Mo Yuan was vanquished
context: I knew then that the one on his mind isn't me, it's her.\I know that he loved that woman more deeply than he loves me.\Perhaps it was because I had my eyes covered\and resembled his deceased wife that he fell for me.\Auntie, why don't you ask the Crown Prince when he returns?\If he really took you for a substitute, we'll break off the engagement.\I've never seen you so upset.\Fourth Uncle said that when Mo Yuan was vanquished response:	you were as good as half-dead.
context: I know that he loved that woman more deeply than he loves me.\Perhaps it was because I had my eyes covered\and resembled his deceased wife that he fell for me.\Auntie, why don't you ask the Crown Prince when he returns?\If he really took you for a substitute, we'll break off the engagement.\I've never seen you so upset.\Fourth Uncle said that when Mo Yuan was vanquished\you were as good as half-dead. response:	But you seem even worse than that today.
context: Perhaps it was because I had my eyes covered\and resembled his deceased wife that he fell for me.\Auntie, why don't you ask the Crown Prince when he returns?\If he really took you for a substitute, we'll break off the engagement.\I've never seen you so upset.\Fourth Uncle said that when Mo Yuan was vanquished\you were as good as half-dead.\But you seem even worse than that today. response:	I can't bear to see you like this.
context: and resembled his deceased wife that he fell for me.\Auntie, why don't you ask the Crown Prince when he returns?\If he really took you for a substitute, we'll break off the engagement.\I've never seen you so upset.\Fourth Uncle said that when Mo Yuan was vanquished\you were as good as half-dead.\But you seem even worse than that today.\I can't bear to see you like this. response:	That's enough.
context: Auntie, why don't you ask the Crown Prince when he returns?\If he really took you for a substitute, we'll break off the engagement.\I've never seen you so upset.\Fourth Uncle said that when Mo Yuan was vanquished\you were as good as half-dead.\But you seem even worse than that today.\I can't bear to see you like this.\That's enough. response:	I'd like to be left alone.
context: If he really took you for a substitute, we'll break off the engagement.\I've never seen you so upset.\Fourth Uncle said that when Mo Yuan was vanquished\you were as good as half-dead.\But you seem even worse than that today.\I can't bear to see you like this.\That's enough.\I'd like to be left alone. response:	Auntie, you really don't want me to keep you company?
context: I've never seen you so upset.\Fourth Uncle said that when Mo Yuan was vanquished\you were as good as half-dead.\But you seem even worse than that today.\I can't bear to see you like this.\That's enough.\I'd like to be left alone.\Auntie, you really don't want me to keep you company? response:	We could just chat.
context: Fourth Uncle said that when Mo Yuan was vanquished\you were as good as half-dead.\But you seem even worse than that today.\I can't bear to see you like this.\That's enough.\I'd like to be left alone.\Auntie, you really don't want me to keep you company?\We could just chat. response:	That's enough. Don't say another word!
context: you were as good as half-dead.\But you seem even worse than that today.\I can't bear to see you like this.\That's enough.\I'd like to be left alone.\Auntie, you really don't want me to keep you company?\We could just chat.\That's enough. Don't say another word! response:	I'm just trapped in my own thoughts so I'm hard on myself.
context: But you seem even worse than that today.\I can't bear to see you like this.\That's enough.\I'd like to be left alone.\Auntie, you really don't want me to keep you company?\We could just chat.\That's enough. Don't say another word!\I'm just trapped in my own thoughts so I'm hard on myself. response:	Auntie, for the sake of Qing Qiu, you must take care of yourself.
context: I can't bear to see you like this.\That's enough.\I'd like to be left alone.\Auntie, you really don't want me to keep you company?\We could just chat.\That's enough. Don't say another word!\I'm just trapped in my own thoughts so I'm hard on myself.\Auntie, for the sake of Qing Qiu, you must take care of yourself. response:	For the sake of Qing Qiu?
context: That's enough.\I'd like to be left alone.\Auntie, you really don't want me to keep you company?\We could just chat.\That's enough. Don't say another word!\I'm just trapped in my own thoughts so I'm hard on myself.\Auntie, for the sake of Qing Qiu, you must take care of yourself.\For the sake of Qing Qiu? response:	Yes...
context: I'd like to be left alone.\Auntie, you really don't want me to keep you company?\We could just chat.\That's enough. Don't say another word!\I'm just trapped in my own thoughts so I'm hard on myself.\Auntie, for the sake of Qing Qiu, you must take care of yourself.\For the sake of Qing Qiu?\Yes... response:	If I break this engagement off...
context: Auntie, you really don't want me to keep you company?\We could just chat.\That's enough. Don't say another word!\I'm just trapped in my own thoughts so I'm hard on myself.\Auntie, for the sake of Qing Qiu, you must take care of yourself.\For the sake of Qing Qiu?\Yes...\If I break this engagement off... response:	all I can do is return to Qing Qiu as the Queen.
context: We could just chat.\That's enough. Don't say another word!\I'm just trapped in my own thoughts so I'm hard on myself.\Auntie, for the sake of Qing Qiu, you must take care of yourself.\For the sake of Qing Qiu?\Yes...\If I break this engagement off...\all I can do is return to Qing Qiu as the Queen. response:	Leave now.
context: That's enough. Don't say another word!\I'm just trapped in my own thoughts so I'm hard on myself.\Auntie, for the sake of Qing Qiu, you must take care of yourself.\For the sake of Qing Qiu?\Yes...\If I break this engagement off...\all I can do is return to Qing Qiu as the Queen.\Leave now. response:	Yes.
context: I'm just trapped in my own thoughts so I'm hard on myself.\Auntie, for the sake of Qing Qiu, you must take care of yourself.\For the sake of Qing Qiu?\Yes...\If I break this engagement off...\all I can do is return to Qing Qiu as the Queen.\Leave now.\Yes. response:	Why is the light so strong...
context: Auntie, for the sake of Qing Qiu, you must take care of yourself.\For the sake of Qing Qiu?\Yes...\If I break this engagement off...\all I can do is return to Qing Qiu as the Queen.\Leave now.\Yes.\Why is the light so strong... response:	I don't believe that I can't put your light out.
context: For the sake of Qing Qiu?\Yes...\If I break this engagement off...\all I can do is return to Qing Qiu as the Queen.\Leave now.\Yes.\Why is the light so strong...\I don't believe that I can't put your light out. response:	Since we've made our vows to the Lakes of the Far East
context: Yes...\If I break this engagement off...\all I can do is return to Qing Qiu as the Queen.\Leave now.\Yes.\Why is the light so strong...\I don't believe that I can't put your light out.\Since we've made our vows to the Lakes of the Far East response:	we have to stay as a married couple for life.
context: If I break this engagement off...\all I can do is return to Qing Qiu as the Queen.\Leave now.\Yes.\Why is the light so strong...\I don't believe that I can't put your light out.\Since we've made our vows to the Lakes of the Far East\we have to stay as a married couple for life. response:	Ye Hua!
context: all I can do is return to Qing Qiu as the Queen.\Leave now.\Yes.\Why is the light so strong...\I don't believe that I can't put your light out.\Since we've made our vows to the Lakes of the Far East\we have to stay as a married couple for life.\Ye Hua! response:	The Nine Heavens is not a place for a woman like you!
context: Leave now.\Yes.\Why is the light so strong...\I don't believe that I can't put your light out.\Since we've made our vows to the Lakes of the Far East\we have to stay as a married couple for life.\Ye Hua!\The Nine Heavens is not a place for a woman like you! response:	Just jump off Zhuxian Terrace and go back to where you came from.
context: Yes.\Why is the light so strong...\I don't believe that I can't put your light out.\Since we've made our vows to the Lakes of the Far East\we have to stay as a married couple for life.\Ye Hua!\The Nine Heavens is not a place for a woman like you!\Just jump off Zhuxian Terrace and go back to where you came from. response:	Ye Hua, believe me. I didn't push her!
context: Why is the light so strong...\I don't believe that I can't put your light out.\Since we've made our vows to the Lakes of the Far East\we have to stay as a married couple for life.\Ye Hua!\The Nine Heavens is not a place for a woman like you!\Just jump off Zhuxian Terrace and go back to where you came from.\Ye Hua, believe me. I didn't push her! response:	- I didn't push her! - Su Su...
context: I don't believe that I can't put your light out.\Since we've made our vows to the Lakes of the Far East\we have to stay as a married couple for life.\Ye Hua!\The Nine Heavens is not a place for a woman like you!\Just jump off Zhuxian Terrace and go back to where you came from.\Ye Hua, believe me. I didn't push her!\- I didn't push her! - Su Su... response:	I couldn't protect you.
context: Since we've made our vows to the Lakes of the Far East\we have to stay as a married couple for life.\Ye Hua!\The Nine Heavens is not a place for a woman like you!\Just jump off Zhuxian Terrace and go back to where you came from.\Ye Hua, believe me. I didn't push her!\- I didn't push her! - Su Su...\I couldn't protect you. response:	I'll marry you and be your eyes from now on.
context: we have to stay as a married couple for life.\Ye Hua!\The Nine Heavens is not a place for a woman like you!\Just jump off Zhuxian Terrace and go back to where you came from.\Ye Hua, believe me. I didn't push her!\- I didn't push her! - Su Su...\I couldn't protect you.\I'll marry you and be your eyes from now on. response:	No... Ye Hua... I didn't do it.
context: Ye Hua!\The Nine Heavens is not a place for a woman like you!\Just jump off Zhuxian Terrace and go back to where you came from.\Ye Hua, believe me. I didn't push her!\- I didn't push her! - Su Su...\I couldn't protect you.\I'll marry you and be your eyes from now on.\No... Ye Hua... I didn't do it. response:	Why do I have to pay the price for it?
context: The Nine Heavens is not a place for a woman like you!\Just jump off Zhuxian Terrace and go back to where you came from.\Ye Hua, believe me. I didn't push her!\- I didn't push her! - Su Su...\I couldn't protect you.\I'll marry you and be your eyes from now on.\No... Ye Hua... I didn't do it.\Why do I have to pay the price for it? response:	Let me go and I'll let you go as well.
context: Just jump off Zhuxian Terrace and go back to where you came from.\Ye Hua, believe me. I didn't push her!\- I didn't push her! - Su Su...\I couldn't protect you.\I'll marry you and be your eyes from now on.\No... Ye Hua... I didn't do it.\Why do I have to pay the price for it?\Let me go and I'll let you go as well. response:	We don't owe each other anymore.
