context: December 16th, X784. Tenroujima. response:	What was that?
context: December 16th, X784. Tenroujima.\What was that? response:	Master...
context: December 16th, X784. Tenroujima.\What was that?\Master... response:	The boat is almost ready to go,
context: December 16th, X784. Tenroujima.\What was that?\Master...\The boat is almost ready to go, response:	but, um... What about Laxus?
context: December 16th, X784. Tenroujima.\What was that?\Master...\The boat is almost ready to go,\but, um... What about Laxus? response:	I have nothin' to say to him!
context: December 16th, X784. Tenroujima.\What was that?\Master...\The boat is almost ready to go,\but, um... What about Laxus?\I have nothin' to say to him! response:	I see...
context: December 16th, X784. Tenroujima.\What was that?\Master...\The boat is almost ready to go,\but, um... What about Laxus?\I have nothin' to say to him!\I see... response:	He's got balls, setting foot on the guild's sacred ground
context: December 16th, X784. Tenroujima.\What was that?\Master...\The boat is almost ready to go,\but, um... What about Laxus?\I have nothin' to say to him!\I see...\He's got balls, setting foot on the guild's sacred ground response:	without permission and while in exile...
context: What was that?\Master...\The boat is almost ready to go,\but, um... What about Laxus?\I have nothin' to say to him!\I see...\He's got balls, setting foot on the guild's sacred ground\without permission and while in exile... response:	But that's...
context: Master...\The boat is almost ready to go,\but, um... What about Laxus?\I have nothin' to say to him!\I see...\He's got balls, setting foot on the guild's sacred ground\without permission and while in exile...\But that's... response:	Yeah. I heard about his battle with Hades.
context: The boat is almost ready to go,\but, um... What about Laxus?\I have nothin' to say to him!\I see...\He's got balls, setting foot on the guild's sacred ground\without permission and while in exile...\But that's...\Yeah. I heard about his battle with Hades. response:	Seems he saved your lives by shielding you.
context: but, um... What about Laxus?\I have nothin' to say to him!\I see...\He's got balls, setting foot on the guild's sacred ground\without permission and while in exile...\But that's...\Yeah. I heard about his battle with Hades.\Seems he saved your lives by shielding you. response:	I must acknowledge his efforts.
context: I have nothin' to say to him!\I see...\He's got balls, setting foot on the guild's sacred ground\without permission and while in exile...\But that's...\Yeah. I heard about his battle with Hades.\Seems he saved your lives by shielding you.\I must acknowledge his efforts. response:	And I am grateful.
context: I see...\He's got balls, setting foot on the guild's sacred ground\without permission and while in exile...\But that's...\Yeah. I heard about his battle with Hades.\Seems he saved your lives by shielding you.\I must acknowledge his efforts.\And I am grateful. response:	But still, they were the actions of a person who's unaffiliated with the guild.
context: He's got balls, setting foot on the guild's sacred ground\without permission and while in exile...\But that's...\Yeah. I heard about his battle with Hades.\Seems he saved your lives by shielding you.\I must acknowledge his efforts.\And I am grateful.\But still, they were the actions of a person who's unaffiliated with the guild. response:	That's a harsh judgment.
context: without permission and while in exile...\But that's...\Yeah. I heard about his battle with Hades.\Seems he saved your lives by shielding you.\I must acknowledge his efforts.\And I am grateful.\But still, they were the actions of a person who's unaffiliated with the guild.\That's a harsh judgment. response:	Well, sure...
context: But that's...\Yeah. I heard about his battle with Hades.\Seems he saved your lives by shielding you.\I must acknowledge his efforts.\And I am grateful.\But still, they were the actions of a person who's unaffiliated with the guild.\That's a harsh judgment.\Well, sure... response:	That's how he's protected the guild all these years.
context: Yeah. I heard about his battle with Hades.\Seems he saved your lives by shielding you.\I must acknowledge his efforts.\And I am grateful.\But still, they were the actions of a person who's unaffiliated with the guild.\That's a harsh judgment.\Well, sure...\That's how he's protected the guild all these years. response:	I just lent a hand here.
context: Seems he saved your lives by shielding you.\I must acknowledge his efforts.\And I am grateful.\But still, they were the actions of a person who's unaffiliated with the guild.\That's a harsh judgment.\Well, sure...\That's how he's protected the guild all these years.\I just lent a hand here. response:	I got no other purpose.
context: I must acknowledge his efforts.\And I am grateful.\But still, they were the actions of a person who's unaffiliated with the guild.\That's a harsh judgment.\Well, sure...\That's how he's protected the guild all these years.\I just lent a hand here.\I got no other purpose. response:	Laxus...
context: And I am grateful.\But still, they were the actions of a person who's unaffiliated with the guild.\That's a harsh judgment.\Well, sure...\That's how he's protected the guild all these years.\I just lent a hand here.\I got no other purpose.\Laxus... response:	Don't worry about me.
context: But still, they were the actions of a person who's unaffiliated with the guild.\That's a harsh judgment.\Well, sure...\That's how he's protected the guild all these years.\I just lent a hand here.\I got no other purpose.\Laxus...\Don't worry about me. response:	I was traveling in the area and only dropped by on a whim.
context: That's a harsh judgment.\Well, sure...\That's how he's protected the guild all these years.\I just lent a hand here.\I got no other purpose.\Laxus...\Don't worry about me.\I was traveling in the area and only dropped by on a whim. response:	I never intended to stay long.
context: Well, sure...\That's how he's protected the guild all these years.\I just lent a hand here.\I got no other purpose.\Laxus...\Don't worry about me.\I was traveling in the area and only dropped by on a whim.\I never intended to stay long. response:	Hey, Old Man!
context: That's how he's protected the guild all these years.\I just lent a hand here.\I got no other purpose.\Laxus...\Don't worry about me.\I was traveling in the area and only dropped by on a whim.\I never intended to stay long.\Hey, Old Man! response:	There it is. That face...
context: I just lent a hand here.\I got no other purpose.\Laxus...\Don't worry about me.\I was traveling in the area and only dropped by on a whim.\I never intended to stay long.\Hey, Old Man!\There it is. That face... response:	I think I had to see that disapproving look one last time.
context: I got no other purpose.\Laxus...\Don't worry about me.\I was traveling in the area and only dropped by on a whim.\I never intended to stay long.\Hey, Old Man!\There it is. That face...\I think I had to see that disapproving look one last time. response:	Well, I'll be going...
context: Laxus...\Don't worry about me.\I was traveling in the area and only dropped by on a whim.\I never intended to stay long.\Hey, Old Man!\There it is. That face...\I think I had to see that disapproving look one last time.\Well, I'll be going... response:	Laxus!
context: Don't worry about me.\I was traveling in the area and only dropped by on a whim.\I never intended to stay long.\Hey, Old Man!\There it is. That face...\I think I had to see that disapproving look one last time.\Well, I'll be going...\Laxus! response:	What is it? What's wrong?
context: I was traveling in the area and only dropped by on a whim.\I never intended to stay long.\Hey, Old Man!\There it is. That face...\I think I had to see that disapproving look one last time.\Well, I'll be going...\Laxus!\What is it? What's wrong? response:	This feeling...
context: I never intended to stay long.\Hey, Old Man!\There it is. That face...\I think I had to see that disapproving look one last time.\Well, I'll be going...\Laxus!\What is it? What's wrong?\This feeling... response:	I wonder what it is...
context: Hey, Old Man!\There it is. That face...\I think I had to see that disapproving look one last time.\Well, I'll be going...\Laxus!\What is it? What's wrong?\This feeling...\I wonder what it is... response:	This is a weird wind. And it reeks...
context: There it is. That face...\I think I had to see that disapproving look one last time.\Well, I'll be going...\Laxus!\What is it? What's wrong?\This feeling...\I wonder what it is...\This is a weird wind. And it reeks... response:	I know! Got just the thing!
context: I think I had to see that disapproving look one last time.\Well, I'll be going...\Laxus!\What is it? What's wrong?\This feeling...\I wonder what it is...\This is a weird wind. And it reeks...\I know! Got just the thing! response:	Here Lucy, you can eat this.
context: Well, I'll be going...\Laxus!\What is it? What's wrong?\This feeling...\I wonder what it is...\This is a weird wind. And it reeks...\I know! Got just the thing!\Here Lucy, you can eat this. response:	Huh?! What'd you pull that out for?!
context: Laxus!\What is it? What's wrong?\This feeling...\I wonder what it is...\This is a weird wind. And it reeks...\I know! Got just the thing!\Here Lucy, you can eat this.\Huh?! What'd you pull that out for?! response:	Hold Hands!
context: What is it? What's wrong?\This feeling...\I wonder what it is...\This is a weird wind. And it reeks...\I know! Got just the thing!\Here Lucy, you can eat this.\Huh?! What'd you pull that out for?!\Hold Hands! response:	What is that?!
context: This feeling...\I wonder what it is...\This is a weird wind. And it reeks...\I know! Got just the thing!\Here Lucy, you can eat this.\Huh?! What'd you pull that out for?!\Hold Hands!\What is that?! response:	Probably just Lucy's stomach...
