context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	You should understand by seeing my ears and tail
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You should understand by seeing my ears and tail response:	what an amazing wolf I am.
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You should understand by seeing my ears and tail\what an amazing wolf I am. response:	My ears can overhear incoming disasters,
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You should understand by seeing my ears and tail\what an amazing wolf I am.\My ears can overhear incoming disasters, response:	and differentiate between lies and truth.
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You should understand by seeing my ears and tail\what an amazing wolf I am.\My ears can overhear incoming disasters,\and differentiate between lies and truth. response:	I have saved many of my companions from peril.
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You should understand by seeing my ears and tail\what an amazing wolf I am.\My ears can overhear incoming disasters,\and differentiate between lies and truth.\I have saved many of my companions from peril. response:	When people speak of Horo the Wise...
context: A shivering night,\or the ends of the Earth, let's go and see it.\You should understand by seeing my ears and tail\what an amazing wolf I am.\My ears can overhear incoming disasters,\and differentiate between lies and truth.\I have saved many of my companions from peril.\When people speak of Horo the Wise... response:	It is none other than myself!
context: or the ends of the Earth, let's go and see it.\You should understand by seeing my ears and tail\what an amazing wolf I am.\My ears can overhear incoming disasters,\and differentiate between lies and truth.\I have saved many of my companions from peril.\When people speak of Horo the Wise...\It is none other than myself! response:	There are still some fleas in here.
context: You should understand by seeing my ears and tail\what an amazing wolf I am.\My ears can overhear incoming disasters,\and differentiate between lies and truth.\I have saved many of my companions from peril.\When people speak of Horo the Wise...\It is none other than myself!\There are still some fleas in here. response:	Well, yeah.
context: what an amazing wolf I am.\My ears can overhear incoming disasters,\and differentiate between lies and truth.\I have saved many of my companions from peril.\When people speak of Horo the Wise...\It is none other than myself!\There are still some fleas in here.\Well, yeah. response:	Your fur is of the highest grade.
context: My ears can overhear incoming disasters,\and differentiate between lies and truth.\I have saved many of my companions from peril.\When people speak of Horo the Wise...\It is none other than myself!\There are still some fleas in here.\Well, yeah.\Your fur is of the highest grade. response:	You have good judgment if you can see the greatness of my tail.
context: and differentiate between lies and truth.\I have saved many of my companions from peril.\When people speak of Horo the Wise...\It is none other than myself!\There are still some fleas in here.\Well, yeah.\Your fur is of the highest grade.\You have good judgment if you can see the greatness of my tail. response:	Well, I guess.
context: I have saved many of my companions from peril.\When people speak of Horo the Wise...\It is none other than myself!\There are still some fleas in here.\Well, yeah.\Your fur is of the highest grade.\You have good judgment if you can see the greatness of my tail.\Well, I guess. response:	You'll soon be clean, too.
context: When people speak of Horo the Wise...\It is none other than myself!\There are still some fleas in here.\Well, yeah.\Your fur is of the highest grade.\You have good judgment if you can see the greatness of my tail.\Well, I guess.\You'll soon be clean, too. response:	Starting from the top of your scalp.
context: It is none other than myself!\There are still some fleas in here.\Well, yeah.\Your fur is of the highest grade.\You have good judgment if you can see the greatness of my tail.\Well, I guess.\You'll soon be clean, too.\Starting from the top of your scalp. response:	Wolf and Distant Past
context: There are still some fleas in here.\Well, yeah.\Your fur is of the highest grade.\You have good judgment if you can see the greatness of my tail.\Well, I guess.\You'll soon be clean, too.\Starting from the top of your scalp.\Wolf and Distant Past response:	Let us thank God for this encounter today.
context: Well, yeah.\Your fur is of the highest grade.\You have good judgment if you can see the greatness of my tail.\Well, I guess.\You'll soon be clean, too.\Starting from the top of your scalp.\Wolf and Distant Past\Let us thank God for this encounter today. response:	Forgive me, but who is this person?
context: Your fur is of the highest grade.\You have good judgment if you can see the greatness of my tail.\Well, I guess.\You'll soon be clean, too.\Starting from the top of your scalp.\Wolf and Distant Past\Let us thank God for this encounter today.\Forgive me, but who is this person? response:	This is my wife. She has some burns on her face.
context: You have good judgment if you can see the greatness of my tail.\Well, I guess.\You'll soon be clean, too.\Starting from the top of your scalp.\Wolf and Distant Past\Let us thank God for this encounter today.\Forgive me, but who is this person?\This is my wife. She has some burns on her face. response:	Is that so?
context: Well, I guess.\You'll soon be clean, too.\Starting from the top of your scalp.\Wolf and Distant Past\Let us thank God for this encounter today.\Forgive me, but who is this person?\This is my wife. She has some burns on her face.\Is that so? response:	I'll come see you after I have a look at our soaked luggage.
context: You'll soon be clean, too.\Starting from the top of your scalp.\Wolf and Distant Past\Let us thank God for this encounter today.\Forgive me, but who is this person?\This is my wife. She has some burns on her face.\Is that so?\I'll come see you after I have a look at our soaked luggage. response:	We're quite soaked, aren't we?
