context: Burnt Field (Part 1) response:	Um...
context: Burnt Field (Part 1)\Um... response:	Uh...
context: Burnt Field (Part 1)\Um...\Uh... response:	I mean, what in the...
context: Burnt Field (Part 1)\Um...\Uh...\I mean, what in the... response:	KISHOU CHAMPIONSHIP Various Receptions Planned
context: Burnt Field (Part 1)\Um...\Uh...\I mean, what in the...\KISHOU CHAMPIONSHIP Various Receptions Planned response:	The Babbling Stream Inn Seiryuuen
context: Burnt Field (Part 1)\Um...\Uh...\I mean, what in the...\KISHOU CHAMPIONSHIP Various Receptions Planned\The Babbling Stream Inn Seiryuuen response:	It's even worse than the previous one. I mean...
context: Burnt Field (Part 1)\Um...\Uh...\I mean, what in the...\KISHOU CHAMPIONSHIP Various Receptions Planned\The Babbling Stream Inn Seiryuuen\It's even worse than the previous one. I mean... response:	Ladies' plan includes spa services and lunch course
context: Burnt Field (Part 1)\Um...\Uh...\I mean, what in the...\KISHOU CHAMPIONSHIP Various Receptions Planned\The Babbling Stream Inn Seiryuuen\It's even worse than the previous one. I mean...\Ladies' plan includes spa services and lunch course response:	The pair of Eastern shogi princes present demonstration board commentary
context: Um...\Uh...\I mean, what in the...\KISHOU CHAMPIONSHIP Various Receptions Planned\The Babbling Stream Inn Seiryuuen\It's even worse than the previous one. I mean...\Ladies' plan includes spa services and lunch course\The pair of Eastern shogi princes present demonstration board commentary response:	Why do we have a close-up?
context: Uh...\I mean, what in the...\KISHOU CHAMPIONSHIP Various Receptions Planned\The Babbling Stream Inn Seiryuuen\It's even worse than the previous one. I mean...\Ladies' plan includes spa services and lunch course\The pair of Eastern shogi princes present demonstration board commentary\Why do we have a close-up? response:	The pair of eastern shogi princes?
context: I mean, what in the...\KISHOU CHAMPIONSHIP Various Receptions Planned\The Babbling Stream Inn Seiryuuen\It's even worse than the previous one. I mean...\Ladies' plan includes spa services and lunch course\The pair of Eastern shogi princes present demonstration board commentary\Why do we have a close-up?\The pair of eastern shogi princes? response:	KISHOU CHAMPIONSHIP
context: KISHOU CHAMPIONSHIP Various Receptions Planned\The Babbling Stream Inn Seiryuuen\It's even worse than the previous one. I mean...\Ladies' plan includes spa services and lunch course\The pair of Eastern shogi princes present demonstration board commentary\Why do we have a close-up?\The pair of eastern shogi princes?\KISHOU CHAMPIONSHIP response:	I don't know about those oval frames around you two.
context: The Babbling Stream Inn Seiryuuen\It's even worse than the previous one. I mean...\Ladies' plan includes spa services and lunch course\The pair of Eastern shogi princes present demonstration board commentary\Why do we have a close-up?\The pair of eastern shogi princes?\KISHOU CHAMPIONSHIP\I don't know about those oval frames around you two. response:	It's like photos of students who were absent on the day of the graduation album class photo.
context: It's even worse than the previous one. I mean...\Ladies' plan includes spa services and lunch course\The pair of Eastern shogi princes present demonstration board commentary\Why do we have a close-up?\The pair of eastern shogi princes?\KISHOU CHAMPIONSHIP\I don't know about those oval frames around you two.\It's like photos of students who were absent on the day of the graduation album class photo. response:	Well, they kept taking photo after photo.
context: Ladies' plan includes spa services and lunch course\The pair of Eastern shogi princes present demonstration board commentary\Why do we have a close-up?\The pair of eastern shogi princes?\KISHOU CHAMPIONSHIP\I don't know about those oval frames around you two.\It's like photos of students who were absent on the day of the graduation album class photo.\Well, they kept taking photo after photo. response:	But then it had this We're always watching you from Heaven vibe.
context: The pair of Eastern shogi princes present demonstration board commentary\Why do we have a close-up?\The pair of eastern shogi princes?\KISHOU CHAMPIONSHIP\I don't know about those oval frames around you two.\It's like photos of students who were absent on the day of the graduation album class photo.\Well, they kept taking photo after photo.\But then it had this We're always watching you from Heaven vibe. response:	So you tried it, then.
context: Why do we have a close-up?\The pair of eastern shogi princes?\KISHOU CHAMPIONSHIP\I don't know about those oval frames around you two.\It's like photos of students who were absent on the day of the graduation album class photo.\Well, they kept taking photo after photo.\But then it had this We're always watching you from Heaven vibe.\So you tried it, then. response:	It's difficult raising funds for the Kishou Championship.
context: The pair of eastern shogi princes?\KISHOU CHAMPIONSHIP\I don't know about those oval frames around you two.\It's like photos of students who were absent on the day of the graduation album class photo.\Well, they kept taking photo after photo.\But then it had this We're always watching you from Heaven vibe.\So you tried it, then.\It's difficult raising funds for the Kishou Championship. response:	I asked Nakamura, the general manager of the Shogi Association, to come up with a design.
context: KISHOU CHAMPIONSHIP\I don't know about those oval frames around you two.\It's like photos of students who were absent on the day of the graduation album class photo.\Well, they kept taking photo after photo.\But then it had this We're always watching you from Heaven vibe.\So you tried it, then.\It's difficult raising funds for the Kishou Championship.\I asked Nakamura, the general manager of the Shogi Association, to come up with a design. response:	but without spending any money, it's a tall order.
context: I don't know about those oval frames around you two.\It's like photos of students who were absent on the day of the graduation album class photo.\Well, they kept taking photo after photo.\But then it had this We're always watching you from Heaven vibe.\So you tried it, then.\It's difficult raising funds for the Kishou Championship.\I asked Nakamura, the general manager of the Shogi Association, to come up with a design.\but without spending any money, it's a tall order. response:	Yeah, I thought it'd be easy.
