context: I am disappointed, Werewolf Queen. response:	As am I, Vampire King.
context: I am disappointed, Werewolf Queen.\As am I, Vampire King. response:	You, who fought the Demon Lords and protected this land eons ago,
context: I am disappointed, Werewolf Queen.\As am I, Vampire King.\You, who fought the Demon Lords and protected this land eons ago, response:	now choose to follow such a foolish path.
context: I am disappointed, Werewolf Queen.\As am I, Vampire King.\You, who fought the Demon Lords and protected this land eons ago,\now choose to follow such a foolish path. response:	That was nothing more than desperation to survive.
context: I am disappointed, Werewolf Queen.\As am I, Vampire King.\You, who fought the Demon Lords and protected this land eons ago,\now choose to follow such a foolish path.\That was nothing more than desperation to survive. response:	And nothing has changed since then.
context: I am disappointed, Werewolf Queen.\As am I, Vampire King.\You, who fought the Demon Lords and protected this land eons ago,\now choose to follow such a foolish path.\That was nothing more than desperation to survive.\And nothing has changed since then. response:	Neither have we changed.
context: I am disappointed, Werewolf Queen.\As am I, Vampire King.\You, who fought the Demon Lords and protected this land eons ago,\now choose to follow such a foolish path.\That was nothing more than desperation to survive.\And nothing has changed since then.\Neither have we changed. response:	Just like our forebears, we will battle on until we've eradicated the Chaos.
context: I am disappointed, Werewolf Queen.\As am I, Vampire King.\You, who fought the Demon Lords and protected this land eons ago,\now choose to follow such a foolish path.\That was nothing more than desperation to survive.\And nothing has changed since then.\Neither have we changed.\Just like our forebears, we will battle on until we've eradicated the Chaos. response:	Except that I don't wish to fight anyone.
context: As am I, Vampire King.\You, who fought the Demon Lords and protected this land eons ago,\now choose to follow such a foolish path.\That was nothing more than desperation to survive.\And nothing has changed since then.\Neither have we changed.\Just like our forebears, we will battle on until we've eradicated the Chaos.\Except that I don't wish to fight anyone. response:	Neither with you, as well.
context: You, who fought the Demon Lords and protected this land eons ago,\now choose to follow such a foolish path.\That was nothing more than desperation to survive.\And nothing has changed since then.\Neither have we changed.\Just like our forebears, we will battle on until we've eradicated the Chaos.\Except that I don't wish to fight anyone.\Neither with you, as well. response:	We're done talking.
context: now choose to follow such a foolish path.\That was nothing more than desperation to survive.\And nothing has changed since then.\Neither have we changed.\Just like our forebears, we will battle on until we've eradicated the Chaos.\Except that I don't wish to fight anyone.\Neither with you, as well.\We're done talking. response:	Please wait.
context: That was nothing more than desperation to survive.\And nothing has changed since then.\Neither have we changed.\Just like our forebears, we will battle on until we've eradicated the Chaos.\Except that I don't wish to fight anyone.\Neither with you, as well.\We're done talking.\Please wait. response:	And you are?
context: And nothing has changed since then.\Neither have we changed.\Just like our forebears, we will battle on until we've eradicated the Chaos.\Except that I don't wish to fight anyone.\Neither with you, as well.\We're done talking.\Please wait.\And you are? response:	Me?
context: Neither have we changed.\Just like our forebears, we will battle on until we've eradicated the Chaos.\Except that I don't wish to fight anyone.\Neither with you, as well.\We're done talking.\Please wait.\And you are?\Me? response:	My name is Yana.
context: Just like our forebears, we will battle on until we've eradicated the Chaos.\Except that I don't wish to fight anyone.\Neither with you, as well.\We're done talking.\Please wait.\And you are?\Me?\My name is Yana. response:	She's a descendant of the Black Witch.
context: Except that I don't wish to fight anyone.\Neither with you, as well.\We're done talking.\Please wait.\And you are?\Me?\My name is Yana.\She's a descendant of the Black Witch. response:	The Black Witch...
context: Neither with you, as well.\We're done talking.\Please wait.\And you are?\Me?\My name is Yana.\She's a descendant of the Black Witch.\The Black Witch... response:	Your Majesty, I do believe you've been duped by the Mage Academy.
context: We're done talking.\Please wait.\And you are?\Me?\My name is Yana.\She's a descendant of the Black Witch.\The Black Witch...\Your Majesty, I do believe you've been duped by the Mage Academy. response:	Once harmony is restored, it will mean the end of both Crests and Art.
context: Please wait.\And you are?\Me?\My name is Yana.\She's a descendant of the Black Witch.\The Black Witch...\Your Majesty, I do believe you've been duped by the Mage Academy.\Once harmony is restored, it will mean the end of both Crests and Art. response:	As someone who's shed her own blood, I'm sure...
context: And you are?\Me?\My name is Yana.\She's a descendant of the Black Witch.\The Black Witch...\Your Majesty, I do believe you've been duped by the Mage Academy.\Once harmony is restored, it will mean the end of both Crests and Art.\As someone who's shed her own blood, I'm sure... response:	So what if I did?
context: Me?\My name is Yana.\She's a descendant of the Black Witch.\The Black Witch...\Your Majesty, I do believe you've been duped by the Mage Academy.\Once harmony is restored, it will mean the end of both Crests and Art.\As someone who's shed her own blood, I'm sure...\So what if I did? response:	If it means leaving a peaceful world to my children,
context: My name is Yana.\She's a descendant of the Black Witch.\The Black Witch...\Your Majesty, I do believe you've been duped by the Mage Academy.\Once harmony is restored, it will mean the end of both Crests and Art.\As someone who's shed her own blood, I'm sure...\So what if I did?\If it means leaving a peaceful world to my children, response:	I'll gladly relinquish my powers.
context: She's a descendant of the Black Witch.\The Black Witch...\Your Majesty, I do believe you've been duped by the Mage Academy.\Once harmony is restored, it will mean the end of both Crests and Art.\As someone who's shed her own blood, I'm sure...\So what if I did?\If it means leaving a peaceful world to my children,\I'll gladly relinquish my powers. response:	Huh?
context: The Black Witch...\Your Majesty, I do believe you've been duped by the Mage Academy.\Once harmony is restored, it will mean the end of both Crests and Art.\As someone who's shed her own blood, I'm sure...\So what if I did?\If it means leaving a peaceful world to my children,\I'll gladly relinquish my powers.\Huh? response:	Oh, please! Such lip service!
context: Your Majesty, I do believe you've been duped by the Mage Academy.\Once harmony is restored, it will mean the end of both Crests and Art.\As someone who's shed her own blood, I'm sure...\So what if I did?\If it means leaving a peaceful world to my children,\I'll gladly relinquish my powers.\Huh?\Oh, please! Such lip service! response:	Listen...
context: Once harmony is restored, it will mean the end of both Crests and Art.\As someone who's shed her own blood, I'm sure...\So what if I did?\If it means leaving a peaceful world to my children,\I'll gladly relinquish my powers.\Huh?\Oh, please! Such lip service!\Listen... response:	That faux-wolf will surely attack soon.
