context: Aye, sir! response:	We came to my homeland, Edolas!
context: Aye, sir!\We came to my homeland, Edolas! response:	It's totally different than Earthland, the world we come from...
context: Aye, sir!\We came to my homeland, Edolas!\It's totally different than Earthland, the world we come from... response:	In this world, cats have a higher status than humans!
context: Aye, sir!\We came to my homeland, Edolas!\It's totally different than Earthland, the world we come from...\In this world, cats have a higher status than humans! response:	Which means I'm more important than you, Natsu!
context: Aye, sir!\We came to my homeland, Edolas!\It's totally different than Earthland, the world we come from...\In this world, cats have a higher status than humans!\Which means I'm more important than you, Natsu! response:	Uh, can we get back to the main gist, Happy?
context: Aye, sir!\We came to my homeland, Edolas!\It's totally different than Earthland, the world we come from...\In this world, cats have a higher status than humans!\Which means I'm more important than you, Natsu!\Uh, can we get back to the main gist, Happy? response:	That's Happy- senpai to you, bub.
context: Aye, sir!\We came to my homeland, Edolas!\It's totally different than Earthland, the world we come from...\In this world, cats have a higher status than humans!\Which means I'm more important than you, Natsu!\Uh, can we get back to the main gist, Happy?\That's Happy- senpai to you, bub. response:	W-What?
context: Aye, sir!\We came to my homeland, Edolas!\It's totally different than Earthland, the world we come from...\In this world, cats have a higher status than humans!\Which means I'm more important than you, Natsu!\Uh, can we get back to the main gist, Happy?\That's Happy- senpai to you, bub.\W-What? response:	There's another...
context: We came to my homeland, Edolas!\It's totally different than Earthland, the world we come from...\In this world, cats have a higher status than humans!\Which means I'm more important than you, Natsu!\Uh, can we get back to the main gist, Happy?\That's Happy- senpai to you, bub.\W-What?\There's another... response:	Erza!
context: It's totally different than Earthland, the world we come from...\In this world, cats have a higher status than humans!\Which means I'm more important than you, Natsu!\Uh, can we get back to the main gist, Happy?\That's Happy- senpai to you, bub.\W-What?\There's another...\Erza! response:	Gray!
context: In this world, cats have a higher status than humans!\Which means I'm more important than you, Natsu!\Uh, can we get back to the main gist, Happy?\That's Happy- senpai to you, bub.\W-What?\There's another...\Erza!\Gray! response:	Is that Gray Soluge?
context: Which means I'm more important than you, Natsu!\Uh, can we get back to the main gist, Happy?\That's Happy- senpai to you, bub.\W-What?\There's another...\Erza!\Gray!\Is that Gray Soluge? response:	No... It's the Earthland one!
context: Uh, can we get back to the main gist, Happy?\That's Happy- senpai to you, bub.\W-What?\There's another...\Erza!\Gray!\Is that Gray Soluge?\No... It's the Earthland one! response:	Where are our friends?
context: That's Happy- senpai to you, bub.\W-What?\There's another...\Erza!\Gray!\Is that Gray Soluge?\No... It's the Earthland one!\Where are our friends? response:	Where are the others you turned into a lacrima, huh?!
context: W-What?\There's another...\Erza!\Gray!\Is that Gray Soluge?\No... It's the Earthland one!\Where are our friends?\Where are the others you turned into a lacrima, huh?! response:	Erza vs. Erza!
context: There's another...\Erza!\Gray!\Is that Gray Soluge?\No... It's the Earthland one!\Where are our friends?\Where are the others you turned into a lacrima, huh?!\Erza vs. Erza! response:	Erza vs. Erza?!
context: Erza!\Gray!\Is that Gray Soluge?\No... It's the Earthland one!\Where are our friends?\Where are the others you turned into a lacrima, huh?!\Erza vs. Erza!\Erza vs. Erza?! response:	You bastard! You aren't going to get away with this!
context: Gray!\Is that Gray Soluge?\No... It's the Earthland one!\Where are our friends?\Where are the others you turned into a lacrima, huh?!\Erza vs. Erza!\Erza vs. Erza?!\You bastard! You aren't going to get away with this! response:	I'm gonna whup you good!
context: Is that Gray Soluge?\No... It's the Earthland one!\Where are our friends?\Where are the others you turned into a lacrima, huh?!\Erza vs. Erza!\Erza vs. Erza?!\You bastard! You aren't going to get away with this!\I'm gonna whup you good! response:	That's Natsu's voice!
context: No... It's the Earthland one!\Where are our friends?\Where are the others you turned into a lacrima, huh?!\Erza vs. Erza!\Erza vs. Erza?!\You bastard! You aren't going to get away with this!\I'm gonna whup you good!\That's Natsu's voice! response:	He's near here?
context: Where are our friends?\Where are the others you turned into a lacrima, huh?!\Erza vs. Erza!\Erza vs. Erza?!\You bastard! You aren't going to get away with this!\I'm gonna whup you good!\That's Natsu's voice!\He's near here? response:	I bet he's up ahead!
context: Where are the others you turned into a lacrima, huh?!\Erza vs. Erza!\Erza vs. Erza?!\You bastard! You aren't going to get away with this!\I'm gonna whup you good!\That's Natsu's voice!\He's near here?\I bet he's up ahead! response:	Wendy should be with him!
context: Erza vs. Erza!\Erza vs. Erza?!\You bastard! You aren't going to get away with this!\I'm gonna whup you good!\That's Natsu's voice!\He's near here?\I bet he's up ahead!\Wendy should be with him! response:	Gray, go on ahead!
context: Erza vs. Erza?!\You bastard! You aren't going to get away with this!\I'm gonna whup you good!\That's Natsu's voice!\He's near here?\I bet he's up ahead!\Wendy should be with him!\Gray, go on ahead! response:	Right!
