context: Figure skating is the beautiful winter sport everyone loves! response:	How dare you use it as a weapon to hurt an innocent girl?!
context: Figure skating is the beautiful winter sport everyone loves!\How dare you use it as a weapon to hurt an innocent girl?! response:	It's totally unforgivable!
context: Figure skating is the beautiful winter sport everyone loves!\How dare you use it as a weapon to hurt an innocent girl?!\It's totally unforgivable! response:	In the name of my favorite skaters, Katarina Witt and Midori Ito,
context: Figure skating is the beautiful winter sport everyone loves!\How dare you use it as a weapon to hurt an innocent girl?!\It's totally unforgivable!\In the name of my favorite skaters, Katarina Witt and Midori Ito, response:	Sailor Moon is gonna punish you, okay?!
context: Figure skating is the beautiful winter sport everyone loves!\How dare you use it as a weapon to hurt an innocent girl?!\It's totally unforgivable!\In the name of my favorite skaters, Katarina Witt and Midori Ito,\Sailor Moon is gonna punish you, okay?! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Figure skating is the beautiful winter sport everyone loves!\How dare you use it as a weapon to hurt an innocent girl?!\It's totally unforgivable!\In the name of my favorite skaters, Katarina Witt and Midori Ito,\Sailor Moon is gonna punish you, okay?!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Figure skating is the beautiful winter sport everyone loves!\How dare you use it as a weapon to hurt an innocent girl?!\It's totally unforgivable!\In the name of my favorite skaters, Katarina Witt and Midori Ito,\Sailor Moon is gonna punish you, okay?!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: Figure skating is the beautiful winter sport everyone loves!\How dare you use it as a weapon to hurt an innocent girl?!\It's totally unforgivable!\In the name of my favorite skaters, Katarina Witt and Midori Ito,\Sailor Moon is gonna punish you, okay?!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: How dare you use it as a weapon to hurt an innocent girl?!\It's totally unforgivable!\In the name of my favorite skaters, Katarina Witt and Midori Ito,\Sailor Moon is gonna punish you, okay?!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: It's totally unforgivable!\In the name of my favorite skaters, Katarina Witt and Midori Ito,\Sailor Moon is gonna punish you, okay?!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: In the name of my favorite skaters, Katarina Witt and Midori Ito,\Sailor Moon is gonna punish you, okay?!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
