context: Today, we'll be cooking with oil' response:	'so everyone, put on your gear, and let's work hard, alright?
context: Today, we'll be cooking with oil'\'so everyone, put on your gear, and let's work hard, alright? response:	Enchanting Card?
context: Today, we'll be cooking with oil'\'so everyone, put on your gear, and let's work hard, alright?\Enchanting Card? response:	It's really popular now!
context: Today, we'll be cooking with oil'\'so everyone, put on your gear, and let's work hard, alright?\Enchanting Card?\It's really popular now! response:	What's this Enchanting Card?
context: Today, we'll be cooking with oil'\'so everyone, put on your gear, and let's work hard, alright?\Enchanting Card?\It's really popular now!\What's this Enchanting Card? response:	For studying,
context: Today, we'll be cooking with oil'\'so everyone, put on your gear, and let's work hard, alright?\Enchanting Card?\It's really popular now!\What's this Enchanting Card?\For studying, response:	diets, or love.
context: Today, we'll be cooking with oil'\'so everyone, put on your gear, and let's work hard, alright?\Enchanting Card?\It's really popular now!\What's this Enchanting Card?\For studying,\diets, or love. response:	There are all kinds of cards. If you have the right card,
context: Today, we'll be cooking with oil'\'so everyone, put on your gear, and let's work hard, alright?\Enchanting Card?\It's really popular now!\What's this Enchanting Card?\For studying,\diets, or love.\There are all kinds of cards. If you have the right card, response:	your wish will be granted.
context: 'so everyone, put on your gear, and let's work hard, alright?\Enchanting Card?\It's really popular now!\What's this Enchanting Card?\For studying,\diets, or love.\There are all kinds of cards. If you have the right card,\your wish will be granted. response:	They're selling them at Maki's shop.
context: Enchanting Card?\It's really popular now!\What's this Enchanting Card?\For studying,\diets, or love.\There are all kinds of cards. If you have the right card,\your wish will be granted.\They're selling them at Maki's shop. response:	I see.
context: It's really popular now!\What's this Enchanting Card?\For studying,\diets, or love.\There are all kinds of cards. If you have the right card,\your wish will be granted.\They're selling them at Maki's shop.\I see. response:	Sakura, the oil is ready.
context: What's this Enchanting Card?\For studying,\diets, or love.\There are all kinds of cards. If you have the right card,\your wish will be granted.\They're selling them at Maki's shop.\I see.\Sakura, the oil is ready. response:	Yes.
context: For studying,\diets, or love.\There are all kinds of cards. If you have the right card,\your wish will be granted.\They're selling them at Maki's shop.\I see.\Sakura, the oil is ready.\Yes. response:	Eh?
context: diets, or love.\There are all kinds of cards. If you have the right card,\your wish will be granted.\They're selling them at Maki's shop.\I see.\Sakura, the oil is ready.\Yes.\Eh? response:	Sakura, are you alright?
context: There are all kinds of cards. If you have the right card,\your wish will be granted.\They're selling them at Maki's shop.\I see.\Sakura, the oil is ready.\Yes.\Eh?\Sakura, are you alright? response:	I'm OK.
context: your wish will be granted.\They're selling them at Maki's shop.\I see.\Sakura, the oil is ready.\Yes.\Eh?\Sakura, are you alright?\I'm OK. response:	But when I look at that hot oil, I'm scared'
context: They're selling them at Maki's shop.\I see.\Sakura, the oil is ready.\Yes.\Eh?\Sakura, are you alright?\I'm OK.\But when I look at that hot oil, I'm scared' response:	If you don't put the croquette in the pot,
context: I see.\Sakura, the oil is ready.\Yes.\Eh?\Sakura, are you alright?\I'm OK.\But when I look at that hot oil, I'm scared'\If you don't put the croquette in the pot, response:	it won't cook.
context: Sakura, the oil is ready.\Yes.\Eh?\Sakura, are you alright?\I'm OK.\But when I look at that hot oil, I'm scared'\If you don't put the croquette in the pot,\it won't cook. response:	I wonder if I can do it'
context: Yes.\Eh?\Sakura, are you alright?\I'm OK.\But when I look at that hot oil, I'm scared'\If you don't put the croquette in the pot,\it won't cook.\I wonder if I can do it' response:	Sakura.
context: Eh?\Sakura, are you alright?\I'm OK.\But when I look at that hot oil, I'm scared'\If you don't put the croquette in the pot,\it won't cook.\I wonder if I can do it'\Sakura. response:	You can do it. You're good at cooking.
context: Sakura, are you alright?\I'm OK.\But when I look at that hot oil, I'm scared'\If you don't put the croquette in the pot,\it won't cook.\I wonder if I can do it'\Sakura.\You can do it. You're good at cooking. response:	I'll try it again.
context: I'm OK.\But when I look at that hot oil, I'm scared'\If you don't put the croquette in the pot,\it won't cook.\I wonder if I can do it'\Sakura.\You can do it. You're good at cooking.\I'll try it again. response:	Sakura, the pot'
context: But when I look at that hot oil, I'm scared'\If you don't put the croquette in the pot,\it won't cook.\I wonder if I can do it'\Sakura.\You can do it. You're good at cooking.\I'll try it again.\Sakura, the pot' response:	What do I do? I'm scared!
