context: It's Inuyasha! response:	That'll teach you!
context: It's Inuyasha!\That'll teach you! response:	With this in my possession...
context: It's Inuyasha!\That'll teach you!\With this in my possession... response:	I can become a real demon!
context: It's Inuyasha!\That'll teach you!\With this in my possession...\I can become a real demon! response:	Inuyasha!
context: It's Inuyasha!\That'll teach you!\With this in my possession...\I can become a real demon!\Inuyasha! response:	Ki... Kikyo!
context: It's Inuyasha!\That'll teach you!\With this in my possession...\I can become a real demon!\Inuyasha!\Ki... Kikyo! response:	Why, you!
context: It's Inuyasha!\That'll teach you!\With this in my possession...\I can become a real demon!\Inuyasha!\Ki... Kikyo!\Why, you! response:	Sister!
context: It's Inuyasha!\That'll teach you!\With this in my possession...\I can become a real demon!\Inuyasha!\Ki... Kikyo!\Why, you!\Sister! response:	Lady Kikyo!
context: That'll teach you!\With this in my possession...\I can become a real demon!\Inuyasha!\Ki... Kikyo!\Why, you!\Sister!\Lady Kikyo! response:	She's badly wounded.
context: With this in my possession...\I can become a real demon!\Inuyasha!\Ki... Kikyo!\Why, you!\Sister!\Lady Kikyo!\She's badly wounded. response:	Sister... How did you get hurt?
context: I can become a real demon!\Inuyasha!\Ki... Kikyo!\Why, you!\Sister!\Lady Kikyo!\She's badly wounded.\Sister... How did you get hurt? response:	My cowardliness...
context: Inuyasha!\Ki... Kikyo!\Why, you!\Sister!\Lady Kikyo!\She's badly wounded.\Sister... How did you get hurt?\My cowardliness... response:	has resulted in this.
context: Ki... Kikyo!\Why, you!\Sister!\Lady Kikyo!\She's badly wounded.\Sister... How did you get hurt?\My cowardliness...\has resulted in this. response:	And all for this... Jewel of the Four Souls.
context: Why, you!\Sister!\Lady Kikyo!\She's badly wounded.\Sister... How did you get hurt?\My cowardliness...\has resulted in this.\And all for this... Jewel of the Four Souls. response:	Sister, we must tend to your injury!
context: Sister!\Lady Kikyo!\She's badly wounded.\Sister... How did you get hurt?\My cowardliness...\has resulted in this.\And all for this... Jewel of the Four Souls.\Sister, we must tend to your injury! response:	I am beyond saving.
context: Lady Kikyo!\She's badly wounded.\Sister... How did you get hurt?\My cowardliness...\has resulted in this.\And all for this... Jewel of the Four Souls.\Sister, we must tend to your injury!\I am beyond saving. response:	So listen to me, Kaede.
context: She's badly wounded.\Sister... How did you get hurt?\My cowardliness...\has resulted in this.\And all for this... Jewel of the Four Souls.\Sister, we must tend to your injury!\I am beyond saving.\So listen to me, Kaede. response:	Take the Sacred Jewel... and burn it with my body.
context: Sister... How did you get hurt?\My cowardliness...\has resulted in this.\And all for this... Jewel of the Four Souls.\Sister, we must tend to your injury!\I am beyond saving.\So listen to me, Kaede.\Take the Sacred Jewel... and burn it with my body. response:	It must never get into the hands of evil-doers!
context: My cowardliness...\has resulted in this.\And all for this... Jewel of the Four Souls.\Sister, we must tend to your injury!\I am beyond saving.\So listen to me, Kaede.\Take the Sacred Jewel... and burn it with my body.\It must never get into the hands of evil-doers! response:	Sister!
context: has resulted in this.\And all for this... Jewel of the Four Souls.\Sister, we must tend to your injury!\I am beyond saving.\So listen to me, Kaede.\Take the Sacred Jewel... and burn it with my body.\It must never get into the hands of evil-doers!\Sister! response:	Sister!
context: And all for this... Jewel of the Four Souls.\Sister, we must tend to your injury!\I am beyond saving.\So listen to me, Kaede.\Take the Sacred Jewel... and burn it with my body.\It must never get into the hands of evil-doers!\Sister!\Sister! response:	The Sacred Jewel...
context: Sister, we must tend to your injury!\I am beyond saving.\So listen to me, Kaede.\Take the Sacred Jewel... and burn it with my body.\It must never get into the hands of evil-doers!\Sister!\Sister!\The Sacred Jewel... response:	I will take it with me to the other world.
context: I am beyond saving.\So listen to me, Kaede.\Take the Sacred Jewel... and burn it with my body.\It must never get into the hands of evil-doers!\Sister!\Sister!\The Sacred Jewel...\I will take it with me to the other world. response:	A sacred jewel?
context: So listen to me, Kaede.\Take the Sacred Jewel... and burn it with my body.\It must never get into the hands of evil-doers!\Sister!\Sister!\The Sacred Jewel...\I will take it with me to the other world.\A sacred jewel? response:	Yes!
context: Take the Sacred Jewel... and burn it with my body.\It must never get into the hands of evil-doers!\Sister!\Sister!\The Sacred Jewel...\I will take it with me to the other world.\A sacred jewel?\Yes! response:	This jewel will bring happiness and prosperity without fail!
context: It must never get into the hands of evil-doers!\Sister!\Sister!\The Sacred Jewel...\I will take it with me to the other world.\A sacred jewel?\Yes!\This jewel will bring happiness and prosperity without fail! response:	You're selling this marble thing? Keychain charms are out of style!
context: Sister!\Sister!\The Sacred Jewel...\I will take it with me to the other world.\A sacred jewel?\Yes!\This jewel will bring happiness and prosperity without fail!\You're selling this marble thing? Keychain charms are out of style! response:	It's no ordinary keychain!
context: Sister!\The Sacred Jewel...\I will take it with me to the other world.\A sacred jewel?\Yes!\This jewel will bring happiness and prosperity without fail!\You're selling this marble thing? Keychain charms are out of style!\It's no ordinary keychain! response:	The ball at the end is the Sacred Jewel...
context: The Sacred Jewel...\I will take it with me to the other world.\A sacred jewel?\Yes!\This jewel will bring happiness and prosperity without fail!\You're selling this marble thing? Keychain charms are out of style!\It's no ordinary keychain!\The ball at the end is the Sacred Jewel... response:	This shrine's... Huh?
context: I will take it with me to the other world.\A sacred jewel?\Yes!\This jewel will bring happiness and prosperity without fail!\You're selling this marble thing? Keychain charms are out of style!\It's no ordinary keychain!\The ball at the end is the Sacred Jewel...\This shrine's... Huh? response:	Now heed this, Kagome.
context: A sacred jewel?\Yes!\This jewel will bring happiness and prosperity without fail!\You're selling this marble thing? Keychain charms are out of style!\It's no ordinary keychain!\The ball at the end is the Sacred Jewel...\This shrine's... Huh?\Now heed this, Kagome. response:	The origin of this shrine's Sacred Jewel...
context: Yes!\This jewel will bring happiness and prosperity without fail!\You're selling this marble thing? Keychain charms are out of style!\It's no ordinary keychain!\The ball at the end is the Sacred Jewel...\This shrine's... Huh?\Now heed this, Kagome.\The origin of this shrine's Sacred Jewel... response:	Huh?
context: This jewel will bring happiness and prosperity without fail!\You're selling this marble thing? Keychain charms are out of style!\It's no ordinary keychain!\The ball at the end is the Sacred Jewel...\This shrine's... Huh?\Now heed this, Kagome.\The origin of this shrine's Sacred Jewel...\Huh? response:	The origin of this Sacred Jewel is...
context: You're selling this marble thing? Keychain charms are out of style!\It's no ordinary keychain!\The ball at the end is the Sacred Jewel...\This shrine's... Huh?\Now heed this, Kagome.\The origin of this shrine's Sacred Jewel...\Huh?\The origin of this Sacred Jewel is... response:	Hey Gramps! Remember what day tomorrow is?
context: It's no ordinary keychain!\The ball at the end is the Sacred Jewel...\This shrine's... Huh?\Now heed this, Kagome.\The origin of this shrine's Sacred Jewel...\Huh?\The origin of this Sacred Jewel is...\Hey Gramps! Remember what day tomorrow is? response:	Oh, how could I forget my dear granddaughter's birthday?
context: The ball at the end is the Sacred Jewel...\This shrine's... Huh?\Now heed this, Kagome.\The origin of this shrine's Sacred Jewel...\Huh?\The origin of this Sacred Jewel is...\Hey Gramps! Remember what day tomorrow is?\Oh, how could I forget my dear granddaughter's birthday? response:	A present for me?!
