context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	The U.A. sports festival is drawing near.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near. response:	Joining a famous hero agency will get you more experience and popularity.
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Joining a famous hero agency will get you more experience and popularity. response:	The U.A. sports festival is something pro heroes-
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Joining a famous hero agency will get you more experience and popularity.\The U.A. sports festival is something pro heroes- response:	no, the whole country-is watching closely. A big event!
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Joining a famous hero agency will get you more experience and popularity.\The U.A. sports festival is something pro heroes-\no, the whole country-is watching closely. A big event! response:	That is what I brought you here to talk about!
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Joining a famous hero agency will get you more experience and popularity.\The U.A. sports festival is something pro heroes-\no, the whole country-is watching closely. A big event!\That is what I brought you here to talk about! response:	The next All Might... the fledgling Symbol of Peace...
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Joining a famous hero agency will get you more experience and popularity.\The U.A. sports festival is something pro heroes-\no, the whole country-is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... the fledgling Symbol of Peace... response:	Izuku Midoriya.
context: Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Joining a famous hero agency will get you more experience and popularity.\The U.A. sports festival is something pro heroes-\no, the whole country-is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... the fledgling Symbol of Peace...\Izuku Midoriya. response:	I want you to tell the world I am here!
context: The U.A. sports festival is drawing near.\Joining a famous hero agency will get you more experience and popularity.\The U.A. sports festival is something pro heroes-\no, the whole country-is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... the fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here! response:	The sports festival first-year stage qualifier,
context: Joining a famous hero agency will get you more experience and popularity.\The U.A. sports festival is something pro heroes-\no, the whole country-is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... the fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\The sports festival first-year stage qualifier, response:	an obstacle course race!
context: The U.A. sports festival is something pro heroes-\no, the whole country-is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... the fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\The sports festival first-year stage qualifier,\an obstacle course race! response:	Who could've predicted the developments at the beginning or this conclusion?
context: no, the whole country-is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... the fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\The sports festival first-year stage qualifier,\an obstacle course race!\Who could've predicted the developments at the beginning or this conclusion? response:	Right now, the first person back in the stadium is that man...
context: That is what I brought you here to talk about!\The next All Might... the fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\The sports festival first-year stage qualifier,\an obstacle course race!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man... response:	Izuku Midoriya's made a huge splash!
context: The next All Might... the fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\The sports festival first-year stage qualifier,\an obstacle course race!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash! response:	The second round of the U.A. sports festival first-year stage is...
context: Izuku Midoriya.\I want you to tell the world I am here!\The sports festival first-year stage qualifier,\an obstacle course race!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\The second round of the U.A. sports festival first-year stage is... response:	A cavalry battle with the top 42 from the qualifier!
context: I want you to tell the world I am here!\The sports festival first-year stage qualifier,\an obstacle course race!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier! response:	Those at the top will suffer more.
context: The sports festival first-year stage qualifier,\an obstacle course race!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier!\Those at the top will suffer more. response:	You'll hear this many times as you attend U.A.
