context: What's wrong? Everything okay, Akari? response:	Yeah. It's nothing.
context: What's wrong? Everything okay, Akari?\Yeah. It's nothing. response:	Weird.
context: What's wrong? Everything okay, Akari?\Yeah. It's nothing.\Weird. response:	Look, we're about to land.
context: What's wrong? Everything okay, Akari?\Yeah. It's nothing.\Weird.\Look, we're about to land. response:	What's the matter, Akari?
context: What's wrong? Everything okay, Akari?\Yeah. It's nothing.\Weird.\Look, we're about to land.\What's the matter, Akari? response:	It's your first time back to your home country in fifteen years.
context: What's wrong? Everything okay, Akari?\Yeah. It's nothing.\Weird.\Look, we're about to land.\What's the matter, Akari?\It's your first time back to your home country in fifteen years. response:	Aren't you going to say Yay! or Woohoo!?
context: What's wrong? Everything okay, Akari?\Yeah. It's nothing.\Weird.\Look, we're about to land.\What's the matter, Akari?\It's your first time back to your home country in fifteen years.\Aren't you going to say Yay! or Woohoo!? response:	Yay. Woohoo.
context: What's wrong? Everything okay, Akari?\Yeah. It's nothing.\Weird.\Look, we're about to land.\What's the matter, Akari?\It's your first time back to your home country in fifteen years.\Aren't you going to say Yay! or Woohoo!?\Yay. Woohoo. response:	No enthusiasm!
context: Yeah. It's nothing.\Weird.\Look, we're about to land.\What's the matter, Akari?\It's your first time back to your home country in fifteen years.\Aren't you going to say Yay! or Woohoo!?\Yay. Woohoo.\No enthusiasm! response:	Mom, the lady behind us is playing house with a teddy bear.
context: Weird.\Look, we're about to land.\What's the matter, Akari?\It's your first time back to your home country in fifteen years.\Aren't you going to say Yay! or Woohoo!?\Yay. Woohoo.\No enthusiasm!\Mom, the lady behind us is playing house with a teddy bear. response:	Why's an adult doing that?
context: Look, we're about to land.\What's the matter, Akari?\It's your first time back to your home country in fifteen years.\Aren't you going to say Yay! or Woohoo!?\Yay. Woohoo.\No enthusiasm!\Mom, the lady behind us is playing house with a teddy bear.\Why's an adult doing that? response:	Oh, how nice.
context: What's the matter, Akari?\It's your first time back to your home country in fifteen years.\Aren't you going to say Yay! or Woohoo!?\Yay. Woohoo.\No enthusiasm!\Mom, the lady behind us is playing house with a teddy bear.\Why's an adult doing that?\Oh, how nice. response:	Miss?
context: It's your first time back to your home country in fifteen years.\Aren't you going to say Yay! or Woohoo!?\Yay. Woohoo.\No enthusiasm!\Mom, the lady behind us is playing house with a teddy bear.\Why's an adult doing that?\Oh, how nice.\Miss? response:	We're about to land, so please return your seat and tray to the upright position.
context: Aren't you going to say Yay! or Woohoo!?\Yay. Woohoo.\No enthusiasm!\Mom, the lady behind us is playing house with a teddy bear.\Why's an adult doing that?\Oh, how nice.\Miss?\We're about to land, so please return your seat and tray to the upright position. response:	R-Right!
context: Yay. Woohoo.\No enthusiasm!\Mom, the lady behind us is playing house with a teddy bear.\Why's an adult doing that?\Oh, how nice.\Miss?\We're about to land, so please return your seat and tray to the upright position.\R-Right! response:	Thank you very much.
context: No enthusiasm!\Mom, the lady behind us is playing house with a teddy bear.\Why's an adult doing that?\Oh, how nice.\Miss?\We're about to land, so please return your seat and tray to the upright position.\R-Right!\Thank you very much. response:	One Police Plaza building, please.
context: Mom, the lady behind us is playing house with a teddy bear.\Why's an adult doing that?\Oh, how nice.\Miss?\We're about to land, so please return your seat and tray to the upright position.\R-Right!\Thank you very much.\One Police Plaza building, please. response:	NYPD HQ One Police Plaza
context: Why's an adult doing that?\Oh, how nice.\Miss?\We're about to land, so please return your seat and tray to the upright position.\R-Right!\Thank you very much.\One Police Plaza building, please.\NYPD HQ One Police Plaza response:	Thank you.
context: Oh, how nice.\Miss?\We're about to land, so please return your seat and tray to the upright position.\R-Right!\Thank you very much.\One Police Plaza building, please.\NYPD HQ One Police Plaza\Thank you. response:	I'm Akari Kido from the Tokyo Metropolitan Police Department.
context: Miss?\We're about to land, so please return your seat and tray to the upright position.\R-Right!\Thank you very much.\One Police Plaza building, please.\NYPD HQ One Police Plaza\Thank you.\I'm Akari Kido from the Tokyo Metropolitan Police Department. response:	Nice to meet you.
context: We're about to land, so please return your seat and tray to the upright position.\R-Right!\Thank you very much.\One Police Plaza building, please.\NYPD HQ One Police Plaza\Thank you.\I'm Akari Kido from the Tokyo Metropolitan Police Department.\Nice to meet you. response:	I'm happy to have you here as the first cooperation exchange intern from the TMPD.
context: R-Right!\Thank you very much.\One Police Plaza building, please.\NYPD HQ One Police Plaza\Thank you.\I'm Akari Kido from the Tokyo Metropolitan Police Department.\Nice to meet you.\I'm happy to have you here as the first cooperation exchange intern from the TMPD. response:	Judging from your record, nobody would be better suited than you.
context: Thank you very much.\One Police Plaza building, please.\NYPD HQ One Police Plaza\Thank you.\I'm Akari Kido from the Tokyo Metropolitan Police Department.\Nice to meet you.\I'm happy to have you here as the first cooperation exchange intern from the TMPD.\Judging from your record, nobody would be better suited than you. response:	New York City Police Department Strategic Response Group
context: One Police Plaza building, please.\NYPD HQ One Police Plaza\Thank you.\I'm Akari Kido from the Tokyo Metropolitan Police Department.\Nice to meet you.\I'm happy to have you here as the first cooperation exchange intern from the TMPD.\Judging from your record, nobody would be better suited than you.\New York City Police Department Strategic Response Group response:	I'm sorry, everyone's currently out.
context: NYPD HQ One Police Plaza\Thank you.\I'm Akari Kido from the Tokyo Metropolitan Police Department.\Nice to meet you.\I'm happy to have you here as the first cooperation exchange intern from the TMPD.\Judging from your record, nobody would be better suited than you.\New York City Police Department Strategic Response Group\I'm sorry, everyone's currently out. response:	We'll have formal introductions tomorrow.
context: Thank you.\I'm Akari Kido from the Tokyo Metropolitan Police Department.\Nice to meet you.\I'm happy to have you here as the first cooperation exchange intern from the TMPD.\Judging from your record, nobody would be better suited than you.\New York City Police Department Strategic Response Group\I'm sorry, everyone's currently out.\We'll have formal introductions tomorrow. response:	No, I should apologize for arriving the day before beginning my duty.
