context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	The first match of the first round of the finals tournament.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The first match of the first round of the finals tournament. response:	From the hero course, it's Izuku Midoriya!
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The first match of the first round of the finals tournament.\From the hero course, it's Izuku Midoriya! response:	Versus-
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The first match of the first round of the finals tournament.\From the hero course, it's Izuku Midoriya!\Versus- response:	From general studies, it's Hitoshi Shinso!
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The first match of the first round of the finals tournament.\From the hero course, it's Izuku Midoriya!\Versus-\From general studies, it's Hitoshi Shinso! response:	The rules are simple.
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The first match of the first round of the finals tournament.\From the hero course, it's Izuku Midoriya!\Versus-\From general studies, it's Hitoshi Shinso!\The rules are simple. response:	Force your opponent out of bounds, or immobilize them!
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The first match of the first round of the finals tournament.\From the hero course, it's Izuku Midoriya!\Versus-\From general studies, it's Hitoshi Shinso!\The rules are simple.\Force your opponent out of bounds, or immobilize them! response:	You can also win by making your opponent say, I give up!
context: Yes, this is the story of how I became the greatest hero.\The first match of the first round of the finals tournament.\From the hero course, it's Izuku Midoriya!\Versus-\From general studies, it's Hitoshi Shinso!\The rules are simple.\Force your opponent out of bounds, or immobilize them!\You can also win by making your opponent say, I give up! response:	I give up, huh?
context: The first match of the first round of the finals tournament.\From the hero course, it's Izuku Midoriya!\Versus-\From general studies, it's Hitoshi Shinso!\The rules are simple.\Force your opponent out of bounds, or immobilize them!\You can also win by making your opponent say, I give up!\I give up, huh? response:	This is a fight to test the strength of your spirit.
context: From the hero course, it's Izuku Midoriya!\Versus-\From general studies, it's Hitoshi Shinso!\The rules are simple.\Force your opponent out of bounds, or immobilize them!\You can also win by making your opponent say, I give up!\I give up, huh?\This is a fight to test the strength of your spirit. response:	If you know what you want for your future, then you can't worry about appearances.
context: Versus-\From general studies, it's Hitoshi Shinso!\The rules are simple.\Force your opponent out of bounds, or immobilize them!\You can also win by making your opponent say, I give up!\I give up, huh?\This is a fight to test the strength of your spirit.\If you know what you want for your future, then you can't worry about appearances. response:	Ready?
context: From general studies, it's Hitoshi Shinso!\The rules are simple.\Force your opponent out of bounds, or immobilize them!\You can also win by making your opponent say, I give up!\I give up, huh?\This is a fight to test the strength of your spirit.\If you know what you want for your future, then you can't worry about appearances.\Ready? response:	That monkey was going on about his pride...
context: The rules are simple.\Force your opponent out of bounds, or immobilize them!\You can also win by making your opponent say, I give up!\I give up, huh?\This is a fight to test the strength of your spirit.\If you know what you want for your future, then you can't worry about appearances.\Ready?\That monkey was going on about his pride... response:	Start!
context: Force your opponent out of bounds, or immobilize them!\You can also win by making your opponent say, I give up!\I give up, huh?\This is a fight to test the strength of your spirit.\If you know what you want for your future, then you can't worry about appearances.\Ready?\That monkey was going on about his pride...\Start! response:	What did you say?!
context: You can also win by making your opponent say, I give up!\I give up, huh?\This is a fight to test the strength of your spirit.\If you know what you want for your future, then you can't worry about appearances.\Ready?\That monkey was going on about his pride...\Start!\What did you say?! response:	I win.
context: I give up, huh?\This is a fight to test the strength of your spirit.\If you know what you want for your future, then you can't worry about appearances.\Ready?\That monkey was going on about his pride...\Start!\What did you say?!\I win. response:	I went through the trouble of warning him, too!
context: This is a fight to test the strength of your spirit.\If you know what you want for your future, then you can't worry about appearances.\Ready?\That monkey was going on about his pride...\Start!\What did you say?!\I win.\I went through the trouble of warning him, too! response:	Hey, hey, what's the matter?
context: If you know what you want for your future, then you can't worry about appearances.\Ready?\That monkey was going on about his pride...\Start!\What did you say?!\I win.\I went through the trouble of warning him, too!\Hey, hey, what's the matter? response:	-Deku?! -It's the important first match! Liven things up!
context: Ready?\That monkey was going on about his pride...\Start!\What did you say?!\I win.\I went through the trouble of warning him, too!\Hey, hey, what's the matter?\-Deku?! -It's the important first match! Liven things up! response:	-What in the world is going on? -It's the important first match! Liven things up!
context: That monkey was going on about his pride...\Start!\What did you say?!\I win.\I went through the trouble of warning him, too!\Hey, hey, what's the matter?\-Deku?! -It's the important first match! Liven things up!\-What in the world is going on? -It's the important first match! Liven things up! response:	Midoriya! The match just started...
context: Start!\What did you say?!\I win.\I went through the trouble of warning him, too!\Hey, hey, what's the matter?\-Deku?! -It's the important first match! Liven things up!\-What in the world is going on? -It's the important first match! Liven things up!\Midoriya! The match just started... response:	He's got a blank look on his face and isn't moving a muscle!
