context: The Third Plate response:	Three
context: The Third Plate\Three response:	So good!
context: The Third Plate\Three\So good! response:	Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns
context: The Third Plate\Three\So good!\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns response:	Oh, so this is Yukihira Soma's booth.
context: The Third Plate\Three\So good!\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\Oh, so this is Yukihira Soma's booth. response:	He's the one who made it to the finals, right?
context: The Third Plate\Three\So good!\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\Oh, so this is Yukihira Soma's booth.\He's the one who made it to the finals, right? response:	That smells really good!
context: The Third Plate\Three\So good!\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\Oh, so this is Yukihira Soma's booth.\He's the one who made it to the finals, right?\That smells really good! response:	Black pepper buns, huh.
context: The Third Plate\Three\So good!\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\Oh, so this is Yukihira Soma's booth.\He's the one who made it to the finals, right?\That smells really good!\Black pepper buns, huh. response:	They're piping hot and delicious!
context: Three\So good!\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\Oh, so this is Yukihira Soma's booth.\He's the one who made it to the finals, right?\That smells really good!\Black pepper buns, huh.\They're piping hot and delicious! response:	Please come eat here!
context: So good!\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\Oh, so this is Yukihira Soma's booth.\He's the one who made it to the finals, right?\That smells really good!\Black pepper buns, huh.\They're piping hot and delicious!\Please come eat here! response:	Black pepper buns, a Taiwanese specialty, huh.
context: Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\Oh, so this is Yukihira Soma's booth.\He's the one who made it to the finals, right?\That smells really good!\Black pepper buns, huh.\They're piping hot and delicious!\Please come eat here!\Black pepper buns, a Taiwanese specialty, huh. response:	I do think it's a good angle, if I have to be honest.
context: Oh, so this is Yukihira Soma's booth.\He's the one who made it to the finals, right?\That smells really good!\Black pepper buns, huh.\They're piping hot and delicious!\Please come eat here!\Black pepper buns, a Taiwanese specialty, huh.\I do think it's a good angle, if I have to be honest. response:	It lets you distinguish yourself from my forte, Sichuan cuisine,
context: He's the one who made it to the finals, right?\That smells really good!\Black pepper buns, huh.\They're piping hot and delicious!\Please come eat here!\Black pepper buns, a Taiwanese specialty, huh.\I do think it's a good angle, if I have to be honest.\It lets you distinguish yourself from my forte, Sichuan cuisine, response:	despite choosing Chinese cuisine.
context: That smells really good!\Black pepper buns, huh.\They're piping hot and delicious!\Please come eat here!\Black pepper buns, a Taiwanese specialty, huh.\I do think it's a good angle, if I have to be honest.\It lets you distinguish yourself from my forte, Sichuan cuisine,\despite choosing Chinese cuisine. response:	After all, its strong peppery bite and the juiciness of the meat
context: Black pepper buns, huh.\They're piping hot and delicious!\Please come eat here!\Black pepper buns, a Taiwanese specialty, huh.\I do think it's a good angle, if I have to be honest.\It lets you distinguish yourself from my forte, Sichuan cuisine,\despite choosing Chinese cuisine.\After all, its strong peppery bite and the juiciness of the meat response:	will tend to enthrall those who taste it.
context: They're piping hot and delicious!\Please come eat here!\Black pepper buns, a Taiwanese specialty, huh.\I do think it's a good angle, if I have to be honest.\It lets you distinguish yourself from my forte, Sichuan cuisine,\despite choosing Chinese cuisine.\After all, its strong peppery bite and the juiciness of the meat\will tend to enthrall those who taste it. response:	But you know, it's pointless if no one shows up to eat it.
context: Please come eat here!\Black pepper buns, a Taiwanese specialty, huh.\I do think it's a good angle, if I have to be honest.\It lets you distinguish yourself from my forte, Sichuan cuisine,\despite choosing Chinese cuisine.\After all, its strong peppery bite and the juiciness of the meat\will tend to enthrall those who taste it.\But you know, it's pointless if no one shows up to eat it. response:	Listen up, Yukihira-chin.
context: Black pepper buns, a Taiwanese specialty, huh.\I do think it's a good angle, if I have to be honest.\It lets you distinguish yourself from my forte, Sichuan cuisine,\despite choosing Chinese cuisine.\After all, its strong peppery bite and the juiciness of the meat\will tend to enthrall those who taste it.\But you know, it's pointless if no one shows up to eat it.\Listen up, Yukihira-chin. response:	The Moon Festival is different from a Shokugeki,
context: I do think it's a good angle, if I have to be honest.\It lets you distinguish yourself from my forte, Sichuan cuisine,\despite choosing Chinese cuisine.\After all, its strong peppery bite and the juiciness of the meat\will tend to enthrall those who taste it.\But you know, it's pointless if no one shows up to eat it.\Listen up, Yukihira-chin.\The Moon Festival is different from a Shokugeki, response:	where it's guaranteed that the judges will eat your food.
context: It lets you distinguish yourself from my forte, Sichuan cuisine,\despite choosing Chinese cuisine.\After all, its strong peppery bite and the juiciness of the meat\will tend to enthrall those who taste it.\But you know, it's pointless if no one shows up to eat it.\Listen up, Yukihira-chin.\The Moon Festival is different from a Shokugeki,\where it's guaranteed that the judges will eat your food. response:	Whoa, what's this imposing booth?
context: despite choosing Chinese cuisine.\After all, its strong peppery bite and the juiciness of the meat\will tend to enthrall those who taste it.\But you know, it's pointless if no one shows up to eat it.\Listen up, Yukihira-chin.\The Moon Festival is different from a Shokugeki,\where it's guaranteed that the judges will eat your food.\Whoa, what's this imposing booth? response:	Kuga Restaurant
context: After all, its strong peppery bite and the juiciness of the meat\will tend to enthrall those who taste it.\But you know, it's pointless if no one shows up to eat it.\Listen up, Yukihira-chin.\The Moon Festival is different from a Shokugeki,\where it's guaranteed that the judges will eat your food.\Whoa, what's this imposing booth?\Kuga Restaurant response:	It's Sichuan cuisine by the Elite Ten's Eighth Seat.
context: will tend to enthrall those who taste it.\But you know, it's pointless if no one shows up to eat it.\Listen up, Yukihira-chin.\The Moon Festival is different from a Shokugeki,\where it's guaranteed that the judges will eat your food.\Whoa, what's this imposing booth?\Kuga Restaurant\It's Sichuan cuisine by the Elite Ten's Eighth Seat. response:	Maybe I'll go here.
context: But you know, it's pointless if no one shows up to eat it.\Listen up, Yukihira-chin.\The Moon Festival is different from a Shokugeki,\where it's guaranteed that the judges will eat your food.\Whoa, what's this imposing booth?\Kuga Restaurant\It's Sichuan cuisine by the Elite Ten's Eighth Seat.\Maybe I'll go here. response:	The Elite Ten, huh.
context: Listen up, Yukihira-chin.\The Moon Festival is different from a Shokugeki,\where it's guaranteed that the judges will eat your food.\Whoa, what's this imposing booth?\Kuga Restaurant\It's Sichuan cuisine by the Elite Ten's Eighth Seat.\Maybe I'll go here.\The Elite Ten, huh. response:	I think I'll go there after all.
context: The Moon Festival is different from a Shokugeki,\where it's guaranteed that the judges will eat your food.\Whoa, what's this imposing booth?\Kuga Restaurant\It's Sichuan cuisine by the Elite Ten's Eighth Seat.\Maybe I'll go here.\The Elite Ten, huh.\I think I'll go there after all. response:	Oh.
context: where it's guaranteed that the judges will eat your food.\Whoa, what's this imposing booth?\Kuga Restaurant\It's Sichuan cuisine by the Elite Ten's Eighth Seat.\Maybe I'll go here.\The Elite Ten, huh.\I think I'll go there after all.\Oh. response:	Customers will only favor the strong.
context: Whoa, what's this imposing booth?\Kuga Restaurant\It's Sichuan cuisine by the Elite Ten's Eighth Seat.\Maybe I'll go here.\The Elite Ten, huh.\I think I'll go there after all.\Oh.\Customers will only favor the strong. response:	Isn't it obvious?
context: Kuga Restaurant\It's Sichuan cuisine by the Elite Ten's Eighth Seat.\Maybe I'll go here.\The Elite Ten, huh.\I think I'll go there after all.\Oh.\Customers will only favor the strong.\Isn't it obvious? response:	Food Wars
context: It's Sichuan cuisine by the Elite Ten's Eighth Seat.\Maybe I'll go here.\The Elite Ten, huh.\I think I'll go there after all.\Oh.\Customers will only favor the strong.\Isn't it obvious?\Food Wars response:	The Third Plate
context: Maybe I'll go here.\The Elite Ten, huh.\I think I'll go there after all.\Oh.\Customers will only favor the strong.\Isn't it obvious?\Food Wars\The Third Plate response:	The 92nd Moon Festival
context: The Elite Ten, huh.\I think I'll go there after all.\Oh.\Customers will only favor the strong.\Isn't it obvious?\Food Wars\The Third Plate\The 92nd Moon Festival response:	Moon Festival
context: I think I'll go there after all.\Oh.\Customers will only favor the strong.\Isn't it obvious?\Food Wars\The Third Plate\The 92nd Moon Festival\Moon Festival response:	Everyone, the Moon Festival's finally here!
context: Oh.\Customers will only favor the strong.\Isn't it obvious?\Food Wars\The Third Plate\The 92nd Moon Festival\Moon Festival\Everyone, the Moon Festival's finally here! response:	Let's use this opportunity to enjoy student life to the hilt
context: Customers will only favor the strong.\Isn't it obvious?\Food Wars\The Third Plate\The 92nd Moon Festival\Moon Festival\Everyone, the Moon Festival's finally here!\Let's use this opportunity to enjoy student life to the hilt response:	while ensuring that our customers are fully satisfied!
context: Isn't it obvious?\Food Wars\The Third Plate\The 92nd Moon Festival\Moon Festival\Everyone, the Moon Festival's finally here!\Let's use this opportunity to enjoy student life to the hilt\while ensuring that our customers are fully satisfied! response:	Yeah!
context: Food Wars\The Third Plate\The 92nd Moon Festival\Moon Festival\Everyone, the Moon Festival's finally here!\Let's use this opportunity to enjoy student life to the hilt\while ensuring that our customers are fully satisfied!\Yeah! response:	It finally begins, Hisako.
context: The Third Plate\The 92nd Moon Festival\Moon Festival\Everyone, the Moon Festival's finally here!\Let's use this opportunity to enjoy student life to the hilt\while ensuring that our customers are fully satisfied!\Yeah!\It finally begins, Hisako. response:	Yes, Erina-sama.
context: The 92nd Moon Festival\Moon Festival\Everyone, the Moon Festival's finally here!\Let's use this opportunity to enjoy student life to the hilt\while ensuring that our customers are fully satisfied!\Yeah!\It finally begins, Hisako.\Yes, Erina-sama. response:	Let's kick all the other booths to the curb with our ultra-premium donburi!
