context: Fear Me!! Freeza Does Battle With a Third Transformation response:	What?
context: Fear Me!! Freeza Does Battle With a Third Transformation\What? response:	DIE!!
context: Fear Me!! Freeza Does Battle With a Third Transformation\What?\DIE!! response:	G- Gohan!
context: Fear Me!! Freeza Does Battle With a Third Transformation\What?\DIE!!\G- Gohan! response:	Full power!
context: Fear Me!! Freeza Does Battle With a Third Transformation\What?\DIE!!\G- Gohan!\Full power! response:	Hang in there, Gohan!
context: Fear Me!! Freeza Does Battle With a Third Transformation\What?\DIE!!\G- Gohan!\Full power!\Hang in there, Gohan! response:	Thank you, Piccolo-san!
context: Fear Me!! Freeza Does Battle With a Third Transformation\What?\DIE!!\G- Gohan!\Full power!\Hang in there, Gohan!\Thank you, Piccolo-san! response:	Quite strange. That little one should not have such a battle power.
context: Fear Me!! Freeza Does Battle With a Third Transformation\What?\DIE!!\G- Gohan!\Full power!\Hang in there, Gohan!\Thank you, Piccolo-san!\Quite strange. That little one should not have such a battle power. response:	After recovering from near-death, it is as if he is a different person altogether.
context: What?\DIE!!\G- Gohan!\Full power!\Hang in there, Gohan!\Thank you, Piccolo-san!\Quite strange. That little one should not have such a battle power.\After recovering from near-death, it is as if he is a different person altogether. response:	That's it! The little one is a Saiyan!
context: DIE!!\G- Gohan!\Full power!\Hang in there, Gohan!\Thank you, Piccolo-san!\Quite strange. That little one should not have such a battle power.\After recovering from near-death, it is as if he is a different person altogether.\That's it! The little one is a Saiyan! response:	But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,
context: G- Gohan!\Full power!\Hang in there, Gohan!\Thank you, Piccolo-san!\Quite strange. That little one should not have such a battle power.\After recovering from near-death, it is as if he is a different person altogether.\That's it! The little one is a Saiyan!\But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz, response:	the Saiyans were supposed to have been exterminated.
context: Full power!\Hang in there, Gohan!\Thank you, Piccolo-san!\Quite strange. That little one should not have such a battle power.\After recovering from near-death, it is as if he is a different person altogether.\That's it! The little one is a Saiyan!\But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,\the Saiyans were supposed to have been exterminated. response:	So whose is he?
context: Hang in there, Gohan!\Thank you, Piccolo-san!\Quite strange. That little one should not have such a battle power.\After recovering from near-death, it is as if he is a different person altogether.\That's it! The little one is a Saiyan!\But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,\the Saiyans were supposed to have been exterminated.\So whose is he? response:	He doesn't look like either Vegeta or Nappa...
context: Thank you, Piccolo-san!\Quite strange. That little one should not have such a battle power.\After recovering from near-death, it is as if he is a different person altogether.\That's it! The little one is a Saiyan!\But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,\the Saiyans were supposed to have been exterminated.\So whose is he?\He doesn't look like either Vegeta or Nappa... response:	So he's Raditz's child? There is something there that reminds me of him.
context: Quite strange. That little one should not have such a battle power.\After recovering from near-death, it is as if he is a different person altogether.\That's it! The little one is a Saiyan!\But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,\the Saiyans were supposed to have been exterminated.\So whose is he?\He doesn't look like either Vegeta or Nappa...\So he's Raditz's child? There is something there that reminds me of him. response:	T- That blast that just got bounced back...
context: After recovering from near-death, it is as if he is a different person altogether.\That's it! The little one is a Saiyan!\But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,\the Saiyans were supposed to have been exterminated.\So whose is he?\He doesn't look like either Vegeta or Nappa...\So he's Raditz's child? There is something there that reminds me of him.\T- That blast that just got bounced back... response:	You've gotten stronger, Gohan. I'm so glad.
context: That's it! The little one is a Saiyan!\But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,\the Saiyans were supposed to have been exterminated.\So whose is he?\He doesn't look like either Vegeta or Nappa...\So he's Raditz's child? There is something there that reminds me of him.\T- That blast that just got bounced back...\You've gotten stronger, Gohan. I'm so glad. response:	But it was no use. I put everything I had into that, and it still didn't connect against Freeza!
context: But whose child is he? Twenty years ago, with the exception of Vegeta, Nappa and Raditz,\the Saiyans were supposed to have been exterminated.\So whose is he?\He doesn't look like either Vegeta or Nappa...\So he's Raditz's child? There is something there that reminds me of him.\T- That blast that just got bounced back...\You've gotten stronger, Gohan. I'm so glad.\But it was no use. I put everything I had into that, and it still didn't connect against Freeza! response:	That brat...
context: the Saiyans were supposed to have been exterminated.\So whose is he?\He doesn't look like either Vegeta or Nappa...\So he's Raditz's child? There is something there that reminds me of him.\T- That blast that just got bounced back...\You've gotten stronger, Gohan. I'm so glad.\But it was no use. I put everything I had into that, and it still didn't connect against Freeza!\That brat... response:	He is indisputably drawing closer to becoming a Super Saiyan.
context: So whose is he?\He doesn't look like either Vegeta or Nappa...\So he's Raditz's child? There is something there that reminds me of him.\T- That blast that just got bounced back...\You've gotten stronger, Gohan. I'm so glad.\But it was no use. I put everything I had into that, and it still didn't connect against Freeza!\That brat...\He is indisputably drawing closer to becoming a Super Saiyan. response:	You!
context: He doesn't look like either Vegeta or Nappa...\So he's Raditz's child? There is something there that reminds me of him.\T- That blast that just got bounced back...\You've gotten stronger, Gohan. I'm so glad.\But it was no use. I put everything I had into that, and it still didn't connect against Freeza!\That brat...\He is indisputably drawing closer to becoming a Super Saiyan.\You! response:	You must have figured it out! After coming one step away from death,
context: So he's Raditz's child? There is something there that reminds me of him.\T- That blast that just got bounced back...\You've gotten stronger, Gohan. I'm so glad.\But it was no use. I put everything I had into that, and it still didn't connect against Freeza!\That brat...\He is indisputably drawing closer to becoming a Super Saiyan.\You!\You must have figured it out! After coming one step away from death, response:	when we Saiyans recover, our strength increases!
context: T- That blast that just got bounced back...\You've gotten stronger, Gohan. I'm so glad.\But it was no use. I put everything I had into that, and it still didn't connect against Freeza!\That brat...\He is indisputably drawing closer to becoming a Super Saiyan.\You!\You must have figured it out! After coming one step away from death,\when we Saiyans recover, our strength increases! response:	Now listen! Before Freeza makes his final transformation, you must render me half-dead!
context: You've gotten stronger, Gohan. I'm so glad.\But it was no use. I put everything I had into that, and it still didn't connect against Freeza!\That brat...\He is indisputably drawing closer to becoming a Super Saiyan.\You!\You must have figured it out! After coming one step away from death,\when we Saiyans recover, our strength increases!\Now listen! Before Freeza makes his final transformation, you must render me half-dead! response:	Well? Do it now!
context: But it was no use. I put everything I had into that, and it still didn't connect against Freeza!\That brat...\He is indisputably drawing closer to becoming a Super Saiyan.\You!\You must have figured it out! After coming one step away from death,\when we Saiyans recover, our strength increases!\Now listen! Before Freeza makes his final transformation, you must render me half-dead!\Well? Do it now! response:	The blood of the Saiyans must be completely cut off.
context: That brat...\He is indisputably drawing closer to becoming a Super Saiyan.\You!\You must have figured it out! After coming one step away from death,\when we Saiyans recover, our strength increases!\Now listen! Before Freeza makes his final transformation, you must render me half-dead!\Well? Do it now!\The blood of the Saiyans must be completely cut off. response:	Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,
context: He is indisputably drawing closer to becoming a Super Saiyan.\You!\You must have figured it out! After coming one step away from death,\when we Saiyans recover, our strength increases!\Now listen! Before Freeza makes his final transformation, you must render me half-dead!\Well? Do it now!\The blood of the Saiyans must be completely cut off.\Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior, response:	but because I do not feel well with them around.
context: You!\You must have figured it out! After coming one step away from death,\when we Saiyans recover, our strength increases!\Now listen! Before Freeza makes his final transformation, you must render me half-dead!\Well? Do it now!\The blood of the Saiyans must be completely cut off.\Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,\but because I do not feel well with them around. response:	It is the principle of it all, with the little one and Vegeta growing stronger so quickly.
context: You must have figured it out! After coming one step away from death,\when we Saiyans recover, our strength increases!\Now listen! Before Freeza makes his final transformation, you must render me half-dead!\Well? Do it now!\The blood of the Saiyans must be completely cut off.\Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,\but because I do not feel well with them around.\It is the principle of it all, with the little one and Vegeta growing stronger so quickly. response:	If I injure myself, there will be no effect! You must do it!
context: when we Saiyans recover, our strength increases!\Now listen! Before Freeza makes his final transformation, you must render me half-dead!\Well? Do it now!\The blood of the Saiyans must be completely cut off.\Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,\but because I do not feel well with them around.\It is the principle of it all, with the little one and Vegeta growing stronger so quickly.\If I injure myself, there will be no effect! You must do it! response:	B- But my power isn't enough to bring you to near-death!
context: Now listen! Before Freeza makes his final transformation, you must render me half-dead!\Well? Do it now!\The blood of the Saiyans must be completely cut off.\Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,\but because I do not feel well with them around.\It is the principle of it all, with the little one and Vegeta growing stronger so quickly.\If I injure myself, there will be no effect! You must do it!\B- But my power isn't enough to bring you to near-death! response:	Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.
context: Well? Do it now!\The blood of the Saiyans must be completely cut off.\Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,\but because I do not feel well with them around.\It is the principle of it all, with the little one and Vegeta growing stronger so quickly.\If I injure myself, there will be no effect! You must do it!\B- But my power isn't enough to bring you to near-death!\Don't worry. I'll lower my battle power as low as it will go. Your power will be enough. response:	We're just lucky that Namekian kid down there can heal people instantaneously.
context: The blood of the Saiyans must be completely cut off.\Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,\but because I do not feel well with them around.\It is the principle of it all, with the little one and Vegeta growing stronger so quickly.\If I injure myself, there will be no effect! You must do it!\B- But my power isn't enough to bring you to near-death!\Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.\We're just lucky that Namekian kid down there can heal people instantaneously. response:	No matter how much I may hate you, how can I?
context: Not because I believe in ridiculous legends, such as the Super Saiyan, history's greatest warrior,\but because I do not feel well with them around.\It is the principle of it all, with the little one and Vegeta growing stronger so quickly.\If I injure myself, there will be no effect! You must do it!\B- But my power isn't enough to bring you to near-death!\Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.\We're just lucky that Namekian kid down there can heal people instantaneously.\No matter how much I may hate you, how can I? response:	Besides which, it's just about time for Goku to recover.
context: but because I do not feel well with them around.\It is the principle of it all, with the little one and Vegeta growing stronger so quickly.\If I injure myself, there will be no effect! You must do it!\B- But my power isn't enough to bring you to near-death!\Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.\We're just lucky that Namekian kid down there can heal people instantaneously.\No matter how much I may hate you, how can I?\Besides which, it's just about time for Goku to recover. response:	Kakarrot is a lowest-class warrior! He won't get any stronger than that!
context: It is the principle of it all, with the little one and Vegeta growing stronger so quickly.\If I injure myself, there will be no effect! You must do it!\B- But my power isn't enough to bring you to near-death!\Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.\We're just lucky that Namekian kid down there can heal people instantaneously.\No matter how much I may hate you, how can I?\Besides which, it's just about time for Goku to recover.\Kakarrot is a lowest-class warrior! He won't get any stronger than that! response:	Very well.
context: If I injure myself, there will be no effect! You must do it!\B- But my power isn't enough to bring you to near-death!\Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.\We're just lucky that Namekian kid down there can heal people instantaneously.\No matter how much I may hate you, how can I?\Besides which, it's just about time for Goku to recover.\Kakarrot is a lowest-class warrior! He won't get any stronger than that!\Very well. response:	It would be a simple matter to blow you all to pieces in this current form,
context: B- But my power isn't enough to bring you to near-death!\Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.\We're just lucky that Namekian kid down there can heal people instantaneously.\No matter how much I may hate you, how can I?\Besides which, it's just about time for Goku to recover.\Kakarrot is a lowest-class warrior! He won't get any stronger than that!\Very well.\It would be a simple matter to blow you all to pieces in this current form, response:	but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!
context: Don't worry. I'll lower my battle power as low as it will go. Your power will be enough.\We're just lucky that Namekian kid down there can heal people instantaneously.\No matter how much I may hate you, how can I?\Besides which, it's just about time for Goku to recover.\Kakarrot is a lowest-class warrior! He won't get any stronger than that!\Very well.\It would be a simple matter to blow you all to pieces in this current form,\but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death! response:	Ultimate... what now?
context: We're just lucky that Namekian kid down there can heal people instantaneously.\No matter how much I may hate you, how can I?\Besides which, it's just about time for Goku to recover.\Kakarrot is a lowest-class warrior! He won't get any stronger than that!\Very well.\It would be a simple matter to blow you all to pieces in this current form,\but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!\Ultimate... what now? response:	H- How can it be?
context: No matter how much I may hate you, how can I?\Besides which, it's just about time for Goku to recover.\Kakarrot is a lowest-class warrior! He won't get any stronger than that!\Very well.\It would be a simple matter to blow you all to pieces in this current form,\but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!\Ultimate... what now?\H- How can it be? response:	I do you a great service! You will experience a terror even greater than that of Hell's.
context: Besides which, it's just about time for Goku to recover.\Kakarrot is a lowest-class warrior! He won't get any stronger than that!\Very well.\It would be a simple matter to blow you all to pieces in this current form,\but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!\Ultimate... what now?\H- How can it be?\I do you a great service! You will experience a terror even greater than that of Hell's. response:	And so, gaze upon my final transformation!
context: Kakarrot is a lowest-class warrior! He won't get any stronger than that!\Very well.\It would be a simple matter to blow you all to pieces in this current form,\but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!\Ultimate... what now?\H- How can it be?\I do you a great service! You will experience a terror even greater than that of Hell's.\And so, gaze upon my final transformation! response:	My true form!
context: Very well.\It would be a simple matter to blow you all to pieces in this current form,\but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!\Ultimate... what now?\H- How can it be?\I do you a great service! You will experience a terror even greater than that of Hell's.\And so, gaze upon my final transformation!\My true form! response:	You rotten...
context: It would be a simple matter to blow you all to pieces in this current form,\but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!\Ultimate... what now?\H- How can it be?\I do you a great service! You will experience a terror even greater than that of Hell's.\And so, gaze upon my final transformation!\My true form!\You rotten... response:	P- Piccolo-san!
context: but before I kill you, I will have you witness the terror of an ultimate power, even more frightening than death!\Ultimate... what now?\H- How can it be?\I do you a great service! You will experience a terror even greater than that of Hell's.\And so, gaze upon my final transformation!\My true form!\You rotten...\P- Piccolo-san! response:	If you do it now, there's still time. Hurry!
context: Ultimate... what now?\H- How can it be?\I do you a great service! You will experience a terror even greater than that of Hell's.\And so, gaze upon my final transformation!\My true form!\You rotten...\P- Piccolo-san!\If you do it now, there's still time. Hurry! response:	What!? What's wrong with this planet?
context: H- How can it be?\I do you a great service! You will experience a terror even greater than that of Hell's.\And so, gaze upon my final transformation!\My true form!\You rotten...\P- Piccolo-san!\If you do it now, there's still time. Hurry!\What!? What's wrong with this planet? response:	It's all over! I'm going to die here!
context: I do you a great service! You will experience a terror even greater than that of Hell's.\And so, gaze upon my final transformation!\My true form!\You rotten...\P- Piccolo-san!\If you do it now, there's still time. Hurry!\What!? What's wrong with this planet?\It's all over! I'm going to die here! response:	If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!
context: And so, gaze upon my final transformation!\My true form!\You rotten...\P- Piccolo-san!\If you do it now, there's still time. Hurry!\What!? What's wrong with this planet?\It's all over! I'm going to die here!\If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him! response:	Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!
context: My true form!\You rotten...\P- Piccolo-san!\If you do it now, there's still time. Hurry!\What!? What's wrong with this planet?\It's all over! I'm going to die here!\If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!\Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun! response:	Freeza's Ki is rising again. Am I going to get out of here in time?
context: You rotten...\P- Piccolo-san!\If you do it now, there's still time. Hurry!\What!? What's wrong with this planet?\It's all over! I'm going to die here!\If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!\Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!\Freeza's Ki is rising again. Am I going to get out of here in time? response:	Hurry up! This is the only way!
context: P- Piccolo-san!\If you do it now, there's still time. Hurry!\What!? What's wrong with this planet?\It's all over! I'm going to die here!\If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!\Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!\Freeza's Ki is rising again. Am I going to get out of here in time?\Hurry up! This is the only way! response:	It can't be...
context: If you do it now, there's still time. Hurry!\What!? What's wrong with this planet?\It's all over! I'm going to die here!\If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!\Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!\Freeza's Ki is rising again. Am I going to get out of here in time?\Hurry up! This is the only way!\It can't be... response:	Dammit!
context: What!? What's wrong with this planet?\It's all over! I'm going to die here!\If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!\Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!\Freeza's Ki is rising again. Am I going to get out of here in time?\Hurry up! This is the only way!\It can't be...\Dammit! response:	There's no other choice!
context: It's all over! I'm going to die here!\If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!\Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!\Freeza's Ki is rising again. Am I going to get out of here in time?\Hurry up! This is the only way!\It can't be...\Dammit!\There's no other choice! response:	That's not good enough! You have to shoot a stronger Ki!
context: If I'd known Son-kun was coming, I could have left searching for the Dragonballs up to him!\Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!\Freeza's Ki is rising again. Am I going to get out of here in time?\Hurry up! This is the only way!\It can't be...\Dammit!\There's no other choice!\That's not good enough! You have to shoot a stronger Ki! response:	Can't you even do that, you good-for-nothing fool!?
context: Gohan-kun is a fool! Kuririn is an idiot! I hate you, Son-kun!\Freeza's Ki is rising again. Am I going to get out of here in time?\Hurry up! This is the only way!\It can't be...\Dammit!\There's no other choice!\That's not good enough! You have to shoot a stronger Ki!\Can't you even do that, you good-for-nothing fool!? response:	T- That's good...
context: Freeza's Ki is rising again. Am I going to get out of here in time?\Hurry up! This is the only way!\It can't be...\Dammit!\There's no other choice!\That's not good enough! You have to shoot a stronger Ki!\Can't you even do that, you good-for-nothing fool!?\T- That's good... response:	I'm at last going to become... a Super Saiyan...
context: Hurry up! This is the only way!\It can't be...\Dammit!\There's no other choice!\That's not good enough! You have to shoot a stronger Ki!\Can't you even do that, you good-for-nothing fool!?\T- That's good...\I'm at last going to become... a Super Saiyan... response:	W- Why did Kuririn-san shoot Vegeta?
context: It can't be...\Dammit!\There's no other choice!\That's not good enough! You have to shoot a stronger Ki!\Can't you even do that, you good-for-nothing fool!?\T- That's good...\I'm at last going to become... a Super Saiyan...\W- Why did Kuririn-san shoot Vegeta? response:	G- Gohan! Get out of here!
context: Dammit!\There's no other choice!\That's not good enough! You have to shoot a stronger Ki!\Can't you even do that, you good-for-nothing fool!?\T- That's good...\I'm at last going to become... a Super Saiyan...\W- Why did Kuririn-san shoot Vegeta?\G- Gohan! Get out of here! response:	Right!
context: There's no other choice!\That's not good enough! You have to shoot a stronger Ki!\Can't you even do that, you good-for-nothing fool!?\T- That's good...\I'm at last going to become... a Super Saiyan...\W- Why did Kuririn-san shoot Vegeta?\G- Gohan! Get out of here!\Right! response:	Are you okay, Piccolo-san?
context: That's not good enough! You have to shoot a stronger Ki!\Can't you even do that, you good-for-nothing fool!?\T- That's good...\I'm at last going to become... a Super Saiyan...\W- Why did Kuririn-san shoot Vegeta?\G- Gohan! Get out of here!\Right!\Are you okay, Piccolo-san? response:	I can't say that I am...
context: Can't you even do that, you good-for-nothing fool!?\T- That's good...\I'm at last going to become... a Super Saiyan...\W- Why did Kuririn-san shoot Vegeta?\G- Gohan! Get out of here!\Right!\Are you okay, Piccolo-san?\I can't say that I am... response:	I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!
context: T- That's good...\I'm at last going to become... a Super Saiyan...\W- Why did Kuririn-san shoot Vegeta?\G- Gohan! Get out of here!\Right!\Are you okay, Piccolo-san?\I can't say that I am...\I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries! response:	I'll go get him.
context: I'm at last going to become... a Super Saiyan...\W- Why did Kuririn-san shoot Vegeta?\G- Gohan! Get out of here!\Right!\Are you okay, Piccolo-san?\I can't say that I am...\I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!\I'll go get him. response:	Gohan!
context: W- Why did Kuririn-san shoot Vegeta?\G- Gohan! Get out of here!\Right!\Are you okay, Piccolo-san?\I can't say that I am...\I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!\I'll go get him.\Gohan! response:	Kuririn-san, where's Dende?
context: G- Gohan! Get out of here!\Right!\Are you okay, Piccolo-san?\I can't say that I am...\I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!\I'll go get him.\Gohan!\Kuririn-san, where's Dende? response:	What!? You say you can't heal me?
context: Right!\Are you okay, Piccolo-san?\I can't say that I am...\I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!\I'll go get him.\Gohan!\Kuririn-san, where's Dende?\What!? You say you can't heal me? response:	T- That's right!
context: Are you okay, Piccolo-san?\I can't say that I am...\I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!\I'll go get him.\Gohan!\Kuririn-san, where's Dende?\What!? You say you can't heal me?\T- That's right! response:	You're saying you could heal the others, but not me?
context: I can't say that I am...\I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!\I'll go get him.\Gohan!\Kuririn-san, where's Dende?\What!? You say you can't heal me?\T- That's right!\You're saying you could heal the others, but not me? response:	You killed many of my friends as well! I cannot heal someone like that!
context: I know! It's all right, we can heal those injuries! There's a Namekian named Dende that can heal injuries!\I'll go get him.\Gohan!\Kuririn-san, where's Dende?\What!? You say you can't heal me?\T- That's right!\You're saying you could heal the others, but not me?\You killed many of my friends as well! I cannot heal someone like that! response:	Y- You brat! So long as you don't heal me, Freeza will not be beaten!
context: I'll go get him.\Gohan!\Kuririn-san, where's Dende?\What!? You say you can't heal me?\T- That's right!\You're saying you could heal the others, but not me?\You killed many of my friends as well! I cannot heal someone like that!\Y- You brat! So long as you don't heal me, Freeza will not be beaten! response:	I won't!
context: Gohan!\Kuririn-san, where's Dende?\What!? You say you can't heal me?\T- That's right!\You're saying you could heal the others, but not me?\You killed many of my friends as well! I cannot heal someone like that!\Y- You brat! So long as you don't heal me, Freeza will not be beaten!\I won't! response:	H- Hurry up... I'm starting to lose consciousness...
context: Kuririn-san, where's Dende?\What!? You say you can't heal me?\T- That's right!\You're saying you could heal the others, but not me?\You killed many of my friends as well! I cannot heal someone like that!\Y- You brat! So long as you don't heal me, Freeza will not be beaten!\I won't!\H- Hurry up... I'm starting to lose consciousness... response:	I'm going to save the other one.
context: What!? You say you can't heal me?\T- That's right!\You're saying you could heal the others, but not me?\You killed many of my friends as well! I cannot heal someone like that!\Y- You brat! So long as you don't heal me, Freeza will not be beaten!\I won't!\H- Hurry up... I'm starting to lose consciousness...\I'm going to save the other one. response:	Damn...
context: T- That's right!\You're saying you could heal the others, but not me?\You killed many of my friends as well! I cannot heal someone like that!\Y- You brat! So long as you don't heal me, Freeza will not be beaten!\I won't!\H- Hurry up... I'm starting to lose consciousness...\I'm going to save the other one.\Damn... response:	You... brat...
context: You're saying you could heal the others, but not me?\You killed many of my friends as well! I cannot heal someone like that!\Y- You brat! So long as you don't heal me, Freeza will not be beaten!\I won't!\H- Hurry up... I'm starting to lose consciousness...\I'm going to save the other one.\Damn...\You... brat... response:	Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.
context: You killed many of my friends as well! I cannot heal someone like that!\Y- You brat! So long as you don't heal me, Freeza will not be beaten!\I won't!\H- Hurry up... I'm starting to lose consciousness...\I'm going to save the other one.\Damn...\You... brat...\Vegeta and the other Saiyans gain a whole lot of strength once revived from near death. response:	You knew that, didn't you?
context: Y- You brat! So long as you don't heal me, Freeza will not be beaten!\I won't!\H- Hurry up... I'm starting to lose consciousness...\I'm going to save the other one.\Damn...\You... brat...\Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.\You knew that, didn't you? response:	Y- Yeah.
context: I won't!\H- Hurry up... I'm starting to lose consciousness...\I'm going to save the other one.\Damn...\You... brat...\Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.\You knew that, didn't you?\Y- Yeah. response:	And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!
context: H- Hurry up... I'm starting to lose consciousness...\I'm going to save the other one.\Damn...\You... brat...\Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.\You knew that, didn't you?\Y- Yeah.\And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza! response:	So that was why?
context: I'm going to save the other one.\Damn...\You... brat...\Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.\You knew that, didn't you?\Y- Yeah.\And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!\So that was why? response:	Dende!
context: Damn...\You... brat...\Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.\You knew that, didn't you?\Y- Yeah.\And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!\So that was why?\Dende! response:	Dende!
context: You... brat...\Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.\You knew that, didn't you?\Y- Yeah.\And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!\So that was why?\Dende!\Dende! response:	Vegeta!
context: Vegeta and the other Saiyans gain a whole lot of strength once revived from near death.\You knew that, didn't you?\Y- Yeah.\And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!\So that was why?\Dende!\Dende!\Vegeta! response:	They said... you can heal injuries. Is that true?
context: You knew that, didn't you?\Y- Yeah.\And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!\So that was why?\Dende!\Dende!\Vegeta!\They said... you can heal injuries. Is that true? response:	Y- Yes!
context: Y- Yeah.\And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!\So that was why?\Dende!\Dende!\Vegeta!\They said... you can heal injuries. Is that true?\Y- Yes! response:	Dende...
context: And so, he had me blast him on purpose. It sounded like he was sure he could beat Freeza!\So that was why?\Dende!\Dende!\Vegeta!\They said... you can heal injuries. Is that true?\Y- Yes!\Dende... response:	I see, so that's it!
context: So that was why?\Dende!\Dende!\Vegeta!\They said... you can heal injuries. Is that true?\Y- Yes!\Dende...\I see, so that's it! response:	Unbelievable! Do I have the same ability?
context: Dende!\Dende!\Vegeta!\They said... you can heal injuries. Is that true?\Y- Yes!\Dende...\I see, so that's it!\Unbelievable! Do I have the same ability? response:	No. You, like Nail-san, are a warrior-type.
context: Dende!\Vegeta!\They said... you can heal injuries. Is that true?\Y- Yes!\Dende...\I see, so that's it!\Unbelievable! Do I have the same ability?\No. You, like Nail-san, are a warrior-type. response:	More importantly, Dende, I know how you feel, not wanting to heal Vegeta.
context: Vegeta!\They said... you can heal injuries. Is that true?\Y- Yes!\Dende...\I see, so that's it!\Unbelievable! Do I have the same ability?\No. You, like Nail-san, are a warrior-type.\More importantly, Dende, I know how you feel, not wanting to heal Vegeta. response:	For now, without him, there isn't anything we can do!
context: They said... you can heal injuries. Is that true?\Y- Yes!\Dende...\I see, so that's it!\Unbelievable! Do I have the same ability?\No. You, like Nail-san, are a warrior-type.\More importantly, Dende, I know how you feel, not wanting to heal Vegeta.\For now, without him, there isn't anything we can do! response:	He...
