context: OP response:	ED
context: OP\ED response:	Log on to www.ruri-subs.com or visit us at
context: OP\ED\Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	Flonyard is in the middle of a great war.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Flonyard is in the middle of a great war. response:	A hero has been summoned to be the savior of Biscotti,
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Flonyard is in the middle of a great war.\A hero has been summoned to be the savior of Biscotti, response:	the Earthling, Sink Izumi.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Flonyard is in the middle of a great war.\A hero has been summoned to be the savior of Biscotti,\the Earthling, Sink Izumi. response:	The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Flonyard is in the middle of a great war.\A hero has been summoned to be the savior of Biscotti,\the Earthling, Sink Izumi.\The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now. response:	Um, was that good?
context: ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Flonyard is in the middle of a great war.\A hero has been summoned to be the savior of Biscotti,\the Earthling, Sink Izumi.\The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.\Um, was that good? response:	It was perfect, Princess!
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Flonyard is in the middle of a great war.\A hero has been summoned to be the savior of Biscotti,\the Earthling, Sink Izumi.\The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.\Um, was that good?\It was perfect, Princess! response:	First Battle!
context: Fansubbed by Ruri Subs\Flonyard is in the middle of a great war.\A hero has been summoned to be the savior of Biscotti,\the Earthling, Sink Izumi.\The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.\Um, was that good?\It was perfect, Princess!\First Battle! response:	The... The...
context: Flonyard is in the middle of a great war.\A hero has been summoned to be the savior of Biscotti,\the Earthling, Sink Izumi.\The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.\Um, was that good?\It was perfect, Princess!\First Battle!\The... The... response:	The Hero has appeared!
context: A hero has been summoned to be the savior of Biscotti,\the Earthling, Sink Izumi.\The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.\Um, was that good?\It was perfect, Princess!\First Battle!\The... The...\The Hero has appeared! response:	Here in Flonyard,
context: the Earthling, Sink Izumi.\The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.\Um, was that good?\It was perfect, Princess!\First Battle!\The... The...\The Hero has appeared!\Here in Flonyard, response:	Biscotti's Royal Representative has summoned a hero!
context: The first battle of Sir Hero, Sink, who cheerfully agreed to help, begins now.\Um, was that good?\It was perfect, Princess!\First Battle!\The... The...\The Hero has appeared!\Here in Flonyard,\Biscotti's Royal Representative has summoned a hero! response:	This is also my first time witnessing this.
context: Um, was that good?\It was perfect, Princess!\First Battle!\The... The...\The Hero has appeared!\Here in Flonyard,\Biscotti's Royal Representative has summoned a hero!\This is also my first time witnessing this. response:	Exactly! And that rarely seen hero is now present right before our eyes!
context: It was perfect, Princess!\First Battle!\The... The...\The Hero has appeared!\Here in Flonyard,\Biscotti's Royal Representative has summoned a hero!\This is also my first time witnessing this.\Exactly! And that rarely seen hero is now present right before our eyes! response:	But, Princess,
context: First Battle!\The... The...\The Hero has appeared!\Here in Flonyard,\Biscotti's Royal Representative has summoned a hero!\This is also my first time witnessing this.\Exactly! And that rarely seen hero is now present right before our eyes!\But, Princess, response:	that hero does not know our rules of war, right?
context: The... The...\The Hero has appeared!\Here in Flonyard,\Biscotti's Royal Representative has summoned a hero!\This is also my first time witnessing this.\Exactly! And that rarely seen hero is now present right before our eyes!\But, Princess,\that hero does not know our rules of war, right? response:	Will everything be okay?
context: The Hero has appeared!\Here in Flonyard,\Biscotti's Royal Representative has summoned a hero!\This is also my first time witnessing this.\Exactly! And that rarely seen hero is now present right before our eyes!\But, Princess,\that hero does not know our rules of war, right?\Will everything be okay? response:	Don't worry. I've told him all about it.
context: Here in Flonyard,\Biscotti's Royal Representative has summoned a hero!\This is also my first time witnessing this.\Exactly! And that rarely seen hero is now present right before our eyes!\But, Princess,\that hero does not know our rules of war, right?\Will everything be okay?\Don't worry. I've told him all about it. response:	Laurent is carefully going over it with him now.
context: Biscotti's Royal Representative has summoned a hero!\This is also my first time witnessing this.\Exactly! And that rarely seen hero is now present right before our eyes!\But, Princess,\that hero does not know our rules of war, right?\Will everything be okay?\Don't worry. I've told him all about it.\Laurent is carefully going over it with him now. response:	Good. Looks like you've memorized the rules and routes.
context: This is also my first time witnessing this.\Exactly! And that rarely seen hero is now present right before our eyes!\But, Princess,\that hero does not know our rules of war, right?\Will everything be okay?\Don't worry. I've told him all about it.\Laurent is carefully going over it with him now.\Good. Looks like you've memorized the rules and routes. response:	Yes! The princess told me about them earlier.
context: Exactly! And that rarely seen hero is now present right before our eyes!\But, Princess,\that hero does not know our rules of war, right?\Will everything be okay?\Don't worry. I've told him all about it.\Laurent is carefully going over it with him now.\Good. Looks like you've memorized the rules and routes.\Yes! The princess told me about them earlier. response:	When you were summoned by the princess,
context: But, Princess,\that hero does not know our rules of war, right?\Will everything be okay?\Don't worry. I've told him all about it.\Laurent is carefully going over it with him now.\Good. Looks like you've memorized the rules and routes.\Yes! The princess told me about them earlier.\When you were summoned by the princess, response:	what was your first impression of her?
context: that hero does not know our rules of war, right?\Will everything be okay?\Don't worry. I've told him all about it.\Laurent is carefully going over it with him now.\Good. Looks like you've memorized the rules and routes.\Yes! The princess told me about them earlier.\When you were summoned by the princess,\what was your first impression of her? response:	She's cute and caring,
context: Will everything be okay?\Don't worry. I've told him all about it.\Laurent is carefully going over it with him now.\Good. Looks like you've memorized the rules and routes.\Yes! The princess told me about them earlier.\When you were summoned by the princess,\what was your first impression of her?\She's cute and caring, response:	not to mention an amazing princess!
context: Don't worry. I've told him all about it.\Laurent is carefully going over it with him now.\Good. Looks like you've memorized the rules and routes.\Yes! The princess told me about them earlier.\When you were summoned by the princess,\what was your first impression of her?\She's cute and caring,\not to mention an amazing princess! response:	Excellent!
context: Laurent is carefully going over it with him now.\Good. Looks like you've memorized the rules and routes.\Yes! The princess told me about them earlier.\When you were summoned by the princess,\what was your first impression of her?\She's cute and caring,\not to mention an amazing princess!\Excellent! response:	In that case, Sir Hero,
context: Good. Looks like you've memorized the rules and routes.\Yes! The princess told me about them earlier.\When you were summoned by the princess,\what was your first impression of her?\She's cute and caring,\not to mention an amazing princess!\Excellent!\In that case, Sir Hero, response:	advance forward and rendezvous with our vanguard, Eclair!
context: Yes! The princess told me about them earlier.\When you were summoned by the princess,\what was your first impression of her?\She's cute and caring,\not to mention an amazing princess!\Excellent!\In that case, Sir Hero,\advance forward and rendezvous with our vanguard, Eclair! response:	Okay!
context: When you were summoned by the princess,\what was your first impression of her?\She's cute and caring,\not to mention an amazing princess!\Excellent!\In that case, Sir Hero,\advance forward and rendezvous with our vanguard, Eclair!\Okay! response:	Sink Izumi,
context: what was your first impression of her?\She's cute and caring,\not to mention an amazing princess!\Excellent!\In that case, Sir Hero,\advance forward and rendezvous with our vanguard, Eclair!\Okay!\Sink Izumi, response:	advancing!
context: She's cute and caring,\not to mention an amazing princess!\Excellent!\In that case, Sir Hero,\advance forward and rendezvous with our vanguard, Eclair!\Okay!\Sink Izumi,\advancing! response:	Sir Hero.
context: not to mention an amazing princess!\Excellent!\In that case, Sir Hero,\advance forward and rendezvous with our vanguard, Eclair!\Okay!\Sink Izumi,\advancing!\Sir Hero. response:	I'll reconfirm the rules with you one last time, all right?
context: Excellent!\In that case, Sir Hero,\advance forward and rendezvous with our vanguard, Eclair!\Okay!\Sink Izumi,\advancing!\Sir Hero.\I'll reconfirm the rules with you one last time, all right? response:	All right. Please do!
context: In that case, Sir Hero,\advance forward and rendezvous with our vanguard, Eclair!\Okay!\Sink Izumi,\advancing!\Sir Hero.\I'll reconfirm the rules with you one last time, all right?\All right. Please do! response:	First, when enemy soldiers attack you,
context: advance forward and rendezvous with our vanguard, Eclair!\Okay!\Sink Izumi,\advancing!\Sir Hero.\I'll reconfirm the rules with you one last time, all right?\All right. Please do!\First, when enemy soldiers attack you, response:	just beat them up as you go!
context: Okay!\Sink Izumi,\advancing!\Sir Hero.\I'll reconfirm the rules with you one last time, all right?\All right. Please do!\First, when enemy soldiers attack you,\just beat them up as you go! response:	That's amazing! What a real hero!
context: Sink Izumi,\advancing!\Sir Hero.\I'll reconfirm the rules with you one last time, all right?\All right. Please do!\First, when enemy soldiers attack you,\just beat them up as you go!\That's amazing! What a real hero! response:	If we could defeat a hero, wouldn't we be incredible?!
context: advancing!\Sir Hero.\I'll reconfirm the rules with you one last time, all right?\All right. Please do!\First, when enemy soldiers attack you,\just beat them up as you go!\That's amazing! What a real hero!\If we could defeat a hero, wouldn't we be incredible?! response:	It'd be awesome!
context: Sir Hero.\I'll reconfirm the rules with you one last time, all right?\All right. Please do!\First, when enemy soldiers attack you,\just beat them up as you go!\That's amazing! What a real hero!\If we could defeat a hero, wouldn't we be incredible?!\It'd be awesome! response:	I'm gonna go for it, damn it!
context: I'll reconfirm the rules with you one last time, all right?\All right. Please do!\First, when enemy soldiers attack you,\just beat them up as you go!\That's amazing! What a real hero!\If we could defeat a hero, wouldn't we be incredible?!\It'd be awesome!\I'm gonna go for it, damn it! response:	As long as the enemy soldiers get hit by your weapon,
context: All right. Please do!\First, when enemy soldiers attack you,\just beat them up as you go!\That's amazing! What a real hero!\If we could defeat a hero, wouldn't we be incredible?!\It'd be awesome!\I'm gonna go for it, damn it!\As long as the enemy soldiers get hit by your weapon, response:	they'll get knocked out!
context: First, when enemy soldiers attack you,\just beat them up as you go!\That's amazing! What a real hero!\If we could defeat a hero, wouldn't we be incredible?!\It'd be awesome!\I'm gonna go for it, damn it!\As long as the enemy soldiers get hit by your weapon,\they'll get knocked out! response:	And once they're KOed, they become pet balls!
context: just beat them up as you go!\That's amazing! What a real hero!\If we could defeat a hero, wouldn't we be incredible?!\It'd be awesome!\I'm gonna go for it, damn it!\As long as the enemy soldiers get hit by your weapon,\they'll get knocked out!\And once they're KOed, they become pet balls! response:	Lion Army soldiers will turn into kitty balls.
context: That's amazing! What a real hero!\If we could defeat a hero, wouldn't we be incredible?!\It'd be awesome!\I'm gonna go for it, damn it!\As long as the enemy soldiers get hit by your weapon,\they'll get knocked out!\And once they're KOed, they become pet balls!\Lion Army soldiers will turn into kitty balls. response:	They'll be powerless for a certain amount of time.
context: If we could defeat a hero, wouldn't we be incredible?!\It'd be awesome!\I'm gonna go for it, damn it!\As long as the enemy soldiers get hit by your weapon,\they'll get knocked out!\And once they're KOed, they become pet balls!\Lion Army soldiers will turn into kitty balls.\They'll be powerless for a certain amount of time. response:	I see.
context: It'd be awesome!\I'm gonna go for it, damn it!\As long as the enemy soldiers get hit by your weapon,\they'll get knocked out!\And once they're KOed, they become pet balls!\Lion Army soldiers will turn into kitty balls.\They'll be powerless for a certain amount of time.\I see. response:	If your palm touches the opponent's head or back, that knocks them out too!
context: I'm gonna go for it, damn it!\As long as the enemy soldiers get hit by your weapon,\they'll get knocked out!\And once they're KOed, they become pet balls!\Lion Army soldiers will turn into kitty balls.\They'll be powerless for a certain amount of time.\I see.\If your palm touches the opponent's head or back, that knocks them out too! response:	Because touch outs are kind of dangerous,
context: As long as the enemy soldiers get hit by your weapon,\they'll get knocked out!\And once they're KOed, they become pet balls!\Lion Army soldiers will turn into kitty balls.\They'll be powerless for a certain amount of time.\I see.\If your palm touches the opponent's head or back, that knocks them out too!\Because touch outs are kind of dangerous, response:	you get bonus points for touching.
context: they'll get knocked out!\And once they're KOed, they become pet balls!\Lion Army soldiers will turn into kitty balls.\They'll be powerless for a certain amount of time.\I see.\If your palm touches the opponent's head or back, that knocks them out too!\Because touch outs are kind of dangerous,\you get bonus points for touching. response:	H-He's very fast!
context: And once they're KOed, they become pet balls!\Lion Army soldiers will turn into kitty balls.\They'll be powerless for a certain amount of time.\I see.\If your palm touches the opponent's head or back, that knocks them out too!\Because touch outs are kind of dangerous,\you get bonus points for touching.\H-He's very fast! response:	We don't know what just happened,
context: Lion Army soldiers will turn into kitty balls.\They'll be powerless for a certain amount of time.\I see.\If your palm touches the opponent's head or back, that knocks them out too!\Because touch outs are kind of dangerous,\you get bonus points for touching.\H-He's very fast!\We don't know what just happened, response:	but their attack points are rocketing upward!
context: They'll be powerless for a certain amount of time.\I see.\If your palm touches the opponent's head or back, that knocks them out too!\Because touch outs are kind of dangerous,\you get bonus points for touching.\H-He's very fast!\We don't know what just happened,\but their attack points are rocketing upward! response:	Perhaps there'll be a reversal here?
context: I see.\If your palm touches the opponent's head or back, that knocks them out too!\Because touch outs are kind of dangerous,\you get bonus points for touching.\H-He's very fast!\We don't know what just happened,\but their attack points are rocketing upward!\Perhaps there'll be a reversal here? response:	It seems like this hero is really extraordinary!
context: If your palm touches the opponent's head or back, that knocks them out too!\Because touch outs are kind of dangerous,\you get bonus points for touching.\H-He's very fast!\We don't know what just happened,\but their attack points are rocketing upward!\Perhaps there'll be a reversal here?\It seems like this hero is really extraordinary! response:	Of course.
context: Because touch outs are kind of dangerous,\you get bonus points for touching.\H-He's very fast!\We don't know what just happened,\but their attack points are rocketing upward!\Perhaps there'll be a reversal here?\It seems like this hero is really extraordinary!\Of course. response:	He's a hero after all!
context: you get bonus points for touching.\H-He's very fast!\We don't know what just happened,\but their attack points are rocketing upward!\Perhaps there'll be a reversal here?\It seems like this hero is really extraordinary!\Of course.\He's a hero after all! response:	Meanwhile, in the City of Kinokawa, Japan
context: H-He's very fast!\We don't know what just happened,\but their attack points are rocketing upward!\Perhaps there'll be a reversal here?\It seems like this hero is really extraordinary!\Of course.\He's a hero after all!\Meanwhile, in the City of Kinokawa, Japan response:	Rebecca, you'll be spending spring break with Izumi-kun as usual, right?
context: We don't know what just happened,\but their attack points are rocketing upward!\Perhaps there'll be a reversal here?\It seems like this hero is really extraordinary!\Of course.\He's a hero after all!\Meanwhile, in the City of Kinokawa, Japan\Rebecca, you'll be spending spring break with Izumi-kun as usual, right? response:	Wh-What do you mean as usual?
context: but their attack points are rocketing upward!\Perhaps there'll be a reversal here?\It seems like this hero is really extraordinary!\Of course.\He's a hero after all!\Meanwhile, in the City of Kinokawa, Japan\Rebecca, you'll be spending spring break with Izumi-kun as usual, right?\Wh-What do you mean as usual? response:	I'm not in a relationship with him.
context: Perhaps there'll be a reversal here?\It seems like this hero is really extraordinary!\Of course.\He's a hero after all!\Meanwhile, in the City of Kinokawa, Japan\Rebecca, you'll be spending spring break with Izumi-kun as usual, right?\Wh-What do you mean as usual?\I'm not in a relationship with him. response:	Really? But you're close, right?
context: It seems like this hero is really extraordinary!\Of course.\He's a hero after all!\Meanwhile, in the City of Kinokawa, Japan\Rebecca, you'll be spending spring break with Izumi-kun as usual, right?\Wh-What do you mean as usual?\I'm not in a relationship with him.\Really? But you're close, right? response:	Well, that's because our parents are close.
context: Of course.\He's a hero after all!\Meanwhile, in the City of Kinokawa, Japan\Rebecca, you'll be spending spring break with Izumi-kun as usual, right?\Wh-What do you mean as usual?\I'm not in a relationship with him.\Really? But you're close, right?\Well, that's because our parents are close. response:	I think Izumi-kun is kind of cool.
