context: -HALF- response:	Insert
context: -HALF-\Insert response:	Signs
context: -HALF-\Insert\Signs response:	3rd period
context: -HALF-\Insert\Signs\3rd period response:	3rd period
context: -HALF-\Insert\Signs\3rd period\3rd period response:	My Notes
context: -HALF-\Insert\Signs\3rd period\3rd period\My Notes response:	My Notes
context: -HALF-\Insert\Signs\3rd period\3rd period\My Notes\My Notes response:	Togashi Yuuta
context: -HALF-\Insert\Signs\3rd period\3rd period\My Notes\My Notes\Togashi Yuuta response:	Togashi Yuuta
context: Insert\Signs\3rd period\3rd period\My Notes\My Notes\Togashi Yuuta\Togashi Yuuta response:	Tuna
context: Signs\3rd period\3rd period\My Notes\My Notes\Togashi Yuuta\Togashi Yuuta\Tuna response:	Tuna
context: 3rd period\3rd period\My Notes\My Notes\Togashi Yuuta\Togashi Yuuta\Tuna\Tuna response:	Blast reality.
context: 3rd period\My Notes\My Notes\Togashi Yuuta\Togashi Yuuta\Tuna\Tuna\Blast reality. response:	Burst it into shreds.
context: My Notes\My Notes\Togashi Yuuta\Togashi Yuuta\Tuna\Tuna\Blast reality.\Burst it into shreds. response:	Banishment... this world!
context: My Notes\Togashi Yuuta\Togashi Yuuta\Tuna\Tuna\Blast reality.\Burst it into shreds.\Banishment... this world! response:	Avalon Smasher!
context: Togashi Yuuta\Togashi Yuuta\Tuna\Tuna\Blast reality.\Burst it into shreds.\Banishment... this world!\Avalon Smasher! response:	How long do you plan to continue this farce?
context: Togashi Yuuta\Tuna\Tuna\Blast reality.\Burst it into shreds.\Banishment... this world!\Avalon Smasher!\How long do you plan to continue this farce? response:	Do you enjoy it?
context: Tuna\Tuna\Blast reality.\Burst it into shreds.\Banishment... this world!\Avalon Smasher!\How long do you plan to continue this farce?\Do you enjoy it? response:	Do you enjoy babbling this childish nonsense?
context: Tuna\Blast reality.\Burst it into shreds.\Banishment... this world!\Avalon Smasher!\How long do you plan to continue this farce?\Do you enjoy it?\Do you enjoy babbling this childish nonsense? response:	Wicked... Twinkle!
context: Blast reality.\Burst it into shreds.\Banishment... this world!\Avalon Smasher!\How long do you plan to continue this farce?\Do you enjoy it?\Do you enjoy babbling this childish nonsense?\Wicked... Twinkle! response:	Do you hate Mom?
context: Burst it into shreds.\Banishment... this world!\Avalon Smasher!\How long do you plan to continue this farce?\Do you enjoy it?\Do you enjoy babbling this childish nonsense?\Wicked... Twinkle!\Do you hate Mom? response:	No...
context: Banishment... this world!\Avalon Smasher!\How long do you plan to continue this farce?\Do you enjoy it?\Do you enjoy babbling this childish nonsense?\Wicked... Twinkle!\Do you hate Mom?\No... response:	Do you just want to cause trouble for Grandma and Grandpa, then?
context: Avalon Smasher!\How long do you plan to continue this farce?\Do you enjoy it?\Do you enjoy babbling this childish nonsense?\Wicked... Twinkle!\Do you hate Mom?\No...\Do you just want to cause trouble for Grandma and Grandpa, then? response:	No!
context: How long do you plan to continue this farce?\Do you enjoy it?\Do you enjoy babbling this childish nonsense?\Wicked... Twinkle!\Do you hate Mom?\No...\Do you just want to cause trouble for Grandma and Grandpa, then?\No! response:	Don't you get it? We can't change the past!
context: Do you enjoy it?\Do you enjoy babbling this childish nonsense?\Wicked... Twinkle!\Do you hate Mom?\No...\Do you just want to cause trouble for Grandma and Grandpa, then?\No!\Don't you get it? We can't change the past! response:	There's nothing we can do about it!
context: Do you enjoy babbling this childish nonsense?\Wicked... Twinkle!\Do you hate Mom?\No...\Do you just want to cause trouble for Grandma and Grandpa, then?\No!\Don't you get it? We can't change the past!\There's nothing we can do about it! response:	When will you be satisfied? We have no choice!
context: Wicked... Twinkle!\Do you hate Mom?\No...\Do you just want to cause trouble for Grandma and Grandpa, then?\No!\Don't you get it? We can't change the past!\There's nothing we can do about it!\When will you be satisfied? We have no choice! response:	Evil Eye...
context: Do you hate Mom?\No...\Do you just want to cause trouble for Grandma and Grandpa, then?\No!\Don't you get it? We can't change the past!\There's nothing we can do about it!\When will you be satisfied? We have no choice!\Evil Eye... response:	No...
context: No...\Do you just want to cause trouble for Grandma and Grandpa, then?\No!\Don't you get it? We can't change the past!\There's nothing we can do about it!\When will you be satisfied? We have no choice!\Evil Eye...\No... response:	No...
context: Do you just want to cause trouble for Grandma and Grandpa, then?\No!\Don't you get it? We can't change the past!\There's nothing we can do about it!\When will you be satisfied? We have no choice!\Evil Eye...\No...\No... response:	No...
context: No!\Don't you get it? We can't change the past!\There's nothing we can do about it!\When will you be satisfied? We have no choice!\Evil Eye...\No...\No...\No... response:	No!
