context: Episode 5 Umaru and Summer Vacation response:	Midterms 1: Doma Umaru 2: Tachibana Sylphynford
context: Episode 5 Umaru and Summer Vacation\Midterms 1: Doma Umaru 2: Tachibana Sylphynford response:	Umaru-chan, you're number one again?
context: Episode 5 Umaru and Summer Vacation\Midterms 1: Doma Umaru 2: Tachibana Sylphynford\Umaru-chan, you're number one again? response:	That's amazing. You're so perfect.
context: Episode 5 Umaru and Summer Vacation\Midterms 1: Doma Umaru 2: Tachibana Sylphynford\Umaru-chan, you're number one again?\That's amazing. You're so perfect. response:	Th-That's not true.
context: Episode 5 Umaru and Summer Vacation\Midterms 1: Doma Umaru 2: Tachibana Sylphynford\Umaru-chan, you're number one again?\That's amazing. You're so perfect.\Th-That's not true. response:	298: Ebina Nana
context: Episode 5 Umaru and Summer Vacation\Midterms 1: Doma Umaru 2: Tachibana Sylphynford\Umaru-chan, you're number one again?\That's amazing. You're so perfect.\Th-That's not true.\298: Ebina Nana response:	What's this?
context: Episode 5 Umaru and Summer Vacation\Midterms 1: Doma Umaru 2: Tachibana Sylphynford\Umaru-chan, you're number one again?\That's amazing. You're so perfect.\Th-That's not true.\298: Ebina Nana\What's this? response:	Shupaaan
context: Episode 5 Umaru and Summer Vacation\Midterms 1: Doma Umaru 2: Tachibana Sylphynford\Umaru-chan, you're number one again?\That's amazing. You're so perfect.\Th-That's not true.\298: Ebina Nana\What's this?\Shupaaan response:	Umaru-san, I won't lose next time.
context: Midterms 1: Doma Umaru 2: Tachibana Sylphynford\Umaru-chan, you're number one again?\That's amazing. You're so perfect.\Th-That's not true.\298: Ebina Nana\What's this?\Shupaaan\Umaru-san, I won't lose next time. response:	Self-flower petals?
context: Umaru-chan, you're number one again?\That's amazing. You're so perfect.\Th-That's not true.\298: Ebina Nana\What's this?\Shupaaan\Umaru-san, I won't lose next time.\Self-flower petals? response:	Sylphyn kept it pretty simple today.
context: That's amazing. You're so perfect.\Th-That's not true.\298: Ebina Nana\What's this?\Shupaaan\Umaru-san, I won't lose next time.\Self-flower petals?\Sylphyn kept it pretty simple today. response:	Maybe she's plotting something.
context: Th-That's not true.\298: Ebina Nana\What's this?\Shupaaan\Umaru-san, I won't lose next time.\Self-flower petals?\Sylphyn kept it pretty simple today.\Maybe she's plotting something. response:	Well, what's more important is summer vacation, which starts tomorrow.
context: 298: Ebina Nana\What's this?\Shupaaan\Umaru-san, I won't lose next time.\Self-flower petals?\Sylphyn kept it pretty simple today.\Maybe she's plotting something.\Well, what's more important is summer vacation, which starts tomorrow. response:	I'm so psyched for it.
context: What's this?\Shupaaan\Umaru-san, I won't lose next time.\Self-flower petals?\Sylphyn kept it pretty simple today.\Maybe she's plotting something.\Well, what's more important is summer vacation, which starts tomorrow.\I'm so psyched for it. response:	Yeah. Now that our tests are over, I'm totally gonna let loose.
context: Shupaaan\Umaru-san, I won't lose next time.\Self-flower petals?\Sylphyn kept it pretty simple today.\Maybe she's plotting something.\Well, what's more important is summer vacation, which starts tomorrow.\I'm so psyched for it.\Yeah. Now that our tests are over, I'm totally gonna let loose. response:	What will you do, Umaru-chan?
context: Umaru-san, I won't lose next time.\Self-flower petals?\Sylphyn kept it pretty simple today.\Maybe she's plotting something.\Well, what's more important is summer vacation, which starts tomorrow.\I'm so psyched for it.\Yeah. Now that our tests are over, I'm totally gonna let loose.\What will you do, Umaru-chan? response:	The same as usual, I guess.
context: Self-flower petals?\Sylphyn kept it pretty simple today.\Maybe she's plotting something.\Well, what's more important is summer vacation, which starts tomorrow.\I'm so psyched for it.\Yeah. Now that our tests are over, I'm totally gonna let loose.\What will you do, Umaru-chan?\The same as usual, I guess. response:	The Next Day
