context: Big Brother! response:	Y-You sure like to get up close and personal, Alice.
context: Big Brother!\Y-You sure like to get up close and personal, Alice. response:	Stare...
context: Big Brother!\Y-You sure like to get up close and personal, Alice.\Stare... response:	I wanted to share in your good fortune, as well!
context: Big Brother!\Y-You sure like to get up close and personal, Alice.\Stare...\I wanted to share in your good fortune, as well! response:	You were accepted into the Hero Academy, after all!
context: Big Brother!\Y-You sure like to get up close and personal, Alice.\Stare...\I wanted to share in your good fortune, as well!\You were accepted into the Hero Academy, after all! response:	R-Right...
context: Big Brother!\Y-You sure like to get up close and personal, Alice.\Stare...\I wanted to share in your good fortune, as well!\You were accepted into the Hero Academy, after all!\R-Right... response:	You're basically the head of our household now!
context: Big Brother!\Y-You sure like to get up close and personal, Alice.\Stare...\I wanted to share in your good fortune, as well!\You were accepted into the Hero Academy, after all!\R-Right...\You're basically the head of our household now! response:	Alice, don't say that! My dignity!
context: Big Brother!\Y-You sure like to get up close and personal, Alice.\Stare...\I wanted to share in your good fortune, as well!\You were accepted into the Hero Academy, after all!\R-Right...\You're basically the head of our household now!\Alice, don't say that! My dignity! response:	F-Father!
context: Y-You sure like to get up close and personal, Alice.\Stare...\I wanted to share in your good fortune, as well!\You were accepted into the Hero Academy, after all!\R-Right...\You're basically the head of our household now!\Alice, don't say that! My dignity!\F-Father! response:	I need to talk to you about the Hero Academy.
context: Stare...\I wanted to share in your good fortune, as well!\You were accepted into the Hero Academy, after all!\R-Right...\You're basically the head of our household now!\Alice, don't say that! My dignity!\F-Father!\I need to talk to you about the Hero Academy. response:	You see, there's an enrollment fee...
context: I wanted to share in your good fortune, as well!\You were accepted into the Hero Academy, after all!\R-Right...\You're basically the head of our household now!\Alice, don't say that! My dignity!\F-Father!\I need to talk to you about the Hero Academy.\You see, there's an enrollment fee... response:	Enrollment fee?
context: You were accepted into the Hero Academy, after all!\R-Right...\You're basically the head of our household now!\Alice, don't say that! My dignity!\F-Father!\I need to talk to you about the Hero Academy.\You see, there's an enrollment fee...\Enrollment fee? response:	I have some money saved up. How much is it?
context: R-Right...\You're basically the head of our household now!\Alice, don't say that! My dignity!\F-Father!\I need to talk to you about the Hero Academy.\You see, there's an enrollment fee...\Enrollment fee?\I have some money saved up. How much is it? response:	Three hundred thousand rels.
context: You're basically the head of our household now!\Alice, don't say that! My dignity!\F-Father!\I need to talk to you about the Hero Academy.\You see, there's an enrollment fee...\Enrollment fee?\I have some money saved up. How much is it?\Three hundred thousand rels. response:	Three hundred...
context: Alice, don't say that! My dignity!\F-Father!\I need to talk to you about the Hero Academy.\You see, there's an enrollment fee...\Enrollment fee?\I have some money saved up. How much is it?\Three hundred thousand rels.\Three hundred... response:	Within a week.
context: F-Father!\I need to talk to you about the Hero Academy.\You see, there's an enrollment fee...\Enrollment fee?\I have some money saved up. How much is it?\Three hundred thousand rels.\Three hundred...\Within a week. response:	A week...
context: I need to talk to you about the Hero Academy.\You see, there's an enrollment fee...\Enrollment fee?\I have some money saved up. How much is it?\Three hundred thousand rels.\Three hundred...\Within a week.\A week... response:	Will a year work?
context: You see, there's an enrollment fee...\Enrollment fee?\I have some money saved up. How much is it?\Three hundred thousand rels.\Three hundred...\Within a week.\A week...\Will a year work? response:	Very well. I'll earn the money myself.
context: Enrollment fee?\I have some money saved up. How much is it?\Three hundred thousand rels.\Three hundred...\Within a week.\A week...\Will a year work?\Very well. I'll earn the money myself. response:	I'm sorry! I'm so sorry!
context: I have some money saved up. How much is it?\Three hundred thousand rels.\Three hundred...\Within a week.\A week...\Will a year work?\Very well. I'll earn the money myself.\I'm sorry! I'm so sorry! response:	My poor, unfortunate brother.
context: Three hundred thousand rels.\Three hundred...\Within a week.\A week...\Will a year work?\Very well. I'll earn the money myself.\I'm sorry! I'm so sorry!\My poor, unfortunate brother. response:	Three hundred thousand rels to get into the school, eh?
context: Three hundred...\Within a week.\A week...\Will a year work?\Very well. I'll earn the money myself.\I'm sorry! I'm so sorry!\My poor, unfortunate brother.\Three hundred thousand rels to get into the school, eh? response:	That's probably a bit harsh for a poor noble like you.
context: Within a week.\A week...\Will a year work?\Very well. I'll earn the money myself.\I'm sorry! I'm so sorry!\My poor, unfortunate brother.\Three hundred thousand rels to get into the school, eh?\That's probably a bit harsh for a poor noble like you. response:	I don't think you needed to be that blunt about it, but yeah.
context: A week...\Will a year work?\Very well. I'll earn the money myself.\I'm sorry! I'm so sorry!\My poor, unfortunate brother.\Three hundred thousand rels to get into the school, eh?\That's probably a bit harsh for a poor noble like you.\I don't think you needed to be that blunt about it, but yeah. response:	Then why don't you fight some rare monsters in this dungeon and sell them off?
context: Will a year work?\Very well. I'll earn the money myself.\I'm sorry! I'm so sorry!\My poor, unfortunate brother.\Three hundred thousand rels to get into the school, eh?\That's probably a bit harsh for a poor noble like you.\I don't think you needed to be that blunt about it, but yeah.\Then why don't you fight some rare monsters in this dungeon and sell them off? response:	I'd rather not bring that much attention to myself.
context: Very well. I'll earn the money myself.\I'm sorry! I'm so sorry!\My poor, unfortunate brother.\Three hundred thousand rels to get into the school, eh?\That's probably a bit harsh for a poor noble like you.\I don't think you needed to be that blunt about it, but yeah.\Then why don't you fight some rare monsters in this dungeon and sell them off?\I'd rather not bring that much attention to myself. response:	Especially after the entrance exam.
context: I'm sorry! I'm so sorry!\My poor, unfortunate brother.\Three hundred thousand rels to get into the school, eh?\That's probably a bit harsh for a poor noble like you.\I don't think you needed to be that blunt about it, but yeah.\Then why don't you fight some rare monsters in this dungeon and sell them off?\I'd rather not bring that much attention to myself.\Especially after the entrance exam. response:	Could you just say it was you who defeated the Dead Reaper?
context: My poor, unfortunate brother.\Three hundred thousand rels to get into the school, eh?\That's probably a bit harsh for a poor noble like you.\I don't think you needed to be that blunt about it, but yeah.\Then why don't you fight some rare monsters in this dungeon and sell them off?\I'd rather not bring that much attention to myself.\Especially after the entrance exam.\Could you just say it was you who defeated the Dead Reaper? response:	What?
context: Three hundred thousand rels to get into the school, eh?\That's probably a bit harsh for a poor noble like you.\I don't think you needed to be that blunt about it, but yeah.\Then why don't you fight some rare monsters in this dungeon and sell them off?\I'd rather not bring that much attention to myself.\Especially after the entrance exam.\Could you just say it was you who defeated the Dead Reaper?\What? response:	People would have an easier time believing the daughter of an earl defeated it
context: That's probably a bit harsh for a poor noble like you.\I don't think you needed to be that blunt about it, but yeah.\Then why don't you fight some rare monsters in this dungeon and sell them off?\I'd rather not bring that much attention to myself.\Especially after the entrance exam.\Could you just say it was you who defeated the Dead Reaper?\What?\People would have an easier time believing the daughter of an earl defeated it response:	than the son of a baronet.
context: I don't think you needed to be that blunt about it, but yeah.\Then why don't you fight some rare monsters in this dungeon and sell them off?\I'd rather not bring that much attention to myself.\Especially after the entrance exam.\Could you just say it was you who defeated the Dead Reaper?\What?\People would have an easier time believing the daughter of an earl defeated it\than the son of a baronet. response:	Very well. I'll say that I defeated it.
context: Then why don't you fight some rare monsters in this dungeon and sell them off?\I'd rather not bring that much attention to myself.\Especially after the entrance exam.\Could you just say it was you who defeated the Dead Reaper?\What?\People would have an easier time believing the daughter of an earl defeated it\than the son of a baronet.\Very well. I'll say that I defeated it. response:	Thanks.
context: I'd rather not bring that much attention to myself.\Especially after the entrance exam.\Could you just say it was you who defeated the Dead Reaper?\What?\People would have an easier time believing the daughter of an earl defeated it\than the son of a baronet.\Very well. I'll say that I defeated it.\Thanks. response:	I ended up letting my vain classmate take the credit for it.
context: Especially after the entrance exam.\Could you just say it was you who defeated the Dead Reaper?\What?\People would have an easier time believing the daughter of an earl defeated it\than the son of a baronet.\Very well. I'll say that I defeated it.\Thanks.\I ended up letting my vain classmate take the credit for it. response:	Then I guess there's only one way.
context: Could you just say it was you who defeated the Dead Reaper?\What?\People would have an easier time believing the daughter of an earl defeated it\than the son of a baronet.\Very well. I'll say that I defeated it.\Thanks.\I ended up letting my vain classmate take the credit for it.\Then I guess there's only one way. response:	Work at the adventurers' guild.
context: What?\People would have an easier time believing the daughter of an earl defeated it\than the son of a baronet.\Very well. I'll say that I defeated it.\Thanks.\I ended up letting my vain classmate take the credit for it.\Then I guess there's only one way.\Work at the adventurers' guild. response:	E-Excuse me...
context: People would have an easier time believing the daughter of an earl defeated it\than the son of a baronet.\Very well. I'll say that I defeated it.\Thanks.\I ended up letting my vain classmate take the credit for it.\Then I guess there's only one way.\Work at the adventurers' guild.\E-Excuse me... response:	What?
context: than the son of a baronet.\Very well. I'll say that I defeated it.\Thanks.\I ended up letting my vain classmate take the credit for it.\Then I guess there's only one way.\Work at the adventurers' guild.\E-Excuse me...\What? response:	Sir, please don't intimidate the newbie.
context: Very well. I'll say that I defeated it.\Thanks.\I ended up letting my vain classmate take the credit for it.\Then I guess there's only one way.\Work at the adventurers' guild.\E-Excuse me...\What?\Sir, please don't intimidate the newbie. response:	I'm the receptionist, Lola.
context: Thanks.\I ended up letting my vain classmate take the credit for it.\Then I guess there's only one way.\Work at the adventurers' guild.\E-Excuse me...\What?\Sir, please don't intimidate the newbie.\I'm the receptionist, Lola. response:	Is this your first time at the adventurers' guild?
context: I ended up letting my vain classmate take the credit for it.\Then I guess there's only one way.\Work at the adventurers' guild.\E-Excuse me...\What?\Sir, please don't intimidate the newbie.\I'm the receptionist, Lola.\Is this your first time at the adventurers' guild? response:	First, allow me to explain the very simple system we use here.
context: Then I guess there's only one way.\Work at the adventurers' guild.\E-Excuse me...\What?\Sir, please don't intimidate the newbie.\I'm the receptionist, Lola.\Is this your first time at the adventurers' guild?\First, allow me to explain the very simple system we use here. response:	S-Sure.
context: Work at the adventurers' guild.\E-Excuse me...\What?\Sir, please don't intimidate the newbie.\I'm the receptionist, Lola.\Is this your first time at the adventurers' guild?\First, allow me to explain the very simple system we use here.\S-Sure. response:	There are many prominent adventurers who belong to Odin.
context: E-Excuse me...\What?\Sir, please don't intimidate the newbie.\I'm the receptionist, Lola.\Is this your first time at the adventurers' guild?\First, allow me to explain the very simple system we use here.\S-Sure.\There are many prominent adventurers who belong to Odin. response:	We have adventurers harvest plants,
context: What?\Sir, please don't intimidate the newbie.\I'm the receptionist, Lola.\Is this your first time at the adventurers' guild?\First, allow me to explain the very simple system we use here.\S-Sure.\There are many prominent adventurers who belong to Odin.\We have adventurers harvest plants, response:	cull monsters, explore dungeons, and complete various other quests.
