context: Rule the Court response:	I'm sure you're sick of hearing this,
context: Rule the Court\I'm sure you're sick of hearing this, response:	Seijoh!
context: Rule the Court\I'm sure you're sick of hearing this,\Seijoh! response:	but make sure you serve strong.
context: Rule the Court\I'm sure you're sick of hearing this,\Seijoh!\but make sure you serve strong. response:	It can't be helped if their 10 scores some points.
context: Rule the Court\I'm sure you're sick of hearing this,\Seijoh!\but make sure you serve strong.\It can't be helped if their 10 scores some points. response:	Seijoh!
context: Rule the Court\I'm sure you're sick of hearing this,\Seijoh!\but make sure you serve strong.\It can't be helped if their 10 scores some points.\Seijoh! response:	Limit his path and pick up the ball.
context: Rule the Court\I'm sure you're sick of hearing this,\Seijoh!\but make sure you serve strong.\It can't be helped if their 10 scores some points.\Seijoh!\Limit his path and pick up the ball. response:	Right!
context: Rule the Court\I'm sure you're sick of hearing this,\Seijoh!\but make sure you serve strong.\It can't be helped if their 10 scores some points.\Seijoh!\Limit his path and pick up the ball.\Right! response:	You guys are strong.
context: I'm sure you're sick of hearing this,\Seijoh!\but make sure you serve strong.\It can't be helped if their 10 scores some points.\Seijoh!\Limit his path and pick up the ball.\Right!\You guys are strong. response:	Seijoh!
context: Seijoh!\but make sure you serve strong.\It can't be helped if their 10 scores some points.\Seijoh!\Limit his path and pick up the ball.\Right!\You guys are strong.\Seijoh! response:	Yeah!
context: but make sure you serve strong.\It can't be helped if their 10 scores some points.\Seijoh!\Limit his path and pick up the ball.\Right!\You guys are strong.\Seijoh!\Yeah! response:	Seijoh!
context: It can't be helped if their 10 scores some points.\Seijoh!\Limit his path and pick up the ball.\Right!\You guys are strong.\Seijoh!\Yeah!\Seijoh! response:	Fly
context: Seijoh!\Limit his path and pick up the ball.\Right!\You guys are strong.\Seijoh!\Yeah!\Seijoh!\Fly response:	Just remember, don't let Oikawa do whatever he wants with his serves.
context: Limit his path and pick up the ball.\Right!\You guys are strong.\Seijoh!\Yeah!\Seijoh!\Fly\Just remember, don't let Oikawa do whatever he wants with his serves. response:	Just get it up. Get it up, no matter what.
context: Right!\You guys are strong.\Seijoh!\Yeah!\Seijoh!\Fly\Just remember, don't let Oikawa do whatever he wants with his serves.\Just get it up. Get it up, no matter what. response:	Then, someone will connect.
context: You guys are strong.\Seijoh!\Yeah!\Seijoh!\Fly\Just remember, don't let Oikawa do whatever he wants with his serves.\Just get it up. Get it up, no matter what.\Then, someone will connect. response:	Right!
context: Seijoh!\Yeah!\Seijoh!\Fly\Just remember, don't let Oikawa do whatever he wants with his serves.\Just get it up. Get it up, no matter what.\Then, someone will connect.\Right! response:	If an enemy you must defeat one day is called an archenemy,
context: Yeah!\Seijoh!\Fly\Just remember, don't let Oikawa do whatever he wants with his serves.\Just get it up. Get it up, no matter what.\Then, someone will connect.\Right!\If an enemy you must defeat one day is called an archenemy, response:	then for Karasuno, Aoba Johsai is indeed that.
context: Seijoh!\Fly\Just remember, don't let Oikawa do whatever he wants with his serves.\Just get it up. Get it up, no matter what.\Then, someone will connect.\Right!\If an enemy you must defeat one day is called an archenemy,\then for Karasuno, Aoba Johsai is indeed that. response:	You are going to be the ones
context: Fly\Just remember, don't let Oikawa do whatever he wants with his serves.\Just get it up. Get it up, no matter what.\Then, someone will connect.\Right!\If an enemy you must defeat one day is called an archenemy,\then for Karasuno, Aoba Johsai is indeed that.\You are going to be the ones response:	who are going to win this battle against your archenemy.
context: Just remember, don't let Oikawa do whatever he wants with his serves.\Just get it up. Get it up, no matter what.\Then, someone will connect.\Right!\If an enemy you must defeat one day is called an archenemy,\then for Karasuno, Aoba Johsai is indeed that.\You are going to be the ones\who are going to win this battle against your archenemy. response:	Yeah!
context: Just get it up. Get it up, no matter what.\Then, someone will connect.\Right!\If an enemy you must defeat one day is called an archenemy,\then for Karasuno, Aoba Johsai is indeed that.\You are going to be the ones\who are going to win this battle against your archenemy.\Yeah! response:	The final set...
context: Then, someone will connect.\Right!\If an enemy you must defeat one day is called an archenemy,\then for Karasuno, Aoba Johsai is indeed that.\You are going to be the ones\who are going to win this battle against your archenemy.\Yeah!\The final set... response:	We're going to surpass Aoba Johsai.
context: Right!\If an enemy you must defeat one day is called an archenemy,\then for Karasuno, Aoba Johsai is indeed that.\You are going to be the ones\who are going to win this battle against your archenemy.\Yeah!\The final set...\We're going to surpass Aoba Johsai. response:	We're going to surpass them with this team!
context: If an enemy you must defeat one day is called an archenemy,\then for Karasuno, Aoba Johsai is indeed that.\You are going to be the ones\who are going to win this battle against your archenemy.\Yeah!\The final set...\We're going to surpass Aoba Johsai.\We're going to surpass them with this team! response:	Karasuno, fight!
context: then for Karasuno, Aoba Johsai is indeed that.\You are going to be the ones\who are going to win this battle against your archenemy.\Yeah!\The final set...\We're going to surpass Aoba Johsai.\We're going to surpass them with this team!\Karasuno, fight! response:	Yeah!
context: You are going to be the ones\who are going to win this battle against your archenemy.\Yeah!\The final set...\We're going to surpass Aoba Johsai.\We're going to surpass them with this team!\Karasuno, fight!\Yeah! response:	Haikyu!!
context: who are going to win this battle against your archenemy.\Yeah!\The final set...\We're going to surpass Aoba Johsai.\We're going to surpass them with this team!\Karasuno, fight!\Yeah!\Haikyu!! response:	Episode 23: Team
context: Yeah!\The final set...\We're going to surpass Aoba Johsai.\We're going to surpass them with this team!\Karasuno, fight!\Yeah!\Haikyu!!\Episode 23: Team response:	This is finally it...
context: The final set...\We're going to surpass Aoba Johsai.\We're going to surpass them with this team!\Karasuno, fight!\Yeah!\Haikyu!!\Episode 23: Team\This is finally it... response:	Yeah...
context: We're going to surpass Aoba Johsai.\We're going to surpass them with this team!\Karasuno, fight!\Yeah!\Haikyu!!\Episode 23: Team\This is finally it...\Yeah... response:	The set where they settle things with Seijoh.
context: We're going to surpass them with this team!\Karasuno, fight!\Yeah!\Haikyu!!\Episode 23: Team\This is finally it...\Yeah...\The set where they settle things with Seijoh. response:	Nice serve!
context: Karasuno, fight!\Yeah!\Haikyu!!\Episode 23: Team\This is finally it...\Yeah...\The set where they settle things with Seijoh.\Nice serve! response:	Go, Asahi!
context: Yeah!\Haikyu!!\Episode 23: Team\This is finally it...\Yeah...\The set where they settle things with Seijoh.\Nice serve!\Go, Asahi! response:	All right!
context: Haikyu!!\Episode 23: Team\This is finally it...\Yeah...\The set where they settle things with Seijoh.\Nice serve!\Go, Asahi!\All right! response:	Oikawa-san, nice serve!
context: Episode 23: Team\This is finally it...\Yeah...\The set where they settle things with Seijoh.\Nice serve!\Go, Asahi!\All right!\Oikawa-san, nice serve! response:	Get it up... Get it up, no matter what.
context: This is finally it...\Yeah...\The set where they settle things with Seijoh.\Nice serve!\Go, Asahi!\All right!\Oikawa-san, nice serve!\Get it up... Get it up, no matter what. response:	We can't let them gain the lead this early.
context: Yeah...\The set where they settle things with Seijoh.\Nice serve!\Go, Asahi!\All right!\Oikawa-san, nice serve!\Get it up... Get it up, no matter what.\We can't let them gain the lead this early. response:	Please! Cut them off with this one!
context: The set where they settle things with Seijoh.\Nice serve!\Go, Asahi!\All right!\Oikawa-san, nice serve!\Get it up... Get it up, no matter what.\We can't let them gain the lead this early.\Please! Cut them off with this one! response:	That speed...
context: Nice serve!\Go, Asahi!\All right!\Oikawa-san, nice serve!\Get it up... Get it up, no matter what.\We can't let them gain the lead this early.\Please! Cut them off with this one!\That speed... response:	It's past the net! It's coming direct!
context: Go, Asahi!\All right!\Oikawa-san, nice serve!\Get it up... Get it up, no matter what.\We can't let them gain the lead this early.\Please! Cut them off with this one!\That speed...\It's past the net! It's coming direct! response:	It's right in front of me, but my reaction's delayed.
context: All right!\Oikawa-san, nice serve!\Get it up... Get it up, no matter what.\We can't let them gain the lead this early.\Please! Cut them off with this one!\That speed...\It's past the net! It's coming direct!\It's right in front of me, but my reaction's delayed. response:	Kyotani! Direct!
context: Oikawa-san, nice serve!\Get it up... Get it up, no matter what.\We can't let them gain the lead this early.\Please! Cut them off with this one!\That speed...\It's past the net! It's coming direct!\It's right in front of me, but my reaction's delayed.\Kyotani! Direct! response:	All right!
context: Get it up... Get it up, no matter what.\We can't let them gain the lead this early.\Please! Cut them off with this one!\That speed...\It's past the net! It's coming direct!\It's right in front of me, but my reaction's delayed.\Kyotani! Direct!\All right! response:	Great, great, Kentaro! Push it, push it, Kentaro. One more time!
context: We can't let them gain the lead this early.\Please! Cut them off with this one!\That speed...\It's past the net! It's coming direct!\It's right in front of me, but my reaction's delayed.\Kyotani! Direct!\All right!\Great, great, Kentaro! Push it, push it, Kentaro. One more time! response:	Good. It looks like Mad Dog-chan's engine's still warmed up.
context: Please! Cut them off with this one!\That speed...\It's past the net! It's coming direct!\It's right in front of me, but my reaction's delayed.\Kyotani! Direct!\All right!\Great, great, Kentaro! Push it, push it, Kentaro. One more time!\Good. It looks like Mad Dog-chan's engine's still warmed up. response:	Oikawa's serves are definitely a problem.
context: That speed...\It's past the net! It's coming direct!\It's right in front of me, but my reaction's delayed.\Kyotani! Direct!\All right!\Great, great, Kentaro! Push it, push it, Kentaro. One more time!\Good. It looks like Mad Dog-chan's engine's still warmed up.\Oikawa's serves are definitely a problem. response:	Please... Cut them off.
context: It's past the net! It's coming direct!\It's right in front of me, but my reaction's delayed.\Kyotani! Direct!\All right!\Great, great, Kentaro! Push it, push it, Kentaro. One more time!\Good. It looks like Mad Dog-chan's engine's still warmed up.\Oikawa's serves are definitely a problem.\Please... Cut them off. response:	Karasuno, fight!
context: It's right in front of me, but my reaction's delayed.\Kyotani! Direct!\All right!\Great, great, Kentaro! Push it, push it, Kentaro. One more time!\Good. It looks like Mad Dog-chan's engine's still warmed up.\Oikawa's serves are definitely a problem.\Please... Cut them off.\Karasuno, fight! response:	Oikawa, one more! Nice serve!
context: Kyotani! Direct!\All right!\Great, great, Kentaro! Push it, push it, Kentaro. One more time!\Good. It looks like Mad Dog-chan's engine's still warmed up.\Oikawa's serves are definitely a problem.\Please... Cut them off.\Karasuno, fight!\Oikawa, one more! Nice serve! response:	All right!
context: All right!\Great, great, Kentaro! Push it, push it, Kentaro. One more time!\Good. It looks like Mad Dog-chan's engine's still warmed up.\Oikawa's serves are definitely a problem.\Please... Cut them off.\Karasuno, fight!\Oikawa, one more! Nice serve!\All right! response:	It's up!
context: Great, great, Kentaro! Push it, push it, Kentaro. One more time!\Good. It looks like Mad Dog-chan's engine's still warmed up.\Oikawa's serves are definitely a problem.\Please... Cut them off.\Karasuno, fight!\Oikawa, one more! Nice serve!\All right!\It's up! response:	Cover!
context: Good. It looks like Mad Dog-chan's engine's still warmed up.\Oikawa's serves are definitely a problem.\Please... Cut them off.\Karasuno, fight!\Oikawa, one more! Nice serve!\All right!\It's up!\Cover! response:	Yeah!
context: Oikawa's serves are definitely a problem.\Please... Cut them off.\Karasuno, fight!\Oikawa, one more! Nice serve!\All right!\It's up!\Cover!\Yeah! response:	Tanaka, nice kill!
context: Please... Cut them off.\Karasuno, fight!\Oikawa, one more! Nice serve!\All right!\It's up!\Cover!\Yeah!\Tanaka, nice kill! response:	They somehow managed to stop it.
