context: Intro response:	Things got pretty crazy yesterday, didn't they?
context: Intro\Things got pretty crazy yesterday, didn't they? response:	Yeah,
context: Intro\Things got pretty crazy yesterday, didn't they?\Yeah, response:	but Sentucky might steal all our customers again if we take it easy.
context: Intro\Things got pretty crazy yesterday, didn't they?\Yeah,\but Sentucky might steal all our customers again if we take it easy. response:	You don't want to go to Greenland, right,
context: Intro\Things got pretty crazy yesterday, didn't they?\Yeah,\but Sentucky might steal all our customers again if we take it easy.\You don't want to go to Greenland, right, response:	Assistant Manager Maou Sadao?
context: Intro\Things got pretty crazy yesterday, didn't they?\Yeah,\but Sentucky might steal all our customers again if we take it easy.\You don't want to go to Greenland, right,\Assistant Manager Maou Sadao? response:	Maou...
context: Intro\Things got pretty crazy yesterday, didn't they?\Yeah,\but Sentucky might steal all our customers again if we take it easy.\You don't want to go to Greenland, right,\Assistant Manager Maou Sadao?\Maou... response:	Go over to Fushima Park tomorrow.
context: Intro\Things got pretty crazy yesterday, didn't they?\Yeah,\but Sentucky might steal all our customers again if we take it easy.\You don't want to go to Greenland, right,\Assistant Manager Maou Sadao?\Maou...\Go over to Fushima Park tomorrow. response:	What?!
context: Things got pretty crazy yesterday, didn't they?\Yeah,\but Sentucky might steal all our customers again if we take it easy.\You don't want to go to Greenland, right,\Assistant Manager Maou Sadao?\Maou...\Go over to Fushima Park tomorrow.\What?! response:	Why?!
context: Yeah,\but Sentucky might steal all our customers again if we take it easy.\You don't want to go to Greenland, right,\Assistant Manager Maou Sadao?\Maou...\Go over to Fushima Park tomorrow.\What?!\Why?! response:	I reached the sales target!
context: but Sentucky might steal all our customers again if we take it easy.\You don't want to go to Greenland, right,\Assistant Manager Maou Sadao?\Maou...\Go over to Fushima Park tomorrow.\What?!\Why?!\I reached the sales target! response:	Huh?
context: You don't want to go to Greenland, right,\Assistant Manager Maou Sadao?\Maou...\Go over to Fushima Park tomorrow.\What?!\Why?!\I reached the sales target!\Huh? response:	What are you talking about?
context: Assistant Manager Maou Sadao?\Maou...\Go over to Fushima Park tomorrow.\What?!\Why?!\I reached the sales target!\Huh?\What are you talking about? response:	Huh?
context: Maou...\Go over to Fushima Park tomorrow.\What?!\Why?!\I reached the sales target!\Huh?\What are you talking about?\Huh? response:	The manager there asked me to lend them one of my talented employees.
context: Go over to Fushima Park tomorrow.\What?!\Why?!\I reached the sales target!\Huh?\What are you talking about?\Huh?\The manager there asked me to lend them one of my talented employees. response:	Oh. You scared me there.
context: What?!\Why?!\I reached the sales target!\Huh?\What are you talking about?\Huh?\The manager there asked me to lend them one of my talented employees.\Oh. You scared me there. response:	Apparently, there are some new attractions and even a fair,
context: Why?!\I reached the sales target!\Huh?\What are you talking about?\Huh?\The manager there asked me to lend them one of my talented employees.\Oh. You scared me there.\Apparently, there are some new attractions and even a fair, response:	so there's gonna be a lot of visitors tomorrow.
context: I reached the sales target!\Huh?\What are you talking about?\Huh?\The manager there asked me to lend them one of my talented employees.\Oh. You scared me there.\Apparently, there are some new attractions and even a fair,\so there's gonna be a lot of visitors tomorrow. response:	Of course, you'll be compensated for your travel expenses and all that.
context: Huh?\What are you talking about?\Huh?\The manager there asked me to lend them one of my talented employees.\Oh. You scared me there.\Apparently, there are some new attractions and even a fair,\so there's gonna be a lot of visitors tomorrow.\Of course, you'll be compensated for your travel expenses and all that. response:	How about it?
