context: Opening 1st Frame response:	Signs
context: Opening 1st Frame\Signs response:	Ending
context: Opening 1st Frame\Signs\Ending response:	You cowards.
context: Opening 1st Frame\Signs\Ending\You cowards. response:	Just shut up and let me shoulder it all!
context: Opening 1st Frame\Signs\Ending\You cowards.\Just shut up and let me shoulder it all! response:	You don't need to be educated by words.
context: Opening 1st Frame\Signs\Ending\You cowards.\Just shut up and let me shoulder it all!\You don't need to be educated by words. response:	You need training.
context: Opening 1st Frame\Signs\Ending\You cowards.\Just shut up and let me shoulder it all!\You don't need to be educated by words.\You need training. response:	I've made my decision.
context: Opening 1st Frame\Signs\Ending\You cowards.\Just shut up and let me shoulder it all!\You don't need to be educated by words.\You need training.\I've made my decision. response:	Eren was put under the care of the Recon Corps.
context: Signs\Ending\You cowards.\Just shut up and let me shoulder it all!\You don't need to be educated by words.\You need training.\I've made my decision.\Eren was put under the care of the Recon Corps. response:	He was to dedicate himself to missions outside the Wall.
context: Ending\You cowards.\Just shut up and let me shoulder it all!\You don't need to be educated by words.\You need training.\I've made my decision.\Eren was put under the care of the Recon Corps.\He was to dedicate himself to missions outside the Wall. response:	The former Recon Corps headquarters.
context: You cowards.\Just shut up and let me shoulder it all!\You don't need to be educated by words.\You need training.\I've made my decision.\Eren was put under the care of the Recon Corps.\He was to dedicate himself to missions outside the Wall.\The former Recon Corps headquarters. response:	It's nothing more than a renovated old castle.
context: Just shut up and let me shoulder it all!\You don't need to be educated by words.\You need training.\I've made my decision.\Eren was put under the care of the Recon Corps.\He was to dedicate himself to missions outside the Wall.\The former Recon Corps headquarters.\It's nothing more than a renovated old castle. response:	While it definitely looks impressive,
context: You don't need to be educated by words.\You need training.\I've made my decision.\Eren was put under the care of the Recon Corps.\He was to dedicate himself to missions outside the Wall.\The former Recon Corps headquarters.\It's nothing more than a renovated old castle.\While it definitely looks impressive, response:	it's so far from the Walls and all rivers
