context: It's been getting pretty hot lately, hasn't it? response:	There, there!
context: It's been getting pretty hot lately, hasn't it?\There, there! response:	Never mind summer, we haven't even had the rainy season yet...
context: It's been getting pretty hot lately, hasn't it?\There, there!\Never mind summer, we haven't even had the rainy season yet... response:	My heart is always hot.
context: It's been getting pretty hot lately, hasn't it?\There, there!\Never mind summer, we haven't even had the rainy season yet...\My heart is always hot. response:	Did you come up with another crazy idea?
context: It's been getting pretty hot lately, hasn't it?\There, there!\Never mind summer, we haven't even had the rainy season yet...\My heart is always hot.\Did you come up with another crazy idea? response:	Kengo, what you need is a free spirit.
context: It's been getting pretty hot lately, hasn't it?\There, there!\Never mind summer, we haven't even had the rainy season yet...\My heart is always hot.\Did you come up with another crazy idea?\Kengo, what you need is a free spirit. response:	A taut string can easily be cut by one swing of a blade.
context: It's been getting pretty hot lately, hasn't it?\There, there!\Never mind summer, we haven't even had the rainy season yet...\My heart is always hot.\Did you come up with another crazy idea?\Kengo, what you need is a free spirit.\A taut string can easily be cut by one swing of a blade. response:	However, cutting a loose string that sways with the wind is next to impossible.
context: It's been getting pretty hot lately, hasn't it?\There, there!\Never mind summer, we haven't even had the rainy season yet...\My heart is always hot.\Did you come up with another crazy idea?\Kengo, what you need is a free spirit.\A taut string can easily be cut by one swing of a blade.\However, cutting a loose string that sways with the wind is next to impossible. response:	What are you trying to say?
context: There, there!\Never mind summer, we haven't even had the rainy season yet...\My heart is always hot.\Did you come up with another crazy idea?\Kengo, what you need is a free spirit.\A taut string can easily be cut by one swing of a blade.\However, cutting a loose string that sways with the wind is next to impossible.\What are you trying to say? response:	I've thought of a lighthearted activity to pass the time.
context: Never mind summer, we haven't even had the rainy season yet...\My heart is always hot.\Did you come up with another crazy idea?\Kengo, what you need is a free spirit.\A taut string can easily be cut by one swing of a blade.\However, cutting a loose string that sways with the wind is next to impossible.\What are you trying to say?\I've thought of a lighthearted activity to pass the time. response:	What do you have in mind?
context: My heart is always hot.\Did you come up with another crazy idea?\Kengo, what you need is a free spirit.\A taut string can easily be cut by one swing of a blade.\However, cutting a loose string that sways with the wind is next to impossible.\What are you trying to say?\I've thought of a lighthearted activity to pass the time.\What do you have in mind? response:	A test of courage!
context: Did you come up with another crazy idea?\Kengo, what you need is a free spirit.\A taut string can easily be cut by one swing of a blade.\However, cutting a loose string that sways with the wind is next to impossible.\What are you trying to say?\I've thought of a lighthearted activity to pass the time.\What do you have in mind?\A test of courage! response:	It's not the season for that...
context: Kengo, what you need is a free spirit.\A taut string can easily be cut by one swing of a blade.\However, cutting a loose string that sways with the wind is next to impossible.\What are you trying to say?\I've thought of a lighthearted activity to pass the time.\What do you have in mind?\A test of courage!\It's not the season for that... response:	It'll be fun!
context: A taut string can easily be cut by one swing of a blade.\However, cutting a loose string that sways with the wind is next to impossible.\What are you trying to say?\I've thought of a lighthearted activity to pass the time.\What do you have in mind?\A test of courage!\It's not the season for that...\It'll be fun! response:	You're in this too.
context: However, cutting a loose string that sways with the wind is next to impossible.\What are you trying to say?\I've thought of a lighthearted activity to pass the time.\What do you have in mind?\A test of courage!\It's not the season for that...\It'll be fun!\You're in this too. response:	No! I'll get killed!
context: What are you trying to say?\I've thought of a lighthearted activity to pass the time.\What do you have in mind?\A test of courage!\It's not the season for that...\It'll be fun!\You're in this too.\No! I'll get killed! response:	No one's going to kill you...
context: I've thought of a lighthearted activity to pass the time.\What do you have in mind?\A test of courage!\It's not the season for that...\It'll be fun!\You're in this too.\No! I'll get killed!\No one's going to kill you... response:	Actually, you do get killed in one ghost story I've heard.
context: What do you have in mind?\A test of courage!\It's not the season for that...\It'll be fun!\You're in this too.\No! I'll get killed!\No one's going to kill you...\Actually, you do get killed in one ghost story I've heard. response:	If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...
