context: Black crow! response:	We even got an apartment for him.
context: Black crow!\We even got an apartment for him. response:	He better not turn out to be a flop once he's serialized.
context: Black crow!\We even got an apartment for him.\He better not turn out to be a flop once he's serialized. response:	Good evening!
context: Black crow!\We even got an apartment for him.\He better not turn out to be a flop once he's serialized.\Good evening! response:	It's open.
context: Black crow!\We even got an apartment for him.\He better not turn out to be a flop once he's serialized.\Good evening!\It's open. response:	This is how the crow feels!
context: Black crow!\We even got an apartment for him.\He better not turn out to be a flop once he's serialized.\Good evening!\It's open.\This is how the crow feels! response:	Niizuma-kun!
context: Black crow!\We even got an apartment for him.\He better not turn out to be a flop once he's serialized.\Good evening!\It's open.\This is how the crow feels!\Niizuma-kun! response:	'Sup bro?
context: Black crow!\We even got an apartment for him.\He better not turn out to be a flop once he's serialized.\Good evening!\It's open.\This is how the crow feels!\Niizuma-kun!\'Sup bro? response:	You have to keep the door locked!
context: We even got an apartment for him.\He better not turn out to be a flop once he's serialized.\Good evening!\It's open.\This is how the crow feels!\Niizuma-kun!\'Sup bro?\You have to keep the door locked! response:	This is the city!
context: He better not turn out to be a flop once he's serialized.\Good evening!\It's open.\This is how the crow feels!\Niizuma-kun!\'Sup bro?\You have to keep the door locked!\This is the city! response:	I can't believe how many people live here!
context: Good evening!\It's open.\This is how the crow feels!\Niizuma-kun!\'Sup bro?\You have to keep the door locked!\This is the city!\I can't believe how many people live here! response:	Turn it down!
context: It's open.\This is how the crow feels!\Niizuma-kun!\'Sup bro?\You have to keep the door locked!\This is the city!\I can't believe how many people live here!\Turn it down! response:	If you insist...
context: This is how the crow feels!\Niizuma-kun!\'Sup bro?\You have to keep the door locked!\This is the city!\I can't believe how many people live here!\Turn it down!\If you insist... response:	So you bought a sound system.
context: Niizuma-kun!\'Sup bro?\You have to keep the door locked!\This is the city!\I can't believe how many people live here!\Turn it down!\If you insist...\So you bought a sound system. response:	I bought it with what I had left over after giving the prize money to my parents.
context: 'Sup bro?\You have to keep the door locked!\This is the city!\I can't believe how many people live here!\Turn it down!\If you insist...\So you bought a sound system.\I bought it with what I had left over after giving the prize money to my parents. response:	You shouldn't turn it up so loud.
context: You have to keep the door locked!\This is the city!\I can't believe how many people live here!\Turn it down!\If you insist...\So you bought a sound system.\I bought it with what I had left over after giving the prize money to my parents.\You shouldn't turn it up so loud. response:	Think of your neighbors.
