context: Who is that? response:	Who are you?
context: Who is that?\Who are you? response:	Who could that be?
context: Who is that?\Who are you?\Who could that be? response:	Oh? It's only this early?
context: Who is that?\Who are you?\Who could that be?\Oh? It's only this early? response:	Taking a walk in the morning once in a while is kinda nice.
context: Who is that?\Who are you?\Who could that be?\Oh? It's only this early?\Taking a walk in the morning once in a while is kinda nice. response:	But it feels good to be in bed too.
context: Who is that?\Who are you?\Who could that be?\Oh? It's only this early?\Taking a walk in the morning once in a while is kinda nice.\But it feels good to be in bed too. response:	I've had that dream when I first met Kero.
context: Who is that?\Who are you?\Who could that be?\Oh? It's only this early?\Taking a walk in the morning once in a while is kinda nice.\But it feels good to be in bed too.\I've had that dream when I first met Kero. response:	I also had it when I met Li-kun.
context: Who is that?\Who are you?\Who could that be?\Oh? It's only this early?\Taking a walk in the morning once in a while is kinda nice.\But it feels good to be in bed too.\I've had that dream when I first met Kero.\I also had it when I met Li-kun. response:	And then' I met Miss Mizuki yesterday.
context: Who are you?\Who could that be?\Oh? It's only this early?\Taking a walk in the morning once in a while is kinda nice.\But it feels good to be in bed too.\I've had that dream when I first met Kero.\I also had it when I met Li-kun.\And then' I met Miss Mizuki yesterday. response:	Miss Kaho Mizuki'
context: Who could that be?\Oh? It's only this early?\Taking a walk in the morning once in a while is kinda nice.\But it feels good to be in bed too.\I've had that dream when I first met Kero.\I also had it when I met Li-kun.\And then' I met Miss Mizuki yesterday.\Miss Kaho Mizuki' response:	What a mysterious teacher.
context: Oh? It's only this early?\Taking a walk in the morning once in a while is kinda nice.\But it feels good to be in bed too.\I've had that dream when I first met Kero.\I also had it when I met Li-kun.\And then' I met Miss Mizuki yesterday.\Miss Kaho Mizuki'\What a mysterious teacher. response:	You think so?
context: Taking a walk in the morning once in a while is kinda nice.\But it feels good to be in bed too.\I've had that dream when I first met Kero.\I also had it when I met Li-kun.\And then' I met Miss Mizuki yesterday.\Miss Kaho Mizuki'\What a mysterious teacher.\You think so? response:	Eh!
context: But it feels good to be in bed too.\I've had that dream when I first met Kero.\I also had it when I met Li-kun.\And then' I met Miss Mizuki yesterday.\Miss Kaho Mizuki'\What a mysterious teacher.\You think so?\Eh! response:	I'm sorry. Did I scare you?
context: I've had that dream when I first met Kero.\I also had it when I met Li-kun.\And then' I met Miss Mizuki yesterday.\Miss Kaho Mizuki'\What a mysterious teacher.\You think so?\Eh!\I'm sorry. Did I scare you? response:	No, I mean' Um' Good morning!
context: I also had it when I met Li-kun.\And then' I met Miss Mizuki yesterday.\Miss Kaho Mizuki'\What a mysterious teacher.\You think so?\Eh!\I'm sorry. Did I scare you?\No, I mean' Um' Good morning! response:	Good morning.
context: And then' I met Miss Mizuki yesterday.\Miss Kaho Mizuki'\What a mysterious teacher.\You think so?\Eh!\I'm sorry. Did I scare you?\No, I mean' Um' Good morning!\Good morning. response:	You get up early, Kinomoto.
context: Miss Kaho Mizuki'\What a mysterious teacher.\You think so?\Eh!\I'm sorry. Did I scare you?\No, I mean' Um' Good morning!\Good morning.\You get up early, Kinomoto. response:	I got up a little early this morning, so I'm talking a walk.
context: What a mysterious teacher.\You think so?\Eh!\I'm sorry. Did I scare you?\No, I mean' Um' Good morning!\Good morning.\You get up early, Kinomoto.\I got up a little early this morning, so I'm talking a walk. response:	I'm cleaning the premise of the shrine.
context: You think so?\Eh!\I'm sorry. Did I scare you?\No, I mean' Um' Good morning!\Good morning.\You get up early, Kinomoto.\I got up a little early this morning, so I'm talking a walk.\I'm cleaning the premise of the shrine. response:	I'm the only daughter, so I got to do it.
context: Eh!\I'm sorry. Did I scare you?\No, I mean' Um' Good morning!\Good morning.\You get up early, Kinomoto.\I got up a little early this morning, so I'm talking a walk.\I'm cleaning the premise of the shrine.\I'm the only daughter, so I got to do it. response:	Somehow, when I see Miss Mizuki, I feel so sweet.
context: I'm sorry. Did I scare you?\No, I mean' Um' Good morning!\Good morning.\You get up early, Kinomoto.\I got up a little early this morning, so I'm talking a walk.\I'm cleaning the premise of the shrine.\I'm the only daughter, so I got to do it.\Somehow, when I see Miss Mizuki, I feel so sweet. response:	I'll help you.
