context: I'm gonna go on ahead! response:	Wait a minute! You're forgetting something!
context: I'm gonna go on ahead!\Wait a minute! You're forgetting something! response:	Your lunch!
context: I'm gonna go on ahead!\Wait a minute! You're forgetting something!\Your lunch! response:	What's the menu today?
context: I'm gonna go on ahead!\Wait a minute! You're forgetting something!\Your lunch!\What's the menu today? response:	It's omelet rice!
context: I'm gonna go on ahead!\Wait a minute! You're forgetting something!\Your lunch!\What's the menu today?\It's omelet rice! response:	That again?
context: I'm gonna go on ahead!\Wait a minute! You're forgetting something!\Your lunch!\What's the menu today?\It's omelet rice!\That again? response:	T-Thanks... now, don't you be late, either!
context: I'm gonna go on ahead!\Wait a minute! You're forgetting something!\Your lunch!\What's the menu today?\It's omelet rice!\That again?\T-Thanks... now, don't you be late, either! response:	Yes, I understand!
context: I'm gonna go on ahead!\Wait a minute! You're forgetting something!\Your lunch!\What's the menu today?\It's omelet rice!\That again?\T-Thanks... now, don't you be late, either!\Yes, I understand! response:	Now, please excuse me.
context: Wait a minute! You're forgetting something!\Your lunch!\What's the menu today?\It's omelet rice!\That again?\T-Thanks... now, don't you be late, either!\Yes, I understand!\Now, please excuse me. response:	So in this place, every single student has some special ability?
context: Your lunch!\What's the menu today?\It's omelet rice!\That again?\T-Thanks... now, don't you be late, either!\Yes, I understand!\Now, please excuse me.\So in this place, every single student has some special ability? response:	Episode 2 Melody of Despair
context: What's the menu today?\It's omelet rice!\That again?\T-Thanks... now, don't you be late, either!\Yes, I understand!\Now, please excuse me.\So in this place, every single student has some special ability?\Episode 2 Melody of Despair response:	No, some have the possibility of having one,
context: It's omelet rice!\That again?\T-Thanks... now, don't you be late, either!\Yes, I understand!\Now, please excuse me.\So in this place, every single student has some special ability?\Episode 2 Melody of Despair\No, some have the possibility of having one, response:	some show signs of developing one... there are many students of such pending nature.
