context: The long age of drifting ended, response:	and humanity found a home in the wide reaches of the galaxy.
context: The long age of drifting ended,\and humanity found a home in the wide reaches of the galaxy. response:	We named it Avalon: The beautiful paradise.
context: The long age of drifting ended,\and humanity found a home in the wide reaches of the galaxy.\We named it Avalon: The beautiful paradise. response:	Behold a shining utopia, born of our pioneering spirit and scientific mind.
context: The long age of drifting ended,\and humanity found a home in the wide reaches of the galaxy.\We named it Avalon: The beautiful paradise.\Behold a shining utopia, born of our pioneering spirit and scientific mind. response:	This is your homeland.
context: The long age of drifting ended,\and humanity found a home in the wide reaches of the galaxy.\We named it Avalon: The beautiful paradise.\Behold a shining utopia, born of our pioneering spirit and scientific mind.\This is your homeland. response:	All 470,000,000 citizens of Avalon hail your bravery and dedication,
context: The long age of drifting ended,\and humanity found a home in the wide reaches of the galaxy.\We named it Avalon: The beautiful paradise.\Behold a shining utopia, born of our pioneering spirit and scientific mind.\This is your homeland.\All 470,000,000 citizens of Avalon hail your bravery and dedication, response:	and know your names as honored soldiers.
context: The long age of drifting ended,\and humanity found a home in the wide reaches of the galaxy.\We named it Avalon: The beautiful paradise.\Behold a shining utopia, born of our pioneering spirit and scientific mind.\This is your homeland.\All 470,000,000 citizens of Avalon hail your bravery and dedication,\and know your names as honored soldiers. response:	All hail the Galactic Alliance of Humankind, and its eternal future.
context: The long age of drifting ended,\and humanity found a home in the wide reaches of the galaxy.\We named it Avalon: The beautiful paradise.\Behold a shining utopia, born of our pioneering spirit and scientific mind.\This is your homeland.\All 470,000,000 citizens of Avalon hail your bravery and dedication,\and know your names as honored soldiers.\All hail the Galactic Alliance of Humankind, and its eternal future. response:	Humanity's endless challenge begins here.
context: and humanity found a home in the wide reaches of the galaxy.\We named it Avalon: The beautiful paradise.\Behold a shining utopia, born of our pioneering spirit and scientific mind.\This is your homeland.\All 470,000,000 citizens of Avalon hail your bravery and dedication,\and know your names as honored soldiers.\All hail the Galactic Alliance of Humankind, and its eternal future.\Humanity's endless challenge begins here. response:	But you must never forget that a merciless evil lurks in the depths of this cruel universe.
context: We named it Avalon: The beautiful paradise.\Behold a shining utopia, born of our pioneering spirit and scientific mind.\This is your homeland.\All 470,000,000 citizens of Avalon hail your bravery and dedication,\and know your names as honored soldiers.\All hail the Galactic Alliance of Humankind, and its eternal future.\Humanity's endless challenge begins here.\But you must never forget that a merciless evil lurks in the depths of this cruel universe. response:	We must end the threat of the Hideauze, who would hinder our journey onward!
context: Behold a shining utopia, born of our pioneering spirit and scientific mind.\This is your homeland.\All 470,000,000 citizens of Avalon hail your bravery and dedication,\and know your names as honored soldiers.\All hail the Galactic Alliance of Humankind, and its eternal future.\Humanity's endless challenge begins here.\But you must never forget that a merciless evil lurks in the depths of this cruel universe.\We must end the threat of the Hideauze, who would hinder our journey onward! response:	We must not allow these lower life forms to hold back humanity's race to the future!
