context: A hero... response:	Hey, villain...
context: A hero...\Hey, villain... response:	Go beyond!
context: A hero...\Hey, villain...\Go beyond! response:	Plus...
context: A hero...\Hey, villain...\Go beyond!\Plus... response:	Ultra...!
context: A hero...\Hey, villain...\Go beyond!\Plus...\Ultra...! response:	I really have gotten weaker...
context: A hero...\Hey, villain...\Go beyond!\Plus...\Ultra...!\I really have gotten weaker... response:	In my prime... five hits would have been enough.
context: A hero...\Hey, villain...\Go beyond!\Plus...\Ultra...!\I really have gotten weaker...\In my prime... five hits would have been enough. response:	But it took more than 300 hits.
context: A hero...\Hey, villain...\Go beyond!\Plus...\Ultra...!\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits. response:	And now...
context: Hey, villain...\Go beyond!\Plus...\Ultra...!\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now... response:	Now, villains...
context: Go beyond!\Plus...\Ultra...!\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains... response:	I'm sure... we'd all like to end this as soon as possible.
context: Plus...\Ultra...!\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible. response:	Weaker?
context: Ultra...!\I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\Weaker? response:	No way.
context: I really have gotten weaker...\In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\Weaker?\No way. response:	We've been completely overwhelmed.
context: In my prime... five hits would have been enough.\But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\Weaker?\No way.\We've been completely overwhelmed. response:	I can't believe he did that to my Nomu...
context: But it took more than 300 hits.\And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\Weaker?\No way.\We've been completely overwhelmed.\I can't believe he did that to my Nomu... response:	He used a cheat?!
context: And now...\Now, villains...\I'm sure... we'd all like to end this as soon as possible.\Weaker?\No way.\We've been completely overwhelmed.\I can't believe he did that to my Nomu...\He used a cheat?! response:	Hands up.
context: Now, villains...\I'm sure... we'd all like to end this as soon as possible.\Weaker?\No way.\We've been completely overwhelmed.\I can't believe he did that to my Nomu...\He used a cheat?!\Hands up. response:	No Quirks allowed.
context: I'm sure... we'd all like to end this as soon as possible.\Weaker?\No way.\We've been completely overwhelmed.\I can't believe he did that to my Nomu...\He used a cheat?!\Hands up.\No Quirks allowed. response:	If you use your Quirks, I'll kill this guy.
context: Weaker?\No way.\We've been completely overwhelmed.\I can't believe he did that to my Nomu...\He used a cheat?!\Hands up.\No Quirks allowed.\If you use your Quirks, I'll kill this guy. response:	Kaminari!
context: No way.\We've been completely overwhelmed.\I can't believe he did that to my Nomu...\He used a cheat?!\Hands up.\No Quirks allowed.\If you use your Quirks, I'll kill this guy.\Kaminari! response:	He got us.
context: We've been completely overwhelmed.\I can't believe he did that to my Nomu...\He used a cheat?!\Hands up.\No Quirks allowed.\If you use your Quirks, I'll kill this guy.\Kaminari!\He got us. response:	We let our guard down completely.
