context: Alright, I can do it! response:	It's great that you can,
context: Alright, I can do it!\It's great that you can, response:	but you'll run into something like that.
context: Alright, I can do it!\It's great that you can,\but you'll run into something like that. response:	Sorry about that.
context: Alright, I can do it!\It's great that you can,\but you'll run into something like that.\Sorry about that. response:	Are you okay?
context: Alright, I can do it!\It's great that you can,\but you'll run into something like that.\Sorry about that.\Are you okay? response:	Don't worry.
context: Alright, I can do it!\It's great that you can,\but you'll run into something like that.\Sorry about that.\Are you okay?\Don't worry. response:	I wasn't looking where I was going.
context: Alright, I can do it!\It's great that you can,\but you'll run into something like that.\Sorry about that.\Are you okay?\Don't worry.\I wasn't looking where I was going. response:	I'm sorry.
context: Alright, I can do it!\It's great that you can,\but you'll run into something like that.\Sorry about that.\Are you okay?\Don't worry.\I wasn't looking where I was going.\I'm sorry. response:	This is Kud, a girl who transferred here this spring.
context: It's great that you can,\but you'll run into something like that.\Sorry about that.\Are you okay?\Don't worry.\I wasn't looking where I was going.\I'm sorry.\This is Kud, a girl who transferred here this spring. response:	Good morning, everyone.
context: but you'll run into something like that.\Sorry about that.\Are you okay?\Don't worry.\I wasn't looking where I was going.\I'm sorry.\This is Kud, a girl who transferred here this spring.\Good morning, everyone. response:	Have a nice day.
context: Sorry about that.\Are you okay?\Don't worry.\I wasn't looking where I was going.\I'm sorry.\This is Kud, a girl who transferred here this spring.\Good morning, everyone.\Have a nice day. response:	Come on...
context: Are you okay?\Don't worry.\I wasn't looking where I was going.\I'm sorry.\This is Kud, a girl who transferred here this spring.\Good morning, everyone.\Have a nice day.\Come on... response:	Have a nice day.
context: Don't worry.\I wasn't looking where I was going.\I'm sorry.\This is Kud, a girl who transferred here this spring.\Good morning, everyone.\Have a nice day.\Come on...\Have a nice day. response:	See you again.
context: I wasn't looking where I was going.\I'm sorry.\This is Kud, a girl who transferred here this spring.\Good morning, everyone.\Have a nice day.\Come on...\Have a nice day.\See you again. response:	He said good-bye!
context: I'm sorry.\This is Kud, a girl who transferred here this spring.\Good morning, everyone.\Have a nice day.\Come on...\Have a nice day.\See you again.\He said good-bye! response:	I was just kidding!
context: This is Kud, a girl who transferred here this spring.\Good morning, everyone.\Have a nice day.\Come on...\Have a nice day.\See you again.\He said good-bye!\I was just kidding! response:	Because I'm just... I'm just...
context: Good morning, everyone.\Have a nice day.\Come on...\Have a nice day.\See you again.\He said good-bye!\I was just kidding!\Because I'm just... I'm just... response:	That's right...
context: Have a nice day.\Come on...\Have a nice day.\See you again.\He said good-bye!\I was just kidding!\Because I'm just... I'm just...\That's right... response:	That's right!
context: Come on...\Have a nice day.\See you again.\He said good-bye!\I was just kidding!\Because I'm just... I'm just...\That's right...\That's right! response:	That's... that's... that's...
context: Have a nice day.\See you again.\He said good-bye!\I was just kidding!\Because I'm just... I'm just...\That's right...\That's right!\That's... that's... that's... response:	A one-man Doppler effect?
context: See you again.\He said good-bye!\I was just kidding!\Because I'm just... I'm just...\That's right...\That's right!\That's... that's... that's...\A one-man Doppler effect? response:	Um...
context: He said good-bye!\I was just kidding!\Because I'm just... I'm just...\That's right...\That's right!\That's... that's... that's...\A one-man Doppler effect?\Um... response:	Can I speak Japanese?
context: I was just kidding!\Because I'm just... I'm just...\That's right...\That's right!\That's... that's... that's...\A one-man Doppler effect?\Um...\Can I speak Japanese? response:	I know you can speak Japanese.
context: Because I'm just... I'm just...\That's right...\That's right!\That's... that's... that's...\A one-man Doppler effect?\Um...\Can I speak Japanese?\I know you can speak Japanese. response:	You don't have to force yourself to speak English.
context: That's right...\That's right!\That's... that's... that's...\A one-man Doppler effect?\Um...\Can I speak Japanese?\I know you can speak Japanese.\You don't have to force yourself to speak English. response:	But see! You understood, right?
context: That's right!\That's... that's... that's...\A one-man Doppler effect?\Um...\Can I speak Japanese?\I know you can speak Japanese.\You don't have to force yourself to speak English.\But see! You understood, right? response:	Yeah, I did.
context: That's... that's... that's...\A one-man Doppler effect?\Um...\Can I speak Japanese?\I know you can speak Japanese.\You don't have to force yourself to speak English.\But see! You understood, right?\Yeah, I did. response:	I'm...
context: A one-man Doppler effect?\Um...\Can I speak Japanese?\I know you can speak Japanese.\You don't have to force yourself to speak English.\But see! You understood, right?\Yeah, I did.\I'm... response:	I'm...
context: Um...\Can I speak Japanese?\I know you can speak Japanese.\You don't have to force yourself to speak English.\But see! You understood, right?\Yeah, I did.\I'm...\I'm... response:	Um...
context: Can I speak Japanese?\I know you can speak Japanese.\You don't have to force yourself to speak English.\But see! You understood, right?\Yeah, I did.\I'm...\I'm...\Um... response:	You can just speak Japanese.
context: I know you can speak Japanese.\You don't have to force yourself to speak English.\But see! You understood, right?\Yeah, I did.\I'm...\I'm...\Um...\You can just speak Japanese. response:	I-I know I can, but as you know, I lied a little when I first introduced myself here.
context: You don't have to force yourself to speak English.\But see! You understood, right?\Yeah, I did.\I'm...\I'm...\Um...\You can just speak Japanese.\I-I know I can, but as you know, I lied a little when I first introduced myself here. response:	Like how I said I didn't know much about Japan because I was living overseas.
context: But see! You understood, right?\Yeah, I did.\I'm...\I'm...\Um...\You can just speak Japanese.\I-I know I can, but as you know, I lied a little when I first introduced myself here.\Like how I said I didn't know much about Japan because I was living overseas. response:	I really was overseas, but...
context: Yeah, I did.\I'm...\I'm...\Um...\You can just speak Japanese.\I-I know I can, but as you know, I lied a little when I first introduced myself here.\Like how I said I didn't know much about Japan because I was living overseas.\I really was overseas, but... response:	Where were you taking these?
context: I'm...\I'm...\Um...\You can just speak Japanese.\I-I know I can, but as you know, I lied a little when I first introduced myself here.\Like how I said I didn't know much about Japan because I was living overseas.\I really was overseas, but...\Where were you taking these? response:	My room in the girls' dorm.
context: I'm...\Um...\You can just speak Japanese.\I-I know I can, but as you know, I lied a little when I first introduced myself here.\Like how I said I didn't know much about Japan because I was living overseas.\I really was overseas, but...\Where were you taking these?\My room in the girls' dorm. response:	But I don't want to trouble you!
context: Um...\You can just speak Japanese.\I-I know I can, but as you know, I lied a little when I first introduced myself here.\Like how I said I didn't know much about Japan because I was living overseas.\I really was overseas, but...\Where were you taking these?\My room in the girls' dorm.\But I don't want to trouble you! response:	The girls' dorm, right?
context: You can just speak Japanese.\I-I know I can, but as you know, I lied a little when I first introduced myself here.\Like how I said I didn't know much about Japan because I was living overseas.\I really was overseas, but...\Where were you taking these?\My room in the girls' dorm.\But I don't want to trouble you!\The girls' dorm, right? response:	Th-Thank you very much!
context: I-I know I can, but as you know, I lied a little when I first introduced myself here.\Like how I said I didn't know much about Japan because I was living overseas.\I really was overseas, but...\Where were you taking these?\My room in the girls' dorm.\But I don't want to trouble you!\The girls' dorm, right?\Th-Thank you very much! response:	Are they heavy?
context: Like how I said I didn't know much about Japan because I was living overseas.\I really was overseas, but...\Where were you taking these?\My room in the girls' dorm.\But I don't want to trouble you!\The girls' dorm, right?\Th-Thank you very much!\Are they heavy? response:	Not at all.
context: I really was overseas, but...\Where were you taking these?\My room in the girls' dorm.\But I don't want to trouble you!\The girls' dorm, right?\Th-Thank you very much!\Are they heavy?\Not at all. response:	They're lighter than I thought.
context: Where were you taking these?\My room in the girls' dorm.\But I don't want to trouble you!\The girls' dorm, right?\Th-Thank you very much!\Are they heavy?\Not at all.\They're lighter than I thought. response:	My clothes are inside.
context: My room in the girls' dorm.\But I don't want to trouble you!\The girls' dorm, right?\Th-Thank you very much!\Are they heavy?\Not at all.\They're lighter than I thought.\My clothes are inside. response:	My grandpa sent them here from Finland.
context: But I don't want to trouble you!\The girls' dorm, right?\Th-Thank you very much!\Are they heavy?\Not at all.\They're lighter than I thought.\My clothes are inside.\My grandpa sent them here from Finland. response:	Alright.
context: The girls' dorm, right?\Th-Thank you very much!\Are they heavy?\Not at all.\They're lighter than I thought.\My clothes are inside.\My grandpa sent them here from Finland.\Alright. response:	Thank you so much!
context: Th-Thank you very much!\Are they heavy?\Not at all.\They're lighter than I thought.\My clothes are inside.\My grandpa sent them here from Finland.\Alright.\Thank you so much! response:	If you ever need help again, just ask.
context: Are they heavy?\Not at all.\They're lighter than I thought.\My clothes are inside.\My grandpa sent them here from Finland.\Alright.\Thank you so much!\If you ever need help again, just ask. response:	Thank you!
context: Not at all.\They're lighter than I thought.\My clothes are inside.\My grandpa sent them here from Finland.\Alright.\Thank you so much!\If you ever need help again, just ask.\Thank you! response:	Naoe-san!
context: They're lighter than I thought.\My clothes are inside.\My grandpa sent them here from Finland.\Alright.\Thank you so much!\If you ever need help again, just ask.\Thank you!\Naoe-san! response:	Thank you so much for helping!
context: My clothes are inside.\My grandpa sent them here from Finland.\Alright.\Thank you so much!\If you ever need help again, just ask.\Thank you!\Naoe-san!\Thank you so much for helping! response:	I almost forgot!
context: My grandpa sent them here from Finland.\Alright.\Thank you so much!\If you ever need help again, just ask.\Thank you!\Naoe-san!\Thank you so much for helping!\I almost forgot! response:	Good, good.
context: Alright.\Thank you so much!\If you ever need help again, just ask.\Thank you!\Naoe-san!\Thank you so much for helping!\I almost forgot!\Good, good. response:	Meow, meow.
context: Thank you so much!\If you ever need help again, just ask.\Thank you!\Naoe-san!\Thank you so much for helping!\I almost forgot!\Good, good.\Meow, meow. response:	Rin, here.
context: If you ever need help again, just ask.\Thank you!\Naoe-san!\Thank you so much for helping!\I almost forgot!\Good, good.\Meow, meow.\Rin, here. response:	Took you long enough.
context: Thank you!\Naoe-san!\Thank you so much for helping!\I almost forgot!\Good, good.\Meow, meow.\Rin, here.\Took you long enough. response:	What were you doing?
context: Naoe-san!\Thank you so much for helping!\I almost forgot!\Good, good.\Meow, meow.\Rin, here.\Took you long enough.\What were you doing? response:	Nothing much...
context: Thank you so much for helping!\I almost forgot!\Good, good.\Meow, meow.\Rin, here.\Took you long enough.\What were you doing?\Nothing much... response:	Lennon?
context: I almost forgot!\Good, good.\Meow, meow.\Rin, here.\Took you long enough.\What were you doing?\Nothing much...\Lennon? response:	No letter today either?
context: Good, good.\Meow, meow.\Rin, here.\Took you long enough.\What were you doing?\Nothing much...\Lennon?\No letter today either? response:	Letter?
context: Meow, meow.\Rin, here.\Took you long enough.\What were you doing?\Nothing much...\Lennon?\No letter today either?\Letter? response:	Oh, you mean a task?
context: Rin, here.\Took you long enough.\What were you doing?\Nothing much...\Lennon?\No letter today either?\Letter?\Oh, you mean a task? response:	I was hoping for a task so he'd tell us the secret of the world.
context: Took you long enough.\What were you doing?\Nothing much...\Lennon?\No letter today either?\Letter?\Oh, you mean a task?\I was hoping for a task so he'd tell us the secret of the world. response:	The secret of the world, huh?
context: What were you doing?\Nothing much...\Lennon?\No letter today either?\Letter?\Oh, you mean a task?\I was hoping for a task so he'd tell us the secret of the world.\The secret of the world, huh? response:	I wonder what amazing secret he has to tell us.
context: Nothing much...\Lennon?\No letter today either?\Letter?\Oh, you mean a task?\I was hoping for a task so he'd tell us the secret of the world.\The secret of the world, huh?\I wonder what amazing secret he has to tell us. response:	Huh?
context: Lennon?\No letter today either?\Letter?\Oh, you mean a task?\I was hoping for a task so he'd tell us the secret of the world.\The secret of the world, huh?\I wonder what amazing secret he has to tell us.\Huh? response:	Fabre, what happened to you?
context: No letter today either?\Letter?\Oh, you mean a task?\I was hoping for a task so he'd tell us the secret of the world.\The secret of the world, huh?\I wonder what amazing secret he has to tell us.\Huh?\Fabre, what happened to you? response:	You hurt your paw...
context: Letter?\Oh, you mean a task?\I was hoping for a task so he'd tell us the secret of the world.\The secret of the world, huh?\I wonder what amazing secret he has to tell us.\Huh?\Fabre, what happened to you?\You hurt your paw... response:	I never noticed.
context: Oh, you mean a task?\I was hoping for a task so he'd tell us the secret of the world.\The secret of the world, huh?\I wonder what amazing secret he has to tell us.\Huh?\Fabre, what happened to you?\You hurt your paw...\I never noticed. response:	Who put this bandage on you?
context: I was hoping for a task so he'd tell us the secret of the world.\The secret of the world, huh?\I wonder what amazing secret he has to tell us.\Huh?\Fabre, what happened to you?\You hurt your paw...\I never noticed.\Who put this bandage on you? response:	What the hell?!
context: The secret of the world, huh?\I wonder what amazing secret he has to tell us.\Huh?\Fabre, what happened to you?\You hurt your paw...\I never noticed.\Who put this bandage on you?\What the hell?! response:	This! This! And these!
context: I wonder what amazing secret he has to tell us.\Huh?\Fabre, what happened to you?\You hurt your paw...\I never noticed.\Who put this bandage on you?\What the hell?!\This! This! And these! response:	How'd my name turn into Inohara-star-Masato?!
context: Huh?\Fabre, what happened to you?\You hurt your paw...\I never noticed.\Who put this bandage on you?\What the hell?!\This! This! And these!\How'd my name turn into Inohara-star-Masato?! response:	Who did this?!
context: Fabre, what happened to you?\You hurt your paw...\I never noticed.\Who put this bandage on you?\What the hell?!\This! This! And these!\How'd my name turn into Inohara-star-Masato?!\Who did this?! response:	So you're the culprit, Sarcastic Maracas?
context: You hurt your paw...\I never noticed.\Who put this bandage on you?\What the hell?!\This! This! And these!\How'd my name turn into Inohara-star-Masato?!\Who did this?!\So you're the culprit, Sarcastic Maracas? response:	It's Saigusa Haruka!
context: I never noticed.\Who put this bandage on you?\What the hell?!\This! This! And these!\How'd my name turn into Inohara-star-Masato?!\Who did this?!\So you're the culprit, Sarcastic Maracas?\It's Saigusa Haruka! response:	You little...
context: Who put this bandage on you?\What the hell?!\This! This! And these!\How'd my name turn into Inohara-star-Masato?!\Who did this?!\So you're the culprit, Sarcastic Maracas?\It's Saigusa Haruka!\You little... response:	You come here from some other class to hang out, and now this?!
context: What the hell?!\This! This! And these!\How'd my name turn into Inohara-star-Masato?!\Who did this?!\So you're the culprit, Sarcastic Maracas?\It's Saigusa Haruka!\You little...\You come here from some other class to hang out, and now this?! response:	Masato, were you taking a nap just now?
context: This! This! And these!\How'd my name turn into Inohara-star-Masato?!\Who did this?!\So you're the culprit, Sarcastic Maracas?\It's Saigusa Haruka!\You little...\You come here from some other class to hang out, and now this?!\Masato, were you taking a nap just now? response:	Huh? How'd you know?
context: How'd my name turn into Inohara-star-Masato?!\Who did this?!\So you're the culprit, Sarcastic Maracas?\It's Saigusa Haruka!\You little...\You come here from some other class to hang out, and now this?!\Masato, were you taking a nap just now?\Huh? How'd you know? response:	I thought so.
context: Who did this?!\So you're the culprit, Sarcastic Maracas?\It's Saigusa Haruka!\You little...\You come here from some other class to hang out, and now this?!\Masato, were you taking a nap just now?\Huh? How'd you know?\I thought so. response:	He was sleeping so peacefully, his face was just begging for me to draw on it!
context: So you're the culprit, Sarcastic Maracas?\It's Saigusa Haruka!\You little...\You come here from some other class to hang out, and now this?!\Masato, were you taking a nap just now?\Huh? How'd you know?\I thought so.\He was sleeping so peacefully, his face was just begging for me to draw on it! response:	Riki.
context: It's Saigusa Haruka!\You little...\You come here from some other class to hang out, and now this?!\Masato, were you taking a nap just now?\Huh? How'd you know?\I thought so.\He was sleeping so peacefully, his face was just begging for me to draw on it!\Riki. response:	I've figured out who took care of Fabre's paw.
context: You little...\You come here from some other class to hang out, and now this?!\Masato, were you taking a nap just now?\Huh? How'd you know?\I thought so.\He was sleeping so peacefully, his face was just begging for me to draw on it!\Riki.\I've figured out who took care of Fabre's paw. response:	Komari-chan gave this to me!
context: You come here from some other class to hang out, and now this?!\Masato, were you taking a nap just now?\Huh? How'd you know?\I thought so.\He was sleeping so peacefully, his face was just begging for me to draw on it!\Riki.\I've figured out who took care of Fabre's paw.\Komari-chan gave this to me! response:	Kamikita-san did?
context: Masato, were you taking a nap just now?\Huh? How'd you know?\I thought so.\He was sleeping so peacefully, his face was just begging for me to draw on it!\Riki.\I've figured out who took care of Fabre's paw.\Komari-chan gave this to me!\Kamikita-san did? response:	It certainly looks like something she would use.
context: Huh? How'd you know?\I thought so.\He was sleeping so peacefully, his face was just begging for me to draw on it!\Riki.\I've figured out who took care of Fabre's paw.\Komari-chan gave this to me!\Kamikita-san did?\It certainly looks like something she would use. response:	Tell her I said thanks.
context: I thought so.\He was sleeping so peacefully, his face was just begging for me to draw on it!\Riki.\I've figured out who took care of Fabre's paw.\Komari-chan gave this to me!\Kamikita-san did?\It certainly looks like something she would use.\Tell her I said thanks. response:	Ko-Ko...
context: He was sleeping so peacefully, his face was just begging for me to draw on it!\Riki.\I've figured out who took care of Fabre's paw.\Komari-chan gave this to me!\Kamikita-san did?\It certainly looks like something she would use.\Tell her I said thanks.\Ko-Ko... response:	Tell Komari-san?
context: Riki.\I've figured out who took care of Fabre's paw.\Komari-chan gave this to me!\Kamikita-san did?\It certainly looks like something she would use.\Tell her I said thanks.\Ko-Ko...\Tell Komari-san? response:	Yeah.
context: I've figured out who took care of Fabre's paw.\Komari-chan gave this to me!\Kamikita-san did?\It certainly looks like something she would use.\Tell her I said thanks.\Ko-Ko...\Tell Komari-san?\Yeah. response:	Why don't you tell her yourself?
context: Komari-chan gave this to me!\Kamikita-san did?\It certainly looks like something she would use.\Tell her I said thanks.\Ko-Ko...\Tell Komari-san?\Yeah.\Why don't you tell her yourself? response:	I wouldn't be asking you if I could.
context: Kamikita-san did?\It certainly looks like something she would use.\Tell her I said thanks.\Ko-Ko...\Tell Komari-san?\Yeah.\Why don't you tell her yourself?\I wouldn't be asking you if I could. response:	How long are you going to avoid her?
context: It certainly looks like something she would use.\Tell her I said thanks.\Ko-Ko...\Tell Komari-san?\Yeah.\Why don't you tell her yourself?\I wouldn't be asking you if I could.\How long are you going to avoid her? response:	She's part of the Little Busters now, you know?
context: Tell her I said thanks.\Ko-Ko...\Tell Komari-san?\Yeah.\Why don't you tell her yourself?\I wouldn't be asking you if I could.\How long are you going to avoid her?\She's part of the Little Busters now, you know? response:	Give these to her for me as thanks.
context: Ko-Ko...\Tell Komari-san?\Yeah.\Why don't you tell her yourself?\I wouldn't be asking you if I could.\How long are you going to avoid her?\She's part of the Little Busters now, you know?\Give these to her for me as thanks. response:	Okay?
