context: Seijoh! response:	One-hand toss!
context: Seijoh!\One-hand toss! response:	All right!
context: Seijoh!\One-hand toss!\All right! response:	Aoba Johsai Karasuno
context: Seijoh!\One-hand toss!\All right!\Aoba Johsai Karasuno response:	They're tied!
context: Seijoh!\One-hand toss!\All right!\Aoba Johsai Karasuno\They're tied! response:	They caught up in the eleventh hour!
context: Seijoh!\One-hand toss!\All right!\Aoba Johsai Karasuno\They're tied!\They caught up in the eleventh hour! response:	What was this called again?
context: Seijoh!\One-hand toss!\All right!\Aoba Johsai Karasuno\They're tied!\They caught up in the eleventh hour!\What was this called again? response:	A deuce!
context: Seijoh!\One-hand toss!\All right!\Aoba Johsai Karasuno\They're tied!\They caught up in the eleventh hour!\What was this called again?\A deuce! response:	The one to get a two-point lead...
context: One-hand toss!\All right!\Aoba Johsai Karasuno\They're tied!\They caught up in the eleventh hour!\What was this called again?\A deuce!\The one to get a two-point lead... response:	Haikyu!!
context: All right!\Aoba Johsai Karasuno\They're tied!\They caught up in the eleventh hour!\What was this called again?\A deuce!\The one to get a two-point lead...\Haikyu!! response:	Episode 24: Removing The Solitary King
context: Aoba Johsai Karasuno\They're tied!\They caught up in the eleventh hour!\What was this called again?\A deuce!\The one to get a two-point lead...\Haikyu!!\Episode 24: Removing The Solitary King response:	Aoba Johsai Karasuno
context: They're tied!\They caught up in the eleventh hour!\What was this called again?\A deuce!\The one to get a two-point lead...\Haikyu!!\Episode 24: Removing The Solitary King\Aoba Johsai Karasuno response:	All right!
context: They caught up in the eleventh hour!\What was this called again?\A deuce!\The one to get a two-point lead...\Haikyu!!\Episode 24: Removing The Solitary King\Aoba Johsai Karasuno\All right! response:	Oh, Seijoh!
context: What was this called again?\A deuce!\The one to get a two-point lead...\Haikyu!!\Episode 24: Removing The Solitary King\Aoba Johsai Karasuno\All right!\Oh, Seijoh! response:	Rule the Court Aoba Johsai High School Volleyball Team
context: A deuce!\The one to get a two-point lead...\Haikyu!!\Episode 24: Removing The Solitary King\Aoba Johsai Karasuno\All right!\Oh, Seijoh!\Rule the Court Aoba Johsai High School Volleyball Team response:	Seijoh!
context: The one to get a two-point lead...\Haikyu!!\Episode 24: Removing The Solitary King\Aoba Johsai Karasuno\All right!\Oh, Seijoh!\Rule the Court Aoba Johsai High School Volleyball Team\Seijoh! response:	Oh, Seijoh!
context: Haikyu!!\Episode 24: Removing The Solitary King\Aoba Johsai Karasuno\All right!\Oh, Seijoh!\Rule the Court Aoba Johsai High School Volleyball Team\Seijoh!\Oh, Seijoh! response:	Seijoh!
context: Episode 24: Removing The Solitary King\Aoba Johsai Karasuno\All right!\Oh, Seijoh!\Rule the Court Aoba Johsai High School Volleyball Team\Seijoh!\Oh, Seijoh!\Seijoh! response:	Oh, Seijoh!
context: Aoba Johsai Karasuno\All right!\Oh, Seijoh!\Rule the Court Aoba Johsai High School Volleyball Team\Seijoh!\Oh, Seijoh!\Seijoh!\Oh, Seijoh! response:	Don't panic! Make sure you call out!
context: All right!\Oh, Seijoh!\Rule the Court Aoba Johsai High School Volleyball Team\Seijoh!\Oh, Seijoh!\Seijoh!\Oh, Seijoh!\Don't panic! Make sure you call out! response:	Right!
context: Oh, Seijoh!\Rule the Court Aoba Johsai High School Volleyball Team\Seijoh!\Oh, Seijoh!\Seijoh!\Oh, Seijoh!\Don't panic! Make sure you call out!\Right! response:	You got this, right, Kunimi-chan?
context: Rule the Court Aoba Johsai High School Volleyball Team\Seijoh!\Oh, Seijoh!\Seijoh!\Oh, Seijoh!\Don't panic! Make sure you call out!\Right!\You got this, right, Kunimi-chan? response:	Yes.
context: Seijoh!\Oh, Seijoh!\Seijoh!\Oh, Seijoh!\Don't panic! Make sure you call out!\Right!\You got this, right, Kunimi-chan?\Yes. response:	Hey! That was awesome, Hinata, Kageyama!
context: Oh, Seijoh!\Seijoh!\Oh, Seijoh!\Don't panic! Make sure you call out!\Right!\You got this, right, Kunimi-chan?\Yes.\Hey! That was awesome, Hinata, Kageyama! response:	So Kunimi can also chase the ball now...
context: Seijoh!\Oh, Seijoh!\Don't panic! Make sure you call out!\Right!\You got this, right, Kunimi-chan?\Yes.\Hey! That was awesome, Hinata, Kageyama!\So Kunimi can also chase the ball now... response:	Go after it, to the very end!
context: Oh, Seijoh!\Don't panic! Make sure you call out!\Right!\You got this, right, Kunimi-chan?\Yes.\Hey! That was awesome, Hinata, Kageyama!\So Kunimi can also chase the ball now...\Go after it, to the very end! response:	Kitagawa Daichi
