context: I'm Natsu! response:	I'm Wendy!
context: I'm Natsu!\I'm Wendy! response:	And I'm Gajeel, got it?
context: I'm Natsu!\I'm Wendy!\And I'm Gajeel, got it? response:	The three of them together are...
context: I'm Natsu!\I'm Wendy!\And I'm Gajeel, got it?\The three of them together are... response:	Dragon Slayers, damn it!
context: I'm Natsu!\I'm Wendy!\And I'm Gajeel, got it?\The three of them together are...\Dragon Slayers, damn it! response:	Fairy Tail wizards!
context: I'm Natsu!\I'm Wendy!\And I'm Gajeel, got it?\The three of them together are...\Dragon Slayers, damn it!\Fairy Tail wizards! response:	The 3 Bestest Friends Group!
context: I'm Natsu!\I'm Wendy!\And I'm Gajeel, got it?\The three of them together are...\Dragon Slayers, damn it!\Fairy Tail wizards!\The 3 Bestest Friends Group! response:	Damn, you're not together at all.
context: I'm Natsu!\I'm Wendy!\And I'm Gajeel, got it?\The three of them together are...\Dragon Slayers, damn it!\Fairy Tail wizards!\The 3 Bestest Friends Group!\Damn, you're not together at all. response:	Who cares? We beat the King!
context: I'm Wendy!\And I'm Gajeel, got it?\The three of them together are...\Dragon Slayers, damn it!\Fairy Tail wizards!\The 3 Bestest Friends Group!\Damn, you're not together at all.\Who cares? We beat the King! response:	And they all lived happily ever after, right?
context: And I'm Gajeel, got it?\The three of them together are...\Dragon Slayers, damn it!\Fairy Tail wizards!\The 3 Bestest Friends Group!\Damn, you're not together at all.\Who cares? We beat the King!\And they all lived happily ever after, right? response:	What happened to my cat?
context: The three of them together are...\Dragon Slayers, damn it!\Fairy Tail wizards!\The 3 Bestest Friends Group!\Damn, you're not together at all.\Who cares? We beat the King!\And they all lived happily ever after, right?\What happened to my cat? response:	Uh... But things just took a turn for the worse, you know...
context: Dragon Slayers, damn it!\Fairy Tail wizards!\The 3 Bestest Friends Group!\Damn, you're not together at all.\Who cares? We beat the King!\And they all lived happily ever after, right?\What happened to my cat?\Uh... But things just took a turn for the worse, you know... response:	Everyone, standing around moping isn't going to get us anywhere!
context: Fairy Tail wizards!\The 3 Bestest Friends Group!\Damn, you're not together at all.\Who cares? We beat the King!\And they all lived happily ever after, right?\What happened to my cat?\Uh... But things just took a turn for the worse, you know...\Everyone, standing around moping isn't going to get us anywhere! response:	Let's head to the Royal City and see if it's true ourselves!
context: The 3 Bestest Friends Group!\Damn, you're not together at all.\Who cares? We beat the King!\And they all lived happily ever after, right?\What happened to my cat?\Uh... But things just took a turn for the worse, you know...\Everyone, standing around moping isn't going to get us anywhere!\Let's head to the Royal City and see if it's true ourselves! response:	See if... what's true?
context: Damn, you're not together at all.\Who cares? We beat the King!\And they all lived happily ever after, right?\What happened to my cat?\Uh... But things just took a turn for the worse, you know...\Everyone, standing around moping isn't going to get us anywhere!\Let's head to the Royal City and see if it's true ourselves!\See if... what's true? response:	About our future.
context: Who cares? We beat the King!\And they all lived happily ever after, right?\What happened to my cat?\Uh... But things just took a turn for the worse, you know...\Everyone, standing around moping isn't going to get us anywhere!\Let's head to the Royal City and see if it's true ourselves!\See if... what's true?\About our future. response:	You must execute me, the one who caused this turmoil, in front of the panicking citizens.
context: And they all lived happily ever after, right?\What happened to my cat?\Uh... But things just took a turn for the worse, you know...\Everyone, standing around moping isn't going to get us anywhere!\Let's head to the Royal City and see if it's true ourselves!\See if... what's true?\About our future.\You must execute me, the one who caused this turmoil, in front of the panicking citizens. response:	As a member of the Royal Army... As an Exceed...
context: What happened to my cat?\Uh... But things just took a turn for the worse, you know...\Everyone, standing around moping isn't going to get us anywhere!\Let's head to the Royal City and see if it's true ourselves!\See if... what's true?\About our future.\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed... response:	Quell the panic, and lead the people.
context: Uh... But things just took a turn for the worse, you know...\Everyone, standing around moping isn't going to get us anywhere!\Let's head to the Royal City and see if it's true ourselves!\See if... what's true?\About our future.\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people. response:	Become king of a new world, without magic power.
context: Everyone, standing around moping isn't going to get us anywhere!\Let's head to the Royal City and see if it's true ourselves!\See if... what's true?\About our future.\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become king of a new world, without magic power. response:	How could you seriously say such nonsense, Prince?!
context: Let's head to the Royal City and see if it's true ourselves!\See if... what's true?\About our future.\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become king of a new world, without magic power.\How could you seriously say such nonsense, Prince?! response:	Bye-bye, Edolas.
context: See if... what's true?\About our future.\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become king of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\Bye-bye, Edolas. response:	If I wasn't prepared to die, I wouldn't have gone through with this.
context: About our future.\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become king of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\Bye-bye, Edolas.\If I wasn't prepared to die, I wouldn't have gone through with this. response:	I refuse! This is foolishness!
context: You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become king of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\Bye-bye, Edolas.\If I wasn't prepared to die, I wouldn't have gone through with this.\I refuse! This is foolishness! response:	Why must I kill you?
context: As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become king of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\Bye-bye, Edolas.\If I wasn't prepared to die, I wouldn't have gone through with this.\I refuse! This is foolishness!\Why must I kill you? response:	There is no way I could do it.
context: Quell the panic, and lead the people.\Become king of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\Bye-bye, Edolas.\If I wasn't prepared to die, I wouldn't have gone through with this.\I refuse! This is foolishness!\Why must I kill you?\There is no way I could do it. response:	No, you are capable of doing it.
context: Become king of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\Bye-bye, Edolas.\If I wasn't prepared to die, I wouldn't have gone through with this.\I refuse! This is foolishness!\Why must I kill you?\There is no way I could do it.\No, you are capable of doing it. response:	And what do you know about me?
context: How could you seriously say such nonsense, Prince?!\Bye-bye, Edolas.\If I wasn't prepared to die, I wouldn't have gone through with this.\I refuse! This is foolishness!\Why must I kill you?\There is no way I could do it.\No, you are capable of doing it.\And what do you know about me? response:	As an Exceed, you saved my life as a child.
context: Bye-bye, Edolas.\If I wasn't prepared to die, I wouldn't have gone through with this.\I refuse! This is foolishness!\Why must I kill you?\There is no way I could do it.\No, you are capable of doing it.\And what do you know about me?\As an Exceed, you saved my life as a child. response:	You are a man who knows how precious life is, regardless of the race one belongs to.
context: If I wasn't prepared to die, I wouldn't have gone through with this.\I refuse! This is foolishness!\Why must I kill you?\There is no way I could do it.\No, you are capable of doing it.\And what do you know about me?\As an Exceed, you saved my life as a child.\You are a man who knows how precious life is, regardless of the race one belongs to. response:	And you're telling me to keep living my life bearing that cross on my back?!
context: I refuse! This is foolishness!\Why must I kill you?\There is no way I could do it.\No, you are capable of doing it.\And what do you know about me?\As an Exceed, you saved my life as a child.\You are a man who knows how precious life is, regardless of the race one belongs to.\And you're telling me to keep living my life bearing that cross on my back?! response:	You are the only one strong enough to overcome that.
context: Why must I kill you?\There is no way I could do it.\No, you are capable of doing it.\And what do you know about me?\As an Exceed, you saved my life as a child.\You are a man who knows how precious life is, regardless of the race one belongs to.\And you're telling me to keep living my life bearing that cross on my back?!\You are the only one strong enough to overcome that. response:	Please understand... Someone has to do it.
context: There is no way I could do it.\No, you are capable of doing it.\And what do you know about me?\As an Exceed, you saved my life as a child.\You are a man who knows how precious life is, regardless of the race one belongs to.\And you're telling me to keep living my life bearing that cross on my back?!\You are the only one strong enough to overcome that.\Please understand... Someone has to do it. response:	Then do it yourself. You're suited to be king.
context: No, you are capable of doing it.\And what do you know about me?\As an Exceed, you saved my life as a child.\You are a man who knows how precious life is, regardless of the race one belongs to.\And you're telling me to keep living my life bearing that cross on my back?!\You are the only one strong enough to overcome that.\Please understand... Someone has to do it.\Then do it yourself. You're suited to be king. response:	I brought the world to ruin!
context: And what do you know about me?\As an Exceed, you saved my life as a child.\You are a man who knows how precious life is, regardless of the race one belongs to.\And you're telling me to keep living my life bearing that cross on my back?!\You are the only one strong enough to overcome that.\Please understand... Someone has to do it.\Then do it yourself. You're suited to be king.\I brought the world to ruin! response:	You did it thinking it was for the best.
context: As an Exceed, you saved my life as a child.\You are a man who knows how precious life is, regardless of the race one belongs to.\And you're telling me to keep living my life bearing that cross on my back?!\You are the only one strong enough to overcome that.\Please understand... Someone has to do it.\Then do it yourself. You're suited to be king.\I brought the world to ruin!\You did it thinking it was for the best. response:	Now is the time we need someone with your will,
context: You are a man who knows how precious life is, regardless of the race one belongs to.\And you're telling me to keep living my life bearing that cross on my back?!\You are the only one strong enough to overcome that.\Please understand... Someone has to do it.\Then do it yourself. You're suited to be king.\I brought the world to ruin!\You did it thinking it was for the best.\Now is the time we need someone with your will, response:	strong enough to risk your own life for the sake of Edolas!
context: And you're telling me to keep living my life bearing that cross on my back?!\You are the only one strong enough to overcome that.\Please understand... Someone has to do it.\Then do it yourself. You're suited to be king.\I brought the world to ruin!\You did it thinking it was for the best.\Now is the time we need someone with your will,\strong enough to risk your own life for the sake of Edolas! response:	If you brought the world to ruin, then take responsibility!
context: You are the only one strong enough to overcome that.\Please understand... Someone has to do it.\Then do it yourself. You're suited to be king.\I brought the world to ruin!\You did it thinking it was for the best.\Now is the time we need someone with your will,\strong enough to risk your own life for the sake of Edolas!\If you brought the world to ruin, then take responsibility! response:	And you don't do that by dying.
context: Please understand... Someone has to do it.\Then do it yourself. You're suited to be king.\I brought the world to ruin!\You did it thinking it was for the best.\Now is the time we need someone with your will,\strong enough to risk your own life for the sake of Edolas!\If you brought the world to ruin, then take responsibility!\And you don't do that by dying. response:	You do it by leading the world once again!
context: Then do it yourself. You're suited to be king.\I brought the world to ruin!\You did it thinking it was for the best.\Now is the time we need someone with your will,\strong enough to risk your own life for the sake of Edolas!\If you brought the world to ruin, then take responsibility!\And you don't do that by dying.\You do it by leading the world once again! response:	But that won't stop this panic...
context: I brought the world to ruin!\You did it thinking it was for the best.\Now is the time we need someone with your will,\strong enough to risk your own life for the sake of Edolas!\If you brought the world to ruin, then take responsibility!\And you don't do that by dying.\You do it by leading the world once again!\But that won't stop this panic... response:	Mommy, I'm scared...
context: You did it thinking it was for the best.\Now is the time we need someone with your will,\strong enough to risk your own life for the sake of Edolas!\If you brought the world to ruin, then take responsibility!\And you don't do that by dying.\You do it by leading the world once again!\But that won't stop this panic...\Mommy, I'm scared... response:	It'll be okay... Everything'll be okay...
context: Now is the time we need someone with your will,\strong enough to risk your own life for the sake of Edolas!\If you brought the world to ruin, then take responsibility!\And you don't do that by dying.\You do it by leading the world once again!\But that won't stop this panic...\Mommy, I'm scared...\It'll be okay... Everything'll be okay... response:	Don't panic! Stay calm!
context: strong enough to risk your own life for the sake of Edolas!\If you brought the world to ruin, then take responsibility!\And you don't do that by dying.\You do it by leading the world once again!\But that won't stop this panic...\Mommy, I'm scared...\It'll be okay... Everything'll be okay...\Don't panic! Stay calm! response:	What are you, nuts? This is no time to be calm!
context: If you brought the world to ruin, then take responsibility!\And you don't do that by dying.\You do it by leading the world once again!\But that won't stop this panic...\Mommy, I'm scared...\It'll be okay... Everything'll be okay...\Don't panic! Stay calm!\What are you, nuts? This is no time to be calm! response:	Hurry up and run away yourself!
context: And you don't do that by dying.\You do it by leading the world once again!\But that won't stop this panic...\Mommy, I'm scared...\It'll be okay... Everything'll be okay...\Don't panic! Stay calm!\What are you, nuts? This is no time to be calm!\Hurry up and run away yourself! response:	Run away? Run away to where?!
context: You do it by leading the world once again!\But that won't stop this panic...\Mommy, I'm scared...\It'll be okay... Everything'll be okay...\Don't panic! Stay calm!\What are you, nuts? This is no time to be calm!\Hurry up and run away yourself!\Run away? Run away to where?! response:	Daddy!
context: But that won't stop this panic...\Mommy, I'm scared...\It'll be okay... Everything'll be okay...\Don't panic! Stay calm!\What are you, nuts? This is no time to be calm!\Hurry up and run away yourself!\Run away? Run away to where?!\Daddy! response:	Are you okay?
context: Mommy, I'm scared...\It'll be okay... Everything'll be okay...\Don't panic! Stay calm!\What are you, nuts? This is no time to be calm!\Hurry up and run away yourself!\Run away? Run away to where?!\Daddy!\Are you okay? response:	Don't let your eyes off your kid!
context: It'll be okay... Everything'll be okay...\Don't panic! Stay calm!\What are you, nuts? This is no time to be calm!\Hurry up and run away yourself!\Run away? Run away to where?!\Daddy!\Are you okay?\Don't let your eyes off your kid! response:	I'll be the villain.
context: Don't panic! Stay calm!\What are you, nuts? This is no time to be calm!\Hurry up and run away yourself!\Run away? Run away to where?!\Daddy!\Are you okay?\Don't let your eyes off your kid!\I'll be the villain. response:	Extalia is...
context: What are you, nuts? This is no time to be calm!\Hurry up and run away yourself!\Run away? Run away to where?!\Daddy!\Are you okay?\Don't let your eyes off your kid!\I'll be the villain.\Extalia is... response:	Our house...
context: Hurry up and run away yourself!\Run away? Run away to where?!\Daddy!\Are you okay?\Don't let your eyes off your kid!\I'll be the villain.\Extalia is...\Our house... response:	The home he had to return to...
context: Run away? Run away to where?!\Daddy!\Are you okay?\Don't let your eyes off your kid!\I'll be the villain.\Extalia is...\Our house...\The home he had to return to... response:	Damn it! Damn it all!
context: Daddy!\Are you okay?\Don't let your eyes off your kid!\I'll be the villain.\Extalia is...\Our house...\The home he had to return to...\Damn it! Damn it all! response:	I was banished from Extalia,
context: Are you okay?\Don't let your eyes off your kid!\I'll be the villain.\Extalia is...\Our house...\The home he had to return to...\Damn it! Damn it all!\I was banished from Extalia, response:	and threw my lot in with the humans.
context: Don't let your eyes off your kid!\I'll be the villain.\Extalia is...\Our house...\The home he had to return to...\Damn it! Damn it all!\I was banished from Extalia,\and threw my lot in with the humans. response:	But for this incident, I betrayed the Kingdom,
context: I'll be the villain.\Extalia is...\Our house...\The home he had to return to...\Damn it! Damn it all!\I was banished from Extalia,\and threw my lot in with the humans.\But for this incident, I betrayed the Kingdom, response:	and I have no place to return to now.
context: Extalia is...\Our house...\The home he had to return to...\Damn it! Damn it all!\I was banished from Extalia,\and threw my lot in with the humans.\But for this incident, I betrayed the Kingdom,\and I have no place to return to now. response:	I will become the great villain and be executed...
context: Our house...\The home he had to return to...\Damn it! Damn it all!\I was banished from Extalia,\and threw my lot in with the humans.\But for this incident, I betrayed the Kingdom,\and I have no place to return to now.\I will become the great villain and be executed... response:	No, you will not!
context: The home he had to return to...\Damn it! Damn it all!\I was banished from Extalia,\and threw my lot in with the humans.\But for this incident, I betrayed the Kingdom,\and I have no place to return to now.\I will become the great villain and be executed...\No, you will not! response:	You saved my life. I cannot allow you to die.
context: Damn it! Damn it all!\I was banished from Extalia,\and threw my lot in with the humans.\But for this incident, I betrayed the Kingdom,\and I have no place to return to now.\I will become the great villain and be executed...\No, you will not!\You saved my life. I cannot allow you to die. response:	I must give you happiness.
context: I was banished from Extalia,\and threw my lot in with the humans.\But for this incident, I betrayed the Kingdom,\and I have no place to return to now.\I will become the great villain and be executed...\No, you will not!\You saved my life. I cannot allow you to die.\I must give you happiness. response:	And I say the exact same thing to you.
context: and threw my lot in with the humans.\But for this incident, I betrayed the Kingdom,\and I have no place to return to now.\I will become the great villain and be executed...\No, you will not!\You saved my life. I cannot allow you to die.\I must give you happiness.\And I say the exact same thing to you. response:	If either one of us takes responsibility and is killed,
