context: Gonna go there? response:	Class 2-F
context: Gonna go there?\Class 2-F response:	Got a minute?
context: Gonna go there?\Class 2-F\Got a minute? response:	What?
context: Gonna go there?\Class 2-F\Got a minute?\What? response:	I wanted to talk to you about what to do on Saturday.
context: Gonna go there?\Class 2-F\Got a minute?\What?\I wanted to talk to you about what to do on Saturday. response:	Huh?
context: Gonna go there?\Class 2-F\Got a minute?\What?\I wanted to talk to you about what to do on Saturday.\Huh? response:	Wait, didn't you hear?
context: Gonna go there?\Class 2-F\Got a minute?\What?\I wanted to talk to you about what to do on Saturday.\Huh?\Wait, didn't you hear? response:	I was talking to Orimoto-san via email,
context: Gonna go there?\Class 2-F\Got a minute?\What?\I wanted to talk to you about what to do on Saturday.\Huh?\Wait, didn't you hear?\I was talking to Orimoto-san via email, response:	and we decided to hang out on Saturday.
context: Class 2-F\Got a minute?\What?\I wanted to talk to you about what to do on Saturday.\Huh?\Wait, didn't you hear?\I was talking to Orimoto-san via email,\and we decided to hang out on Saturday. response:	No, I didn't hear.
context: Got a minute?\What?\I wanted to talk to you about what to do on Saturday.\Huh?\Wait, didn't you hear?\I was talking to Orimoto-san via email,\and we decided to hang out on Saturday.\No, I didn't hear. response:	Then, want to come along?
context: What?\I wanted to talk to you about what to do on Saturday.\Huh?\Wait, didn't you hear?\I was talking to Orimoto-san via email,\and we decided to hang out on Saturday.\No, I didn't hear.\Then, want to come along? response:	Yeah, right.
context: I wanted to talk to you about what to do on Saturday.\Huh?\Wait, didn't you hear?\I was talking to Orimoto-san via email,\and we decided to hang out on Saturday.\No, I didn't hear.\Then, want to come along?\Yeah, right. response:	Will you think of it as a favor to me?
context: Huh?\Wait, didn't you hear?\I was talking to Orimoto-san via email,\and we decided to hang out on Saturday.\No, I didn't hear.\Then, want to come along?\Yeah, right.\Will you think of it as a favor to me? response:	I can't be of any help to you.
context: Wait, didn't you hear?\I was talking to Orimoto-san via email,\and we decided to hang out on Saturday.\No, I didn't hear.\Then, want to come along?\Yeah, right.\Will you think of it as a favor to me?\I can't be of any help to you. response:	You're not the type who'd need help with that, anyway.
context: I was talking to Orimoto-san via email,\and we decided to hang out on Saturday.\No, I didn't hear.\Then, want to come along?\Yeah, right.\Will you think of it as a favor to me?\I can't be of any help to you.\You're not the type who'd need help with that, anyway. response:	Besides, I don't want to go out on a day off.
context: and we decided to hang out on Saturday.\No, I didn't hear.\Then, want to come along?\Yeah, right.\Will you think of it as a favor to me?\I can't be of any help to you.\You're not the type who'd need help with that, anyway.\Besides, I don't want to go out on a day off. response:	I see...
context: No, I didn't hear.\Then, want to come along?\Yeah, right.\Will you think of it as a favor to me?\I can't be of any help to you.\You're not the type who'd need help with that, anyway.\Besides, I don't want to go out on a day off.\I see... response:	Hey. Phone.
context: Then, want to come along?\Yeah, right.\Will you think of it as a favor to me?\I can't be of any help to you.\You're not the type who'd need help with that, anyway.\Besides, I don't want to go out on a day off.\I see...\Hey. Phone. response:	Huh? Whoa...
context: Yeah, right.\Will you think of it as a favor to me?\I can't be of any help to you.\You're not the type who'd need help with that, anyway.\Besides, I don't want to go out on a day off.\I see...\Hey. Phone.\Huh? Whoa... response:	I'm going to bed.
context: Will you think of it as a favor to me?\I can't be of any help to you.\You're not the type who'd need help with that, anyway.\Besides, I don't want to go out on a day off.\I see...\Hey. Phone.\Huh? Whoa...\I'm going to bed. response:	Leave it there when you're done.
context: I can't be of any help to you.\You're not the type who'd need help with that, anyway.\Besides, I don't want to go out on a day off.\I see...\Hey. Phone.\Huh? Whoa...\I'm going to bed.\Leave it there when you're done. response:	Sure.
context: You're not the type who'd need help with that, anyway.\Besides, I don't want to go out on a day off.\I see...\Hey. Phone.\Huh? Whoa...\I'm going to bed.\Leave it there when you're done.\Sure. response:	Hello?
context: Besides, I don't want to go out on a day off.\I see...\Hey. Phone.\Huh? Whoa...\I'm going to bed.\Leave it there when you're done.\Sure.\Hello? response:	Yahello!
context: I see...\Hey. Phone.\Huh? Whoa...\I'm going to bed.\Leave it there when you're done.\Sure.\Hello?\Yahello! response:	Yukinoshita Haruno
context: Hey. Phone.\Huh? Whoa...\I'm going to bed.\Leave it there when you're done.\Sure.\Hello?\Yahello!\Yukinoshita Haruno response:	My Teen Romantic Comedy SNAFU TOO!
context: Huh? Whoa...\I'm going to bed.\Leave it there when you're done.\Sure.\Hello?\Yahello!\Yukinoshita Haruno\My Teen Romantic Comedy SNAFU TOO! response:	Are you fighting with your sister?
context: I'm going to bed.\Leave it there when you're done.\Sure.\Hello?\Yahello!\Yukinoshita Haruno\My Teen Romantic Comedy SNAFU TOO!\Are you fighting with your sister? response:	Not much of one, compared to you and yours.
context: Leave it there when you're done.\Sure.\Hello?\Yahello!\Yukinoshita Haruno\My Teen Romantic Comedy SNAFU TOO!\Are you fighting with your sister?\Not much of one, compared to you and yours. response:	I hear ya.
context: Sure.\Hello?\Yahello!\Yukinoshita Haruno\My Teen Romantic Comedy SNAFU TOO!\Are you fighting with your sister?\Not much of one, compared to you and yours.\I hear ya. response:	Anyway, I heard the news.
context: Hello?\Yahello!\Yukinoshita Haruno\My Teen Romantic Comedy SNAFU TOO!\Are you fighting with your sister?\Not much of one, compared to you and yours.\I hear ya.\Anyway, I heard the news. response:	You were invited on a date, and you don't want to go?
context: Yahello!\Yukinoshita Haruno\My Teen Romantic Comedy SNAFU TOO!\Are you fighting with your sister?\Not much of one, compared to you and yours.\I hear ya.\Anyway, I heard the news.\You were invited on a date, and you don't want to go? response:	I wasn't invited.
context: Yukinoshita Haruno\My Teen Romantic Comedy SNAFU TOO!\Are you fighting with your sister?\Not much of one, compared to you and yours.\I hear ya.\Anyway, I heard the news.\You were invited on a date, and you don't want to go?\I wasn't invited. response:	Hayato invited you. You should go!
context: My Teen Romantic Comedy SNAFU TOO!\Are you fighting with your sister?\Not much of one, compared to you and yours.\I hear ya.\Anyway, I heard the news.\You were invited on a date, and you don't want to go?\I wasn't invited.\Hayato invited you. You should go! response:	Um, I don't think so.
context: Are you fighting with your sister?\Not much of one, compared to you and yours.\I hear ya.\Anyway, I heard the news.\You were invited on a date, and you don't want to go?\I wasn't invited.\Hayato invited you. You should go!\Um, I don't think so. response:	Aww... Hayato never bows his head to ask favors, you know.
context: Not much of one, compared to you and yours.\I hear ya.\Anyway, I heard the news.\You were invited on a date, and you don't want to go?\I wasn't invited.\Hayato invited you. You should go!\Um, I don't think so.\Aww... Hayato never bows his head to ask favors, you know. response:	He's got more pride than you'd think.
context: I hear ya.\Anyway, I heard the news.\You were invited on a date, and you don't want to go?\I wasn't invited.\Hayato invited you. You should go!\Um, I don't think so.\Aww... Hayato never bows his head to ask favors, you know.\He's got more pride than you'd think. response:	I can't help wondering why he went that far to try to bring you along.
