context: Say, Nana Komatsu. Remember close to our high school graduation, response:	we stood beside each other and looked onto the school grounds
context: Say, Nana Komatsu. Remember close to our high school graduation,\we stood beside each other and looked onto the school grounds response:	from the girls' toilet?
context: Say, Nana Komatsu. Remember close to our high school graduation,\we stood beside each other and looked onto the school grounds\from the girls' toilet? response:	Those stories of love you'd tell me then? Please, never tell me those again.
context: Say, Nana Komatsu. Remember close to our high school graduation,\we stood beside each other and looked onto the school grounds\from the girls' toilet?\Those stories of love you'd tell me then? Please, never tell me those again. response:	When I was darkness at that time
context: Say, Nana Komatsu. Remember close to our high school graduation,\we stood beside each other and looked onto the school grounds\from the girls' toilet?\Those stories of love you'd tell me then? Please, never tell me those again.\When I was darkness at that time response:	With trembling lips
context: Say, Nana Komatsu. Remember close to our high school graduation,\we stood beside each other and looked onto the school grounds\from the girls' toilet?\Those stories of love you'd tell me then? Please, never tell me those again.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Say, Nana Komatsu. Remember close to our high school graduation,\we stood beside each other and looked onto the school grounds\from the girls' toilet?\Those stories of love you'd tell me then? Please, never tell me those again.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: Say, Nana Komatsu. Remember close to our high school graduation,\we stood beside each other and looked onto the school grounds\from the girls' toilet?\Those stories of love you'd tell me then? Please, never tell me those again.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: we stood beside each other and looked onto the school grounds\from the girls' toilet?\Those stories of love you'd tell me then? Please, never tell me those again.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: from the girls' toilet?\Those stories of love you'd tell me then? Please, never tell me those again.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: Those stories of love you'd tell me then? Please, never tell me those again.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
