context: The Forest of Giant Trees The 57th expedition beyond the walls (2) response:	Signs
context: The Forest of Giant Trees The 57th expedition beyond the walls (2)\Signs response:	Opening 1st Frame
context: The Forest of Giant Trees The 57th expedition beyond the walls (2)\Signs\Opening 1st Frame response:	Ending
context: The Forest of Giant Trees The 57th expedition beyond the walls (2)\Signs\Opening 1st Frame\Ending response:	Go, Eren!
context: The Forest of Giant Trees The 57th expedition beyond the walls (2)\Signs\Opening 1st Frame\Ending\Go, Eren! response:	Year 850.
context: The Forest of Giant Trees The 57th expedition beyond the walls (2)\Signs\Opening 1st Frame\Ending\Go, Eren!\Year 850. response:	For the first time, mankind retook land from the Titans.
context: The Forest of Giant Trees The 57th expedition beyond the walls (2)\Signs\Opening 1st Frame\Ending\Go, Eren!\Year 850.\For the first time, mankind retook land from the Titans. response:	However, the sacrifices were great.
context: The Forest of Giant Trees The 57th expedition beyond the walls (2)\Signs\Opening 1st Frame\Ending\Go, Eren!\Year 850.\For the first time, mankind retook land from the Titans.\However, the sacrifices were great. response:	This is a true salute!
context: Signs\Opening 1st Frame\Ending\Go, Eren!\Year 850.\For the first time, mankind retook land from the Titans.\However, the sacrifices were great.\This is a true salute! response:	Offer up your hearts!
context: Opening 1st Frame\Ending\Go, Eren!\Year 850.\For the first time, mankind retook land from the Titans.\However, the sacrifices were great.\This is a true salute!\Offer up your hearts! response:	Yes, sir!
context: Ending\Go, Eren!\Year 850.\For the first time, mankind retook land from the Titans.\However, the sacrifices were great.\This is a true salute!\Offer up your hearts!\Yes, sir! response:	You've done well to endure your fear.
context: Go, Eren!\Year 850.\For the first time, mankind retook land from the Titans.\However, the sacrifices were great.\This is a true salute!\Offer up your hearts!\Yes, sir!\You've done well to endure your fear. response:	You are brave soldiers.
context: Year 850.\For the first time, mankind retook land from the Titans.\However, the sacrifices were great.\This is a true salute!\Offer up your hearts!\Yes, sir!\You've done well to endure your fear.\You are brave soldiers. response:	You have my heartfelt respect.
context: For the first time, mankind retook land from the Titans.\However, the sacrifices were great.\This is a true salute!\Offer up your hearts!\Yes, sir!\You've done well to endure your fear.\You are brave soldiers.\You have my heartfelt respect. response:	One month later,
context: However, the sacrifices were great.\This is a true salute!\Offer up your hearts!\Yes, sir!\You've done well to endure your fear.\You are brave soldiers.\You have my heartfelt respect.\One month later, response:	the Recon Corps under Erwin Smith's command
context: This is a true salute!\Offer up your hearts!\Yes, sir!\You've done well to endure your fear.\You are brave soldiers.\You have my heartfelt respect.\One month later,\the Recon Corps under Erwin Smith's command response:	left Karanes to establish a route to Shiganshina,
context: Offer up your hearts!\Yes, sir!\You've done well to endure your fear.\You are brave soldiers.\You have my heartfelt respect.\One month later,\the Recon Corps under Erwin Smith's command\left Karanes to establish a route to Shiganshina, response:	where the answer to the Titans' secret is suspected to lie.
context: Yes, sir!\You've done well to endure your fear.\You are brave soldiers.\You have my heartfelt respect.\One month later,\the Recon Corps under Erwin Smith's command\left Karanes to establish a route to Shiganshina,\where the answer to the Titans' secret is suspected to lie. response:	We will now begin the 57th expedition beyond the walls!
context: You've done well to endure your fear.\You are brave soldiers.\You have my heartfelt respect.\One month later,\the Recon Corps under Erwin Smith's command\left Karanes to establish a route to Shiganshina,\where the answer to the Titans' secret is suspected to lie.\We will now begin the 57th expedition beyond the walls! response:	Onward!
context: You are brave soldiers.\You have my heartfelt respect.\One month later,\the Recon Corps under Erwin Smith's command\left Karanes to establish a route to Shiganshina,\where the answer to the Titans' secret is suspected to lie.\We will now begin the 57th expedition beyond the walls!\Onward! response:	10-meter class approaching from the left!
context: You have my heartfelt respect.\One month later,\the Recon Corps under Erwin Smith's command\left Karanes to establish a route to Shiganshina,\where the answer to the Titans' secret is suspected to lie.\We will now begin the 57th expedition beyond the walls!\Onward!\10-meter class approaching from the left! response:	I'd love to find out what it's got inside its stomach!
context: One month later,\the Recon Corps under Erwin Smith's command\left Karanes to establish a route to Shiganshina,\where the answer to the Titans' secret is suspected to lie.\We will now begin the 57th expedition beyond the walls!\Onward!\10-meter class approaching from the left!\I'd love to find out what it's got inside its stomach! response:	But let's leave it to the cover team!
context: the Recon Corps under Erwin Smith's command\left Karanes to establish a route to Shiganshina,\where the answer to the Titans' secret is suspected to lie.\We will now begin the 57th expedition beyond the walls!\Onward!\10-meter class approaching from the left!\I'd love to find out what it's got inside its stomach!\But let's leave it to the cover team! response:	Shit!
context: left Karanes to establish a route to Shiganshina,\where the answer to the Titans' secret is suspected to lie.\We will now begin the 57th expedition beyond the walls!\Onward!\10-meter class approaching from the left!\I'd love to find out what it's got inside its stomach!\But let's leave it to the cover team!\Shit! response:	Barely got it!
context: where the answer to the Titans' secret is suspected to lie.\We will now begin the 57th expedition beyond the walls!\Onward!\10-meter class approaching from the left!\I'd love to find out what it's got inside its stomach!\But let's leave it to the cover team!\Shit!\Barely got it! response:	Defend the column at all costs!
