context: I'm sorry about the other day. response:	No problem!
context: I'm sorry about the other day.\No problem! response:	My mom tells me all the time that I come home too late.
context: I'm sorry about the other day.\No problem!\My mom tells me all the time that I come home too late. response:	Well, that's what moms are for.
context: I'm sorry about the other day.\No problem!\My mom tells me all the time that I come home too late.\Well, that's what moms are for. response:	They always have something to say.
context: I'm sorry about the other day.\No problem!\My mom tells me all the time that I come home too late.\Well, that's what moms are for.\They always have something to say. response:	Komachi's entrance exam is coming up,
context: I'm sorry about the other day.\No problem!\My mom tells me all the time that I come home too late.\Well, that's what moms are for.\They always have something to say.\Komachi's entrance exam is coming up, response:	so she and Mom have been arguing about that lately.
context: I'm sorry about the other day.\No problem!\My mom tells me all the time that I come home too late.\Well, that's what moms are for.\They always have something to say.\Komachi's entrance exam is coming up,\so she and Mom have been arguing about that lately. response:	Oh, yeah, Komachi-chan's exam is tomorrow, huh?
context: I'm sorry about the other day.\No problem!\My mom tells me all the time that I come home too late.\Well, that's what moms are for.\They always have something to say.\Komachi's entrance exam is coming up,\so she and Mom have been arguing about that lately.\Oh, yeah, Komachi-chan's exam is tomorrow, huh? response:	It gives us the day off, too.
context: No problem!\My mom tells me all the time that I come home too late.\Well, that's what moms are for.\They always have something to say.\Komachi's entrance exam is coming up,\so she and Mom have been arguing about that lately.\Oh, yeah, Komachi-chan's exam is tomorrow, huh?\It gives us the day off, too. response:	If I know Komachi-san, I'm sure she'll do fine, though.
context: My mom tells me all the time that I come home too late.\Well, that's what moms are for.\They always have something to say.\Komachi's entrance exam is coming up,\so she and Mom have been arguing about that lately.\Oh, yeah, Komachi-chan's exam is tomorrow, huh?\It gives us the day off, too.\If I know Komachi-san, I'm sure she'll do fine, though. response:	Yeah...
context: Well, that's what moms are for.\They always have something to say.\Komachi's entrance exam is coming up,\so she and Mom have been arguing about that lately.\Oh, yeah, Komachi-chan's exam is tomorrow, huh?\It gives us the day off, too.\If I know Komachi-san, I'm sure she'll do fine, though.\Yeah... response:	But as her brother, you've gotta worry, huh?
