context: The Deucalion? Why would they... response:	They had no choice but to make a frontal assault?
context: The Deucalion? Why would they...\They had no choice but to make a frontal assault? response:	Control! This is Mustang Leader!
context: The Deucalion? Why would they...\They had no choice but to make a frontal assault?\Control! This is Mustang Leader! response:	Please respond!
context: The Deucalion? Why would they...\They had no choice but to make a frontal assault?\Control! This is Mustang Leader!\Please respond! response:	Princess 1!
context: The Deucalion? Why would they...\They had no choice but to make a frontal assault?\Control! This is Mustang Leader!\Please respond!\Princess 1! response:	Highness!
context: The Deucalion? Why would they...\They had no choice but to make a frontal assault?\Control! This is Mustang Leader!\Please respond!\Princess 1!\Highness! response:	Princess Asseylum confirmed alive!
context: The Deucalion? Why would they...\They had no choice but to make a frontal assault?\Control! This is Mustang Leader!\Please respond!\Princess 1!\Highness!\Princess Asseylum confirmed alive! response:	Control to Mustang Platoon, do you copy?
context: The Deucalion? Why would they...\They had no choice but to make a frontal assault?\Control! This is Mustang Leader!\Please respond!\Princess 1!\Highness!\Princess Asseylum confirmed alive!\Control to Mustang Platoon, do you copy? response:	Lt. Marito!
context: They had no choice but to make a frontal assault?\Control! This is Mustang Leader!\Please respond!\Princess 1!\Highness!\Princess Asseylum confirmed alive!\Control to Mustang Platoon, do you copy?\Lt. Marito! response:	Amifumi?
context: Control! This is Mustang Leader!\Please respond!\Princess 1!\Highness!\Princess Asseylum confirmed alive!\Control to Mustang Platoon, do you copy?\Lt. Marito!\Amifumi? response:	Is the Deucalion okay? Is everyone on the bridge okay?
context: Please respond!\Princess 1!\Highness!\Princess Asseylum confirmed alive!\Control to Mustang Platoon, do you copy?\Lt. Marito!\Amifumi?\Is the Deucalion okay? Is everyone on the bridge okay? response:	What about Nina and Calm? Are they okay?
context: Princess 1!\Highness!\Princess Asseylum confirmed alive!\Control to Mustang Platoon, do you copy?\Lt. Marito!\Amifumi?\Is the Deucalion okay? Is everyone on the bridge okay?\What about Nina and Calm? Are they okay? response:	Somehow.
context: Highness!\Princess Asseylum confirmed alive!\Control to Mustang Platoon, do you copy?\Lt. Marito!\Amifumi?\Is the Deucalion okay? Is everyone on the bridge okay?\What about Nina and Calm? Are they okay?\Somehow. response:	Well, maybe We're all okay isn't quite honest...
context: Princess Asseylum confirmed alive!\Control to Mustang Platoon, do you copy?\Lt. Marito!\Amifumi?\Is the Deucalion okay? Is everyone on the bridge okay?\What about Nina and Calm? Are they okay?\Somehow.\Well, maybe We're all okay isn't quite honest... response:	This might be more of a Don't worry, go on without us! kind of situation.
