context: - Ryuko! response:	Are you all right?!
context: - Ryuko!\Are you all right?! response:	It hurts! It hurts like hell!
context: - Ryuko!\Are you all right?!\It hurts! It hurts like hell! response:	But it's what I deserve for being such a huge dumbass!
context: - Ryuko!\Are you all right?!\It hurts! It hurts like hell!\But it's what I deserve for being such a huge dumbass! response:	I can't believe she's still alive after snapping her own Life Fibers!
context: - Ryuko!\Are you all right?!\It hurts! It hurts like hell!\But it's what I deserve for being such a huge dumbass!\I can't believe she's still alive after snapping her own Life Fibers! response:	By the way...
context: - Ryuko!\Are you all right?!\It hurts! It hurts like hell!\But it's what I deserve for being such a huge dumbass!\I can't believe she's still alive after snapping her own Life Fibers!\By the way... response:	Nui's injuries are healing!
context: - Ryuko!\Are you all right?!\It hurts! It hurts like hell!\But it's what I deserve for being such a huge dumbass!\I can't believe she's still alive after snapping her own Life Fibers!\By the way...\Nui's injuries are healing! response:	So she's indestructible, too?
context: - Ryuko!\Are you all right?!\It hurts! It hurts like hell!\But it's what I deserve for being such a huge dumbass!\I can't believe she's still alive after snapping her own Life Fibers!\By the way...\Nui's injuries are healing!\So she's indestructible, too? response:	It's the power of the Life Fibers inside her body.
context: Are you all right?!\It hurts! It hurts like hell!\But it's what I deserve for being such a huge dumbass!\I can't believe she's still alive after snapping her own Life Fibers!\By the way...\Nui's injuries are healing!\So she's indestructible, too?\It's the power of the Life Fibers inside her body. response:	It was a mistake to throw your Scissor Blade at me.
context: It hurts! It hurts like hell!\But it's what I deserve for being such a huge dumbass!\I can't believe she's still alive after snapping her own Life Fibers!\By the way...\Nui's injuries are healing!\So she's indestructible, too?\It's the power of the Life Fibers inside her body.\It was a mistake to throw your Scissor Blade at me. response:	You can't defeat me, and now I have both halves!
context: But it's what I deserve for being such a huge dumbass!\I can't believe she's still alive after snapping her own Life Fibers!\By the way...\Nui's injuries are healing!\So she's indestructible, too?\It's the power of the Life Fibers inside her body.\It was a mistake to throw your Scissor Blade at me.\You can't defeat me, and now I have both halves! response:	Get going, Senketsu! Be with Ryuko!
context: I can't believe she's still alive after snapping her own Life Fibers!\By the way...\Nui's injuries are healing!\So she's indestructible, too?\It's the power of the Life Fibers inside her body.\It was a mistake to throw your Scissor Blade at me.\You can't defeat me, and now I have both halves!\Get going, Senketsu! Be with Ryuko! response:	Right!
context: By the way...\Nui's injuries are healing!\So she's indestructible, too?\It's the power of the Life Fibers inside her body.\It was a mistake to throw your Scissor Blade at me.\You can't defeat me, and now I have both halves!\Get going, Senketsu! Be with Ryuko!\Right! response:	I'll just have to shred that dumb ol' Senketsu again!
context: Nui's injuries are healing!\So she's indestructible, too?\It's the power of the Life Fibers inside her body.\It was a mistake to throw your Scissor Blade at me.\You can't defeat me, and now I have both halves!\Get going, Senketsu! Be with Ryuko!\Right!\I'll just have to shred that dumb ol' Senketsu again! response:	I don't think so!
context: So she's indestructible, too?\It's the power of the Life Fibers inside her body.\It was a mistake to throw your Scissor Blade at me.\You can't defeat me, and now I have both halves!\Get going, Senketsu! Be with Ryuko!\Right!\I'll just have to shred that dumb ol' Senketsu again!\I don't think so! response:	He used me as a springboard?!
context: It's the power of the Life Fibers inside her body.\It was a mistake to throw your Scissor Blade at me.\You can't defeat me, and now I have both halves!\Get going, Senketsu! Be with Ryuko!\Right!\I'll just have to shred that dumb ol' Senketsu again!\I don't think so!\He used me as a springboard?! response:	Let's go, Ryuko!
context: It was a mistake to throw your Scissor Blade at me.\You can't defeat me, and now I have both halves!\Get going, Senketsu! Be with Ryuko!\Right!\I'll just have to shred that dumb ol' Senketsu again!\I don't think so!\He used me as a springboard?!\Let's go, Ryuko! response:	Life Fiber Synchronize!
context: You can't defeat me, and now I have both halves!\Get going, Senketsu! Be with Ryuko!\Right!\I'll just have to shred that dumb ol' Senketsu again!\I don't think so!\He used me as a springboard?!\Let's go, Ryuko!\Life Fiber Synchronize! response:	EPISODE 22 TELL ME HOW YOU FEEL
context: Get going, Senketsu! Be with Ryuko!\Right!\I'll just have to shred that dumb ol' Senketsu again!\I don't think so!\He used me as a springboard?!\Let's go, Ryuko!\Life Fiber Synchronize!\EPISODE 22 TELL ME HOW YOU FEEL response:	Harime!
context: Right!\I'll just have to shred that dumb ol' Senketsu again!\I don't think so!\He used me as a springboard?!\Let's go, Ryuko!\Life Fiber Synchronize!\EPISODE 22 TELL ME HOW YOU FEEL\Harime! response:	She's cowing Harime through sheer intimidation, eh?
context: I'll just have to shred that dumb ol' Senketsu again!\I don't think so!\He used me as a springboard?!\Let's go, Ryuko!\Life Fiber Synchronize!\EPISODE 22 TELL ME HOW YOU FEEL\Harime!\She's cowing Harime through sheer intimidation, eh? response:	You stay put right there.
context: I don't think so!\He used me as a springboard?!\Let's go, Ryuko!\Life Fiber Synchronize!\EPISODE 22 TELL ME HOW YOU FEEL\Harime!\She's cowing Harime through sheer intimidation, eh?\You stay put right there. response:	Aw, but I'd tailored Junketsu just for you!
