context: Is it possible to have a happy marriage to a human woman? response:	I certainly don't believe so.
context: Is it possible to have a happy marriage to a human woman?\I certainly don't believe so. response:	No. It is.
context: Is it possible to have a happy marriage to a human woman?\I certainly don't believe so.\No. It is. response:	And this time, I'll prove it to you.
context: Is it possible to have a happy marriage to a human woman?\I certainly don't believe so.\No. It is.\And this time, I'll prove it to you. response:	Yes, I'll prove it with our eternal love.
context: Is it possible to have a happy marriage to a human woman?\I certainly don't believe so.\No. It is.\And this time, I'll prove it to you.\Yes, I'll prove it with our eternal love. response:	Hozuki City's 48th 7/24-25 Kagurazaka Festival
context: Is it possible to have a happy marriage to a human woman?\I certainly don't believe so.\No. It is.\And this time, I'll prove it to you.\Yes, I'll prove it with our eternal love.\Hozuki City's 48th 7/24-25 Kagurazaka Festival response:	July 15th Shinjuku Ward Kagurazaka
context: Is it possible to have a happy marriage to a human woman?\I certainly don't believe so.\No. It is.\And this time, I'll prove it to you.\Yes, I'll prove it with our eternal love.\Hozuki City's 48th 7/24-25 Kagurazaka Festival\July 15th Shinjuku Ward Kagurazaka response:	Izumi, are you over there?!
context: Is it possible to have a happy marriage to a human woman?\I certainly don't believe so.\No. It is.\And this time, I'll prove it to you.\Yes, I'll prove it with our eternal love.\Hozuki City's 48th 7/24-25 Kagurazaka Festival\July 15th Shinjuku Ward Kagurazaka\Izumi, are you over there?! response:	Dunno!
context: I certainly don't believe so.\No. It is.\And this time, I'll prove it to you.\Yes, I'll prove it with our eternal love.\Hozuki City's 48th 7/24-25 Kagurazaka Festival\July 15th Shinjuku Ward Kagurazaka\Izumi, are you over there?!\Dunno! response:	Gotcha!
context: No. It is.\And this time, I'll prove it to you.\Yes, I'll prove it with our eternal love.\Hozuki City's 48th 7/24-25 Kagurazaka Festival\July 15th Shinjuku Ward Kagurazaka\Izumi, are you over there?!\Dunno!\Gotcha! response:	Six wins in a row!
context: And this time, I'll prove it to you.\Yes, I'll prove it with our eternal love.\Hozuki City's 48th 7/24-25 Kagurazaka Festival\July 15th Shinjuku Ward Kagurazaka\Izumi, are you over there?!\Dunno!\Gotcha!\Six wins in a row! response:	This isn't going well.
context: Yes, I'll prove it with our eternal love.\Hozuki City's 48th 7/24-25 Kagurazaka Festival\July 15th Shinjuku Ward Kagurazaka\Izumi, are you over there?!\Dunno!\Gotcha!\Six wins in a row!\This isn't going well. response:	It's been so long, I've lost my intuition.
context: Hozuki City's 48th 7/24-25 Kagurazaka Festival\July 15th Shinjuku Ward Kagurazaka\Izumi, are you over there?!\Dunno!\Gotcha!\Six wins in a row!\This isn't going well.\It's been so long, I've lost my intuition. response:	You're weak now that you're a productive member of society, Arata.
context: July 15th Shinjuku Ward Kagurazaka\Izumi, are you over there?!\Dunno!\Gotcha!\Six wins in a row!\This isn't going well.\It's been so long, I've lost my intuition.\You're weak now that you're a productive member of society, Arata. response:	Super weak!
context: Izumi, are you over there?!\Dunno!\Gotcha!\Six wins in a row!\This isn't going well.\It's been so long, I've lost my intuition.\You're weak now that you're a productive member of society, Arata.\Super weak! response:	One more time, damn it!
context: Dunno!\Gotcha!\Six wins in a row!\This isn't going well.\It's been so long, I've lost my intuition.\You're weak now that you're a productive member of society, Arata.\Super weak!\One more time, damn it! response:	I won't lose this time!
context: Gotcha!\Six wins in a row!\This isn't going well.\It's been so long, I've lost my intuition.\You're weak now that you're a productive member of society, Arata.\Super weak!\One more time, damn it!\I won't lose this time! response:	Thanks for having me over tonight.
context: Six wins in a row!\This isn't going well.\It's been so long, I've lost my intuition.\You're weak now that you're a productive member of society, Arata.\Super weak!\One more time, damn it!\I won't lose this time!\Thanks for having me over tonight. response:	Helping with the family business again tonight?
context: This isn't going well.\It's been so long, I've lost my intuition.\You're weak now that you're a productive member of society, Arata.\Super weak!\One more time, damn it!\I won't lose this time!\Thanks for having me over tonight.\Helping with the family business again tonight? response:	Yeah. We got a lot of reservations.
context: It's been so long, I've lost my intuition.\You're weak now that you're a productive member of society, Arata.\Super weak!\One more time, damn it!\I won't lose this time!\Thanks for having me over tonight.\Helping with the family business again tonight?\Yeah. We got a lot of reservations. response:	It's rough when your parents own a restaurant, huh?
context: You're weak now that you're a productive member of society, Arata.\Super weak!\One more time, damn it!\I won't lose this time!\Thanks for having me over tonight.\Helping with the family business again tonight?\Yeah. We got a lot of reservations.\It's rough when your parents own a restaurant, huh? response:	It sure is rough when your parents own a restaurant.
context: Super weak!\One more time, damn it!\I won't lose this time!\Thanks for having me over tonight.\Helping with the family business again tonight?\Yeah. We got a lot of reservations.\It's rough when your parents own a restaurant, huh?\It sure is rough when your parents own a restaurant. response:	Oh, right.
context: One more time, damn it!\I won't lose this time!\Thanks for having me over tonight.\Helping with the family business again tonight?\Yeah. We got a lot of reservations.\It's rough when your parents own a restaurant, huh?\It sure is rough when your parents own a restaurant.\Oh, right. response:	Want to go to Kagurazaka Festival with me next week?
context: I won't lose this time!\Thanks for having me over tonight.\Helping with the family business again tonight?\Yeah. We got a lot of reservations.\It's rough when your parents own a restaurant, huh?\It sure is rough when your parents own a restaurant.\Oh, right.\Want to go to Kagurazaka Festival with me next week? response:	Kagurazaka Festival?
context: Thanks for having me over tonight.\Helping with the family business again tonight?\Yeah. We got a lot of reservations.\It's rough when your parents own a restaurant, huh?\It sure is rough when your parents own a restaurant.\Oh, right.\Want to go to Kagurazaka Festival with me next week?\Kagurazaka Festival? response:	Won't you be helping your family then, too?
context: Helping with the family business again tonight?\Yeah. We got a lot of reservations.\It's rough when your parents own a restaurant, huh?\It sure is rough when your parents own a restaurant.\Oh, right.\Want to go to Kagurazaka Festival with me next week?\Kagurazaka Festival?\Won't you be helping your family then, too? response:	I managed to get them to give me time off!
context: Yeah. We got a lot of reservations.\It's rough when your parents own a restaurant, huh?\It sure is rough when your parents own a restaurant.\Oh, right.\Want to go to Kagurazaka Festival with me next week?\Kagurazaka Festival?\Won't you be helping your family then, too?\I managed to get them to give me time off! response:	How about it?
context: It's rough when your parents own a restaurant, huh?\It sure is rough when your parents own a restaurant.\Oh, right.\Want to go to Kagurazaka Festival with me next week?\Kagurazaka Festival?\Won't you be helping your family then, too?\I managed to get them to give me time off!\How about it? response:	It's on a weekday, right?
context: It sure is rough when your parents own a restaurant.\Oh, right.\Want to go to Kagurazaka Festival with me next week?\Kagurazaka Festival?\Won't you be helping your family then, too?\I managed to get them to give me time off!\How about it?\It's on a weekday, right? response:	As long as I can go before work.
context: Oh, right.\Want to go to Kagurazaka Festival with me next week?\Kagurazaka Festival?\Won't you be helping your family then, too?\I managed to get them to give me time off!\How about it?\It's on a weekday, right?\As long as I can go before work. response:	Yes! You're paying, Arata.
context: Want to go to Kagurazaka Festival with me next week?\Kagurazaka Festival?\Won't you be helping your family then, too?\I managed to get them to give me time off!\How about it?\It's on a weekday, right?\As long as I can go before work.\Yes! You're paying, Arata. response:	Listen...
context: Kagurazaka Festival?\Won't you be helping your family then, too?\I managed to get them to give me time off!\How about it?\It's on a weekday, right?\As long as I can go before work.\Yes! You're paying, Arata.\Listen... response:	Just kidding! That was a joke!
context: Won't you be helping your family then, too?\I managed to get them to give me time off!\How about it?\It's on a weekday, right?\As long as I can go before work.\Yes! You're paying, Arata.\Listen...\Just kidding! That was a joke! response:	It's been so long since I've been to a festival with you.
context: I managed to get them to give me time off!\How about it?\It's on a weekday, right?\As long as I can go before work.\Yes! You're paying, Arata.\Listen...\Just kidding! That was a joke!\It's been so long since I've been to a festival with you. response:	I can't wait.
context: How about it?\It's on a weekday, right?\As long as I can go before work.\Yes! You're paying, Arata.\Listen...\Just kidding! That was a joke!\It's been so long since I've been to a festival with you.\I can't wait. response:	Yeah. Take care.
context: It's on a weekday, right?\As long as I can go before work.\Yes! You're paying, Arata.\Listen...\Just kidding! That was a joke!\It's been so long since I've been to a festival with you.\I can't wait.\Yeah. Take care. response:	Oh, dear.
context: As long as I can go before work.\Yes! You're paying, Arata.\Listen...\Just kidding! That was a joke!\It's been so long since I've been to a festival with you.\I can't wait.\Yeah. Take care.\Oh, dear. response:	I finally lost him.
context: Yes! You're paying, Arata.\Listen...\Just kidding! That was a joke!\It's been so long since I've been to a festival with you.\I can't wait.\Yeah. Take care.\Oh, dear.\I finally lost him. response:	That guard dog of yours is persistent.
context: Listen...\Just kidding! That was a joke!\It's been so long since I've been to a festival with you.\I can't wait.\Yeah. Take care.\Oh, dear.\I finally lost him.\That guard dog of yours is persistent. response:	What do you want?
context: Just kidding! That was a joke!\It's been so long since I've been to a festival with you.\I can't wait.\Yeah. Take care.\Oh, dear.\I finally lost him.\That guard dog of yours is persistent.\What do you want? response:	I wanted to thank you for earlier.
context: It's been so long since I've been to a festival with you.\I can't wait.\Yeah. Take care.\Oh, dear.\I finally lost him.\That guard dog of yours is persistent.\What do you want?\I wanted to thank you for earlier. response:	There's no need.
context: I can't wait.\Yeah. Take care.\Oh, dear.\I finally lost him.\That guard dog of yours is persistent.\What do you want?\I wanted to thank you for earlier.\There's no need. response:	So this is her, huh?
context: Yeah. Take care.\Oh, dear.\I finally lost him.\That guard dog of yours is persistent.\What do you want?\I wanted to thank you for earlier.\There's no need.\So this is her, huh? response:	Which parts of the earlier girl were right?
context: Oh, dear.\I finally lost him.\That guard dog of yours is persistent.\What do you want?\I wanted to thank you for earlier.\There's no need.\So this is her, huh?\Which parts of the earlier girl were right? response:	Voice and right leg.
context: I finally lost him.\That guard dog of yours is persistent.\What do you want?\I wanted to thank you for earlier.\There's no need.\So this is her, huh?\Which parts of the earlier girl were right?\Voice and right leg. response:	I'm almost there.
context: That guard dog of yours is persistent.\What do you want?\I wanted to thank you for earlier.\There's no need.\So this is her, huh?\Which parts of the earlier girl were right?\Voice and right leg.\I'm almost there. response:	The eye, which goes in last, is right there.
context: What do you want?\I wanted to thank you for earlier.\There's no need.\So this is her, huh?\Which parts of the earlier girl were right?\Voice and right leg.\I'm almost there.\The eye, which goes in last, is right there. response:	All that's left is the left hand.
context: I wanted to thank you for earlier.\There's no need.\So this is her, huh?\Which parts of the earlier girl were right?\Voice and right leg.\I'm almost there.\The eye, which goes in last, is right there.\All that's left is the left hand. response:	Okay. I found a girl who I think will meet your conditions.
context: There's no need.\So this is her, huh?\Which parts of the earlier girl were right?\Voice and right leg.\I'm almost there.\The eye, which goes in last, is right there.\All that's left is the left hand.\Okay. I found a girl who I think will meet your conditions. response:	I'll tell you about her.
context: So this is her, huh?\Which parts of the earlier girl were right?\Voice and right leg.\I'm almost there.\The eye, which goes in last, is right there.\All that's left is the left hand.\Okay. I found a girl who I think will meet your conditions.\I'll tell you about her. response:	You're certain?
context: Which parts of the earlier girl were right?\Voice and right leg.\I'm almost there.\The eye, which goes in last, is right there.\All that's left is the left hand.\Okay. I found a girl who I think will meet your conditions.\I'll tell you about her.\You're certain? response:	As near as I can tell.
context: Voice and right leg.\I'm almost there.\The eye, which goes in last, is right there.\All that's left is the left hand.\Okay. I found a girl who I think will meet your conditions.\I'll tell you about her.\You're certain?\As near as I can tell. response:	It's for your help earlier.
context: I'm almost there.\The eye, which goes in last, is right there.\All that's left is the left hand.\Okay. I found a girl who I think will meet your conditions.\I'll tell you about her.\You're certain?\As near as I can tell.\It's for your help earlier. response:	Storage 1
context: The eye, which goes in last, is right there.\All that's left is the left hand.\Okay. I found a girl who I think will meet your conditions.\I'll tell you about her.\You're certain?\As near as I can tell.\It's for your help earlier.\Storage 1 response:	Morn
