context: 'Hey, hey.' response:	This fish over here is cute.
context: 'Hey, hey.'\This fish over here is cute. response:	Sakura-chan looks like she is having fun.
context: 'Hey, hey.'\This fish over here is cute.\Sakura-chan looks like she is having fun. response:	Yes she does.
context: 'Hey, hey.'\This fish over here is cute.\Sakura-chan looks like she is having fun.\Yes she does. response:	Sakura-chan loves athletic meets and field trips.
context: 'Hey, hey.'\This fish over here is cute.\Sakura-chan looks like she is having fun.\Yes she does.\Sakura-chan loves athletic meets and field trips. response:	I'm Sakura Kinomoto.
context: 'Hey, hey.'\This fish over here is cute.\Sakura-chan looks like she is having fun.\Yes she does.\Sakura-chan loves athletic meets and field trips.\I'm Sakura Kinomoto. response:	A fourth grader at Tomoeda Elementary.
context: 'Hey, hey.'\This fish over here is cute.\Sakura-chan looks like she is having fun.\Yes she does.\Sakura-chan loves athletic meets and field trips.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda Elementary. response:	Today is a field trip day.
context: 'Hey, hey.'\This fish over here is cute.\Sakura-chan looks like she is having fun.\Yes she does.\Sakura-chan loves athletic meets and field trips.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda Elementary.\Today is a field trip day. response:	We're going to various places in groups.
context: This fish over here is cute.\Sakura-chan looks like she is having fun.\Yes she does.\Sakura-chan loves athletic meets and field trips.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda Elementary.\Today is a field trip day.\We're going to various places in groups. response:	Our group is at the aquarium.
context: Sakura-chan looks like she is having fun.\Yes she does.\Sakura-chan loves athletic meets and field trips.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda Elementary.\Today is a field trip day.\We're going to various places in groups.\Our group is at the aquarium. response:	I love the aquarium.
context: Yes she does.\Sakura-chan loves athletic meets and field trips.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda Elementary.\Today is a field trip day.\We're going to various places in groups.\Our group is at the aquarium.\I love the aquarium. response:	The penguin show is about to start.
context: Sakura-chan loves athletic meets and field trips.\I'm Sakura Kinomoto.\A fourth grader at Tomoeda Elementary.\Today is a field trip day.\We're going to various places in groups.\Our group is at the aquarium.\I love the aquarium.\The penguin show is about to start. response:	OK.
context: I'm Sakura Kinomoto.\A fourth grader at Tomoeda Elementary.\Today is a field trip day.\We're going to various places in groups.\Our group is at the aquarium.\I love the aquarium.\The penguin show is about to start.\OK. response:	'Sakura-chan, let's go.'
context: A fourth grader at Tomoeda Elementary.\Today is a field trip day.\We're going to various places in groups.\Our group is at the aquarium.\I love the aquarium.\The penguin show is about to start.\OK.\'Sakura-chan, let's go.' response:	Let's hurry everybody.
context: Today is a field trip day.\We're going to various places in groups.\Our group is at the aquarium.\I love the aquarium.\The penguin show is about to start.\OK.\'Sakura-chan, let's go.'\Let's hurry everybody. response:	She's fast.
context: We're going to various places in groups.\Our group is at the aquarium.\I love the aquarium.\The penguin show is about to start.\OK.\'Sakura-chan, let's go.'\Let's hurry everybody.\She's fast. response:	'Penguins, penguins, penguins.'
context: Our group is at the aquarium.\I love the aquarium.\The penguin show is about to start.\OK.\'Sakura-chan, let's go.'\Let's hurry everybody.\She's fast.\'Penguins, penguins, penguins.' response:	Sakura-chan really does seem to be enjoying herself.
context: I love the aquarium.\The penguin show is about to start.\OK.\'Sakura-chan, let's go.'\Let's hurry everybody.\She's fast.\'Penguins, penguins, penguins.'\Sakura-chan really does seem to be enjoying herself. response:	That's amazing.
context: The penguin show is about to start.\OK.\'Sakura-chan, let's go.'\Let's hurry everybody.\She's fast.\'Penguins, penguins, penguins.'\Sakura-chan really does seem to be enjoying herself.\That's amazing. response:	How cool.
context: OK.\'Sakura-chan, let's go.'\Let's hurry everybody.\She's fast.\'Penguins, penguins, penguins.'\Sakura-chan really does seem to be enjoying herself.\That's amazing.\How cool. response:	I want to swim with the penguins too.
context: 'Sakura-chan, let's go.'\Let's hurry everybody.\She's fast.\'Penguins, penguins, penguins.'\Sakura-chan really does seem to be enjoying herself.\That's amazing.\How cool.\I want to swim with the penguins too. response:	Sakura is good at swimming right?
context: Let's hurry everybody.\She's fast.\'Penguins, penguins, penguins.'\Sakura-chan really does seem to be enjoying herself.\That's amazing.\How cool.\I want to swim with the penguins too.\Sakura is good at swimming right? response:	Here.
context: She's fast.\'Penguins, penguins, penguins.'\Sakura-chan really does seem to be enjoying herself.\That's amazing.\How cool.\I want to swim with the penguins too.\Sakura is good at swimming right?\Here. response:	How cute.
context: 'Penguins, penguins, penguins.'\Sakura-chan really does seem to be enjoying herself.\That's amazing.\How cool.\I want to swim with the penguins too.\Sakura is good at swimming right?\Here.\How cute. response:	My leg.
context: Sakura-chan really does seem to be enjoying herself.\That's amazing.\How cool.\I want to swim with the penguins too.\Sakura is good at swimming right?\Here.\How cute.\My leg. response:	No! Penguin-san!
context: That's amazing.\How cool.\I want to swim with the penguins too.\Sakura is good at swimming right?\Here.\How cute.\My leg.\No! Penguin-san! response:	Penguin-san! Penguin-san! Penguin-san!
context: How cool.\I want to swim with the penguins too.\Sakura is good at swimming right?\Here.\How cute.\My leg.\No! Penguin-san!\Penguin-san! Penguin-san! Penguin-san! response:	Sakura-chan.
context: I want to swim with the penguins too.\Sakura is good at swimming right?\Here.\How cute.\My leg.\No! Penguin-san!\Penguin-san! Penguin-san! Penguin-san!\Sakura-chan. response:	We have to save the penguin.
context: Sakura is good at swimming right?\Here.\How cute.\My leg.\No! Penguin-san!\Penguin-san! Penguin-san! Penguin-san!\Sakura-chan.\We have to save the penguin. response:	Penguin-san! Penguin-san! Penguin-san!
context: Here.\How cute.\My leg.\No! Penguin-san!\Penguin-san! Penguin-san! Penguin-san!\Sakura-chan.\We have to save the penguin.\Penguin-san! Penguin-san! Penguin-san! response:	What's going on?
context: How cute.\My leg.\No! Penguin-san!\Penguin-san! Penguin-san! Penguin-san!\Sakura-chan.\We have to save the penguin.\Penguin-san! Penguin-san! Penguin-san!\What's going on? response:	A penguin is drowning in the water.
context: My leg.\No! Penguin-san!\Penguin-san! Penguin-san! Penguin-san!\Sakura-chan.\We have to save the penguin.\Penguin-san! Penguin-san! Penguin-san!\What's going on?\A penguin is drowning in the water. response:	But I can't save it.
context: No! Penguin-san!\Penguin-san! Penguin-san! Penguin-san!\Sakura-chan.\We have to save the penguin.\Penguin-san! Penguin-san! Penguin-san!\What's going on?\A penguin is drowning in the water.\But I can't save it. response:	That guy'
context: Penguin-san! Penguin-san! Penguin-san!\Sakura-chan.\We have to save the penguin.\Penguin-san! Penguin-san! Penguin-san!\What's going on?\A penguin is drowning in the water.\But I can't save it.\That guy' response:	Brother?
context: Sakura-chan.\We have to save the penguin.\Penguin-san! Penguin-san! Penguin-san!\What's going on?\A penguin is drowning in the water.\But I can't save it.\That guy'\Brother? response:	Sakura-chan, You drowned?
context: We have to save the penguin.\Penguin-san! Penguin-san! Penguin-san!\What's going on?\A penguin is drowning in the water.\But I can't save it.\That guy'\Brother?\Sakura-chan, You drowned? response:	That's not it Kero-chan
context: Penguin-san! Penguin-san! Penguin-san!\What's going on?\A penguin is drowning in the water.\But I can't save it.\That guy'\Brother?\Sakura-chan, You drowned?\That's not it Kero-chan response:	You weren't listening.
context: What's going on?\A penguin is drowning in the water.\But I can't save it.\That guy'\Brother?\Sakura-chan, You drowned?\That's not it Kero-chan\You weren't listening. response:	Oh, sorry.
context: A penguin is drowning in the water.\But I can't save it.\That guy'\Brother?\Sakura-chan, You drowned?\That's not it Kero-chan\You weren't listening.\Oh, sorry. response:	I was able to come out of your room for the first time
context: But I can't save it.\That guy'\Brother?\Sakura-chan, You drowned?\That's not it Kero-chan\You weren't listening.\Oh, sorry.\I was able to come out of your room for the first time response:	In a while with everybody gone
