context: Once upon a time, there was a man who died. response:	The prince and the raven from the man's story escaped from the story and fought.
context: Once upon a time, there was a man who died.\The prince and the raven from the man's story escaped from the story and fought. response:	Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.
context: Once upon a time, there was a man who died.\The prince and the raven from the man's story escaped from the story and fought.\Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power. response:	The prince, who had lost his heart, met a duck in a certain town.
context: Once upon a time, there was a man who died.\The prince and the raven from the man's story escaped from the story and fought.\Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.\The prince, who had lost his heart, met a duck in a certain town. response:	Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.
context: Once upon a time, there was a man who died.\The prince and the raven from the man's story escaped from the story and fought.\Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.\The prince, who had lost his heart, met a duck in a certain town.\Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart. response:	The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.
context: Once upon a time, there was a man who died.\The prince and the raven from the man's story escaped from the story and fought.\Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.\The prince, who had lost his heart, met a duck in a certain town.\Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.\The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love. response:	And they lived happily ever after.
context: Once upon a time, there was a man who died.\The prince and the raven from the man's story escaped from the story and fought.\Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.\The prince, who had lost his heart, met a duck in a certain town.\Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.\The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.\And they lived happily ever after. response:	But did they really?
context: Once upon a time, there was a man who died.\The prince and the raven from the man's story escaped from the story and fought.\Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.\The prince, who had lost his heart, met a duck in a certain town.\Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.\The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.\And they lived happily ever after.\But did they really? response:	After all, the princess is fated to turn into a speck of light and vanish
context: The prince and the raven from the man's story escaped from the story and fought.\Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.\The prince, who had lost his heart, met a duck in a certain town.\Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.\The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.\And they lived happily ever after.\But did they really?\After all, the princess is fated to turn into a speck of light and vanish response:	the moment she tells the prince of her love for him.
context: Their battle ended with the prince taking out his own heart and sealing the raven away by using its forbidden power.\The prince, who had lost his heart, met a duck in a certain town.\Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.\The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.\And they lived happily ever after.\But did they really?\After all, the princess is fated to turn into a speck of light and vanish\the moment she tells the prince of her love for him. response:	Quack...
context: The prince, who had lost his heart, met a duck in a certain town.\Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.\The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.\And they lived happily ever after.\But did they really?\After all, the princess is fated to turn into a speck of light and vanish\the moment she tells the prince of her love for him.\Quack... response:	My prince... He's so handsome.
context: Because of her love for the prince, the duck turned into a princess and gathered together the lost shards of his heart.\The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.\And they lived happily ever after.\But did they really?\After all, the princess is fated to turn into a speck of light and vanish\the moment she tells the prince of her love for him.\Quack...\My prince... He's so handsome. response:	Oh, that's right, the prince was able to turn back to being a prince. And I...
context: The prince gradually regained his feelings, and at long last, he was able to regain even the feeling of love.\And they lived happily ever after.\But did they really?\After all, the princess is fated to turn into a speck of light and vanish\the moment she tells the prince of her love for him.\Quack...\My prince... He's so handsome.\Oh, that's right, the prince was able to turn back to being a prince. And I... response:	Quack?! I... I'm just a duck now and...
context: And they lived happily ever after.\But did they really?\After all, the princess is fated to turn into a speck of light and vanish\the moment she tells the prince of her love for him.\Quack...\My prince... He's so handsome.\Oh, that's right, the prince was able to turn back to being a prince. And I...\Quack?! I... I'm just a duck now and... response:	I'm dancing a pas de deux with the prince.
context: But did they really?\After all, the princess is fated to turn into a speck of light and vanish\the moment she tells the prince of her love for him.\Quack...\My prince... He's so handsome.\Oh, that's right, the prince was able to turn back to being a prince. And I...\Quack?! I... I'm just a duck now and...\I'm dancing a pas de deux with the prince. response:	Not as Princess Tutu, but as me, a normal girl.
context: After all, the princess is fated to turn into a speck of light and vanish\the moment she tells the prince of her love for him.\Quack...\My prince... He's so handsome.\Oh, that's right, the prince was able to turn back to being a prince. And I...\Quack?! I... I'm just a duck now and...\I'm dancing a pas de deux with the prince.\Not as Princess Tutu, but as me, a normal girl. response:	That's...
context: the moment she tells the prince of her love for him.\Quack...\My prince... He's so handsome.\Oh, that's right, the prince was able to turn back to being a prince. And I...\Quack?! I... I'm just a duck now and...\I'm dancing a pas de deux with the prince.\Not as Princess Tutu, but as me, a normal girl.\That's... response:	The mime for death!
context: Quack...\My prince... He's so handsome.\Oh, that's right, the prince was able to turn back to being a prince. And I...\Quack?! I... I'm just a duck now and...\I'm dancing a pas de deux with the prince.\Not as Princess Tutu, but as me, a normal girl.\That's...\The mime for death! response:	Fakir?
context: My prince... He's so handsome.\Oh, that's right, the prince was able to turn back to being a prince. And I...\Quack?! I... I'm just a duck now and...\I'm dancing a pas de deux with the prince.\Not as Princess Tutu, but as me, a normal girl.\That's...\The mime for death!\Fakir? response:	Fakir!
context: Oh, that's right, the prince was able to turn back to being a prince. And I...\Quack?! I... I'm just a duck now and...\I'm dancing a pas de deux with the prince.\Not as Princess Tutu, but as me, a normal girl.\That's...\The mime for death!\Fakir?\Fakir! response:	Don't... don't die!
context: Quack?! I... I'm just a duck now and...\I'm dancing a pas de deux with the prince.\Not as Princess Tutu, but as me, a normal girl.\That's...\The mime for death!\Fakir?\Fakir!\Don't... don't die! response:	The Raven
context: I'm dancing a pas de deux with the prince.\Not as Princess Tutu, but as me, a normal girl.\That's...\The mime for death!\Fakir?\Fakir!\Don't... don't die!\The Raven response:	Quack.
context: Not as Princess Tutu, but as me, a normal girl.\That's...\The mime for death!\Fakir?\Fakir!\Don't... don't die!\The Raven\Quack. response:	Oh, good, that was just a dream.
