context: Alarm - tap to snooze > slide to stop alarm response:	Morning.
context: Alarm - tap to snooze > slide to stop alarm\Morning. response:	Good morning!
context: Alarm - tap to snooze > slide to stop alarm\Morning.\Good morning! response:	Here, it's French toast!
context: Alarm - tap to snooze > slide to stop alarm\Morning.\Good morning!\Here, it's French toast! response:	It's red...
context: Alarm - tap to snooze > slide to stop alarm\Morning.\Good morning!\Here, it's French toast!\It's red... response:	You said you didn't need lunch, so I decided to put more effort into breakfast!
context: Alarm - tap to snooze > slide to stop alarm\Morning.\Good morning!\Here, it's French toast!\It's red...\You said you didn't need lunch, so I decided to put more effort into breakfast! response:	Put more effort... looks like that's nothing more than adding pizza sauce...
context: Alarm - tap to snooze > slide to stop alarm\Morning.\Good morning!\Here, it's French toast!\It's red...\You said you didn't need lunch, so I decided to put more effort into breakfast!\Put more effort... looks like that's nothing more than adding pizza sauce... response:	Time to eat!
context: Alarm - tap to snooze > slide to stop alarm\Morning.\Good morning!\Here, it's French toast!\It's red...\You said you didn't need lunch, so I decided to put more effort into breakfast!\Put more effort... looks like that's nothing more than adding pizza sauce...\Time to eat! response:	Otosaka house Secret! Pizza sauce
context: Morning.\Good morning!\Here, it's French toast!\It's red...\You said you didn't need lunch, so I decided to put more effort into breakfast!\Put more effort... looks like that's nothing more than adding pizza sauce...\Time to eat!\Otosaka house Secret! Pizza sauce response:	It already has sugar in it, and has the extra sweetness from the pizza sauce!
context: Good morning!\Here, it's French toast!\It's red...\You said you didn't need lunch, so I decided to put more effort into breakfast!\Put more effort... looks like that's nothing more than adding pizza sauce...\Time to eat!\Otosaka house Secret! Pizza sauce\It already has sugar in it, and has the extra sweetness from the pizza sauce! response:	Eh? Did it taste strange?
context: Here, it's French toast!\It's red...\You said you didn't need lunch, so I decided to put more effort into breakfast!\Put more effort... looks like that's nothing more than adding pizza sauce...\Time to eat!\Otosaka house Secret! Pizza sauce\It already has sugar in it, and has the extra sweetness from the pizza sauce!\Eh? Did it taste strange? response:	Oh, no, it's fine. Seems like I'm not feeling too well.
context: It's red...\You said you didn't need lunch, so I decided to put more effort into breakfast!\Put more effort... looks like that's nothing more than adding pizza sauce...\Time to eat!\Otosaka house Secret! Pizza sauce\It already has sugar in it, and has the extra sweetness from the pizza sauce!\Eh? Did it taste strange?\Oh, no, it's fine. Seems like I'm not feeling too well. response:	Can it be that you caught a cold? Maybe you should stay home from school?
context: You said you didn't need lunch, so I decided to put more effort into breakfast!\Put more effort... looks like that's nothing more than adding pizza sauce...\Time to eat!\Otosaka house Secret! Pizza sauce\It already has sugar in it, and has the extra sweetness from the pizza sauce!\Eh? Did it taste strange?\Oh, no, it's fine. Seems like I'm not feeling too well.\Can it be that you caught a cold? Maybe you should stay home from school? response:	It's not that bad. I'm sorry I'm making you worry...
context: Put more effort... looks like that's nothing more than adding pizza sauce...\Time to eat!\Otosaka house Secret! Pizza sauce\It already has sugar in it, and has the extra sweetness from the pizza sauce!\Eh? Did it taste strange?\Oh, no, it's fine. Seems like I'm not feeling too well.\Can it be that you caught a cold? Maybe you should stay home from school?\It's not that bad. I'm sorry I'm making you worry... response:	Are you really all right?
context: Time to eat!\Otosaka house Secret! Pizza sauce\It already has sugar in it, and has the extra sweetness from the pizza sauce!\Eh? Did it taste strange?\Oh, no, it's fine. Seems like I'm not feeling too well.\Can it be that you caught a cold? Maybe you should stay home from school?\It's not that bad. I'm sorry I'm making you worry...\Are you really all right? response:	I'm totally fine!
context: Otosaka house Secret! Pizza sauce\It already has sugar in it, and has the extra sweetness from the pizza sauce!\Eh? Did it taste strange?\Oh, no, it's fine. Seems like I'm not feeling too well.\Can it be that you caught a cold? Maybe you should stay home from school?\It's not that bad. I'm sorry I'm making you worry...\Are you really all right?\I'm totally fine! response:	Thank you for this meal.
context: It already has sugar in it, and has the extra sweetness from the pizza sauce!\Eh? Did it taste strange?\Oh, no, it's fine. Seems like I'm not feeling too well.\Can it be that you caught a cold? Maybe you should stay home from school?\It's not that bad. I'm sorry I'm making you worry...\Are you really all right?\I'm totally fine!\Thank you for this meal. response:	You really do look pale! You should take the day off today!
context: Eh? Did it taste strange?\Oh, no, it's fine. Seems like I'm not feeling too well.\Can it be that you caught a cold? Maybe you should stay home from school?\It's not that bad. I'm sorry I'm making you worry...\Are you really all right?\I'm totally fine!\Thank you for this meal.\You really do look pale! You should take the day off today! response:	No, no, there are no real issues with my condition.
context: Oh, no, it's fine. Seems like I'm not feeling too well.\Can it be that you caught a cold? Maybe you should stay home from school?\It's not that bad. I'm sorry I'm making you worry...\Are you really all right?\I'm totally fine!\Thank you for this meal.\You really do look pale! You should take the day off today!\No, no, there are no real issues with my condition. response:	How should I seal away that pizza sauce...
