context: This is Code Papillon! response:	Midsummer's Knights, do you copy?
context: This is Code Papillon!\Midsummer's Knights, do you copy? response:	This is Code Papillon.
context: This is Code Papillon!\Midsummer's Knights, do you copy?\This is Code Papillon. response:	Do you copy?
context: This is Code Papillon!\Midsummer's Knights, do you copy?\This is Code Papillon.\Do you copy? response:	This is Manatsu.
context: This is Code Papillon!\Midsummer's Knights, do you copy?\This is Code Papillon.\Do you copy?\This is Manatsu. response:	Do you copy? Over.
context: This is Code Papillon!\Midsummer's Knights, do you copy?\This is Code Papillon.\Do you copy?\This is Manatsu.\Do you copy? Over. response:	Yes!
context: This is Code Papillon!\Midsummer's Knights, do you copy?\This is Code Papillon.\Do you copy?\This is Manatsu.\Do you copy? Over.\Yes! response:	We've got communication back.
context: This is Code Papillon!\Midsummer's Knights, do you copy?\This is Code Papillon.\Do you copy?\This is Manatsu.\Do you copy? Over.\Yes!\We've got communication back. response:	Is everyone safe, Captain?
context: Midsummer's Knights, do you copy?\This is Code Papillon.\Do you copy?\This is Manatsu.\Do you copy? Over.\Yes!\We've got communication back.\Is everyone safe, Captain? response:	An unknown group attacked us,
context: This is Code Papillon.\Do you copy?\This is Manatsu.\Do you copy? Over.\Yes!\We've got communication back.\Is everyone safe, Captain?\An unknown group attacked us, response:	and the Nebula was immobilized.
context: Do you copy?\This is Manatsu.\Do you copy? Over.\Yes!\We've got communication back.\Is everyone safe, Captain?\An unknown group attacked us,\and the Nebula was immobilized. response:	But Teppei and Hana are safe.
context: This is Manatsu.\Do you copy? Over.\Yes!\We've got communication back.\Is everyone safe, Captain?\An unknown group attacked us,\and the Nebula was immobilized.\But Teppei and Hana are safe. response:	We're heading for Australia Central Command...
context: Do you copy? Over.\Yes!\We've got communication back.\Is everyone safe, Captain?\An unknown group attacked us,\and the Nebula was immobilized.\But Teppei and Hana are safe.\We're heading for Australia Central Command... response:	Were you ambushed by Globe unmanned weapons or something?
context: Yes!\We've got communication back.\Is everyone safe, Captain?\An unknown group attacked us,\and the Nebula was immobilized.\But Teppei and Hana are safe.\We're heading for Australia Central Command...\Were you ambushed by Globe unmanned weapons or something? response:	In Australia, Salty Dog has a lot of power.
context: We've got communication back.\Is everyone safe, Captain?\An unknown group attacked us,\and the Nebula was immobilized.\But Teppei and Hana are safe.\We're heading for Australia Central Command...\Were you ambushed by Globe unmanned weapons or something?\In Australia, Salty Dog has a lot of power. response:	Central Command will be dangerous.
context: Is everyone safe, Captain?\An unknown group attacked us,\and the Nebula was immobilized.\But Teppei and Hana are safe.\We're heading for Australia Central Command...\Were you ambushed by Globe unmanned weapons or something?\In Australia, Salty Dog has a lot of power.\Central Command will be dangerous. response:	So we have a new plan.
context: An unknown group attacked us,\and the Nebula was immobilized.\But Teppei and Hana are safe.\We're heading for Australia Central Command...\Were you ambushed by Globe unmanned weapons or something?\In Australia, Salty Dog has a lot of power.\Central Command will be dangerous.\So we have a new plan. response:	I'm sending the data now.
context: and the Nebula was immobilized.\But Teppei and Hana are safe.\We're heading for Australia Central Command...\Were you ambushed by Globe unmanned weapons or something?\In Australia, Salty Dog has a lot of power.\Central Command will be dangerous.\So we have a new plan.\I'm sending the data now. response:	To your north is the Carpentaria base.
context: But Teppei and Hana are safe.\We're heading for Australia Central Command...\Were you ambushed by Globe unmanned weapons or something?\In Australia, Salty Dog has a lot of power.\Central Command will be dangerous.\So we have a new plan.\I'm sending the data now.\To your north is the Carpentaria base. response:	It's relatively undefended,
