context: Start of the Rainy Season response:	Um, hello.
context: Start of the Rainy Season\Um, hello. response:	Oh, Kiriyama.
context: Start of the Rainy Season\Um, hello.\Oh, Kiriyama. response:	Huh? What's wrong with Hina?
context: Start of the Rainy Season\Um, hello.\Oh, Kiriyama.\Huh? What's wrong with Hina? response:	She just has a nosebleed.
context: Start of the Rainy Season\Um, hello.\Oh, Kiriyama.\Huh? What's wrong with Hina?\She just has a nosebleed. response:	You're probably surprised to see her covered in blood.
context: Start of the Rainy Season\Um, hello.\Oh, Kiriyama.\Huh? What's wrong with Hina?\She just has a nosebleed.\You're probably surprised to see her covered in blood. response:	No, don't look at me!
context: Start of the Rainy Season\Um, hello.\Oh, Kiriyama.\Huh? What's wrong with Hina?\She just has a nosebleed.\You're probably surprised to see her covered in blood.\No, don't look at me! response:	Sis, get me a bath towel!
context: Start of the Rainy Season\Um, hello.\Oh, Kiriyama.\Huh? What's wrong with Hina?\She just has a nosebleed.\You're probably surprised to see her covered in blood.\No, don't look at me!\Sis, get me a bath towel! response:	Okay, okay.
context: Um, hello.\Oh, Kiriyama.\Huh? What's wrong with Hina?\She just has a nosebleed.\You're probably surprised to see her covered in blood.\No, don't look at me!\Sis, get me a bath towel!\Okay, okay. response:	This is embarrassing! Don't look at me!
context: Oh, Kiriyama.\Huh? What's wrong with Hina?\She just has a nosebleed.\You're probably surprised to see her covered in blood.\No, don't look at me!\Sis, get me a bath towel!\Okay, okay.\This is embarrassing! Don't look at me! response:	SNIFF-SNIFF
context: Huh? What's wrong with Hina?\She just has a nosebleed.\You're probably surprised to see her covered in blood.\No, don't look at me!\Sis, get me a bath towel!\Okay, okay.\This is embarrassing! Don't look at me!\SNIFF-SNIFF response:	There's nothing embarrassing about a nosebleed.
context: She just has a nosebleed.\You're probably surprised to see her covered in blood.\No, don't look at me!\Sis, get me a bath towel!\Okay, okay.\This is embarrassing! Don't look at me!\SNIFF-SNIFF\There's nothing embarrassing about a nosebleed. response:	Just calm down.
context: You're probably surprised to see her covered in blood.\No, don't look at me!\Sis, get me a bath towel!\Okay, okay.\This is embarrassing! Don't look at me!\SNIFF-SNIFF\There's nothing embarrassing about a nosebleed.\Just calm down. response:	Oh, look at these big peaches!
context: No, don't look at me!\Sis, get me a bath towel!\Okay, okay.\This is embarrassing! Don't look at me!\SNIFF-SNIFF\There's nothing embarrassing about a nosebleed.\Just calm down.\Oh, look at these big peaches! response:	How delightful! I love peaches!
context: Sis, get me a bath towel!\Okay, okay.\This is embarrassing! Don't look at me!\SNIFF-SNIFF\There's nothing embarrassing about a nosebleed.\Just calm down.\Oh, look at these big peaches!\How delightful! I love peaches! response:	There're so many. Weren't they expensive?
context: Okay, okay.\This is embarrassing! Don't look at me!\SNIFF-SNIFF\There's nothing embarrassing about a nosebleed.\Just calm down.\Oh, look at these big peaches!\How delightful! I love peaches!\There're so many. Weren't they expensive? response:	Um, did something happen to Hina?
context: This is embarrassing! Don't look at me!\SNIFF-SNIFF\There's nothing embarrassing about a nosebleed.\Just calm down.\Oh, look at these big peaches!\How delightful! I love peaches!\There're so many. Weren't they expensive?\Um, did something happen to Hina? response:	Kind of, at school...
context: SNIFF-SNIFF\There's nothing embarrassing about a nosebleed.\Just calm down.\Oh, look at these big peaches!\How delightful! I love peaches!\There're so many. Weren't they expensive?\Um, did something happen to Hina?\Kind of, at school... response:	It's complicated.
context: There's nothing embarrassing about a nosebleed.\Just calm down.\Oh, look at these big peaches!\How delightful! I love peaches!\There're so many. Weren't they expensive?\Um, did something happen to Hina?\Kind of, at school...\It's complicated. response:	Hina...
context: Just calm down.\Oh, look at these big peaches!\How delightful! I love peaches!\There're so many. Weren't they expensive?\Um, did something happen to Hina?\Kind of, at school...\It's complicated.\Hina... response:	Don't look at me!
context: Oh, look at these big peaches!\How delightful! I love peaches!\There're so many. Weren't they expensive?\Um, did something happen to Hina?\Kind of, at school...\It's complicated.\Hina...\Don't look at me! response:	And there.
context: How delightful! I love peaches!\There're so many. Weren't they expensive?\Um, did something happen to Hina?\Kind of, at school...\It's complicated.\Hina...\Don't look at me!\And there. response:	It's okay. Everybody gets nosebleeds.
context: There're so many. Weren't they expensive?\Um, did something happen to Hina?\Kind of, at school...\It's complicated.\Hina...\Don't look at me!\And there.\It's okay. Everybody gets nosebleeds. response:	It's no big deal.
context: Um, did something happen to Hina?\Kind of, at school...\It's complicated.\Hina...\Don't look at me!\And there.\It's okay. Everybody gets nosebleeds.\It's no big deal. response:	Really?
context: Kind of, at school...\It's complicated.\Hina...\Don't look at me!\And there.\It's okay. Everybody gets nosebleeds.\It's no big deal.\Really? response:	Yeah.
context: It's complicated.\Hina...\Don't look at me!\And there.\It's okay. Everybody gets nosebleeds.\It's no big deal.\Really?\Yeah. response:	Do you often get nosebleeds?
context: Hina...\Don't look at me!\And there.\It's okay. Everybody gets nosebleeds.\It's no big deal.\Really?\Yeah.\Do you often get nosebleeds? response:	Yeah.
context: Don't look at me!\And there.\It's okay. Everybody gets nosebleeds.\It's no big deal.\Really?\Yeah.\Do you often get nosebleeds?\Yeah. response:	Wait, come to think of it...
context: And there.\It's okay. Everybody gets nosebleeds.\It's no big deal.\Really?\Yeah.\Do you often get nosebleeds?\Yeah.\Wait, come to think of it... response:	REALIZATION
context: It's okay. Everybody gets nosebleeds.\It's no big deal.\Really?\Yeah.\Do you often get nosebleeds?\Yeah.\Wait, come to think of it...\REALIZATION response:	Sorry. I don't.
context: It's no big deal.\Really?\Yeah.\Do you often get nosebleeds?\Yeah.\Wait, come to think of it...\REALIZATION\Sorry. I don't. response:	- I never have. - You liar! Idiot!
context: Really?\Yeah.\Do you often get nosebleeds?\Yeah.\Wait, come to think of it...\REALIZATION\Sorry. I don't.\- I never have. - You liar! Idiot! response:	The type that does as he's told
context: Yeah.\Do you often get nosebleeds?\Yeah.\Wait, come to think of it...\REALIZATION\Sorry. I don't.\- I never have. - You liar! Idiot!\The type that does as he's told response:	Trying not to look
context: Do you often get nosebleeds?\Yeah.\Wait, come to think of it...\REALIZATION\Sorry. I don't.\- I never have. - You liar! Idiot!\The type that does as he's told\Trying not to look response:	I bought some peaches.
context: Yeah.\Wait, come to think of it...\REALIZATION\Sorry. I don't.\- I never have. - You liar! Idiot!\The type that does as he's told\Trying not to look\I bought some peaches. response:	But maybe ice cream would've been better.
context: Wait, come to think of it...\REALIZATION\Sorry. I don't.\- I never have. - You liar! Idiot!\The type that does as he's told\Trying not to look\I bought some peaches.\But maybe ice cream would've been better. response:	Peaches are good. I like peaches.
context: REALIZATION\Sorry. I don't.\- I never have. - You liar! Idiot!\The type that does as he's told\Trying not to look\I bought some peaches.\But maybe ice cream would've been better.\Peaches are good. I like peaches. response:	I see. That's good.
context: Sorry. I don't.\- I never have. - You liar! Idiot!\The type that does as he's told\Trying not to look\I bought some peaches.\But maybe ice cream would've been better.\Peaches are good. I like peaches.\I see. That's good. response:	The cat's heavy! Can you move it?
context: - I never have. - You liar! Idiot!\The type that does as he's told\Trying not to look\I bought some peaches.\But maybe ice cream would've been better.\Peaches are good. I like peaches.\I see. That's good.\The cat's heavy! Can you move it? response:	Oh, okay.
context: The type that does as he's told\Trying not to look\I bought some peaches.\But maybe ice cream would've been better.\Peaches are good. I like peaches.\I see. That's good.\The cat's heavy! Can you move it?\Oh, okay. response:	LONG
context: Trying not to look\I bought some peaches.\But maybe ice cream would've been better.\Peaches are good. I like peaches.\I see. That's good.\The cat's heavy! Can you move it?\Oh, okay.\LONG response:	No, I'm gonna stay here!
context: I bought some peaches.\But maybe ice cream would've been better.\Peaches are good. I like peaches.\I see. That's good.\The cat's heavy! Can you move it?\Oh, okay.\LONG\No, I'm gonna stay here! response:	Rei...
