context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton response:	Anime-Koi Fansubs
context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs response:	sign:The Deity Ties Fate
context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\sign:The Deity Ties Fate response:	sign:Blossoming Flowers
context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\sign:The Deity Ties Fate\sign:Blossoming Flowers response:	sign:Blossoming Flowers
context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\sign:The Deity Ties Fate\sign:Blossoming Flowers\sign:Blossoming Flowers response:	sign:Tomoe
context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\sign:The Deity Ties Fate\sign:Blossoming Flowers\sign:Blossoming Flowers\sign:Tomoe response:	sign:scares me more.
context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\sign:The Deity Ties Fate\sign:Blossoming Flowers\sign:Blossoming Flowers\sign:Tomoe\sign:scares me more. response:	sign:Let go of that fish!
context: Translation: JrazyTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\sign:The Deity Ties Fate\sign:Blossoming Flowers\sign:Blossoming Flowers\sign:Tomoe\sign:scares me more.\sign:Let go of that fish! response:	sign:Response
context: Anime-Koi Fansubs\sign:The Deity Ties Fate\sign:Blossoming Flowers\sign:Blossoming Flowers\sign:Tomoe\sign:scares me more.\sign:Let go of that fish!\sign:Response response:	sign:Silence
context: sign:The Deity Ties Fate\sign:Blossoming Flowers\sign:Blossoming Flowers\sign:Tomoe\sign:scares me more.\sign:Let go of that fish!\sign:Response\sign:Silence response:	sign:We'll be right back!
context: sign:Blossoming Flowers\sign:Blossoming Flowers\sign:Tomoe\sign:scares me more.\sign:Let go of that fish!\sign:Response\sign:Silence\sign:We'll be right back! response:	sign:And we're back!
context: sign:Blossoming Flowers\sign:Tomoe\sign:scares me more.\sign:Let go of that fish!\sign:Response\sign:Silence\sign:We'll be right back!\sign:And we're back! response:	sign:Sightseeing Map
context: sign:Tomoe\sign:scares me more.\sign:Let go of that fish!\sign:Response\sign:Silence\sign:We'll be right back!\sign:And we're back!\sign:Sightseeing Map response:	sign:Stop it!
context: sign:scares me more.\sign:Let go of that fish!\sign:Response\sign:Silence\sign:We'll be right back!\sign:And we're back!\sign:Sightseeing Map\sign:Stop it! response:	sign:Crunch
