context: I've brought Daichi Manatsu. response:	Come in.
context: I've brought Daichi Manatsu.\Come in. response:	I'm sorry about yesterday.
context: I've brought Daichi Manatsu.\Come in.\I'm sorry about yesterday. response:	What are you talking about?
context: I've brought Daichi Manatsu.\Come in.\I'm sorry about yesterday.\What are you talking about? response:	There was a small delay in the development schedule,
context: I've brought Daichi Manatsu.\Come in.\I'm sorry about yesterday.\What are you talking about?\There was a small delay in the development schedule, response:	and unfortunately, I took it out on you.
context: I've brought Daichi Manatsu.\Come in.\I'm sorry about yesterday.\What are you talking about?\There was a small delay in the development schedule,\and unfortunately, I took it out on you. response:	It was quite childish of me.
context: I've brought Daichi Manatsu.\Come in.\I'm sorry about yesterday.\What are you talking about?\There was a small delay in the development schedule,\and unfortunately, I took it out on you.\It was quite childish of me. response:	I'll leave the Machine Goodfellow trials to you.
context: I've brought Daichi Manatsu.\Come in.\I'm sorry about yesterday.\What are you talking about?\There was a small delay in the development schedule,\and unfortunately, I took it out on you.\It was quite childish of me.\I'll leave the Machine Goodfellow trials to you. response:	I've informed Technology and Research Division 3.
context: Come in.\I'm sorry about yesterday.\What are you talking about?\There was a small delay in the development schedule,\and unfortunately, I took it out on you.\It was quite childish of me.\I'll leave the Machine Goodfellow trials to you.\I've informed Technology and Research Division 3. response:	I can't understand why Kube wouldn't be in his office
context: I'm sorry about yesterday.\What are you talking about?\There was a small delay in the development schedule,\and unfortunately, I took it out on you.\It was quite childish of me.\I'll leave the Machine Goodfellow trials to you.\I've informed Technology and Research Division 3.\I can't understand why Kube wouldn't be in his office response:	in the middle of the day, either.
context: What are you talking about?\There was a small delay in the development schedule,\and unfortunately, I took it out on you.\It was quite childish of me.\I'll leave the Machine Goodfellow trials to you.\I've informed Technology and Research Division 3.\I can't understand why Kube wouldn't be in his office\in the middle of the day, either. response:	And the way he's acting is strange.
context: There was a small delay in the development schedule,\and unfortunately, I took it out on you.\It was quite childish of me.\I'll leave the Machine Goodfellow trials to you.\I've informed Technology and Research Division 3.\I can't understand why Kube wouldn't be in his office\in the middle of the day, either.\And the way he's acting is strange. response:	What are you talking about?
context: and unfortunately, I took it out on you.\It was quite childish of me.\I'll leave the Machine Goodfellow trials to you.\I've informed Technology and Research Division 3.\I can't understand why Kube wouldn't be in his office\in the middle of the day, either.\And the way he's acting is strange.\What are you talking about? response:	Why did Kube's attitude suddenly change?
context: It was quite childish of me.\I'll leave the Machine Goodfellow trials to you.\I've informed Technology and Research Division 3.\I can't understand why Kube wouldn't be in his office\in the middle of the day, either.\And the way he's acting is strange.\What are you talking about?\Why did Kube's attitude suddenly change? response:	Did losing Legacy drive him nuts?
