context: Tokyo Sport University response:	Starting in ten,
context: Tokyo Sport University\Starting in ten, response:	nine, eight,
context: Tokyo Sport University\Starting in ten,\nine, eight, response:	seven, six,
context: Tokyo Sport University\Starting in ten,\nine, eight,\seven, six, response:	five, four,
context: Tokyo Sport University\Starting in ten,\nine, eight,\seven, six,\five, four, response:	three, two,
context: Tokyo Sport University\Starting in ten,\nine, eight,\seven, six,\five, four,\three, two, response:	one!
context: Tokyo Sport University\Starting in ten,\nine, eight,\seven, six,\five, four,\three, two,\one! response:	Run with the Wind
context: Tokyo Sport University\Starting in ten,\nine, eight,\seven, six,\five, four,\three, two,\one!\Run with the Wind response:	They're going at a fast pace.
context: Starting in ten,\nine, eight,\seven, six,\five, four,\three, two,\one!\Run with the Wind\They're going at a fast pace. response:	Yeah.
context: nine, eight,\seven, six,\five, four,\three, two,\one!\Run with the Wind\They're going at a fast pace.\Yeah. response:	Over here.
context: seven, six,\five, four,\three, two,\one!\Run with the Wind\They're going at a fast pace.\Yeah.\Over here. response:	Sorry I couldn't make the start.
context: five, four,\three, two,\one!\Run with the Wind\They're going at a fast pace.\Yeah.\Over here.\Sorry I couldn't make the start. response:	They just started.
context: three, two,\one!\Run with the Wind\They're going at a fast pace.\Yeah.\Over here.\Sorry I couldn't make the start.\They just started. response:	Kakeru's in the lead pack.
context: one!\Run with the Wind\They're going at a fast pace.\Yeah.\Over here.\Sorry I couldn't make the start.\They just started.\Kakeru's in the lead pack. response:	Wow.
context: Run with the Wind\They're going at a fast pace.\Yeah.\Over here.\Sorry I couldn't make the start.\They just started.\Kakeru's in the lead pack.\Wow. response:	Summer Prank
context: They're going at a fast pace.\Yeah.\Over here.\Sorry I couldn't make the start.\They just started.\Kakeru's in the lead pack.\Wow.\Summer Prank response:	Isn't Shindo waiting too long?
context: Yeah.\Over here.\Sorry I couldn't make the start.\They just started.\Kakeru's in the lead pack.\Wow.\Summer Prank\Isn't Shindo waiting too long? response:	I think it'd be easier if he ran ahead.
context: Over here.\Sorry I couldn't make the start.\They just started.\Kakeru's in the lead pack.\Wow.\Summer Prank\Isn't Shindo waiting too long?\I think it'd be easier if he ran ahead. response:	What do you mean?
context: Sorry I couldn't make the start.\They just started.\Kakeru's in the lead pack.\Wow.\Summer Prank\Isn't Shindo waiting too long?\I think it'd be easier if he ran ahead.\What do you mean? response:	He tends to match the pace of the people around him.
context: They just started.\Kakeru's in the lead pack.\Wow.\Summer Prank\Isn't Shindo waiting too long?\I think it'd be easier if he ran ahead.\What do you mean?\He tends to match the pace of the people around him. response:	It's exhausting trying to match someone else's pace.
context: Kakeru's in the lead pack.\Wow.\Summer Prank\Isn't Shindo waiting too long?\I think it'd be easier if he ran ahead.\What do you mean?\He tends to match the pace of the people around him.\It's exhausting trying to match someone else's pace. response:	I hope he doesn't pay for it later.
context: Wow.\Summer Prank\Isn't Shindo waiting too long?\I think it'd be easier if he ran ahead.\What do you mean?\He tends to match the pace of the people around him.\It's exhausting trying to match someone else's pace.\I hope he doesn't pay for it later. response:	Wow! You sound like experts.
context: Summer Prank\Isn't Shindo waiting too long?\I think it'd be easier if he ran ahead.\What do you mean?\He tends to match the pace of the people around him.\It's exhausting trying to match someone else's pace.\I hope he doesn't pay for it later.\Wow! You sound like experts. response:	We're hardly experts!
context: Isn't Shindo waiting too long?\I think it'd be easier if he ran ahead.\What do you mean?\He tends to match the pace of the people around him.\It's exhausting trying to match someone else's pace.\I hope he doesn't pay for it later.\Wow! You sound like experts.\We're hardly experts! response:	What? Sure you are.
context: I think it'd be easier if he ran ahead.\What do you mean?\He tends to match the pace of the people around him.\It's exhausting trying to match someone else's pace.\I hope he doesn't pay for it later.\Wow! You sound like experts.\We're hardly experts!\What? Sure you are. response:	Whoa, go!
context: What do you mean?\He tends to match the pace of the people around him.\It's exhausting trying to match someone else's pace.\I hope he doesn't pay for it later.\Wow! You sound like experts.\We're hardly experts!\What? Sure you are.\Whoa, go! response:	Catch up!
context: He tends to match the pace of the people around him.\It's exhausting trying to match someone else's pace.\I hope he doesn't pay for it later.\Wow! You sound like experts.\We're hardly experts!\What? Sure you are.\Whoa, go!\Catch up! response:	Wow, wow! He's so fast! Wow!
context: It's exhausting trying to match someone else's pace.\I hope he doesn't pay for it later.\Wow! You sound like experts.\We're hardly experts!\What? Sure you are.\Whoa, go!\Catch up!\Wow, wow! He's so fast! Wow! response:	Kakeru! Go!
context: I hope he doesn't pay for it later.\Wow! You sound like experts.\We're hardly experts!\What? Sure you are.\Whoa, go!\Catch up!\Wow, wow! He's so fast! Wow!\Kakeru! Go! response:	Shindo moved up!
context: Wow! You sound like experts.\We're hardly experts!\What? Sure you are.\Whoa, go!\Catch up!\Wow, wow! He's so fast! Wow!\Kakeru! Go!\Shindo moved up! response:	Their pace changed once they swapped places.
context: We're hardly experts!\What? Sure you are.\Whoa, go!\Catch up!\Wow, wow! He's so fast! Wow!\Kakeru! Go!\Shindo moved up!\Their pace changed once they swapped places. response:	Why?
context: What? Sure you are.\Whoa, go!\Catch up!\Wow, wow! He's so fast! Wow!\Kakeru! Go!\Shindo moved up!\Their pace changed once they swapped places.\Why? response:	It's what they intended all along.
context: Whoa, go!\Catch up!\Wow, wow! He's so fast! Wow!\Kakeru! Go!\Shindo moved up!\Their pace changed once they swapped places.\Why?\It's what they intended all along. response:	Yuki sets the pace for the first half.
context: Catch up!\Wow, wow! He's so fast! Wow!\Kakeru! Go!\Shindo moved up!\Their pace changed once they swapped places.\Why?\It's what they intended all along.\Yuki sets the pace for the first half. response:	And Shindo pulls Yuki during the second.
context: Wow, wow! He's so fast! Wow!\Kakeru! Go!\Shindo moved up!\Their pace changed once they swapped places.\Why?\It's what they intended all along.\Yuki sets the pace for the first half.\And Shindo pulls Yuki during the second. response:	They planned their course knowing they'd get lapped.
context: Kakeru! Go!\Shindo moved up!\Their pace changed once they swapped places.\Why?\It's what they intended all along.\Yuki sets the pace for the first half.\And Shindo pulls Yuki during the second.\They planned their course knowing they'd get lapped. response:	That must be Yuki's plan.
context: Shindo moved up!\Their pace changed once they swapped places.\Why?\It's what they intended all along.\Yuki sets the pace for the first half.\And Shindo pulls Yuki during the second.\They planned their course knowing they'd get lapped.\That must be Yuki's plan. response:	It's so efficient.
context: Their pace changed once they swapped places.\Why?\It's what they intended all along.\Yuki sets the pace for the first half.\And Shindo pulls Yuki during the second.\They planned their course knowing they'd get lapped.\That must be Yuki's plan.\It's so efficient. response:	What's their time?
context: Why?\It's what they intended all along.\Yuki sets the pace for the first half.\And Shindo pulls Yuki during the second.\They planned their course knowing they'd get lapped.\That must be Yuki's plan.\It's so efficient.\What's their time? response:	You like running?
context: It's what they intended all along.\Yuki sets the pace for the first half.\And Shindo pulls Yuki during the second.\They planned their course knowing they'd get lapped.\That must be Yuki's plan.\It's so efficient.\What's their time?\You like running? response:	Do you like running?
context: Yuki sets the pace for the first half.\And Shindo pulls Yuki during the second.\They planned their course knowing they'd get lapped.\That must be Yuki's plan.\It's so efficient.\What's their time?\You like running?\Do you like running? response:	He caught up!
context: And Shindo pulls Yuki during the second.\They planned their course knowing they'd get lapped.\That must be Yuki's plan.\It's so efficient.\What's their time?\You like running?\Do you like running?\He caught up! response:	Kakeru! Go!
context: They planned their course knowing they'd get lapped.\That must be Yuki's plan.\It's so efficient.\What's their time?\You like running?\Do you like running?\He caught up!\Kakeru! Go! response:	Wow! He's taking on the exchange students.
context: That must be Yuki's plan.\It's so efficient.\What's their time?\You like running?\Do you like running?\He caught up!\Kakeru! Go!\Wow! He's taking on the exchange students. response:	Isn't he a first-year?
context: It's so efficient.\What's their time?\You like running?\Do you like running?\He caught up!\Kakeru! Go!\Wow! He's taking on the exchange students.\Isn't he a first-year? response:	He's from Kansei. Heard of them?
context: What's their time?\You like running?\Do you like running?\He caught up!\Kakeru! Go!\Wow! He's taking on the exchange students.\Isn't he a first-year?\He's from Kansei. Heard of them? response:	No.
context: You like running?\Do you like running?\He caught up!\Kakeru! Go!\Wow! He's taking on the exchange students.\Isn't he a first-year?\He's from Kansei. Heard of them?\No. response:	Oh, shit!
context: Do you like running?\He caught up!\Kakeru! Go!\Wow! He's taking on the exchange students.\Isn't he a first-year?\He's from Kansei. Heard of them?\No.\Oh, shit! response:	He's crazy!
context: He caught up!\Kakeru! Go!\Wow! He's taking on the exchange students.\Isn't he a first-year?\He's from Kansei. Heard of them?\No.\Oh, shit!\He's crazy! response:	Haiji's next.
context: Kakeru! Go!\Wow! He's taking on the exchange students.\Isn't he a first-year?\He's from Kansei. Heard of them?\No.\Oh, shit!\He's crazy!\Haiji's next. response:	He's racing Haiji.
context: Wow! He's taking on the exchange students.\Isn't he a first-year?\He's from Kansei. Heard of them?\No.\Oh, shit!\He's crazy!\Haiji's next.\He's racing Haiji. response:	He's not insolent for nothing.
context: Isn't he a first-year?\He's from Kansei. Heard of them?\No.\Oh, shit!\He's crazy!\Haiji's next.\He's racing Haiji.\He's not insolent for nothing. response:	Haiji's moving up.
context: He's from Kansei. Heard of them?\No.\Oh, shit!\He's crazy!\Haiji's next.\He's racing Haiji.\He's not insolent for nothing.\Haiji's moving up. response:	Haiji!
context: No.\Oh, shit!\He's crazy!\Haiji's next.\He's racing Haiji.\He's not insolent for nothing.\Haiji's moving up.\Haiji! response:	He conserved his energy.
context: Oh, shit!\He's crazy!\Haiji's next.\He's racing Haiji.\He's not insolent for nothing.\Haiji's moving up.\Haiji!\He conserved his energy. response:	Keep it up! Pull ahead!
context: He's crazy!\Haiji's next.\He's racing Haiji.\He's not insolent for nothing.\Haiji's moving up.\Haiji!\He conserved his energy.\Keep it up! Pull ahead! response:	You did it, Kakeru.
context: Haiji's next.\He's racing Haiji.\He's not insolent for nothing.\Haiji's moving up.\Haiji!\He conserved his energy.\Keep it up! Pull ahead!\You did it, Kakeru. response:	You got your revenge.
context: He's racing Haiji.\He's not insolent for nothing.\Haiji's moving up.\Haiji!\He conserved his energy.\Keep it up! Pull ahead!\You did it, Kakeru.\You got your revenge. response:	Shindo, thirty more seconds!
context: He's not insolent for nothing.\Haiji's moving up.\Haiji!\He conserved his energy.\Keep it up! Pull ahead!\You did it, Kakeru.\You got your revenge.\Shindo, thirty more seconds! response:	Final spurt!
context: Haiji's moving up.\Haiji!\He conserved his energy.\Keep it up! Pull ahead!\You did it, Kakeru.\You got your revenge.\Shindo, thirty more seconds!\Final spurt! response:	Yuki!
context: Haiji!\He conserved his energy.\Keep it up! Pull ahead!\You did it, Kakeru.\You got your revenge.\Shindo, thirty more seconds!\Final spurt!\Yuki! response:	Shindo, you can do it!
context: He conserved his energy.\Keep it up! Pull ahead!\You did it, Kakeru.\You got your revenge.\Shindo, thirty more seconds!\Final spurt!\Yuki!\Shindo, you can do it! response:	Go, go, go!
context: Keep it up! Pull ahead!\You did it, Kakeru.\You got your revenge.\Shindo, thirty more seconds!\Final spurt!\Yuki!\Shindo, you can do it!\Go, go, go! response:	You can do it! You can do it!
