context: -stuff- response:	-ED-
context: -stuff-\-ED- response:	Don't panic!
context: -stuff-\-ED-\Don't panic! response:	The hymn!
context: -stuff-\-ED-\Don't panic!\The hymn! response:	Don't stop chanting!
context: -stuff-\-ED-\Don't panic!\The hymn!\Don't stop chanting! response:	Withdraw!
context: -stuff-\-ED-\Don't panic!\The hymn!\Don't stop chanting!\Withdraw! response:	Don't be foolish! If we fall, who will protect Assiah?!
context: -stuff-\-ED-\Don't panic!\The hymn!\Don't stop chanting!\Withdraw!\Don't be foolish! If we fall, who will protect Assiah?! response:	Demons!
context: -stuff-\-ED-\Don't panic!\The hymn!\Don't stop chanting!\Withdraw!\Don't be foolish! If we fall, who will protect Assiah?!\Demons! response:	Is he a demon or something?!
context: -ED-\Don't panic!\The hymn!\Don't stop chanting!\Withdraw!\Don't be foolish! If we fall, who will protect Assiah?!\Demons!\Is he a demon or something?! response:	You've gotta be kidding me!
context: Don't panic!\The hymn!\Don't stop chanting!\Withdraw!\Don't be foolish! If we fall, who will protect Assiah?!\Demons!\Is he a demon or something?!\You've gotta be kidding me! response:	Let's go!
context: The hymn!\Don't stop chanting!\Withdraw!\Don't be foolish! If we fall, who will protect Assiah?!\Demons!\Is he a demon or something?!\You've gotta be kidding me!\Let's go! response:	Demon? Who are you talking about? You're more demonic than I am.
context: Don't stop chanting!\Withdraw!\Don't be foolish! If we fall, who will protect Assiah?!\Demons!\Is he a demon or something?!\You've gotta be kidding me!\Let's go!\Demon? Who are you talking about? You're more demonic than I am. response:	Ah, I've done it again.
context: Withdraw!\Don't be foolish! If we fall, who will protect Assiah?!\Demons!\Is he a demon or something?!\You've gotta be kidding me!\Let's go!\Demon? Who are you talking about? You're more demonic than I am.\Ah, I've done it again. response:	What am I doing...?
context: Don't be foolish! If we fall, who will protect Assiah?!\Demons!\Is he a demon or something?!\You've gotta be kidding me!\Let's go!\Demon? Who are you talking about? You're more demonic than I am.\Ah, I've done it again.\What am I doing...? response:	You lost little lamb, confess your sins and say your prayers.
context: Demons!\Is he a demon or something?!\You've gotta be kidding me!\Let's go!\Demon? Who are you talking about? You're more demonic than I am.\Ah, I've done it again.\What am I doing...?\You lost little lamb, confess your sins and say your prayers. response:	I didn't do anything bad!
context: Is he a demon or something?!\You've gotta be kidding me!\Let's go!\Demon? Who are you talking about? You're more demonic than I am.\Ah, I've done it again.\What am I doing...?\You lost little lamb, confess your sins and say your prayers.\I didn't do anything bad! response:	Then where did those wounds come from?
context: You've gotta be kidding me!\Let's go!\Demon? Who are you talking about? You're more demonic than I am.\Ah, I've done it again.\What am I doing...?\You lost little lamb, confess your sins and say your prayers.\I didn't do anything bad!\Then where did those wounds come from? response:	I fell on the stairs.
context: Let's go!\Demon? Who are you talking about? You're more demonic than I am.\Ah, I've done it again.\What am I doing...?\You lost little lamb, confess your sins and say your prayers.\I didn't do anything bad!\Then where did those wounds come from?\I fell on the stairs. response:	Your back is dirty, too.
context: Demon? Who are you talking about? You're more demonic than I am.\Ah, I've done it again.\What am I doing...?\You lost little lamb, confess your sins and say your prayers.\I didn't do anything bad!\Then where did those wounds come from?\I fell on the stairs.\Your back is dirty, too. response:	It was quite a fall.
context: Ah, I've done it again.\What am I doing...?\You lost little lamb, confess your sins and say your prayers.\I didn't do anything bad!\Then where did those wounds come from?\I fell on the stairs.\Your back is dirty, too.\It was quite a fall. response:	And your nosebleed?
context: What am I doing...?\You lost little lamb, confess your sins and say your prayers.\I didn't do anything bad!\Then where did those wounds come from?\I fell on the stairs.\Your back is dirty, too.\It was quite a fall.\And your nosebleed? response:	I fell onto an insanely hot babe -
context: You lost little lamb, confess your sins and say your prayers.\I didn't do anything bad!\Then where did those wounds come from?\I fell on the stairs.\Your back is dirty, too.\It was quite a fall.\And your nosebleed?\I fell onto an insanely hot babe - response:	What?! After her, Rin! Lead the way!
context: I didn't do anything bad!\Then where did those wounds come from?\I fell on the stairs.\Your back is dirty, too.\It was quite a fall.\And your nosebleed?\I fell onto an insanely hot babe -\What?! After her, Rin! Lead the way! response:	Liar!
context: Then where did those wounds come from?\I fell on the stairs.\Your back is dirty, too.\It was quite a fall.\And your nosebleed?\I fell onto an insanely hot babe -\What?! After her, Rin! Lead the way!\Liar! response:	You got into a fight again, right?! Why do you always have to do that?!
