context: This being the first civilian Antarctic expedition, response:	some are saying that this brings Antarctica closer to the average person.
context: This being the first civilian Antarctic expedition,\some are saying that this brings Antarctica closer to the average person. response:	Now that Syowa Station has been transferred to civilian ownership,
context: This being the first civilian Antarctic expedition,\some are saying that this brings Antarctica closer to the average person.\Now that Syowa Station has been transferred to civilian ownership, response:	I believe there will be more chances for things like that.
context: This being the first civilian Antarctic expedition,\some are saying that this brings Antarctica closer to the average person.\Now that Syowa Station has been transferred to civilian ownership,\I believe there will be more chances for things like that. response:	Do you intend to continue doing research like this?
context: This being the first civilian Antarctic expedition,\some are saying that this brings Antarctica closer to the average person.\Now that Syowa Station has been transferred to civilian ownership,\I believe there will be more chances for things like that.\Do you intend to continue doing research like this? response:	Of course.
context: This being the first civilian Antarctic expedition,\some are saying that this brings Antarctica closer to the average person.\Now that Syowa Station has been transferred to civilian ownership,\I believe there will be more chances for things like that.\Do you intend to continue doing research like this?\Of course. response:	Even having become civilians,
context: This being the first civilian Antarctic expedition,\some are saying that this brings Antarctica closer to the average person.\Now that Syowa Station has been transferred to civilian ownership,\I believe there will be more chances for things like that.\Do you intend to continue doing research like this?\Of course.\Even having become civilians, response:	we'd like to keep sending expeditions and doing observation...
context: This being the first civilian Antarctic expedition,\some are saying that this brings Antarctica closer to the average person.\Now that Syowa Station has been transferred to civilian ownership,\I believe there will be more chances for things like that.\Do you intend to continue doing research like this?\Of course.\Even having become civilians,\we'd like to keep sending expeditions and doing observation... response:	We want everyone to learn about the wonders of Antarctica.
context: some are saying that this brings Antarctica closer to the average person.\Now that Syowa Station has been transferred to civilian ownership,\I believe there will be more chances for things like that.\Do you intend to continue doing research like this?\Of course.\Even having become civilians,\we'd like to keep sending expeditions and doing observation...\We want everyone to learn about the wonders of Antarctica. response:	A Place Further Than the Universe
context: Now that Syowa Station has been transferred to civilian ownership,\I believe there will be more chances for things like that.\Do you intend to continue doing research like this?\Of course.\Even having become civilians,\we'd like to keep sending expeditions and doing observation...\We want everyone to learn about the wonders of Antarctica.\A Place Further Than the Universe response:	The Ship That Sees the Universe
context: I believe there will be more chances for things like that.\Do you intend to continue doing research like this?\Of course.\Even having become civilians,\we'd like to keep sending expeditions and doing observation...\We want everyone to learn about the wonders of Antarctica.\A Place Further Than the Universe\The Ship That Sees the Universe response:	Duty-Free Articles
context: Do you intend to continue doing research like this?\Of course.\Even having become civilians,\we'd like to keep sending expeditions and doing observation...\We want everyone to learn about the wonders of Antarctica.\A Place Further Than the Universe\The Ship That Sees the Universe\Duty-Free Articles response:	Duty-Free Articles
context: Of course.\Even having become civilians,\we'd like to keep sending expeditions and doing observation...\We want everyone to learn about the wonders of Antarctica.\A Place Further Than the Universe\The Ship That Sees the Universe\Duty-Free Articles\Duty-Free Articles response:	15 Likes 5 Comments
context: Even having become civilians,\we'd like to keep sending expeditions and doing observation...\We want everyone to learn about the wonders of Antarctica.\A Place Further Than the Universe\The Ship That Sees the Universe\Duty-Free Articles\Duty-Free Articles\15 Likes 5 Comments response:	Catchy Witty Sensational
context: we'd like to keep sending expeditions and doing observation...\We want everyone to learn about the wonders of Antarctica.\A Place Further Than the Universe\The Ship That Sees the Universe\Duty-Free Articles\Duty-Free Articles\15 Likes 5 Comments\Catchy Witty Sensational response:	Let's run a test.
context: We want everyone to learn about the wonders of Antarctica.\A Place Further Than the Universe\The Ship That Sees the Universe\Duty-Free Articles\Duty-Free Articles\15 Likes 5 Comments\Catchy Witty Sensational\Let's run a test. response:	W-Wait!
context: A Place Further Than the Universe\The Ship That Sees the Universe\Duty-Free Articles\Duty-Free Articles\15 Likes 5 Comments\Catchy Witty Sensational\Let's run a test.\W-Wait! response:	We're doing this for you, though, Shirase-san...
context: The Ship That Sees the Universe\Duty-Free Articles\Duty-Free Articles\15 Likes 5 Comments\Catchy Witty Sensational\Let's run a test.\W-Wait!\We're doing this for you, though, Shirase-san... response:	Let's go. One, two...
context: Duty-Free Articles\Duty-Free Articles\15 Likes 5 Comments\Catchy Witty Sensational\Let's run a test.\W-Wait!\We're doing this for you, though, Shirase-san...\Let's go. One, two... response:	Jumping!
context: Duty-Free Articles\15 Likes 5 Comments\Catchy Witty Sensational\Let's run a test.\W-Wait!\We're doing this for you, though, Shirase-san...\Let's go. One, two...\Jumping! response:	And as you can see, we've arrived in Fremantle in a snap!
context: 15 Likes 5 Comments\Catchy Witty Sensational\Let's run a test.\W-Wait!\We're doing this for you, though, Shirase-san...\Let's go. One, two...\Jumping!\And as you can see, we've arrived in Fremantle in a snap! response:	Please, observe!
context: Catchy Witty Sensational\Let's run a test.\W-Wait!\We're doing this for you, though, Shirase-san...\Let's go. One, two...\Jumping!\And as you can see, we've arrived in Fremantle in a snap!\Please, observe! response:	This is the expedition ship from Japan, the Penguin Manju!
context: Let's run a test.\W-Wait!\We're doing this for you, though, Shirase-san...\Let's go. One, two...\Jumping!\And as you can see, we've arrived in Fremantle in a snap!\Please, observe!\This is the expedition ship from Japan, the Penguin Manju! response:	This is the ship we're going to take to Antarctica!
context: W-Wait!\We're doing this for you, though, Shirase-san...\Let's go. One, two...\Jumping!\And as you can see, we've arrived in Fremantle in a snap!\Please, observe!\This is the expedition ship from Japan, the Penguin Manju!\This is the ship we're going to take to Antarctica! response:	Now, let's head inside the ship!
context: We're doing this for you, though, Shirase-san...\Let's go. One, two...\Jumping!\And as you can see, we've arrived in Fremantle in a snap!\Please, observe!\This is the expedition ship from Japan, the Penguin Manju!\This is the ship we're going to take to Antarctica!\Now, let's head inside the ship! response:	Now... take it, Shirase-chan!
context: Let's go. One, two...\Jumping!\And as you can see, we've arrived in Fremantle in a snap!\Please, observe!\This is the expedition ship from Japan, the Penguin Manju!\This is the ship we're going to take to Antarctica!\Now, let's head inside the ship!\Now... take it, Shirase-chan! response:	High School Girl Yuzuki Shiraishi Challenge For Antarctic
context: Jumping!\And as you can see, we've arrived in Fremantle in a snap!\Please, observe!\This is the expedition ship from Japan, the Penguin Manju!\This is the ship we're going to take to Antarctica!\Now, let's head inside the ship!\Now... take it, Shirase-chan!\High School Girl Yuzuki Shiraishi Challenge For Antarctic response:	Right! I am High School Girl Antarctic Expedition Member,
context: And as you can see, we've arrived in Fremantle in a snap!\Please, observe!\This is the expedition ship from Japan, the Penguin Manju!\This is the ship we're going to take to Antarctica!\Now, let's head inside the ship!\Now... take it, Shirase-chan!\High School Girl Yuzuki Shiraishi Challenge For Antarctic\Right! I am High School Girl Antarctic Expedition Member, response:	K-Kobuchizawa Shirase!
context: Please, observe!\This is the expedition ship from Japan, the Penguin Manju!\This is the ship we're going to take to Antarctica!\Now, let's head inside the ship!\Now... take it, Shirase-chan!\High School Girl Yuzuki Shiraishi Challenge For Antarctic\Right! I am High School Girl Antarctic Expedition Member,\K-Kobuchizawa Shirase! response:	F-From here, I'll b-be making some c-c-catchy, witty, sensational reports
