context: August response:	September
context: August\September response:	Naruka Exhibition
context: August\September\Naruka Exhibition response:	Naruka Exhibition
context: August\September\Naruka Exhibition\Naruka Exhibition response:	Two more weeks...
context: August\September\Naruka Exhibition\Naruka Exhibition\Two more weeks... response:	The more impatient I get,
context: August\September\Naruka Exhibition\Naruka Exhibition\Two more weeks...\The more impatient I get, response:	the harder it is to write well.
context: August\September\Naruka Exhibition\Naruka Exhibition\Two more weeks...\The more impatient I get,\the harder it is to write well. response:	For some reason...
context: August\September\Naruka Exhibition\Naruka Exhibition\Two more weeks...\The more impatient I get,\the harder it is to write well.\For some reason... response:	Since I came to this island, there are times when I really want to write calligraphy.
context: September\Naruka Exhibition\Naruka Exhibition\Two more weeks...\The more impatient I get,\the harder it is to write well.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy. response:	I feel something well up,
context: Naruka Exhibition\Naruka Exhibition\Two more weeks...\The more impatient I get,\the harder it is to write well.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up, response:	and my hands tremble.
context: Naruka Exhibition\Two more weeks...\The more impatient I get,\the harder it is to write well.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble. response:	If I only had that hand-trembling feeling now...
context: Two more weeks...\The more impatient I get,\the harder it is to write well.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\If I only had that hand-trembling feeling now... response:	Maybe taking a bath will help my mood.
context: The more impatient I get,\the harder it is to write well.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\If I only had that hand-trembling feeling now...\Maybe taking a bath will help my mood. response:	Tepid
context: the harder it is to write well.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\If I only had that hand-trembling feeling now...\Maybe taking a bath will help my mood.\Tepid response:	Off
