context: Here I am again. response:	Really? Are you sure?
context: Here I am again.\Really? Are you sure? response:	Fwap
context: Here I am again.\Really? Are you sure?\Fwap response:	How many days of food expenses will we save from this?
context: Here I am again.\Really? Are you sure?\Fwap\How many days of food expenses will we save from this? response:	This is wonderful! Thank you!
context: Here I am again.\Really? Are you sure?\Fwap\How many days of food expenses will we save from this?\This is wonderful! Thank you! response:	We got extravagant for New Year's, so she told us to be frugal for a while.
context: Here I am again.\Really? Are you sure?\Fwap\How many days of food expenses will we save from this?\This is wonderful! Thank you!\We got extravagant for New Year's, so she told us to be frugal for a while. response:	But now we can have delicious food from tomorrow!
context: Here I am again.\Really? Are you sure?\Fwap\How many days of food expenses will we save from this?\This is wonderful! Thank you!\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow! response:	Warm Warm
context: Here I am again.\Really? Are you sure?\Fwap\How many days of food expenses will we save from this?\This is wonderful! Thank you!\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\Warm Warm response:	We were already done eating. Those are the leftovers, so I hope that's okay.
context: Really? Are you sure?\Fwap\How many days of food expenses will we save from this?\This is wonderful! Thank you!\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\Warm Warm\We were already done eating. Those are the leftovers, so I hope that's okay. response:	D-Delicious!
context: Fwap\How many days of food expenses will we save from this?\This is wonderful! Thank you!\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\Warm Warm\We were already done eating. Those are the leftovers, so I hope that's okay.\D-Delicious! response:	Th-The egg rice is delicious!
context: How many days of food expenses will we save from this?\This is wonderful! Thank you!\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\Warm Warm\We were already done eating. Those are the leftovers, so I hope that's okay.\D-Delicious!\Th-The egg rice is delicious! response:	Hey, Rei. Can you sleep with Momo tonight?
context: This is wonderful! Thank you!\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\Warm Warm\We were already done eating. Those are the leftovers, so I hope that's okay.\D-Delicious!\Th-The egg rice is delicious!\Hey, Rei. Can you sleep with Momo tonight? response:	That's a good idea!
context: We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\Warm Warm\We were already done eating. Those are the leftovers, so I hope that's okay.\D-Delicious!\Th-The egg rice is delicious!\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea! response:	Let's do that! After all, tomorrow's Saturday.
context: But now we can have delicious food from tomorrow!\Warm Warm\We were already done eating. Those are the leftovers, so I hope that's okay.\D-Delicious!\Th-The egg rice is delicious!\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday. response:	I have to go home tonight.
context: Warm Warm\We were already done eating. Those are the leftovers, so I hope that's okay.\D-Delicious!\Th-The egg rice is delicious!\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\I have to go home tonight. response:	Why? Let's stay here together!
context: We were already done eating. Those are the leftovers, so I hope that's okay.\D-Delicious!\Th-The egg rice is delicious!\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\I have to go home tonight.\Why? Let's stay here together! response:	Why? Why, why, why?
context: D-Delicious!\Th-The egg rice is delicious!\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why? response:	Momo.
context: Th-The egg rice is delicious!\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\Momo. response:	I've got a match coming up that I just can't lose.
context: Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\Momo.\I've got a match coming up that I just can't lose. response:	So I have to go home and study.
context: That's a good idea!\Let's do that! After all, tomorrow's Saturday.\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study. response:	Study? Do you have a test?
context: Let's do that! After all, tomorrow's Saturday.\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test? response:	Yes. That's right.
context: I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right. response:	It's a test where I show my opponent and myself how hard I've been trying.
