context: I shouldn't have given birth to you. response:	Who would you be sold to, you ask?
context: I shouldn't have given birth to you.\Who would you be sold to, you ask? response:	I thought you weren't interested.
context: I shouldn't have given birth to you.\Who would you be sold to, you ask?\I thought you weren't interested. response:	I don't handle pain very well.
context: I shouldn't have given birth to you.\Who would you be sold to, you ask?\I thought you weren't interested.\I don't handle pain very well. response:	I thought I should at least be prepared.
context: I shouldn't have given birth to you.\Who would you be sold to, you ask?\I thought you weren't interested.\I don't handle pain very well.\I thought I should at least be prepared. response:	Don't worry.
context: I shouldn't have given birth to you.\Who would you be sold to, you ask?\I thought you weren't interested.\I don't handle pain very well.\I thought I should at least be prepared.\Don't worry. response:	You're rare.
context: I shouldn't have given birth to you.\Who would you be sold to, you ask?\I thought you weren't interested.\I don't handle pain very well.\I thought I should at least be prepared.\Don't worry.\You're rare. response:	Sorry, you didn't care whether you lived or died, did you?
context: I shouldn't have given birth to you.\Who would you be sold to, you ask?\I thought you weren't interested.\I don't handle pain very well.\I thought I should at least be prepared.\Don't worry.\You're rare.\Sorry, you didn't care whether you lived or died, did you? response:	Hey...
context: Who would you be sold to, you ask?\I thought you weren't interested.\I don't handle pain very well.\I thought I should at least be prepared.\Don't worry.\You're rare.\Sorry, you didn't care whether you lived or died, did you?\Hey... response:	Thank you.
context: I thought you weren't interested.\I don't handle pain very well.\I thought I should at least be prepared.\Don't worry.\You're rare.\Sorry, you didn't care whether you lived or died, did you?\Hey...\Thank you. response:	Morning, Chise.
context: I don't handle pain very well.\I thought I should at least be prepared.\Don't worry.\You're rare.\Sorry, you didn't care whether you lived or died, did you?\Hey...\Thank you.\Morning, Chise. response:	G-Good morning.
context: I thought I should at least be prepared.\Don't worry.\You're rare.\Sorry, you didn't care whether you lived or died, did you?\Hey...\Thank you.\Morning, Chise.\G-Good morning. response:	Who is she?
context: Don't worry.\You're rare.\Sorry, you didn't care whether you lived or died, did you?\Hey...\Thank you.\Morning, Chise.\G-Good morning.\Who is she? response:	She's a neighbor that lives here. Her name is Silky.
context: You're rare.\Sorry, you didn't care whether you lived or died, did you?\Hey...\Thank you.\Morning, Chise.\G-Good morning.\Who is she?\She's a neighbor that lives here. Her name is Silky. response:	She's a fairy who does the cooking and laundry, cleans and tends to the fire.
context: Sorry, you didn't care whether you lived or died, did you?\Hey...\Thank you.\Morning, Chise.\G-Good morning.\Who is she?\She's a neighbor that lives here. Her name is Silky.\She's a fairy who does the cooking and laundry, cleans and tends to the fire. response:	Silky prepared that, as well.
context: Hey...\Thank you.\Morning, Chise.\G-Good morning.\Who is she?\She's a neighbor that lives here. Her name is Silky.\She's a fairy who does the cooking and laundry, cleans and tends to the fire.\Silky prepared that, as well. response:	You could say she's less of a servant and more of a landlady.
context: Thank you.\Morning, Chise.\G-Good morning.\Who is she?\She's a neighbor that lives here. Her name is Silky.\She's a fairy who does the cooking and laundry, cleans and tends to the fire.\Silky prepared that, as well.\You could say she's less of a servant and more of a landlady. response:	A little something for my acquaintance.
context: Morning, Chise.\G-Good morning.\Who is she?\She's a neighbor that lives here. Her name is Silky.\She's a fairy who does the cooking and laundry, cleans and tends to the fire.\Silky prepared that, as well.\You could say she's less of a servant and more of a landlady.\A little something for my acquaintance. response:	Apparently, I was purchased by this mage for an outrageous sum.
context: G-Good morning.\Who is she?\She's a neighbor that lives here. Her name is Silky.\She's a fairy who does the cooking and laundry, cleans and tends to the fire.\Silky prepared that, as well.\You could say she's less of a servant and more of a landlady.\A little something for my acquaintance.\Apparently, I was purchased by this mage for an outrageous sum. response:	As his apprentice, and...
context: Who is she?\She's a neighbor that lives here. Her name is Silky.\She's a fairy who does the cooking and laundry, cleans and tends to the fire.\Silky prepared that, as well.\You could say she's less of a servant and more of a landlady.\A little something for my acquaintance.\Apparently, I was purchased by this mage for an outrageous sum.\As his apprentice, and... response:	I also hope to make you my bride.
context: She's a neighbor that lives here. Her name is Silky.\She's a fairy who does the cooking and laundry, cleans and tends to the fire.\Silky prepared that, as well.\You could say she's less of a servant and more of a landlady.\A little something for my acquaintance.\Apparently, I was purchased by this mage for an outrageous sum.\As his apprentice, and...\I also hope to make you my bride. response:	Apprentice or bride...
context: She's a fairy who does the cooking and laundry, cleans and tends to the fire.\Silky prepared that, as well.\You could say she's less of a servant and more of a landlady.\A little something for my acquaintance.\Apparently, I was purchased by this mage for an outrageous sum.\As his apprentice, and...\I also hope to make you my bride.\Apprentice or bride... response:	Which do I take seriously?
context: Silky prepared that, as well.\You could say she's less of a servant and more of a landlady.\A little something for my acquaintance.\Apparently, I was purchased by this mage for an outrageous sum.\As his apprentice, and...\I also hope to make you my bride.\Apprentice or bride...\Which do I take seriously? response:	You've been asleep for two days. Do you recall anything?
context: You could say she's less of a servant and more of a landlady.\A little something for my acquaintance.\Apparently, I was purchased by this mage for an outrageous sum.\As his apprentice, and...\I also hope to make you my bride.\Apprentice or bride...\Which do I take seriously?\You've been asleep for two days. Do you recall anything? response:	Two days?
context: A little something for my acquaintance.\Apparently, I was purchased by this mage for an outrageous sum.\As his apprentice, and...\I also hope to make you my bride.\Apprentice or bride...\Which do I take seriously?\You've been asleep for two days. Do you recall anything?\Two days? response:	You must have been emotionally exhausted.
context: Apparently, I was purchased by this mage for an outrageous sum.\As his apprentice, and...\I also hope to make you my bride.\Apprentice or bride...\Which do I take seriously?\You've been asleep for two days. Do you recall anything?\Two days?\You must have been emotionally exhausted. response:	His appearance, his mannerisms... I don't understand him very well yet.
context: As his apprentice, and...\I also hope to make you my bride.\Apprentice or bride...\Which do I take seriously?\You've been asleep for two days. Do you recall anything?\Two days?\You must have been emotionally exhausted.\His appearance, his mannerisms... I don't understand him very well yet. response:	Aren't you going to eat?
context: I also hope to make you my bride.\Apprentice or bride...\Which do I take seriously?\You've been asleep for two days. Do you recall anything?\Two days?\You must have been emotionally exhausted.\His appearance, his mannerisms... I don't understand him very well yet.\Aren't you going to eat? response:	But he's going to take care of me, so he's not a bad person... I don't think.
context: Apprentice or bride...\Which do I take seriously?\You've been asleep for two days. Do you recall anything?\Two days?\You must have been emotionally exhausted.\His appearance, his mannerisms... I don't understand him very well yet.\Aren't you going to eat?\But he's going to take care of me, so he's not a bad person... I don't think. response:	I hate to bring this up to you so early in the morning,
context: Which do I take seriously?\You've been asleep for two days. Do you recall anything?\Two days?\You must have been emotionally exhausted.\His appearance, his mannerisms... I don't understand him very well yet.\Aren't you going to eat?\But he's going to take care of me, so he's not a bad person... I don't think.\I hate to bring this up to you so early in the morning, response:	but shall we prepare for our honeymoon?
context: You've been asleep for two days. Do you recall anything?\Two days?\You must have been emotionally exhausted.\His appearance, his mannerisms... I don't understand him very well yet.\Aren't you going to eat?\But he's going to take care of me, so he's not a bad person... I don't think.\I hate to bring this up to you so early in the morning,\but shall we prepare for our honeymoon? response:	But... he's seems pretty weird.
context: Two days?\You must have been emotionally exhausted.\His appearance, his mannerisms... I don't understand him very well yet.\Aren't you going to eat?\But he's going to take care of me, so he's not a bad person... I don't think.\I hate to bring this up to you so early in the morning,\but shall we prepare for our honeymoon?\But... he's seems pretty weird. response:	I thought I'd introduce you to my acquaintances while we go shopping.
context: You must have been emotionally exhausted.\His appearance, his mannerisms... I don't understand him very well yet.\Aren't you going to eat?\But he's going to take care of me, so he's not a bad person... I don't think.\I hate to bring this up to you so early in the morning,\but shall we prepare for our honeymoon?\But... he's seems pretty weird.\I thought I'd introduce you to my acquaintances while we go shopping. response:	His face is bone, so I can't read his expressions.
context: His appearance, his mannerisms... I don't understand him very well yet.\Aren't you going to eat?\But he's going to take care of me, so he's not a bad person... I don't think.\I hate to bring this up to you so early in the morning,\but shall we prepare for our honeymoon?\But... he's seems pretty weird.\I thought I'd introduce you to my acquaintances while we go shopping.\His face is bone, so I can't read his expressions. response:	I can't tell when he's serious or kidding.
context: Aren't you going to eat?\But he's going to take care of me, so he's not a bad person... I don't think.\I hate to bring this up to you so early in the morning,\but shall we prepare for our honeymoon?\But... he's seems pretty weird.\I thought I'd introduce you to my acquaintances while we go shopping.\His face is bone, so I can't read his expressions.\I can't tell when he's serious or kidding. response:	Wh-What happened to your head?
context: But he's going to take care of me, so he's not a bad person... I don't think.\I hate to bring this up to you so early in the morning,\but shall we prepare for our honeymoon?\But... he's seems pretty weird.\I thought I'd introduce you to my acquaintances while we go shopping.\His face is bone, so I can't read his expressions.\I can't tell when he's serious or kidding.\Wh-What happened to your head? response:	I would look suspicious wandering around outside with that head.
context: I hate to bring this up to you so early in the morning,\but shall we prepare for our honeymoon?\But... he's seems pretty weird.\I thought I'd introduce you to my acquaintances while we go shopping.\His face is bone, so I can't read his expressions.\I can't tell when he's serious or kidding.\Wh-What happened to your head?\I would look suspicious wandering around outside with that head. response:	I used a little magic.
context: but shall we prepare for our honeymoon?\But... he's seems pretty weird.\I thought I'd introduce you to my acquaintances while we go shopping.\His face is bone, so I can't read his expressions.\I can't tell when he's serious or kidding.\Wh-What happened to your head?\I would look suspicious wandering around outside with that head.\I used a little magic. response:	See?
context: But... he's seems pretty weird.\I thought I'd introduce you to my acquaintances while we go shopping.\His face is bone, so I can't read his expressions.\I can't tell when he's serious or kidding.\Wh-What happened to your head?\I would look suspicious wandering around outside with that head.\I used a little magic.\See? response:	It feels different to the touch, too.
context: I thought I'd introduce you to my acquaintances while we go shopping.\His face is bone, so I can't read his expressions.\I can't tell when he's serious or kidding.\Wh-What happened to your head?\I would look suspicious wandering around outside with that head.\I used a little magic.\See?\It feels different to the touch, too. response:	Do I look good?
context: His face is bone, so I can't read his expressions.\I can't tell when he's serious or kidding.\Wh-What happened to your head?\I would look suspicious wandering around outside with that head.\I used a little magic.\See?\It feels different to the touch, too.\Do I look good? response:	Am I handsome?
context: I can't tell when he's serious or kidding.\Wh-What happened to your head?\I would look suspicious wandering around outside with that head.\I used a little magic.\See?\It feels different to the touch, too.\Do I look good?\Am I handsome? response:	You look kind of fake.
context: Wh-What happened to your head?\I would look suspicious wandering around outside with that head.\I used a little magic.\See?\It feels different to the touch, too.\Do I look good?\Am I handsome?\You look kind of fake. response:	That's harsh.
context: I would look suspicious wandering around outside with that head.\I used a little magic.\See?\It feels different to the touch, too.\Do I look good?\Am I handsome?\You look kind of fake.\That's harsh. response:	I come here often.
context: I used a little magic.\See?\It feels different to the touch, too.\Do I look good?\Am I handsome?\You look kind of fake.\That's harsh.\I come here often. response:	You'll find almost all your equipment here.
context: See?\It feels different to the touch, too.\Do I look good?\Am I handsome?\You look kind of fake.\That's harsh.\I come here often.\You'll find almost all your equipment here. response:	Is this place open?
context: It feels different to the touch, too.\Do I look good?\Am I handsome?\You look kind of fake.\That's harsh.\I come here often.\You'll find almost all your equipment here.\Is this place open? response:	This is just for show.
context: Do I look good?\Am I handsome?\You look kind of fake.\That's harsh.\I come here often.\You'll find almost all your equipment here.\Is this place open?\This is just for show. response:	Angie.
context: Am I handsome?\You look kind of fake.\That's harsh.\I come here often.\You'll find almost all your equipment here.\Is this place open?\This is just for show.\Angie. response:	Angelica.
context: You look kind of fake.\That's harsh.\I come here often.\You'll find almost all your equipment here.\Is this place open?\This is just for show.\Angie.\Angelica. response:	Hey, it's Ainsworth!
context: That's harsh.\I come here often.\You'll find almost all your equipment here.\Is this place open?\This is just for show.\Angie.\Angelica.\Hey, it's Ainsworth! response:	Who would have thought you'd ever come out of your hole?
context: I come here often.\You'll find almost all your equipment here.\Is this place open?\This is just for show.\Angie.\Angelica.\Hey, it's Ainsworth!\Who would have thought you'd ever come out of your hole? response:	You're no less of a hermit, Gem's Bee.
context: You'll find almost all your equipment here.\Is this place open?\This is just for show.\Angie.\Angelica.\Hey, it's Ainsworth!\Who would have thought you'd ever come out of your hole?\You're no less of a hermit, Gem's Bee. response:	I'm running a business.
context: Is this place open?\This is just for show.\Angie.\Angelica.\Hey, it's Ainsworth!\Who would have thought you'd ever come out of your hole?\You're no less of a hermit, Gem's Bee.\I'm running a business. response:	Chise.
context: This is just for show.\Angie.\Angelica.\Hey, it's Ainsworth!\Who would have thought you'd ever come out of your hole?\You're no less of a hermit, Gem's Bee.\I'm running a business.\Chise. response:	Y-Yes!
context: Angie.\Angelica.\Hey, it's Ainsworth!\Who would have thought you'd ever come out of your hole?\You're no less of a hermit, Gem's Bee.\I'm running a business.\Chise.\Y-Yes! response:	I thought I'd have you gather the things this girl needs.
context: Angelica.\Hey, it's Ainsworth!\Who would have thought you'd ever come out of your hole?\You're no less of a hermit, Gem's Bee.\I'm running a business.\Chise.\Y-Yes!\I thought I'd have you gather the things this girl needs. response:	I made her my apprentice three days ago.
