context: Episode 7 Umaru's Onii-chan response:	Onii-chan, could you get me a drink?
context: Episode 7 Umaru's Onii-chan\Onii-chan, could you get me a drink? response:	Quick! Hup! Whoa!
context: Episode 7 Umaru's Onii-chan\Onii-chan, could you get me a drink?\Quick! Hup! Whoa! response:	You could at least get your own drink.
context: Episode 7 Umaru's Onii-chan\Onii-chan, could you get me a drink?\Quick! Hup! Whoa!\You could at least get your own drink. response:	Thanks... Hup! Whee!
context: Episode 7 Umaru's Onii-chan\Onii-chan, could you get me a drink?\Quick! Hup! Whoa!\You could at least get your own drink.\Thanks... Hup! Whee! response:	I know she's off today,
context: Episode 7 Umaru's Onii-chan\Onii-chan, could you get me a drink?\Quick! Hup! Whoa!\You could at least get your own drink.\Thanks... Hup! Whee!\I know she's off today, response:	but she's really lazing around to the fullest.
context: Episode 7 Umaru's Onii-chan\Onii-chan, could you get me a drink?\Quick! Hup! Whoa!\You could at least get your own drink.\Thanks... Hup! Whee!\I know she's off today,\but she's really lazing around to the fullest. response:	She should at least get the stuff she wants herself.
context: Episode 7 Umaru's Onii-chan\Onii-chan, could you get me a drink?\Quick! Hup! Whoa!\You could at least get your own drink.\Thanks... Hup! Whee!\I know she's off today,\but she's really lazing around to the fullest.\She should at least get the stuff she wants herself. response:	Onii-chan.
context: Onii-chan, could you get me a drink?\Quick! Hup! Whoa!\You could at least get your own drink.\Thanks... Hup! Whee!\I know she's off today,\but she's really lazing around to the fullest.\She should at least get the stuff she wants herself.\Onii-chan. response:	What?
context: Quick! Hup! Whoa!\You could at least get your own drink.\Thanks... Hup! Whee!\I know she's off today,\but she's really lazing around to the fullest.\She should at least get the stuff she wants herself.\Onii-chan.\What? response:	Could you bring me my potato chips?
context: You could at least get your own drink.\Thanks... Hup! Whee!\I know she's off today,\but she's really lazing around to the fullest.\She should at least get the stuff she wants herself.\Onii-chan.\What?\Could you bring me my potato chips? response:	The Ridges are Delicious!
context: Thanks... Hup! Whee!\I know she's off today,\but she's really lazing around to the fullest.\She should at least get the stuff she wants herself.\Onii-chan.\What?\Could you bring me my potato chips?\The Ridges are Delicious! response:	Sour Cream and Onion
context: I know she's off today,\but she's really lazing around to the fullest.\She should at least get the stuff she wants herself.\Onii-chan.\What?\Could you bring me my potato chips?\The Ridges are Delicious!\Sour Cream and Onion response:	Potato Chips
context: but she's really lazing around to the fullest.\She should at least get the stuff she wants herself.\Onii-chan.\What?\Could you bring me my potato chips?\The Ridges are Delicious!\Sour Cream and Onion\Potato Chips response:	Thanks! Ooh, right there!
context: She should at least get the stuff she wants herself.\Onii-chan.\What?\Could you bring me my potato chips?\The Ridges are Delicious!\Sour Cream and Onion\Potato Chips\Thanks! Ooh, right there! response:	Hey, Umaru.
context: Onii-chan.\What?\Could you bring me my potato chips?\The Ridges are Delicious!\Sour Cream and Onion\Potato Chips\Thanks! Ooh, right there!\Hey, Umaru. response:	Is it okay to throw away this box that's on the floor?
context: What?\Could you bring me my potato chips?\The Ridges are Delicious!\Sour Cream and Onion\Potato Chips\Thanks! Ooh, right there!\Hey, Umaru.\Is it okay to throw away this box that's on the floor? response:	Huh? I don't need any boxes that are lying on the floor.
context: Could you bring me my potato chips?\The Ridges are Delicious!\Sour Cream and Onion\Potato Chips\Thanks! Ooh, right there!\Hey, Umaru.\Is it okay to throw away this box that's on the floor?\Huh? I don't need any boxes that are lying on the floor. response:	Onii-chan.
context: The Ridges are Delicious!\Sour Cream and Onion\Potato Chips\Thanks! Ooh, right there!\Hey, Umaru.\Is it okay to throw away this box that's on the floor?\Huh? I don't need any boxes that are lying on the floor.\Onii-chan. response:	Now what?
context: Sour Cream and Onion\Potato Chips\Thanks! Ooh, right there!\Hey, Umaru.\Is it okay to throw away this box that's on the floor?\Huh? I don't need any boxes that are lying on the floor.\Onii-chan.\Now what? response:	I just wanted to call you.
context: Potato Chips\Thanks! Ooh, right there!\Hey, Umaru.\Is it okay to throw away this box that's on the floor?\Huh? I don't need any boxes that are lying on the floor.\Onii-chan.\Now what?\I just wanted to call you. response:	It's already nine.
context: Thanks! Ooh, right there!\Hey, Umaru.\Is it okay to throw away this box that's on the floor?\Huh? I don't need any boxes that are lying on the floor.\Onii-chan.\Now what?\I just wanted to call you.\It's already nine. response:	You should stop lazing around and get up now.
context: Hey, Umaru.\Is it okay to throw away this box that's on the floor?\Huh? I don't need any boxes that are lying on the floor.\Onii-chan.\Now what?\I just wanted to call you.\It's already nine.\You should stop lazing around and get up now. response:	'Kay.
context: Is it okay to throw away this box that's on the floor?\Huh? I don't need any boxes that are lying on the floor.\Onii-chan.\Now what?\I just wanted to call you.\It's already nine.\You should stop lazing around and get up now.\'Kay. response:	Are you going somewhere, Onii-chan?
context: Huh? I don't need any boxes that are lying on the floor.\Onii-chan.\Now what?\I just wanted to call you.\It's already nine.\You should stop lazing around and get up now.\'Kay.\Are you going somewhere, Onii-chan? response:	I'm taking out the trash.
context: Onii-chan.\Now what?\I just wanted to call you.\It's already nine.\You should stop lazing around and get up now.\'Kay.\Are you going somewhere, Onii-chan?\I'm taking out the trash. response:	Oh, could you pick up Young Jumpu at the convenience store while you're out?
context: Now what?\I just wanted to call you.\It's already nine.\You should stop lazing around and get up now.\'Kay.\Are you going somewhere, Onii-chan?\I'm taking out the trash.\Oh, could you pick up Young Jumpu at the convenience store while you're out? response:	That's enough already!
context: I just wanted to call you.\It's already nine.\You should stop lazing around and get up now.\'Kay.\Are you going somewhere, Onii-chan?\I'm taking out the trash.\Oh, could you pick up Young Jumpu at the convenience store while you're out?\That's enough already! response:	O-Onii-chan, have you seen the box that was on the bookshelf?
context: It's already nine.\You should stop lazing around and get up now.\'Kay.\Are you going somewhere, Onii-chan?\I'm taking out the trash.\Oh, could you pick up Young Jumpu at the convenience store while you're out?\That's enough already!\O-Onii-chan, have you seen the box that was on the bookshelf? response:	Hmm?
context: You should stop lazing around and get up now.\'Kay.\Are you going somewhere, Onii-chan?\I'm taking out the trash.\Oh, could you pick up Young Jumpu at the convenience store while you're out?\That's enough already!\O-Onii-chan, have you seen the box that was on the bookshelf?\Hmm? response:	This Hatsune Migu figure's box.
context: 'Kay.\Are you going somewhere, Onii-chan?\I'm taking out the trash.\Oh, could you pick up Young Jumpu at the convenience store while you're out?\That's enough already!\O-Onii-chan, have you seen the box that was on the bookshelf?\Hmm?\This Hatsune Migu figure's box. response:	There were...
context: Are you going somewhere, Onii-chan?\I'm taking out the trash.\Oh, could you pick up Young Jumpu at the convenience store while you're out?\That's enough already!\O-Onii-chan, have you seen the box that was on the bookshelf?\Hmm?\This Hatsune Migu figure's box.\There were... response:	Various Expressions Parts Included!
context: I'm taking out the trash.\Oh, could you pick up Young Jumpu at the convenience store while you're out?\That's enough already!\O-Onii-chan, have you seen the box that was on the bookshelf?\Hmm?\This Hatsune Migu figure's box.\There were...\Various Expressions Parts Included! response:	various facial expression parts in that box.
context: Oh, could you pick up Young Jumpu at the convenience store while you're out?\That's enough already!\O-Onii-chan, have you seen the box that was on the bookshelf?\Hmm?\This Hatsune Migu figure's box.\There were...\Various Expressions Parts Included!\various facial expression parts in that box. response:	Uh, I threw that away this morning.
context: That's enough already!\O-Onii-chan, have you seen the box that was on the bookshelf?\Hmm?\This Hatsune Migu figure's box.\There were...\Various Expressions Parts Included!\various facial expression parts in that box.\Uh, I threw that away this morning. response:	No way!
context: O-Onii-chan, have you seen the box that was on the bookshelf?\Hmm?\This Hatsune Migu figure's box.\There were...\Various Expressions Parts Included!\various facial expression parts in that box.\Uh, I threw that away this morning.\No way! response:	Wh-Why did you throw it away?!
context: Hmm?\This Hatsune Migu figure's box.\There were...\Various Expressions Parts Included!\various facial expression parts in that box.\Uh, I threw that away this morning.\No way!\Wh-Why did you throw it away?! response:	Well, you said I could throw it away.
context: This Hatsune Migu figure's box.\There were...\Various Expressions Parts Included!\various facial expression parts in that box.\Uh, I threw that away this morning.\No way!\Wh-Why did you throw it away?!\Well, you said I could throw it away. response:	Huh?
context: There were...\Various Expressions Parts Included!\various facial expression parts in that box.\Uh, I threw that away this morning.\No way!\Wh-Why did you throw it away?!\Well, you said I could throw it away.\Huh? response:	Huh? I don't need any boxes that are lying on the floor.
context: Various Expressions Parts Included!\various facial expression parts in that box.\Uh, I threw that away this morning.\No way!\Wh-Why did you throw it away?!\Well, you said I could throw it away.\Huh?\Huh? I don't need any boxes that are lying on the floor. response:	Yeah, I did say that.
context: various facial expression parts in that box.\Uh, I threw that away this morning.\No way!\Wh-Why did you throw it away?!\Well, you said I could throw it away.\Huh?\Huh? I don't need any boxes that are lying on the floor.\Yeah, I did say that. response:	Well, I didn't really like the parts that figure had, so it doesn't really matter.
context: Uh, I threw that away this morning.\No way!\Wh-Why did you throw it away?!\Well, you said I could throw it away.\Huh?\Huh? I don't need any boxes that are lying on the floor.\Yeah, I did say that.\Well, I didn't really like the parts that figure had, so it doesn't really matter. response:	I-Is that something it won't work without?
context: No way!\Wh-Why did you throw it away?!\Well, you said I could throw it away.\Huh?\Huh? I don't need any boxes that are lying on the floor.\Yeah, I did say that.\Well, I didn't really like the parts that figure had, so it doesn't really matter.\I-Is that something it won't work without? response:	Come on, Umaru! Tell me!
context: Wh-Why did you throw it away?!\Well, you said I could throw it away.\Huh?\Huh? I don't need any boxes that are lying on the floor.\Yeah, I did say that.\Well, I didn't really like the parts that figure had, so it doesn't really matter.\I-Is that something it won't work without?\Come on, Umaru! Tell me! response:	Onii-chan, you idiot! How could you throw it away?!
context: Well, you said I could throw it away.\Huh?\Huh? I don't need any boxes that are lying on the floor.\Yeah, I did say that.\Well, I didn't really like the parts that figure had, so it doesn't really matter.\I-Is that something it won't work without?\Come on, Umaru! Tell me!\Onii-chan, you idiot! How could you throw it away?! response:	Why didn't you look in the box first?!
context: Huh?\Huh? I don't need any boxes that are lying on the floor.\Yeah, I did say that.\Well, I didn't really like the parts that figure had, so it doesn't really matter.\I-Is that something it won't work without?\Come on, Umaru! Tell me!\Onii-chan, you idiot! How could you throw it away?!\Why didn't you look in the box first?! response:	That was really important to me!
context: Huh? I don't need any boxes that are lying on the floor.\Yeah, I did say that.\Well, I didn't really like the parts that figure had, so it doesn't really matter.\I-Is that something it won't work without?\Come on, Umaru! Tell me!\Onii-chan, you idiot! How could you throw it away?!\Why didn't you look in the box first?!\That was really important to me! response:	Onii-chan's troubled.
context: Yeah, I did say that.\Well, I didn't really like the parts that figure had, so it doesn't really matter.\I-Is that something it won't work without?\Come on, Umaru! Tell me!\Onii-chan, you idiot! How could you throw it away?!\Why didn't you look in the box first?!\That was really important to me!\Onii-chan's troubled. response:	Maybe now I can laze around and not get yelled at.
context: Well, I didn't really like the parts that figure had, so it doesn't really matter.\I-Is that something it won't work without?\Come on, Umaru! Tell me!\Onii-chan, you idiot! How could you throw it away?!\Why didn't you look in the box first?!\That was really important to me!\Onii-chan's troubled.\Maybe now I can laze around and not get yelled at. response:	All right! I'm gonna let him have it some more.
