context: Lisanna, where are you? response:	Hey, answer me!
context: Lisanna, where are you?\Hey, answer me! response:	Lisanna!
context: Lisanna, where are you?\Hey, answer me!\Lisanna! response:	Oww...
context: Lisanna, where are you?\Hey, answer me!\Lisanna!\Oww... response:	Damn it...
context: Lisanna, where are you?\Hey, answer me!\Lisanna!\Oww...\Damn it... response:	Lisanna!
context: Lisanna, where are you?\Hey, answer me!\Lisanna!\Oww...\Damn it...\Lisanna! response:	What is it?
context: Lisanna, where are you?\Hey, answer me!\Lisanna!\Oww...\Damn it...\Lisanna!\What is it? response:	Just a dream...?
context: Lisanna, where are you?\Hey, answer me!\Lisanna!\Oww...\Damn it...\Lisanna!\What is it?\Just a dream...? response:	What are you doing making such an insinuating face in someone else's house?
context: Hey, answer me!\Lisanna!\Oww...\Damn it...\Lisanna!\What is it?\Just a dream...?\What are you doing making such an insinuating face in someone else's house? response:	Since you took the bed, I ended up sleeping on the floor!
context: Lisanna!\Oww...\Damn it...\Lisanna!\What is it?\Just a dream...?\What are you doing making such an insinuating face in someone else's house?\Since you took the bed, I ended up sleeping on the floor! response:	Man, so noisy right when I wake up...
context: Oww...\Damn it...\Lisanna!\What is it?\Just a dream...?\What are you doing making such an insinuating face in someone else's house?\Since you took the bed, I ended up sleeping on the floor!\Man, so noisy right when I wake up... response:	This, coming from someone who just had a sleepover at my house without permission?
context: Damn it...\Lisanna!\What is it?\Just a dream...?\What are you doing making such an insinuating face in someone else's house?\Since you took the bed, I ended up sleeping on the floor!\Man, so noisy right when I wake up...\This, coming from someone who just had a sleepover at my house without permission? response:	I can't help it, man! I get the best sleep in this bed.
context: Lisanna!\What is it?\Just a dream...?\What are you doing making such an insinuating face in someone else's house?\Since you took the bed, I ended up sleeping on the floor!\Man, so noisy right when I wake up...\This, coming from someone who just had a sleepover at my house without permission?\I can't help it, man! I get the best sleep in this bed. response:	Aye!
context: What is it?\Just a dream...?\What are you doing making such an insinuating face in someone else's house?\Since you took the bed, I ended up sleeping on the floor!\Man, so noisy right when I wake up...\This, coming from someone who just had a sleepover at my house without permission?\I can't help it, man! I get the best sleep in this bed.\Aye! response:	Then why don't you buy your own?
context: Just a dream...?\What are you doing making such an insinuating face in someone else's house?\Since you took the bed, I ended up sleeping on the floor!\Man, so noisy right when I wake up...\This, coming from someone who just had a sleepover at my house without permission?\I can't help it, man! I get the best sleep in this bed.\Aye!\Then why don't you buy your own? response:	Well, I'm hungry.
