context: It's summer. response:	Summer means vacation.
context: It's summer.\Summer means vacation. response:	Vacations are awesome.
context: It's summer.\Summer means vacation.\Vacations are awesome. response:	I'll do radio calisthenics every morning,
context: It's summer.\Summer means vacation.\Vacations are awesome.\I'll do radio calisthenics every morning, response:	eat hiyamugi noodles,
context: It's summer.\Summer means vacation.\Vacations are awesome.\I'll do radio calisthenics every morning,\eat hiyamugi noodles, response:	and eat shaved ice.
context: It's summer.\Summer means vacation.\Vacations are awesome.\I'll do radio calisthenics every morning,\eat hiyamugi noodles,\and eat shaved ice. response:	I'll swim in the pool,
context: It's summer.\Summer means vacation.\Vacations are awesome.\I'll do radio calisthenics every morning,\eat hiyamugi noodles,\and eat shaved ice.\I'll swim in the pool, response:	eat cold ramen noodles,
context: It's summer.\Summer means vacation.\Vacations are awesome.\I'll do radio calisthenics every morning,\eat hiyamugi noodles,\and eat shaved ice.\I'll swim in the pool,\eat cold ramen noodles, response:	and eat ice cream.
context: Summer means vacation.\Vacations are awesome.\I'll do radio calisthenics every morning,\eat hiyamugi noodles,\and eat shaved ice.\I'll swim in the pool,\eat cold ramen noodles,\and eat ice cream. response:	I love summer!
context: Vacations are awesome.\I'll do radio calisthenics every morning,\eat hiyamugi noodles,\and eat shaved ice.\I'll swim in the pool,\eat cold ramen noodles,\and eat ice cream.\I love summer! response:	Anyway, I am Gouda Takeo,
context: I'll do radio calisthenics every morning,\eat hiyamugi noodles,\and eat shaved ice.\I'll swim in the pool,\eat cold ramen noodles,\and eat ice cream.\I love summer!\Anyway, I am Gouda Takeo, response:	a first-year in high school!
context: eat hiyamugi noodles,\and eat shaved ice.\I'll swim in the pool,\eat cold ramen noodles,\and eat ice cream.\I love summer!\Anyway, I am Gouda Takeo,\a first-year in high school! response:	Report Card
context: and eat shaved ice.\I'll swim in the pool,\eat cold ramen noodles,\and eat ice cream.\I love summer!\Anyway, I am Gouda Takeo,\a first-year in high school!\Report Card response:	In its own way, it's awe-inspiring.
context: I'll swim in the pool,\eat cold ramen noodles,\and eat ice cream.\I love summer!\Anyway, I am Gouda Takeo,\a first-year in high school!\Report Card\In its own way, it's awe-inspiring. response:	Yamato
context: eat cold ramen noodles,\and eat ice cream.\I love summer!\Anyway, I am Gouda Takeo,\a first-year in high school!\Report Card\In its own way, it's awe-inspiring.\Yamato response:	Oh, Takeo-kun?
context: and eat ice cream.\I love summer!\Anyway, I am Gouda Takeo,\a first-year in high school!\Report Card\In its own way, it's awe-inspiring.\Yamato\Oh, Takeo-kun? response:	The beach?
context: I love summer!\Anyway, I am Gouda Takeo,\a first-year in high school!\Report Card\In its own way, it's awe-inspiring.\Yamato\Oh, Takeo-kun?\The beach? response:	Yeah, I was just talking with my friends
context: Anyway, I am Gouda Takeo,\a first-year in high school!\Report Card\In its own way, it's awe-inspiring.\Yamato\Oh, Takeo-kun?\The beach?\Yeah, I was just talking with my friends response:	about how it'd be great if we all went to the beach with your friends.
context: a first-year in high school!\Report Card\In its own way, it's awe-inspiring.\Yamato\Oh, Takeo-kun?\The beach?\Yeah, I was just talking with my friends\about how it'd be great if we all went to the beach with your friends. response:	Sunakawa-kun... Invite Sunakawa-kun!
context: Report Card\In its own way, it's awe-inspiring.\Yamato\Oh, Takeo-kun?\The beach?\Yeah, I was just talking with my friends\about how it'd be great if we all went to the beach with your friends.\Sunakawa-kun... Invite Sunakawa-kun! response:	Would Sunakawa-kun come, too?
context: In its own way, it's awe-inspiring.\Yamato\Oh, Takeo-kun?\The beach?\Yeah, I was just talking with my friends\about how it'd be great if we all went to the beach with your friends.\Sunakawa-kun... Invite Sunakawa-kun!\Would Sunakawa-kun come, too? response:	The beach sounds great!
context: Yamato\Oh, Takeo-kun?\The beach?\Yeah, I was just talking with my friends\about how it'd be great if we all went to the beach with your friends.\Sunakawa-kun... Invite Sunakawa-kun!\Would Sunakawa-kun come, too?\The beach sounds great! response:	Okay, let's go!
context: Oh, Takeo-kun?\The beach?\Yeah, I was just talking with my friends\about how it'd be great if we all went to the beach with your friends.\Sunakawa-kun... Invite Sunakawa-kun!\Would Sunakawa-kun come, too?\The beach sounds great!\Okay, let's go! response:	My Ocean
