context: Coffee Shop Hitotose response:	I'm back.
context: Coffee Shop Hitotose\I'm back. response:	Oh, Hina-chan.
context: Coffee Shop Hitotose\I'm back.\Oh, Hina-chan. response:	I'm back, Miss Landlady.
context: Coffee Shop Hitotose\I'm back.\Oh, Hina-chan.\I'm back, Miss Landlady. response:	This letter came for you, from your mom.
context: Coffee Shop Hitotose\I'm back.\Oh, Hina-chan.\I'm back, Miss Landlady.\This letter came for you, from your mom. response:	Really?
context: Coffee Shop Hitotose\I'm back.\Oh, Hina-chan.\I'm back, Miss Landlady.\This letter came for you, from your mom.\Really? response:	180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama
context: Coffee Shop Hitotose\I'm back.\Oh, Hina-chan.\I'm back, Miss Landlady.\This letter came for you, from your mom.\Really?\180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama response:	Let's see...
context: Coffee Shop Hitotose\I'm back.\Oh, Hina-chan.\I'm back, Miss Landlady.\This letter came for you, from your mom.\Really?\180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama\Let's see... response:	Hinako, are you doing well?
context: I'm back.\Oh, Hina-chan.\I'm back, Miss Landlady.\This letter came for you, from your mom.\Really?\180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama\Let's see...\Hinako, are you doing well? response:	Nothing's changed here.
context: Oh, Hina-chan.\I'm back, Miss Landlady.\This letter came for you, from your mom.\Really?\180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama\Let's see...\Hinako, are you doing well?\Nothing's changed here. response:	When I think of a girl like you who can't speak becoming an actress,
context: I'm back, Miss Landlady.\This letter came for you, from your mom.\Really?\180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama\Let's see...\Hinako, are you doing well?\Nothing's changed here.\When I think of a girl like you who can't speak becoming an actress, response:	it worries me so...
context: This letter came for you, from your mom.\Really?\180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama\Let's see...\Hinako, are you doing well?\Nothing's changed here.\When I think of a girl like you who can't speak becoming an actress,\it worries me so... response:	Mom...
context: Really?\180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama\Let's see...\Hinako, are you doing well?\Nothing's changed here.\When I think of a girl like you who can't speak becoming an actress,\it worries me so...\Mom... response:	So, to see you acting, I'll be coming to visit you soon!
context: 180-3003 1-7-5 Kichijoji Minami, Higashi Musashimurano, Tokyo Sakuragi Hinako-sama\Let's see...\Hinako, are you doing well?\Nothing's changed here.\When I think of a girl like you who can't speak becoming an actress,\it worries me so...\Mom...\So, to see you acting, I'll be coming to visit you soon! response:	Coming to... visit soon?
context: Let's see...\Hinako, are you doing well?\Nothing's changed here.\When I think of a girl like you who can't speak becoming an actress,\it worries me so...\Mom...\So, to see you acting, I'll be coming to visit you soon!\Coming to... visit soon? response:	Visit?
context: Hinako, are you doing well?\Nothing's changed here.\When I think of a girl like you who can't speak becoming an actress,\it worries me so...\Mom...\So, to see you acting, I'll be coming to visit you soon!\Coming to... visit soon?\Visit? response:	Hina-chan?
context: Nothing's changed here.\When I think of a girl like you who can't speak becoming an actress,\it worries me so...\Mom...\So, to see you acting, I'll be coming to visit you soon!\Coming to... visit soon?\Visit?\Hina-chan? response:	What?!
