context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J response:	J It's you and me I know it's my destiny J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J response:	J Pokemon! Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J response:	J A heart so true Our courage will pull us through J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon! J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J response:	J Gotta catch'em all, gotta catch'em all Pokemon! J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J response:	Last time, Ash and Pikachu faced their toughest challenge yet,
context: J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Last time, Ash and Pikachu faced their toughest challenge yet, response:	a match against a Pokemon Gym Leader.
context: J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Last time, Ash and Pikachu faced their toughest challenge yet,\a match against a Pokemon Gym Leader. response:	Ash won a Boulderbadge, his first step toward competing
context: J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Last time, Ash and Pikachu faced their toughest challenge yet,\a match against a Pokemon Gym Leader.\Ash won a Boulderbadge, his first step toward competing response:	in the Pokemon League Championships.
context: J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Last time, Ash and Pikachu faced their toughest challenge yet,\a match against a Pokemon Gym Leader.\Ash won a Boulderbadge, his first step toward competing\in the Pokemon League Championships. response:	Joined by the Gym Leader Brock,
context: J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Last time, Ash and Pikachu faced their toughest challenge yet,\a match against a Pokemon Gym Leader.\Ash won a Boulderbadge, his first step toward competing\in the Pokemon League Championships.\Joined by the Gym Leader Brock, response:	Ash and his friends continued their journey.
context: J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Last time, Ash and Pikachu faced their toughest challenge yet,\a match against a Pokemon Gym Leader.\Ash won a Boulderbadge, his first step toward competing\in the Pokemon League Championships.\Joined by the Gym Leader Brock,\Ash and his friends continued their journey. response:	But as they left Pewter City,
context: J Gotta catch'em all, gotta catch'em all Pokemon! J\Last time, Ash and Pikachu faced their toughest challenge yet,\a match against a Pokemon Gym Leader.\Ash won a Boulderbadge, his first step toward competing\in the Pokemon League Championships.\Joined by the Gym Leader Brock,\Ash and his friends continued their journey.\But as they left Pewter City, response:	little did they suspect that their next adventure would be out of this world!
context: Last time, Ash and Pikachu faced their toughest challenge yet,\a match against a Pokemon Gym Leader.\Ash won a Boulderbadge, his first step toward competing\in the Pokemon League Championships.\Joined by the Gym Leader Brock,\Ash and his friends continued their journey.\But as they left Pewter City,\little did they suspect that their next adventure would be out of this world! response:	Ash and his friends hike toward Mt. Moon.
context: a match against a Pokemon Gym Leader.\Ash won a Boulderbadge, his first step toward competing\in the Pokemon League Championships.\Joined by the Gym Leader Brock,\Ash and his friends continued their journey.\But as they left Pewter City,\little did they suspect that their next adventure would be out of this world!\Ash and his friends hike toward Mt. Moon. response:	Many strange and astonishing tales have been told about this mysterious place,
context: Ash won a Boulderbadge, his first step toward competing\in the Pokemon League Championships.\Joined by the Gym Leader Brock,\Ash and his friends continued their journey.\But as they left Pewter City,\little did they suspect that their next adventure would be out of this world!\Ash and his friends hike toward Mt. Moon.\Many strange and astonishing tales have been told about this mysterious place, response:	and the group's about to discover that all of them are true!
