context: Without using my damn old man's Quirk... response:	No...
context: Without using my damn old man's Quirk...\No... response:	I'll reject him completely by winning first place without using it.
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it. response:	You want to win with just half your strength?!
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\You want to win with just half your strength?! response:	You haven't put a single scratch on me yet, you know!
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know! response:	Come at with me with everything you've got!
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got! response:	Why are you going so far?
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Why are you going so far? response:	Because I want to live up to everyone's expectations...
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Why are you going so far?\Because I want to live up to everyone's expectations... response:	I want to be able to smile... and respond to them...
context: No...\I'll reject him completely by winning first place without using it.\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them... response:	To be a cool hero...
context: I'll reject him completely by winning first place without using it.\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero... response:	That's what I want to be!
context: You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be! response:	I will reject...
context: You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\I will reject... response:	It's your power, isn't it?!
context: Come at with me with everything you've got!\Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\I will reject...\It's your power, isn't it?! response:	I want... to be a hero, too...!
context: Why are you going so far?\Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\I will reject...\It's your power, isn't it?!\I want... to be a hero, too...! response:	Try to get close...
context: Because I want to live up to everyone's expectations...\I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\I will reject...\It's your power, isn't it?!\I want... to be a hero, too...!\Try to get close... response:	Midoriya...
