context: To my father and mother back at home... response:	To my father and mother back at home...
context: To my father and mother back at home...\To my father and mother back at home... response:	Right now, I'm in a slum in a faraway country.
context: To my father and mother back at home...\To my father and mother back at home...\Right now, I'm in a slum in a faraway country. response:	It's so dangerous, I can't even look strangers in the eye.
context: To my father and mother back at home...\To my father and mother back at home...\Right now, I'm in a slum in a faraway country.\It's so dangerous, I can't even look strangers in the eye. response:	The reason I'm here...
context: To my father and mother back at home...\To my father and mother back at home...\Right now, I'm in a slum in a faraway country.\It's so dangerous, I can't even look strangers in the eye.\The reason I'm here... response:	Change...
context: To my father and mother back at home...\To my father and mother back at home...\Right now, I'm in a slum in a faraway country.\It's so dangerous, I can't even look strangers in the eye.\The reason I'm here...\Change... response:	Could you spare some change?
context: To my father and mother back at home...\To my father and mother back at home...\Right now, I'm in a slum in a faraway country.\It's so dangerous, I can't even look strangers in the eye.\The reason I'm here...\Change...\Could you spare some change? response:	Just fifty cents.
context: To my father and mother back at home...\To my father and mother back at home...\Right now, I'm in a slum in a faraway country.\It's so dangerous, I can't even look strangers in the eye.\The reason I'm here...\Change...\Could you spare some change?\Just fifty cents. response:	Please.
context: To my father and mother back at home...\Right now, I'm in a slum in a faraway country.\It's so dangerous, I can't even look strangers in the eye.\The reason I'm here...\Change...\Could you spare some change?\Just fifty cents.\Please. response:	Will you hear my wish if I do?
context: Right now, I'm in a slum in a faraway country.\It's so dangerous, I can't even look strangers in the eye.\The reason I'm here...\Change...\Could you spare some change?\Just fifty cents.\Please.\Will you hear my wish if I do? response:	Yeah.
context: It's so dangerous, I can't even look strangers in the eye.\The reason I'm here...\Change...\Could you spare some change?\Just fifty cents.\Please.\Will you hear my wish if I do?\Yeah. response:	Then please give me orders again, Francis-sama.
context: The reason I'm here...\Change...\Could you spare some change?\Just fifty cents.\Please.\Will you hear my wish if I do?\Yeah.\Then please give me orders again, Francis-sama. response:	I had faith that you were safe.
context: Change...\Could you spare some change?\Just fifty cents.\Please.\Will you hear my wish if I do?\Yeah.\Then please give me orders again, Francis-sama.\I had faith that you were safe. response:	The analysts at headquarters told me...
context: Could you spare some change?\Just fifty cents.\Please.\Will you hear my wish if I do?\Yeah.\Then please give me orders again, Francis-sama.\I had faith that you were safe.\The analysts at headquarters told me... response:	there was no way you could have survived plunging into the sea
context: Just fifty cents.\Please.\Will you hear my wish if I do?\Yeah.\Then please give me orders again, Francis-sama.\I had faith that you were safe.\The analysts at headquarters told me...\there was no way you could have survived plunging into the sea response:	without your ability.
context: Please.\Will you hear my wish if I do?\Yeah.\Then please give me orders again, Francis-sama.\I had faith that you were safe.\The analysts at headquarters told me...\there was no way you could have survived plunging into the sea\without your ability. response:	But I didn't want to give up.
context: Will you hear my wish if I do?\Yeah.\Then please give me orders again, Francis-sama.\I had faith that you were safe.\The analysts at headquarters told me...\there was no way you could have survived plunging into the sea\without your ability.\But I didn't want to give up. response:	Please come back.
context: Yeah.\Then please give me orders again, Francis-sama.\I had faith that you were safe.\The analysts at headquarters told me...\there was no way you could have survived plunging into the sea\without your ability.\But I didn't want to give up.\Please come back. response:	The Guild needs a boss.
context: Then please give me orders again, Francis-sama.\I had faith that you were safe.\The analysts at headquarters told me...\there was no way you could have survived plunging into the sea\without your ability.\But I didn't want to give up.\Please come back.\The Guild needs a boss. response:	And so do I.
context: I had faith that you were safe.\The analysts at headquarters told me...\there was no way you could have survived plunging into the sea\without your ability.\But I didn't want to give up.\Please come back.\The Guild needs a boss.\And so do I. response:	You're speaking to the man in your memories.
context: The analysts at headquarters told me...\there was no way you could have survived plunging into the sea\without your ability.\But I didn't want to give up.\Please come back.\The Guild needs a boss.\And so do I.\You're speaking to the man in your memories. response:	The man here is a dead man.
context: there was no way you could have survived plunging into the sea\without your ability.\But I didn't want to give up.\Please come back.\The Guild needs a boss.\And so do I.\You're speaking to the man in your memories.\The man here is a dead man. response:	The burnt crumbs of a man who lost all of his fortune and status,
context: without your ability.\But I didn't want to give up.\Please come back.\The Guild needs a boss.\And so do I.\You're speaking to the man in your memories.\The man here is a dead man.\The burnt crumbs of a man who lost all of his fortune and status, response:	and who failed to save his wife.
context: But I didn't want to give up.\Please come back.\The Guild needs a boss.\And so do I.\You're speaking to the man in your memories.\The man here is a dead man.\The burnt crumbs of a man who lost all of his fortune and status,\and who failed to save his wife. response:	In this nation, they burn the remains of the deceased, Louisa-kun.
context: Please come back.\The Guild needs a boss.\And so do I.\You're speaking to the man in your memories.\The man here is a dead man.\The burnt crumbs of a man who lost all of his fortune and status,\and who failed to save his wife.\In this nation, they burn the remains of the deceased, Louisa-kun. response:	No way...
context: The Guild needs a boss.\And so do I.\You're speaking to the man in your memories.\The man here is a dead man.\The burnt crumbs of a man who lost all of his fortune and status,\and who failed to save his wife.\In this nation, they burn the remains of the deceased, Louisa-kun.\No way... response:	It's only money you've lost.
context: And so do I.\You're speaking to the man in your memories.\The man here is a dead man.\The burnt crumbs of a man who lost all of his fortune and status,\and who failed to save his wife.\In this nation, they burn the remains of the deceased, Louisa-kun.\No way...\It's only money you've lost. response:	Only status. That's all.
context: You're speaking to the man in your memories.\The man here is a dead man.\The burnt crumbs of a man who lost all of his fortune and status,\and who failed to save his wife.\In this nation, they burn the remains of the deceased, Louisa-kun.\No way...\It's only money you've lost.\Only status. That's all. response:	Those paltry things were all that gave me value.
context: The man here is a dead man.\The burnt crumbs of a man who lost all of his fortune and status,\and who failed to save his wife.\In this nation, they burn the remains of the deceased, Louisa-kun.\No way...\It's only money you've lost.\Only status. That's all.\Those paltry things were all that gave me value. response:	And this is my foolish end.
context: The burnt crumbs of a man who lost all of his fortune and status,\and who failed to save his wife.\In this nation, they burn the remains of the deceased, Louisa-kun.\No way...\It's only money you've lost.\Only status. That's all.\Those paltry things were all that gave me value.\And this is my foolish end. response:	I suggest you laugh.
context: and who failed to save his wife.\In this nation, they burn the remains of the deceased, Louisa-kun.\No way...\It's only money you've lost.\Only status. That's all.\Those paltry things were all that gave me value.\And this is my foolish end.\I suggest you laugh. response:	Fitzgerald Rising
context: In this nation, they burn the remains of the deceased, Louisa-kun.\No way...\It's only money you've lost.\Only status. That's all.\Those paltry things were all that gave me value.\And this is my foolish end.\I suggest you laugh.\Fitzgerald Rising response:	Episode 32
context: No way...\It's only money you've lost.\Only status. That's all.\Those paltry things were all that gave me value.\And this is my foolish end.\I suggest you laugh.\Fitzgerald Rising\Episode 32 response:	Yeah, I think it's good.
context: It's only money you've lost.\Only status. That's all.\Those paltry things were all that gave me value.\And this is my foolish end.\I suggest you laugh.\Fitzgerald Rising\Episode 32\Yeah, I think it's good. response:	It's delicious.
context: Only status. That's all.\Those paltry things were all that gave me value.\And this is my foolish end.\I suggest you laugh.\Fitzgerald Rising\Episode 32\Yeah, I think it's good.\It's delicious. response:	Really?
context: Those paltry things were all that gave me value.\And this is my foolish end.\I suggest you laugh.\Fitzgerald Rising\Episode 32\Yeah, I think it's good.\It's delicious.\Really? response:	It's average.
context: And this is my foolish end.\I suggest you laugh.\Fitzgerald Rising\Episode 32\Yeah, I think it's good.\It's delicious.\Really?\It's average. response:	The customers won't be satisfied if you sell this for the same price as the manager's.
context: I suggest you laugh.\Fitzgerald Rising\Episode 32\Yeah, I think it's good.\It's delicious.\Really?\It's average.\The customers won't be satisfied if you sell this for the same price as the manager's. response:	You're right, though.
context: Fitzgerald Rising\Episode 32\Yeah, I think it's good.\It's delicious.\Really?\It's average.\The customers won't be satisfied if you sell this for the same price as the manager's.\You're right, though. response:	I don't know what I'm doing wrong.
context: Episode 32\Yeah, I think it's good.\It's delicious.\Really?\It's average.\The customers won't be satisfied if you sell this for the same price as the manager's.\You're right, though.\I don't know what I'm doing wrong. response:	Wasn't there anyone in the Guild who made coffee?
context: Yeah, I think it's good.\It's delicious.\Really?\It's average.\The customers won't be satisfied if you sell this for the same price as the manager's.\You're right, though.\I don't know what I'm doing wrong.\Wasn't there anyone in the Guild who made coffee? response:	Come to think of it...
context: It's delicious.\Really?\It's average.\The customers won't be satisfied if you sell this for the same price as the manager's.\You're right, though.\I don't know what I'm doing wrong.\Wasn't there anyone in the Guild who made coffee?\Come to think of it... response:	Louisa-chan would often drink coffee before work.
context: Really?\It's average.\The customers won't be satisfied if you sell this for the same price as the manager's.\You're right, though.\I don't know what I'm doing wrong.\Wasn't there anyone in the Guild who made coffee?\Come to think of it...\Louisa-chan would often drink coffee before work. response:	She was a strategist for the Guild, wasn't she?
context: It's average.\The customers won't be satisfied if you sell this for the same price as the manager's.\You're right, though.\I don't know what I'm doing wrong.\Wasn't there anyone in the Guild who made coffee?\Come to think of it...\Louisa-chan would often drink coffee before work.\She was a strategist for the Guild, wasn't she? response:	She's a good girl.
context: The customers won't be satisfied if you sell this for the same price as the manager's.\You're right, though.\I don't know what I'm doing wrong.\Wasn't there anyone in the Guild who made coffee?\Come to think of it...\Louisa-chan would often drink coffee before work.\She was a strategist for the Guild, wasn't she?\She's a good girl. response:	She was the one who scouted me at the orphanage, too.
context: You're right, though.\I don't know what I'm doing wrong.\Wasn't there anyone in the Guild who made coffee?\Come to think of it...\Louisa-chan would often drink coffee before work.\She was a strategist for the Guild, wasn't she?\She's a good girl.\She was the one who scouted me at the orphanage, too. response:	She must have been a good friend.
context: I don't know what I'm doing wrong.\Wasn't there anyone in the Guild who made coffee?\Come to think of it...\Louisa-chan would often drink coffee before work.\She was a strategist for the Guild, wasn't she?\She's a good girl.\She was the one who scouted me at the orphanage, too.\She must have been a good friend. response:	Wh-What's with that look?!
context: Wasn't there anyone in the Guild who made coffee?\Come to think of it...\Louisa-chan would often drink coffee before work.\She was a strategist for the Guild, wasn't she?\She's a good girl.\She was the one who scouted me at the orphanage, too.\She must have been a good friend.\Wh-What's with that look?! response:	You aren't fooling me!
context: Come to think of it...\Louisa-chan would often drink coffee before work.\She was a strategist for the Guild, wasn't she?\She's a good girl.\She was the one who scouted me at the orphanage, too.\She must have been a good friend.\Wh-What's with that look?!\You aren't fooling me! response:	Huh?
context: Louisa-chan would often drink coffee before work.\She was a strategist for the Guild, wasn't she?\She's a good girl.\She was the one who scouted me at the orphanage, too.\She must have been a good friend.\Wh-What's with that look?!\You aren't fooling me!\Huh? response:	B-Besides, she wasn't a friend.
context: She was a strategist for the Guild, wasn't she?\She's a good girl.\She was the one who scouted me at the orphanage, too.\She must have been a good friend.\Wh-What's with that look?!\You aren't fooling me!\Huh?\B-Besides, she wasn't a friend. response:	I mean...
context: She's a good girl.\She was the one who scouted me at the orphanage, too.\She must have been a good friend.\Wh-What's with that look?!\You aren't fooling me!\Huh?\B-Besides, she wasn't a friend.\I mean... response:	Louisa-chan was as shy as a clam.
context: She was the one who scouted me at the orphanage, too.\She must have been a good friend.\Wh-What's with that look?!\You aren't fooling me!\Huh?\B-Besides, she wasn't a friend.\I mean...\Louisa-chan was as shy as a clam. response:	I never saw her have a normal conversation with anyone.
context: She must have been a good friend.\Wh-What's with that look?!\You aren't fooling me!\Huh?\B-Besides, she wasn't a friend.\I mean...\Louisa-chan was as shy as a clam.\I never saw her have a normal conversation with anyone. response:	Oh, except with the boss, Francis-san.
context: Wh-What's with that look?!\You aren't fooling me!\Huh?\B-Besides, she wasn't a friend.\I mean...\Louisa-chan was as shy as a clam.\I never saw her have a normal conversation with anyone.\Oh, except with the boss, Francis-san. response:	That man had no interest in what people were thinking.
context: You aren't fooling me!\Huh?\B-Besides, she wasn't a friend.\I mean...\Louisa-chan was as shy as a clam.\I never saw her have a normal conversation with anyone.\Oh, except with the boss, Francis-san.\That man had no interest in what people were thinking. response:	Apparently that made it easier for her.
context: Huh?\B-Besides, she wasn't a friend.\I mean...\Louisa-chan was as shy as a clam.\I never saw her have a normal conversation with anyone.\Oh, except with the boss, Francis-san.\That man had no interest in what people were thinking.\Apparently that made it easier for her. response:	I see.
context: B-Besides, she wasn't a friend.\I mean...\Louisa-chan was as shy as a clam.\I never saw her have a normal conversation with anyone.\Oh, except with the boss, Francis-san.\That man had no interest in what people were thinking.\Apparently that made it easier for her.\I see. response:	Speaking of which,
context: I mean...\Louisa-chan was as shy as a clam.\I never saw her have a normal conversation with anyone.\Oh, except with the boss, Francis-san.\That man had no interest in what people were thinking.\Apparently that made it easier for her.\I see.\Speaking of which, response:	Louisa-chan has never used her ability for her own sake before.
context: Louisa-chan was as shy as a clam.\I never saw her have a normal conversation with anyone.\Oh, except with the boss, Francis-san.\That man had no interest in what people were thinking.\Apparently that made it easier for her.\I see.\Speaking of which,\Louisa-chan has never used her ability for her own sake before. response:	Only when she was ordered to?
context: I never saw her have a normal conversation with anyone.\Oh, except with the boss, Francis-san.\That man had no interest in what people were thinking.\Apparently that made it easier for her.\I see.\Speaking of which,\Louisa-chan has never used her ability for her own sake before.\Only when she was ordered to? response:	I wonder why.
context: Oh, except with the boss, Francis-san.\That man had no interest in what people were thinking.\Apparently that made it easier for her.\I see.\Speaking of which,\Louisa-chan has never used her ability for her own sake before.\Only when she was ordered to?\I wonder why. response:	I wonder.
context: That man had no interest in what people were thinking.\Apparently that made it easier for her.\I see.\Speaking of which,\Louisa-chan has never used her ability for her own sake before.\Only when she was ordered to?\I wonder why.\I wonder. response:	It might be because she doesn't care about herself too much.
context: Apparently that made it easier for her.\I see.\Speaking of which,\Louisa-chan has never used her ability for her own sake before.\Only when she was ordered to?\I wonder why.\I wonder.\It might be because she doesn't care about herself too much. response:	Your value isn't in your money or your status.
context: I see.\Speaking of which,\Louisa-chan has never used her ability for her own sake before.\Only when she was ordered to?\I wonder why.\I wonder.\It might be because she doesn't care about herself too much.\Your value isn't in your money or your status. response:	It's in your qualities as a leader.
context: Speaking of which,\Louisa-chan has never used her ability for her own sake before.\Only when she was ordered to?\I wonder why.\I wonder.\It might be because she doesn't care about herself too much.\Your value isn't in your money or your status.\It's in your qualities as a leader. response:	Devising strategies under your orders
context: Louisa-chan has never used her ability for her own sake before.\Only when she was ordered to?\I wonder why.\I wonder.\It might be because she doesn't care about herself too much.\Your value isn't in your money or your status.\It's in your qualities as a leader.\Devising strategies under your orders response:	is the only way I become a powerful giant.
context: Only when she was ordered to?\I wonder why.\I wonder.\It might be because she doesn't care about herself too much.\Your value isn't in your money or your status.\It's in your qualities as a leader.\Devising strategies under your orders\is the only way I become a powerful giant. response:	So please give me orders,
context: I wonder why.\I wonder.\It might be because she doesn't care about herself too much.\Your value isn't in your money or your status.\It's in your qualities as a leader.\Devising strategies under your orders\is the only way I become a powerful giant.\So please give me orders, response:	with your strong words.
context: I wonder.\It might be because she doesn't care about herself too much.\Your value isn't in your money or your status.\It's in your qualities as a leader.\Devising strategies under your orders\is the only way I become a powerful giant.\So please give me orders,\with your strong words. response:	I can't.
context: It might be because she doesn't care about herself too much.\Your value isn't in your money or your status.\It's in your qualities as a leader.\Devising strategies under your orders\is the only way I become a powerful giant.\So please give me orders,\with your strong words.\I can't. response:	But you said you'd grant my wish.
context: Your value isn't in your money or your status.\It's in your qualities as a leader.\Devising strategies under your orders\is the only way I become a powerful giant.\So please give me orders,\with your strong words.\I can't.\But you said you'd grant my wish. response:	I said I'd hear your wish,
