context: No one here is running half-assed! response:	Excuse me.
context: No one here is running half-assed!\Excuse me. response:	Kakeru. We're not done talking.
context: No one here is running half-assed!\Excuse me.\Kakeru. We're not done talking. response:	Prince.
context: No one here is running half-assed!\Excuse me.\Kakeru. We're not done talking.\Prince. response:	If you're only able to achieve the same time at the next meet,
context: No one here is running half-assed!\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet, response:	will you quit the team?
context: No one here is running half-assed!\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team? response:	What?
context: No one here is running half-assed!\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What? response:	Please. For the team.
context: No one here is running half-assed!\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What?\Please. For the team. response:	Run with the Wind
context: Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What?\Please. For the team.\Run with the Wind response:	No way!
context: Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What?\Please. For the team.\Run with the Wind\No way! response:	He said that?
context: Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What?\Please. For the team.\Run with the Wind\No way!\He said that? response:	That kind of talk is ineffective.
context: If you're only able to achieve the same time at the next meet,\will you quit the team?\What?\Please. For the team.\Run with the Wind\No way!\He said that?\That kind of talk is ineffective. response:	I told you.
context: will you quit the team?\What?\Please. For the team.\Run with the Wind\No way!\He said that?\That kind of talk is ineffective.\I told you. response:	Is he serious?
context: What?\Please. For the team.\Run with the Wind\No way!\He said that?\That kind of talk is ineffective.\I told you.\Is he serious? response:	It's true that he went too far, though.
context: Please. For the team.\Run with the Wind\No way!\He said that?\That kind of talk is ineffective.\I told you.\Is he serious?\It's true that he went too far, though. response:	Well, he is fast.
context: Run with the Wind\No way!\He said that?\That kind of talk is ineffective.\I told you.\Is he serious?\It's true that he went too far, though.\Well, he is fast. response:	He also said that because he's taking running at Hakone seriously.
