context: Akemi-san has a kind of mysterious aura about her. response:	The reality of the destruction around us fills our mind
context: Akemi-san has a kind of mysterious aura about her.\The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: Akemi-san has a kind of mysterious aura about her.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: Akemi-san has a kind of mysterious aura about her.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Akemi-san has a kind of mysterious aura about her.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Akemi-san has a kind of mysterious aura about her.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Akemi-san has a kind of mysterious aura about her.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Akemi-san has a kind of mysterious aura about her.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	Hey, it even swallowed up the Diet Building!
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Hey, it even swallowed up the Diet Building! response:	It's practically right in our faces now!
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Hey, it even swallowed up the Diet Building!\It's practically right in our faces now! response:	What should we do? In another week, this place will be...
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Hey, it even swallowed up the Diet Building!\It's practically right in our faces now!\What should we do? In another week, this place will be... response:	What are you doing?
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Hey, it even swallowed up the Diet Building!\It's practically right in our faces now!\What should we do? In another week, this place will be...\What are you doing? response:	Mr. President!
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Hey, it even swallowed up the Diet Building!\It's practically right in our faces now!\What should we do? In another week, this place will be...\What are you doing?\Mr. President! response:	What happens if the enemy takes us by surprise
context: Even when all you see in your path are storms\remember that your strength is no coincidence\Hey, it even swallowed up the Diet Building!\It's practically right in our faces now!\What should we do? In another week, this place will be...\What are you doing?\Mr. President!\What happens if the enemy takes us by surprise response:	because you took your minds off observation duties?
context: remember that your strength is no coincidence\Hey, it even swallowed up the Diet Building!\It's practically right in our faces now!\What should we do? In another week, this place will be...\What are you doing?\Mr. President!\What happens if the enemy takes us by surprise\because you took your minds off observation duties? response:	Would you take responsibility for the casualties?
context: Hey, it even swallowed up the Diet Building!\It's practically right in our faces now!\What should we do? In another week, this place will be...\What are you doing?\Mr. President!\What happens if the enemy takes us by surprise\because you took your minds off observation duties?\Would you take responsibility for the casualties? response:	What's his problem?
context: It's practically right in our faces now!\What should we do? In another week, this place will be...\What are you doing?\Mr. President!\What happens if the enemy takes us by surprise\because you took your minds off observation duties?\Would you take responsibility for the casualties?\What's his problem? response:	Secret Service, take them to the disciplinary cells.
context: What should we do? In another week, this place will be...\What are you doing?\Mr. President!\What happens if the enemy takes us by surprise\because you took your minds off observation duties?\Would you take responsibility for the casualties?\What's his problem?\Secret Service, take them to the disciplinary cells. response:	Yes, Sir.
context: What are you doing?\Mr. President!\What happens if the enemy takes us by surprise\because you took your minds off observation duties?\Would you take responsibility for the casualties?\What's his problem?\Secret Service, take them to the disciplinary cells.\Yes, Sir. response:	Seriously?!
context: Mr. President!\What happens if the enemy takes us by surprise\because you took your minds off observation duties?\Would you take responsibility for the casualties?\What's his problem?\Secret Service, take them to the disciplinary cells.\Yes, Sir.\Seriously?! response:	Screw you! Where do you get off
context: What happens if the enemy takes us by surprise\because you took your minds off observation duties?\Would you take responsibility for the casualties?\What's his problem?\Secret Service, take them to the disciplinary cells.\Yes, Sir.\Seriously?!\Screw you! Where do you get off response:	I can do whatever I want with this, you know!
context: because you took your minds off observation duties?\Would you take responsibility for the casualties?\What's his problem?\Secret Service, take them to the disciplinary cells.\Yes, Sir.\Seriously?!\Screw you! Where do you get off\I can do whatever I want with this, you know! response:	If you don't like the sound of that, then obey me!
context: Would you take responsibility for the casualties?\What's his problem?\Secret Service, take them to the disciplinary cells.\Yes, Sir.\Seriously?!\Screw you! Where do you get off\I can do whatever I want with this, you know!\If you don't like the sound of that, then obey me! response:	You're not sleeping yet?
context: What's his problem?\Secret Service, take them to the disciplinary cells.\Yes, Sir.\Seriously?!\Screw you! Where do you get off\I can do whatever I want with this, you know!\If you don't like the sound of that, then obey me!\You're not sleeping yet? response:	I can't sleep at a time like this. There's only one week left until the Exodus.
context: Secret Service, take them to the disciplinary cells.\Yes, Sir.\Seriously?!\Screw you! Where do you get off\I can do whatever I want with this, you know!\If you don't like the sound of that, then obey me!\You're not sleeping yet?\I can't sleep at a time like this. There's only one week left until the Exodus. response:	And...
context: Yes, Sir.\Seriously?!\Screw you! Where do you get off\I can do whatever I want with this, you know!\If you don't like the sound of that, then obey me!\You're not sleeping yet?\I can't sleep at a time like this. There's only one week left until the Exodus.\And... response:	Gai wouldn't be idling before an operation.
context: Seriously?!\Screw you! Where do you get off\I can do whatever I want with this, you know!\If you don't like the sound of that, then obey me!\You're not sleeping yet?\I can't sleep at a time like this. There's only one week left until the Exodus.\And...\Gai wouldn't be idling before an operation. response:	The leader of the Undertakers?
context: Screw you! Where do you get off\I can do whatever I want with this, you know!\If you don't like the sound of that, then obey me!\You're not sleeping yet?\I can't sleep at a time like this. There's only one week left until the Exodus.\And...\Gai wouldn't be idling before an operation.\The leader of the Undertakers? response:	Did he threaten his members into doing what he wanted?
context: I can do whatever I want with this, you know!\If you don't like the sound of that, then obey me!\You're not sleeping yet?\I can't sleep at a time like this. There's only one week left until the Exodus.\And...\Gai wouldn't be idling before an operation.\The leader of the Undertakers?\Did he threaten his members into doing what he wanted? response:	What's this about?
context: If you don't like the sound of that, then obey me!\You're not sleeping yet?\I can't sleep at a time like this. There's only one week left until the Exodus.\And...\Gai wouldn't be idling before an operation.\The leader of the Undertakers?\Did he threaten his members into doing what he wanted?\What's this about? response:	There's resentment building amongst the students.
context: You're not sleeping yet?\I can't sleep at a time like this. There's only one week left until the Exodus.\And...\Gai wouldn't be idling before an operation.\The leader of the Undertakers?\Did he threaten his members into doing what he wanted?\What's this about?\There's resentment building amongst the students. response:	You're going too far, Shu.
context: I can't sleep at a time like this. There's only one week left until the Exodus.\And...\Gai wouldn't be idling before an operation.\The leader of the Undertakers?\Did he threaten his members into doing what he wanted?\What's this about?\There's resentment building amongst the students.\You're going too far, Shu. response:	So what if they resent us? They all want to be safe as soon as possible, right?
context: And...\Gai wouldn't be idling before an operation.\The leader of the Undertakers?\Did he threaten his members into doing what he wanted?\What's this about?\There's resentment building amongst the students.\You're going too far, Shu.\So what if they resent us? They all want to be safe as soon as possible, right? response:	When Hare...
context: Gai wouldn't be idling before an operation.\The leader of the Undertakers?\Did he threaten his members into doing what he wanted?\What's this about?\There's resentment building amongst the students.\You're going too far, Shu.\So what if they resent us? They all want to be safe as soon as possible, right?\When Hare... response:	That happened to her because there was no discipline.
context: The leader of the Undertakers?\Did he threaten his members into doing what he wanted?\What's this about?\There's resentment building amongst the students.\You're going too far, Shu.\So what if they resent us? They all want to be safe as soon as possible, right?\When Hare...\That happened to her because there was no discipline. response:	I know it was probably the people who resent us that attacked Arisa,
context: Did he threaten his members into doing what he wanted?\What's this about?\There's resentment building amongst the students.\You're going too far, Shu.\So what if they resent us? They all want to be safe as soon as possible, right?\When Hare...\That happened to her because there was no discipline.\I know it was probably the people who resent us that attacked Arisa, response:	but there's no going back now.
context: What's this about?\There's resentment building amongst the students.\You're going too far, Shu.\So what if they resent us? They all want to be safe as soon as possible, right?\When Hare...\That happened to her because there was no discipline.\I know it was probably the people who resent us that attacked Arisa,\but there's no going back now. response:	You said it yourself, Yahiro.
context: There's resentment building amongst the students.\You're going too far, Shu.\So what if they resent us? They all want to be safe as soon as possible, right?\When Hare...\That happened to her because there was no discipline.\I know it was probably the people who resent us that attacked Arisa,\but there's no going back now.\You said it yourself, Yahiro. response:	Of course, we still need ways to ensure that they don't feel oppressed.
context: You're going too far, Shu.\So what if they resent us? They all want to be safe as soon as possible, right?\When Hare...\That happened to her because there was no discipline.\I know it was probably the people who resent us that attacked Arisa,\but there's no going back now.\You said it yourself, Yahiro.\Of course, we still need ways to ensure that they don't feel oppressed. response:	S-Someone help!
context: So what if they resent us? They all want to be safe as soon as possible, right?\When Hare...\That happened to her because there was no discipline.\I know it was probably the people who resent us that attacked Arisa,\but there's no going back now.\You said it yourself, Yahiro.\Of course, we still need ways to ensure that they don't feel oppressed.\S-Someone help! response:	Inori?
context: When Hare...\That happened to her because there was no discipline.\I know it was probably the people who resent us that attacked Arisa,\but there's no going back now.\You said it yourself, Yahiro.\Of course, we still need ways to ensure that they don't feel oppressed.\S-Someone help!\Inori? response:	What's wrong?
context: That happened to her because there was no discipline.\I know it was probably the people who resent us that attacked Arisa,\but there's no going back now.\You said it yourself, Yahiro.\Of course, we still need ways to ensure that they don't feel oppressed.\S-Someone help!\Inori?\What's wrong? response:	It's nothing. I'm fine.
context: I know it was probably the people who resent us that attacked Arisa,\but there's no going back now.\You said it yourself, Yahiro.\Of course, we still need ways to ensure that they don't feel oppressed.\S-Someone help!\Inori?\What's wrong?\It's nothing. I'm fine. response:	Someone help me...
context: but there's no going back now.\You said it yourself, Yahiro.\Of course, we still need ways to ensure that they don't feel oppressed.\S-Someone help!\Inori?\What's wrong?\It's nothing. I'm fine.\Someone help me... response:	Hello?
context: You said it yourself, Yahiro.\Of course, we still need ways to ensure that they don't feel oppressed.\S-Someone help!\Inori?\What's wrong?\It's nothing. I'm fine.\Someone help me...\Hello? response:	Yes.
context: Of course, we still need ways to ensure that they don't feel oppressed.\S-Someone help!\Inori?\What's wrong?\It's nothing. I'm fine.\Someone help me...\Hello?\Yes. response:	The student body is on the verge of collapse.
context: S-Someone help!\Inori?\What's wrong?\It's nothing. I'm fine.\Someone help me...\Hello?\Yes.\The student body is on the verge of collapse. response:	Yes, Ouma's keeping them in check with his power for now...
context: Inori?\What's wrong?\It's nothing. I'm fine.\Someone help me...\Hello?\Yes.\The student body is on the verge of collapse.\Yes, Ouma's keeping them in check with his power for now... response:	Criticizing President Ouma isn't allowed, even for a Rank S like you.
context: What's wrong?\It's nothing. I'm fine.\Someone help me...\Hello?\Yes.\The student body is on the verge of collapse.\Yes, Ouma's keeping them in check with his power for now...\Criticizing President Ouma isn't allowed, even for a Rank S like you. response:	Who were you talking to?
context: It's nothing. I'm fine.\Someone help me...\Hello?\Yes.\The student body is on the verge of collapse.\Yes, Ouma's keeping them in check with his power for now...\Criticizing President Ouma isn't allowed, even for a Rank S like you.\Who were you talking to? response:	If you don't want to tell me, that's fine.
